,F_value,pvalue,value_counts,subsystem,name,genes,reaction,alleles_sim
DCPT,inf,0.0,"[(0.9999999999999999, 33), (1.0, 1)]",Arabinogalactan biosynthesis,phosphoribose transferase (undecaprenyl phosphate),['Rv3806c'],decd__tb_c + prpp_c --> decdpr__tb_c + ppi_c,['Rv3806c']
EX_meoh,inf,0.0,"[(0.9999999999999999, 34)]",Exchange,,[],meoh_e --> ,
HIPB,32.0,2.9377511250657722e-06,"[(0.999999999999997, 10), (0.9999999999999984, 7), (0.9999999999999962, 5), (0.9999999999999978, 3), (0.9999999999999956, 2), (0.9999999999999977, 1), (0.999999999999994, 1), (0.9999999999999942, 1), (0.9999999999999963, 1), (1.0, 1), (0.9999999999999998, 1), (0.9999999999999983, 1)]",Cholesterol degradation,HIPB,[],h_c + hipcoa_c + nadh_c --> 5ohhipcoa_c + nad_c,
G3PD1ir,32.0,2.9377511250657722e-06,"[(0.9999999999987028, 3), (0.9999999999987034, 2), (0.9999999999987053, 2), (0.9999999999987037, 2), (0.9999999999987097, 2), (0.9999999999987047, 2), (0.9999999999987063, 2), (0.999999999998707, 2), (0.999999999998711, 1), (0.9999999999987057, 1), (0.999999999998701, 1), (0.9999999999986997, 1), (0.9999999999987041, 1), (0.9999999999987066, 1), (0.999999999998703, 1), (0.9999999999987024, 1), (0.9999999999987071, 1), (0.9999999999987059, 1), (0.999999999998714, 1), (0.9999999999987006, 1), (0.9999999999987068, 1), (0.9999999999987075, 1), (0.9999999999988042, 1), (0.9999999999987343, 1), (0.9999999999987016, 1)]",Glycerophospholipid metabolism,glycerol-3-phosphate dehydrogenase (NAD),"['Rv0564c', 'Rv2982c']",dhap_c + h_c + nadh_c <=> glyc3p_c + nad_c,['Rv2982c']
OXGDC,27.48126853642194,9.82035737621293e-06,"[(0.9999999999999998, 5), (0.750857802140763, 2), (0.6732297012949328, 1), (0.6666273652933454, 1), (0.7508578021407765, 1), (0.44554710265129693, 1), (0.7564572364145701, 1), (0.7588634801703815, 1), (0.7409872258240298, 1), (0.713900209507, 1), (0.7508578021409239, 1), (0.8782270831523461, 1), (0.7409872258240386, 1), (0.44554710265132336, 1), (0.9999999999999999, 1), (0.6666273652933394, 1), (0.44554710265128283, 1), (0.5299068698926915, 1), (0.5290427631030978, 1), (0.3959974862466298, 1), (0.740987225824012, 1), (0.6537760477411034, 1), (0.7508578021407672, 1), (1.687538997430238e-14, 1), (0.5290427631030963, 1), (0.4022534910375266, 1), (0.4022534910375487, 1), (2.7200464103316335e-14, 1), (0.5245726827742276, 1)]",Citric Acid Cycle,2-oxoglutarate decarboxylase,"['Rv0555', 'Rv1248c']",akg_c + h_c --> co2_c + sucsal_c,
EX_fum,18.559383878007125,0.00014631822703477517,"[(0.7616764400681086, 1), (0.725100729035843, 1), (0.7251007290358333, 1), (0.6588799504239895, 1), (0.7188843634659394, 1), (0.7360588201161377, 1), (0.7251007290358353, 1), (0.658148329036316, 1), (0.716213005946591, 1), (0.717795334982325, 1), (0.9772212494891446, 1), (0.7251007290354415, 1), (0.993756371847748, 1), (0.7177953349823503, 1), (0.6588799504239796, 1), (0.7251007290358272, 1), (0.09321618726854797, 1), (0.7251007290358313, 1), (0.6588799504239902, 1), (0.5998822711717506, 1), (0.658879950423983, 1), (0.6588799504239997, 1), (0.032867243672028534, 1), (0.7360588201161262, 1), (0.33096144431308805, 1), (0.7251007290358462, 1), (0.03286724367204941, 1), (0.6588799504239914, 1), (0.03286724367206717, 1), (0.39612518479821157, 1), (0.6929240019499868, 1), (0.3961251847982217, 1), (0.0, 1), (0.6929240019499682, 1)]",Exchange,,[],fum_e --> ,
EX_mal_L,18.55938387800678,0.00014631822703479194,"[(0.7616764400681133, 1), (0.7251007290358485, 1), (0.7251007290358387, 1), (0.6588799504239962, 1), (0.718884363465943, 1), (0.7360588201161429, 1), (0.7251007290358392, 1), (0.6581483290363228, 1), (0.7162130059465966, 1), (0.717795334982331, 1), (0.977221249489144, 1), (0.725100729035447, 1), (0.9937563718477471, 1), (0.7177953349823221, 1), (0.6588799504239864, 1), (0.7251007290358328, 1), (0.09321618726856684, 1), (0.7251007290358367, 1), (0.6588799504239968, 1), (0.5998822711717585, 1), (0.6588799504239897, 1), (0.6588799504240063, 1), (0.03286724367204763, 1), (0.7360588201161313, 1), (0.3309614443131127, 1), (0.7251007290358517, 1), (0.032867243672067836, 1), (0.658879950423998, 1), (0.03286724367208382, 1), (0.39612518479822345, 1), (0.692924001949993, 1), (0.39612518479823355, 1), (0.0, 1), (0.6929240019499668, 1)]",Exchange,,[],mal__L_e --> ,
FAD_12,17.503325314889505,0.000208463838223258,"[(0.9131012038652985, 6), (0.9131012038652989, 5), (0.9131012038652987, 5), (0.913101203865298, 2), (0.9131012038652982, 1), (0.9131012038652991, 1), (0.9131012038653132, 1), (0.9131012038652986, 1), (0.9131012038652739, 1), (0.6627247218764235, 1), (0.6627247218764185, 1), (0.6627247218764157, 1), (0.6627247218764172, 1), (3.2085445411667024e-14, 1), (0.7481624900711605, 1), (0.9131012038653054, 1), (1.2323475573339238e-14, 1), (0.5430944302992988, 1), (7.338574192772285e-14, 1), (0.9131012038652994, 1)]",Fatty Acid Metabolism,,"['Rv3563', 'Rv3274c', 'Rv0752c', 'Rv0215c', 'Rv1467c', 'Rv0154c', 'Rv3139', 'Rv3039c', 'Rv0231', 'Rv0456c', 'Rv0271c', 'Rv1346', 'Rv0243', 'Rv3543c', 'Rv3546', 'Rv1679', 'Rv3140', 'Rv3550', 'Rv0222', 'Rv3141', 'Rv2831', 'Rv3556c', 'Rv2500c', 'Rv0975c', 'Rv3544c', 'Rv1933c', 'Rv2679', 'Rv3573c', 'Rv1912c', 'Rv0971c', 'Rv3560c', 'Rv1070c', 'Rv2724c', 'Rv3774', 'Rv0632c', 'Rv1074c', 'Rv3505', 'Rv0244c', 'Rv0673', 'Rv1715', 'Rv3504', 'Rv1071c', 'Rv0400c', 'Rv1323', 'Rv0972c', 'Rv0468', 'Rv1935c', 'Rv0859', 'Rv0131c', 'Rv3562', 'Rv3797', 'Rv3761c', 'Rv3373', 'Rv0672', 'Rv2486', 'Rv3374', 'Rv1472', 'Rv3516', 'Rv1142c', 'Rv0905', 'Rv3061c', 'Rv1141c', 'Rv1934c', 'Rv0675', 'Rv0873', 'Rv3564', 'Rv2789c']",coa_c + fad_c + hexcoa_c + nad_c --> accoa_c + butcoa_c + fadh2_c + nadh_c,"['Rv3139', 'Rv3516']"
BIRA,17.26544859642432,0.00022603006664872376,"[(0.9999999999999521, 4), (0.9999999999999528, 3), (0.999999999999952, 3), (0.9999999999999523, 3), (0.9999999999999524, 2), (0.9999999999999517, 1), (0.3758020455922998, 1), (0.6126976116320033, 1), (0.99999999999939, 1), (0.3758020455923029, 1), (0.43580063892341014, 1), (0.3758020455922946, 1), (0.4065028933709477, 1), (0.3758020455922991, 1), (2.7755575615628914e-15, 1), (0.9999999999999525, 1), (0.7060846620365135, 1), (0.4538506074997358, 1), (0.37580204559229924, 1), (0.4538506074997467, 1), (0.3420626948454202, 1), (0.37918575278280475, 1), (0.34206269484542584, 1), (0.46368098198710517, 1)]",Mycolic acid pathway,BIRA,['Rv3279c'],accb_c + atp_c + h2o_c --> amp_c + bccp_c + h_c + ppi_c,
MME,16.45566853519245,0.00029869297195233825,"[(3.703491520418233e-16, 2), (0.0, 1), (0.3123898252260905, 1), (0.31238982522608816, 1), (0.6353889697703143, 1), (0.3176938671698428, 1), (0.3881685095242226, 1), (0.3123898252260875, 1), (0.6351742895401831, 1), (0.40398667953851986, 1), (0.16709880255058918, 1), (0.31238982522641556, 1), (0.2211453418581708, 1), (0.4026365756106478, 1), (0.6353889697703058, 1), (0.31238982522608916, 1), (0.6406239411982838, 1), (0.3123898252260858, 1), (0.6353889697703063, 1), (0.6180772350783557, 1), (0.6353889697703157, 1), (0.6353889697702991, 1), (0.6303255337286058, 1), (0.3041550020272884, 1), (0.5030529101238834, 1), (0.39640333272301714, 1), (0.9999999999999999, 1), (0.6353889697703078, 1), (0.630325533728529, 1), (0.7158813255502587, 1), (0.6092638635995572, 1), (0.7158813255502375, 1), (0.9943912809807799, 1)]",Fatty Acid Metabolism,methylmalonyl-CoA epimerase,"['Rv1322A', 'Rv0855', 'Rv1143']",mmcoa__R_c <-- 0.001 aqcobal_c + mmcoa__S_c,
