,F_value,pvalue,value_counts,subsystem,name,genes,reaction,alleles_sim
CAt4,inf,0.0,"[(0.9999999999999999, 34)]",Transport,calcium transport in/out via proton antiporter,['Rv1607'],ca2_c + h_e <=> ca2_e + h_c,
XYLK,inf,0.0,"[(0.9999999999999999, 34)]",Alternate Carbon Metabolism,xylulokinase,['Rv0729'],atp_c + xylu__D_c --> adp_c + h_c + xu5p__D_c,
LYSt5r,32.0,2.9377511250657722e-06,"[(0.1702412868632708, 34)]",Transport,LYSt5r,['Rv2320c'],lys__L_e <=> lys__L_c,
DESAT18,16.2969605718251,0.00031566013016177355,"[(0.0, 29), (0.9999999998653917, 1), (0.9551020333213515, 1), (0.1482903977425489, 1), (0.8545535770304101, 1), (0.14829039810217837, 1)]",Fatty Acid Metabolism,Stearoyl CoA desaturase  n C180CoA   n C181CoA ,"['Rv1094', 'Rv0824c', 'Rv3229c']",h2o_c + nadph_c + stcoa_c --> 4.0 h_c + nadp_c + odecoa_c,
PUNP6,16.0,0.0003502341484732759,"[(0.019775745186512712, 34)]",Purine and Pyrimidine Biosynthesis,purine-nucleoside phosphorylase (Deoxyinosine),['Rv3307'],din_c + pi_c <=> 2dr1p_c + hxan_c,
FAS180,15.079780361319791,0.0004856115297166281,"[(0.1058611792740165, 1), (0.10586117946583684, 1), (0.10586117924567606, 1), (0.9999999999584941, 1), (0.10586117913403204, 1), (0.10586117941154782, 1), (0.10586117957241692, 1), (0.0, 1), (0.10586117918139637, 1), (0.10586117947579865, 1), (0.10586118006831535, 1), (0.10586117911422122, 1), (0.10586117924264782, 1), (0.10586117944987983, 1), (0.10586117944803908, 1), (0.10586117932242489, 1), (0.1058611789929027, 1), (0.10586117927376737, 1), (0.10586117944706475, 1), (0.9598549851054692, 1), (0.10586117944717666, 1), (0.1058611795395028, 1), (0.23845338067086486, 1), (0.10586117938240802, 1), (0.8699507069362986, 1), (0.10586117948855955, 1), (0.1058611794483375, 1), (0.10586117941178452, 1), (0.23845338094757684, 1), (0.10586117952320517, 1), (0.10586117948890683, 1), (0.035287059932857634, 1), (0.1058611794610651, 1), (0.10586117944835083, 1)]",Fatty Acid Metabolism,Fatty acid synthase  n C180 ,"['Rv2524c', 'Rv2947c', 'Rv1484', 'Rv1350']",3.0 h_c + hdca_c + malcoa_c + 2.0 nadph_c --> co2_c + coa_c + h2o_c + 2.0 nadp_c + ocdca_c,['Rv1484']
ACCOAC,12.047058823529417,0.0015066397530336777,"[(1.0, 18), (0.0, 16)]",Pyruvate Metabolism,Acetyl-CoA carboxylase,"['Rv3285', 'Rv2247']",accoa_c + atp_c + hco3_c <=> adp_c + h_c + malcoa_c + pi_c,['Rv2247']
ACCD3,10.944680156256506,0.002327675972753793,"[(0.0, 18), (0.6082979733956586, 1), (0.7763961141019374, 1), (0.6082979733944235, 1), (0.6082979733775563, 1), (0.442745378359288, 1), (0.7631141570170124, 1), (0.6108435190270851, 1), (0.44274537835126265, 1), (0.4427453784977002, 1), (0.6082979733899674, 1), (0.6712351298014152, 1), (0.4427453783615129, 1), (0.8095865661213653, 1), (0.6082979733956501, 1), (0.7763961140883879, 1), (0.6108435190325596, 1)]",Mycolic acid pathway,ACCD3,['Rv0904c'],accoa_c + bccpco2_c --> accb_c + h_c + malcoa_c,
ACCA3,10.944680156241228,0.0023276759727680544,"[(1.266935074500172e-10, 15), (0.6082979734452848, 1), (0.7763961141302665, 1), (0.6082979734440496, 1), (0.6082979734271824, 1), (0.4427453784298885, 1), (0.7631141570470242, 1), (0.6108435190763886, 1), (0.4427453784218632, 1), (0.4427453785683007, 1), (0.6082979734395936, 1), (0.6712351298430677, 1), (0.44274537843211337, 1), (0.8095865661454895, 1), (1.2668476508690783e-10, 1), (0.6082979734452761, 1), (1.2669822396109932e-10, 1), (1.2391325182768704e-10, 1), (0.776396114116717, 1), (0.6108435190818633, 1)]",Mycolic acid pathway,ACCA3,['Rv3285'],atp_c + bccp_c + hco3_c --> adp_c + bccpco2_c + pi_c,
BIRA,10.94468015624122,0.00232767597276806,"[(1.2669350745001721e-10, 14), (0.6082979734452849, 1), (0.7763961141302668, 1), (0.6082979734440497, 1), (0.6082979734271825, 1), (0.4427453784298886, 1), (0.7631141570470246, 1), (0.6108435190763888, 1), (0.4427453784218633, 1), (0.4427453785683008, 1), (0.6082979734395936, 1), (0.6712351298430677, 1), (0.44274537843211353, 1), (0.8095865661454896, 1), (1.2668476035140602e-10, 1), (0.6082979734452763, 1), (1.2669822396109935e-10, 1), (1.2391325182768706e-10, 1), (0.7763961141167172, 1), (0.6108435190818633, 1), (1.2669348633100773e-10, 1)]",Mycolic acid pathway,BIRA,['Rv3279c'],accb_c + atp_c + h2o_c --> amp_c + bccp_c + h_c + ppi_c,
