,F_value,pvalue,value_counts,subsystem,name,genes,reaction,alleles_sim
CAt4,inf,0.0,"[(0.9999999999999999, 34)]",Transport,calcium transport in/out via proton antiporter,['Rv1607'],ca2_c + h_e <=> ca2_e + h_c,
PUNP1,inf,0.0,"[(0.999999904013479, 3), (0.9999999040134961, 2), (0.9999999040131681, 1), (0.9999999040133949, 1), (0.999999904013473, 1), (0.9999999040134753, 1), (0.9999999040134825, 1), (0.9999999040134793, 1), (0.9999999040115852, 1), (0.9999999040162498, 1), (0.9999999040119139, 1), (0.9999999040134784, 1), (0.9999999040136436, 1), (0.9999999040135445, 1), (0.9999999040135711, 1), (0.9999999040141143, 1), (0.9999999040134674, 1), (0.9999999040134225, 1), (0.9999999040136596, 1), (0.9999999040134957, 1), (0.9999999040135317, 1), (0.9999999040136643, 1), (0.9999999040135135, 1), (0.9999999040134789, 1), (0.9999999040134815, 1), (0.999999904002819, 1), (0.9999999040134859, 1), (0.9999999040134787, 1), (0.9999999040134959, 1), (0.9999999040133735, 1), (0.9999999040134969, 1)]",Purine and Pyrimidine Biosynthesis,purine-nucleoside phosphorylase (Adenosine),['Rv3307'],adn_c + pi_c <=> ade_c + r1p_c,
EX_so4,32.0,2.9377511250657722e-06,"[(0.9999999870983587, 6), (0.9999999870983594, 2), (0.9999999870983589, 2), (0.9999999870983588, 2), (0.9999999870983586, 2), (0.9999999870997689, 1), (0.9999999870997663, 1), (0.9999999870983624, 1), (0.9999999870983894, 1), (0.9999999870983622, 1), (0.9999999870983848, 1), (0.9999999870983584, 1), (0.999999987099769, 1), (0.9999999870983564, 1), (0.9999999870983723, 1), (0.9999999870983722, 1), (0.9999999870980427, 1), (0.9999999870983629, 1), (0.9999999870997781, 1), (0.999999987098831, 1), (0.9999999870992387, 1), (0.9999999870983733, 1), (0.9999999870992389, 1), (0.9999999870983597, 1), (0.9999999870983658, 1)]",Exchange,,[],so4_e <=> ,
PUNP6,16.0,0.0003502341484732759,"[(0.8967170420667909, 34)]",Purine and Pyrimidine Biosynthesis,purine-nucleoside phosphorylase (Deoxyinosine),['Rv3307'],din_c + pi_c <=> 2dr1p_c + hxan_c,
COCO2,16.0,0.0003502341484732759,"[(0.9999999999997415, 29), (0.9999999999997446, 1), (0.9999999999997418, 1), (0.9999999999997401, 1), (0.9999999999997444, 1), (0.9999999999997369, 1)]",Carbon metabolism,MNXR26399,"['Rv0373c', 'Rv0374c', 'Rv0375c']",co_c + 2.0 fdxox_c + h2o_c <=> co2_c + 2.0 fdxrd_c + 2.0 h_c,
DAGK160,12.8,0.0011278727736342864,"[(0.3333333333333333, 34)]",Glycerophospholipid metabolism,Diacylglycerol kinase (n-C16:0),"['Rv2252', 'Rv0499']",12dgr160_c + atp_c --> adp_c + h_c + pa160_c,
FORMCOAL,8.630410654827964,0.006085131528238484,"[(0.0, 22), (0.9999999999999999, 11), (1.0000000000000002, 1)]",Redox Metabolism,FORMCOAL,[],atp_c + coa_c + for_c <=> amp_c + forcoa_c + ppi_c,
GLXO1,8.630410654827964,0.006085131528238484,"[(0.9999999999999999, 22), (0.0, 12)]",Glyoxylate Metabolism,GLXO1,[],glx_c + h2o_c + nad_c --> 2.0 h_c + nadh_c + oxa_c,
OXACOAL,8.630410654827964,0.006085131528238484,"[(0.9999999999999999, 22), (0.0, 12)]",Glyoxylate Metabolism,OXACOAL,[],atp_c + coa_c + oxa_c <=> amp_c + oxalcoa_c + ppi_c,
OXCDC,8.630410654827962,0.006085131528238484,"[(1.0000000000000002, 22), (2.6054660583190084e-16, 11), (0.0, 1)]",Glyoxylate Metabolism,Oxalyl-CoA decarboxylase,['Rv0118c'],h_c + oxalcoa_c --> co2_c + forcoa_c,['Rv0118c']
