,F_value,pvalue,value_counts,name
cysOsh_c,34.78589429763148,1.4587237047550815e-06,"[(0.19759919409515048, 1), (0.33370094564455377, 1), (0.11268882994680238, 1), (0.9432373489524157, 1), (0.16186541044121563, 1), (0.01603982690439254, 1), (0.16795774988702675, 1), (0.14051742371031906, 1), (0.1481687483974155, 1), (0.14060132670586634, 1), (0.9429308304832262, 1), (0.1851754776406276, 1), (0.19772084181514502, 1), (0.16357400941735412, 1), (0.8072044377789169, 1), (0.13877020209196717, 1), (0.21546411362203918, 1), (0.1851754776406266, 1), (0.8027199252419561, 1), (0.8128723711755395, 1), (0.14060132670586334, 1), (0.1406013267058759, 1), (0.1928449239817162, 1), (0.17087844452518686, 1), (0.9547865653657963, 1), (0.14060132670587427, 1), (0.8116045192125634, 1), (0.14051742371056214, 1), (0.17087844452521878, 1), (1.0, 1), (0.1405174237103391, 1), (0.9490431045929006, 1), (0.8027199252390749, 1), (0.1405174237103457, 1)]",CysO-SH
cysO_c,31.824465090040068,3.073515482478067e-06,"[(0.018356022088639762, 17), (0.033079477996607806, 1), (0.19586979238325145, 1), (0.9603435100003922, 1), (0.9602126571003992, 1), (0.03307947799660652, 1), (0.9626038138947662, 1), (0.041613582890610665, 1), (0.7954298364296687, 1), (0.9638305699298694, 1), (0.02716162130068038, 1), (0.02504451622376794, 1), (0.9637320999262877, 1), (0.7968772225450924, 1), (0.025044516223804505, 1), (0.9999999999999934, 1), (0.9626038138947692, 1), (0.7954298364263138, 1)]",CysO
cysOcys__L_c,28.058401328486344,8.372984702300997e-06,"[(0.2871419903599485, 1), (0.34810570285743964, 1), (0.1945592630359267, 1), (0.9174987935197569, 1), (0.21989996821443153, 1), (0.0022637479721217546, 1), (0.24165117962482988, 1), (0.1366769806792086, 1), (0.1429332276214743, 1), (0.13679939547799852, 1), (0.9915053307084791, 1), (0.24937989552141407, 1), (0.26158238580068993, 1), (0.2178758704691509, 1), (0.9945726585505894, 1), (0.21245599789216096, 1), (0.2720337799912398, 1), (0.24937989552141313, 1), (0.8550382629513331, 1), (0.9282162833446796, 1), (0.21101584558890896, 1), (0.20890955159671726, 1), (0.28290301893320463, 1), (0.2618531375107583, 1), (1.0, 1), (0.13679939547800285, 1), (0.7881688097683931, 1), (0.20878713679814603, 1), (0.27677770524115897, 1), (0.9593315764041239, 1), (0.1366769806792257, 1), (0.9224625024318811, 1), (0.7808218128376112, 1), (0.2109954431224509, 1)]",CysO-Cysteine
hdcea_c,8.942394664877634,0.005323721007798109,"[(0.18694810297175848, 1), (0.46009953878905563, 1), (0.1094355552433311, 1), (0.8516017263884494, 1), (0.14537652025893666, 1), (0.8734626700487287, 1), (0.3199484960504744, 1), (0.07192243217507029, 1), (0.9474179163964616, 1), (0.07346101089415648, 1), (0.02632521178532983, 1), (0.18885446741067347, 1), (0.1295424111656987, 1), (0.6792509417939054, 1), (0.8158256913054145, 1), (0.2903051858349617, 1), (0.14537652025893663, 1), (0.1462728454351002, 1), (0.7597734327869483, 1), (0.9487775815484727, 1), (0.759773432786883, 1), (0.07346101089423109, 1), (0.18147564884710735, 1), (0.18032171480792364, 1), (0.8009082806190262, 1), (0.8516017263885594, 1), (0.9495426203415651, 1), (0.7639076610405986, 1), (0.1481505090877713, 1), (0.8734626700487556, 1), (0.8516017263884474, 1), (0.901789155644279, 1), (0.8516017263884741, 1), (0.7579601078682738, 1)]",Hexadecenoate-n-C161
1hdecg3p_c,8.939613029287164,0.0053300376230199726,"[(0.3993252157360263, 1), (0.6247390541211795, 1), (0.26036264049632146, 1), (0.8535430955318247, 1), (0.35564628637707746, 1), (0.8821548403167896, 1), (0.4729704783012062, 1), (0.047340418873410395, 1), (0.953649676118369, 1), (0.06765879599722663, 1), (0.0012404437580128547, 1), (0.401250551156604, 1), (0.3413482573324982, 1), (0.6860104348361014, 1), (0.8003943745612827, 1), (0.4532550108379609, 1), (0.3556462863770774, 1), (0.3582451827277541, 1), (0.7608009824956516, 1), (0.9401295859434313, 1), (0.7608009824955213, 1), (0.06765879599730212, 1), (0.3940841778629841, 1), (0.3924470440504754, 1), (0.790566795247527, 1), (0.8535430955319279, 1), (0.9371050311726783, 1), (0.7462118646758806, 1), (0.35995569002010896, 1), (0.8821548403168151, 1), (0.8347786081285562, 1), (0.8872132951142324, 1), (0.8618816195396821, 1), (0.7402051250648114, 1)]",1-hexadecanoyl-sn-glycerol-3-phosphate
pa160190_c,8.64521614247858,0.006046462470750338,"[(0.8011514575261297, 1), (0.8015910616144115, 1), (0.6369233343110898, 1), (0.8905351526128554, 1), (0.7632425822079093, 1), (0.8920597666628297, 1), (0.7171459183045203, 1), (0.551249744059997, 1), (0.9785815822745962, 1), (0.5563911937522666, 1), (0.4311737587297942, 1), (0.7877224315958372, 1), (0.7527843392347292, 1), (0.8028282428992268, 1), (0.9122235772406863, 1), (0.7123291727999859, 1), (0.7632425822079092, 1), (0.7681580981369386, 1), (0.876933573778468, 1), (0.9764895025067342, 1), (0.8769335737783108, 1), (0.5563911937523256, 1), (0.7967296771893833, 1), (0.7946342014433935, 1), (0.9088531928724051, 1), (0.8905351526129675, 1), (0.9745477470481899, 1), (0.863720460810075, 1), (0.7664436562177176, 1), (0.8920597666628549, 1), (0.8806353458982948, 1), (0.9517199093102406, 1), (0.8943285781828475, 1), (0.8664530930619375, 1)]",1-2-sn-glycerol-3-phosphate
12dgr160_c,8.483684167124322,0.006483087780628403,"[(0.6027622368412374, 1), (0.7364232019452724, 1), (0.5234704602316309, 1), (0.8825756106744502, 1), (0.5627775798395693, 1), (0.8735751878392131, 1), (0.6314403174166897, 1), (0.49835050419667204, 1), (0.9174236767838504, 1), (0.5095707543974257, 1), (0.30084666310249863, 1), (0.587771417003734, 1), (0.5482701578469222, 1), (0.8374042013434801, 1), (0.9074064195927865, 1), (0.6262487965192691, 1), (0.5627775798395698, 1), (0.5654318828390793, 1), (0.8615731248549994, 1), (0.9730455892838425, 1), (0.8615731248548815, 1), (0.44613260293269985, 1), (0.5987456611359663, 1), (0.5978579003199276, 1), (0.8337668398862419, 1), (0.8825756106745586, 1), (0.909172023597748, 1), (0.8532623972532667, 1), (0.5663887984809313, 1), (0.8735751878392419, 1), (0.808706329734458, 1), (0.9514961697630737, 1), (0.8868102111273719, 1), (0.8502119602391868, 1)]",1-2-Diacyl-sn-glycerol-dihexadecanoyl-n-C160
pa160_c,8.280667407878834,0.007080662090626778,"[(0.7170246067582765, 1), (0.834131602043348, 1), (0.6201055696968439, 1), (0.8757165125937298, 1), (0.6768354525145702, 1), (0.9318358170168382, 1), (0.7314106045765971, 1), (0.47962273241130593, 1), (0.9770387812389927, 1), (0.49118957497750676, 1), (0.34141576752851444, 1), (0.7015707220501627, 1), (0.6613645854269529, 1), (0.8291497631116623, 1), (0.9013143426252249, 1), (0.7314106045765922, 1), (0.6768354525145706, 1), (0.6790564343248794, 1), (0.85406526216477, 1), (0.9689810994629107, 1), (0.8540652621646226, 1), (0.49118957497758153, 1), (0.713682156518155, 1), (0.7129994004576219, 1), (0.8907977933227217, 1), (0.8757165125938411, 1), (0.9685322353414599, 1), (0.8454978170490067, 1), (0.6805582213253718, 1), (0.931835817016868, 1), (0.8649631666104922, 1), (0.9467660206072763, 1), (0.8800819194156193, 1), (0.8423531523518161, 1)]",1-2-dihexadecanoyl-sn-glycerol-3-phosphate
bccp_c,8.093217942208904,0.007685398872094538,"[(0.37431512459583977, 9), (0.3877804523513062, 1), (0.4075718871443024, 1), (0.4954947542113242, 1), (0.8638724851052602, 1), (0.3743151245958402, 1), (0.4954947542113267, 1), (0.0, 1), (0.8769330458024267, 1), (0.0004344227970681791, 1), (0.8632462809048304, 1), (0.3877804523513082, 1), (0.3877804523513056, 1), (0.4554826123571563, 1), (0.37431512459583954, 1), (0.3877804523513061, 1), (0.863872485105275, 1), (0.38293182942929177, 1), (0.38021668694819105, 1), (0.8907816471635461, 1), (0.000434422797067624, 1), (0.8634380623081415, 1), (0.38021668694817445, 1), (0.9999999999999927, 1), (0.870279035279293, 1), (0.8638724851052703, 1)]",[Acetyl-CoA:carbon-dioxide ligase (ADP-forming)]
ocdcea_e,7.171020008556824,0.011594505245298843,"[(0.2753601061877787, 28), (0.27473727943045523, 1), (0.26300815951953593, 1), (0.273400433925676, 1), (0.27621742156585255, 1), (0.35917056545363285, 1), (0.45214348052270126, 1)]",(9Z)-Octadecenoic acid
