,F_value,pvalue,value_counts,subsystem,name,genes,reaction,alleles_sim
ORNt,inf,0.0,"[(0.9999999999999999, 34)]",Transport,ORNt,['Rv2320c'],orn_e <=> orn_c,
OXCDC,13.136463035496831,0.0009928512309908967,"[(0.9999999999997313, 5), (0.9999999999997329, 3), (0.9999999999997389, 2), (0.9999999999997284, 2), (0.7105727114255039, 2), (0.9999999999997404, 1), (0.9999999999997435, 1), (0.999999999999736, 1), (0.999999999999742, 1), (0.9999999999997344, 1), (0.7105727114257007, 1), (0.9999999999997162, 1), (0.9999999999997298, 1), (0.9999999999997373, 1), (0.14594684837269165, 1), (0.145946848372689, 1), (0.08772843009796363, 1), (0.9999999999997071, 1), (0.9999999999997857, 1), (0.999999999999932, 1), (0.062247728279009144, 1), (0.1459468483726811, 1), (0.08772843009845124, 1), (0.7105727114253749, 1), (0.7105727114254948, 1)]",Glyoxylate Metabolism,Oxalyl-CoA decarboxylase,['Rv0118c'],h_c + oxalcoa_c --> co2_c + forcoa_c,['Rv0118c']
DHAD2,12.8,0.0011278727736342864,"[(0.6666666666666666, 34)]","Valine, Leucine, and Isoleucine Metabolism","Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)",['Rv0189c'],23dhmp_c --> 3mop_c + h2o_c,
LO,12.434450492049496,0.0012971495417364953,"[(0.8680657019845457, 1), (0.693444076196269, 1), (0.9999999999999998, 1), (0.891442586058443, 1), (0.8680657019845768, 1), (0.7595082880443182, 1), (0.7595082880443171, 1), (0.6123100221852784, 1), (0.999999999999037, 1), (0.9999999999986608, 1), (0.8680657019846012, 1), (0.8680657019846116, 1), (0.8680657019845923, 1), (0.8680657019846383, 1), (0.5769861591547507, 1), (0.6934440761962561, 1), (0.6123100221860838, 1), (0.9999999999974616, 1), (0.9999999999986748, 1), (0.5803540855372793, 1), (0.9999999999987221, 1), (0.7122883835513627, 1), (0.8680657019846045, 1), (0.868065701984603, 1), (0.3488499641670739, 1), (0.9999999999987101, 1), (0.6123100221860913, 1), (0.868065701984978, 1), (0.8680657019852305, 1), (0.05500590542219019, 1), (0.5803540855372573, 1), (0.34884996416704794, 1), (0.7442443201999409, 1), (0.6123100221861042, 1)]",Pyruvate Metabolism,LO,[],lac__L_c + o2_c --> ac_c + co2_c + h2o_c,
AKGDb,12.274217026233638,0.0013797486512668235,"[(0.4071884793289083, 2), (3.3565699751608407e-12, 2), (0.4071884793289045, 2), (0.40718847932891206, 1), (0.36976831815124633, 1), (0.40718847932914265, 1), (0.3218200577762964, 1), (0.3218200577762852, 1), (0.32182005777628137, 1), (0.22156543798337608, 1), (0.4071884793290066, 1), (0.40718847932894614, 1), (0.4071884793289139, 1), (0.4071884793289235, 1), (0.4071884793289196, 1), (0.40718847932890834, 1), (0.33115459557653, 1), (0.36976831815115174, 1), (0.22156543798337788, 1), (0.4071884793288308, 1), (0.4071884793288969, 1), (3.294211139871118e-12, 1), (3.3848904000047554e-12, 1), (0.40718847932887237, 1), (0.22156543798338546, 1), (0.407188479329188, 1), (0.4071884793289783, 1), (0.1181517768704383, 1), (3.403800628030204e-12, 1), (0.22156543798327957, 1), (0.22156543798337977, 1)]",Citric Acid Cycle,Oxoglutarate dehydrogenase (dihydrolipoamide S-succinyltransferase),['Rv2215'],coa_c + sdhlam_c --> dhlam_c + succoa_c,
AKGDH,12.274217026233513,0.001379748651266885,"[(0.4071884793289155, 2), (0.40718847932891233, 2), (3.356773673652563e-12, 2), (0.3697683181512377, 1), (0.40718847932913693, 1), (0.3218200577762984, 1), (0.4071884793289005, 1), (0.32182005777628997, 1), (0.32182005777628264, 1), (0.22156543798337647, 1), (0.40718847932900865, 1), (0.407188479328949, 1), (0.40718847932890934, 1), (0.40718847932891744, 1), (0.33115459557653015, 1), (0.36976831815114486, 1), (0.22156543798337533, 1), (0.4071884793288258, 1), (0.40718847932889546, 1), (0.4071884793289074, 1), (3.2959736203506785e-12, 1), (0.4071884793289035, 1), (3.3879822263565063e-12, 1), (0.40718847932887353, 1), (0.22156543798338538, 1), (0.4071884793291846, 1), (0.40718847932897984, 1), (0.11815177687043858, 1), (3.4033843711952274e-12, 1), (0.22156543798327485, 1), (0.22156543798337144, 1)]",Citric Acid Cycle,2-Oxogluterate dehydrogenase,[],akg_c + coa_c + nad_c --> co2_c + nadh_c + succoa_c,
EX_ppa,12.171062149604806,0.0014358919538529462,"[(0.9112354644874524, 2), (0.9112354644874504, 1), (0.4788197498259362, 1), (0.9121120224859217, 1), (0.556005678326972, 1), (0.5568822363249649, 1), (0.5568822363249689, 1), (0.5082956832685536, 1), (0.9112354644876152, 1), (0.9121120224854543, 1), (0.9112354644874211, 1), (0.911235464487412, 1), (0.9121120224855023, 1), (0.5300487667284051, 1), (0.47881974982586206, 1), (0.5082956832686287, 1), (0.9112354644872674, 1), (0.9112354644878259, 1), (0.20318675354546814, 1), (0.9112354644874249, 1), (0.20318675354543428, 1), (0.911235464487434, 1), (0.9112354644874302, 1), (0.12213525063401878, 1), (0.9112354644875421, 1), (0.5082956832686232, 1), (0.9112354644880235, 1), (0.91123546448774, 1), (0.09837029089682389, 1), (0.20318675354543345, 1), (0.12213525063397948, 1), (0.5082956832684565, 1), (0.5082956832686251, 1)]",Exchange,,[],ppa_e --> ,
EX_cytd,9.842451139046826,0.0036472568327835147,"[(0.9845297517775635, 1), (0.4539886435896736, 1), (0.8568158381660058, 1), (0.47978756571791625, 1), (0.8522672272169067, 1), (0.46431731749564364, 1), (0.5882614043669196, 1), (0.8113563914534752, 1), (0.8568158381662043, 1), (0.9999999999997136, 1), (0.9845297517775697, 1), (0.8413455899436952, 1), (0.9845297517775415, 1), (0.9845297517775737, 1), (0.28133634887356984, 1), (0.577932730460992, 1), (0.8222780287273062, 1), (0.9999999999998752, 1), (0.8568158381653823, 1), (0.5322424105785921, 1), (0.8568158381659667, 1), (0.4237685719295605, 1), (0.8413455899437037, 1), (0.8413455899436999, 1), (0.05854655707767842, 1), (0.8568158381659636, 1), (0.8113563914540591, 1), (0.8413455899437494, 1), (0.8413455899438331, 1), (0.0, 1), (0.5322424105785821, 1), (0.20520955633554006, 1), (0.8268266396761483, 1), (0.8113563914540582, 1)]",Exchange,,[],cytd_e --> ,
EX_akg,9.80206290489245,0.0037088346996110803,"[(0.5858088620048088, 2), (0.5858088620048019, 2), (0.585808862004803, 1), (0.4609989112957877, 1), (0.585808862004813, 1), (0.46099891129570897, 1), (0.5858088620047857, 1), (0.4609989112957094, 1), (0.4609989112957114, 1), (0.5858088620042805, 1), (0.5858088620049826, 1), (0.5858088620047506, 1), (0.5858088620048065, 1), (0.5858088620048016, 1), (0.5858088620048083, 1), (0.30447228388725195, 1), (0.46099891129571074, 1), (0.5858088620048068, 1), (0.5858088620048052, 1), (0.5858088620043895, 1), (0.326995142225399, 1), (0.5858088620048054, 1), (0.32699514222535203, 1), (0.5858088620048076, 1), (0.19655628605170355, 1), (0.5858088620048056, 1), (0.58580886200469, 1), (0.06860474062523636, 1), (0.3269951422254012, 1), (0.19655628605172099, 1), (0.5858088620046775, 1), (0.5858088620048099, 1)]",Exchange,,[],akg_e --> ,
MAK,9.461960784313751,0.004273957462329567,"[(0.875, 14), (0.75, 9), (0.625, 6), (0.6875, 2), (0.8125, 1), (1.0, 1), (0.78125, 1)]",Others,RXN-12960,['Rv0127'],atp_c + malt_c <=> adp_c + h_c + malt1p_c,
