,F_value,pvalue,value_counts,name
3mob_c,16.82786939956494,0.00026260360173219243,"[(0.7754483760267534, 1), (0.6578372540710682, 1), (0.7783452327461238, 1), (0.5689465292792055, 1), (0.7754483760267836, 1), (0.5718433859982102, 1), (0.5718433859982233, 1), (0.44253862697654883, 1), (0.7754483760270015, 1), (0.775448376026769, 1), (0.7783452327457776, 1), (0.7754483760266824, 1), (0.7754483760266992, 1), (0.7783452327459042, 1), (0.5187228294511181, 1), (0.6578372540710304, 1), (0.4425386269775033, 1), (0.7754483760266249, 1), (0.775448376027261, 1), (0.33574670104968946, 1), (0.7754483760267237, 1), (0.33574670104967835, 1), (0.7754483760267297, 1), (0.7754483760267323, 1), (0.20181683484137697, 1), (0.7754483760266968, 1), (0.4425386269774653, 1), (0.7754483760272226, 1), (0.77544837602709, 1), (0.11029624381037595, 1), (0.3357467010496728, 1), (0.20181683484134122, 1), (0.44253862697741825, 1), (0.44253862697752094, 1)]",3-Methyl-2-oxobutanoate
23dhmb_c,16.82786939956488,0.00026260360173219763,"[(0.7754483760267534, 1), (0.6578372540710682, 1), (0.7783452327461238, 1), (0.5689465292792055, 1), (0.7754483760267845, 1), (0.5718433859982102, 1), (0.5718433859982233, 1), (0.44253862697654883, 1), (0.7754483760270015, 1), (0.775448376026769, 1), (0.7783452327457798, 1), (0.7754483760266824, 1), (0.7754483760266992, 1), (0.7783452327459042, 1), (0.5187228294511181, 1), (0.6578372540710304, 1), (0.4425386269775036, 1), (0.7754483760266249, 1), (0.775448376027261, 1), (0.33574670104968946, 1), (0.7754483760267237, 1), (0.33574670104967835, 1), (0.7754483760267297, 1), (0.7754483760267323, 1), (0.20181683484137697, 1), (0.7754483760266968, 1), (0.4425386269774653, 1), (0.7754483760272226, 1), (0.77544837602709, 1), (0.11029624381037595, 1), (0.3357467010496728, 1), (0.20181683484134122, 1), (0.44253862697741825, 1), (0.4425386269775213, 1)]",R-2-3-Dihydroxy-3-methylbutanoate
alac__S_c,13.945474082315028,0.0007340312603259667,"[(0.6965629418510395, 2), (0.6965629418510535, 1), (0.5832675218580097, 1), (0.6965629418515065, 1), (0.6871233121968419, 1), (0.6965629418510673, 1), (0.6871233121968181, 1), (0.6871233121968199, 1), (0.29450398260332894, 1), (0.6965629418513049, 1), (0.6965629418510528, 1), (0.6965629418510144, 1), (0.6965629418510362, 1), (0.6965629418511354, 1), (0.6264675682899612, 1), (0.5832675218579806, 1), (0.29450398260379534, 1), (0.6965629418508807, 1), (0.6965629418514923, 1), (0.4054851790320276, 1), (0.6965629418510424, 1), (0.4054851790319917, 1), (0.6965629418510548, 1), (0.2437365286136502, 1), (0.6965629418509891, 1), (0.29450398260381033, 1), (0.6965629418516264, 1), (0.6965629418515056, 1), (0.10808956962324173, 1), (0.4054851790320065, 1), (0.24373652861362055, 1), (0.2945039826036308, 1), (0.29450398260380356, 1)]",S-2-Acetolactate
cysOamp_c,13.823913581872297,0.000767802108406323,"[(0.0, 17), (0.8882439016561416, 1), (1.0, 1), (0.8490447363546807, 1), (0.7217791847164065, 1), (0.8557270466460424, 1), (0.8843528410188813, 1), (0.8843528410186641, 1), (0.8843528410187301, 1), (0.7847593651620809, 1), (0.773950923516981, 1), (0.8843528410187398, 1), (0.7849254258336847, 1), (0.676721899082715, 1), (0.884352841018713, 1), (0.7849254258335125, 1), (0.6969214198874571, 1), (0.7562996314613167, 1)]",CysO-amp
ppap_c,12.737631891652606,0.0011549930775994037,"[(0.4046700111278617, 2), (0.9993651756259446, 1), (0.6042900529693404, 1), (0.9999999999999999, 1), (0.6601899578605174, 1), (0.9993651756259313, 1), (0.6608247822342198, 1), (0.6608247822342238, 1), (0.7075464998070108, 1), (0.999365175626182, 1), (0.9993651756258982, 1), (0.999999999999655, 1), (0.9993651756259155, 1), (0.9993651756259129, 1), (0.9999999999996935, 1), (0.5386673065968239, 1), (0.6042900529692873, 1), (0.7075464998073145, 1), (0.9993651756258214, 1), (0.9993651756259553, 1), (0.4046700111278856, 1), (0.999365175625926, 1), (0.9993651756259286, 1), (0.99936517562593, 1), (0.2432465324178158, 1), (0.9993651756260135, 1), (0.7075464998073105, 1), (0.9993651756263623, 1), (0.9993651756261991, 1), (0.07124212938859781, 1), (0.2432465324177866, 1), (0.7075464998071327, 1), (0.7075464998073119, 1)]",Propanoyl phosphate
4hoxoh_c,12.560484690233292,0.0012359019271241352,"[(0.6154793614835068, 2), (0.9650349415520878, 1), (0.5477397229191538, 1), (0.9657955850398843, 1), (0.6147187179961207, 1), (0.9650349415520938, 1), (0.615379218718721, 1), (0.9650349415522919, 1), (0.9650349415520714, 1), (0.9657955850394804, 1), (0.9650349415520527, 1), (0.9650349415520503, 1), (0.9657955850395439, 1), (0.5394442589350827, 1), (0.5477397229190861, 1), (0.6153792187190503, 1), (0.965034941551931, 1), (0.9650349415523662, 1), (0.30855595640307093, 1), (0.9650349415520663, 1), (0.3085559564030436, 1), (0.9650349415520734, 1), (0.9650349415520676, 1), (0.18547251930708414, 1), (0.9650349415521684, 1), (0.615379218719041, 1), (0.9650349415525841, 1), (0.9650349415523263, 1), (0.09476212194740019, 1), (0.3085559564030402, 1), (0.18547251930704506, 1), (0.615379218718926, 1), (0.615379218719043, 1)]",4-Hydroxy-2-oxohexanoic acid
hhd_c,12.560484690233292,0.0012359019271241352,"[(0.6154793614835068, 2), (0.9650349415520878, 1), (0.5477397229191538, 1), (0.9657955850398843, 1), (0.6147187179961207, 1), (0.9650349415520934, 1), (0.615379218718721, 1), (0.9650349415522919, 1), (0.9650349415520714, 1), (0.9657955850394799, 1), (0.9650349415520527, 1), (0.9650349415520503, 1), (0.9657955850395439, 1), (0.5394442589350827, 1), (0.5477397229190861, 1), (0.6153792187190501, 1), (0.965034941551931, 1), (0.9650349415523662, 1), (0.30855595640307093, 1), (0.9650349415520663, 1), (0.3085559564030436, 1), (0.9650349415520734, 1), (0.9650349415520676, 1), (0.18547251930708414, 1), (0.9650349415521684, 1), (0.615379218719041, 1), (0.9650349415525841, 1), (0.9650349415523263, 1), (0.09476212194740019, 1), (0.3085559564030402, 1), (0.18547251930704506, 1), (0.615379218718926, 1), (0.6153792187190428, 1)]","(2Z,4Z)-2-Hydroxyhexa-2,4-dienoic acid"
ppa_c,12.171062149604925,0.0014358919538528818,"[(0.9112354644874524, 2), (0.9112354644874504, 1), (0.4788197498259362, 1), (0.9121120224859215, 1), (0.5560056783269719, 1), (0.5568822363249649, 1), (0.5568822363249689, 1), (0.5082956832685536, 1), (0.9112354644876152, 1), (0.9121120224854543, 1), (0.9112354644874215, 1), (0.911235464487412, 1), (0.9121120224855023, 1), (0.530048766728405, 1), (0.47881974982586206, 1), (0.5082956832686287, 1), (0.9112354644872674, 1), (0.9112354644878259, 1), (0.20318675354546814, 1), (0.9112354644874249, 1), (0.20318675354543428, 1), (0.911235464487434, 1), (0.9112354644874304, 1), (0.12213525063401878, 1), (0.9112354644875419, 1), (0.5082956832686232, 1), (0.9112354644880235, 1), (0.9112354644877397, 1), (0.09837029089682389, 1), (0.20318675354543334, 1), (0.12213525063397937, 1), (0.5082956832684565, 1), (0.5082956832686251, 1)]",Propionate-n-C30
ppa_e,12.171062149604904,0.0014358919538528894,"[(0.9112354644874524, 2), (0.9112354644874504, 1), (0.4788197498259362, 1), (0.9121120224859217, 1), (0.556005678326972, 1), (0.5568822363249649, 1), (0.5568822363249689, 1), (0.5082956832685536, 1), (0.9112354644876152, 1), (0.9121120224854543, 1), (0.9112354644874211, 1), (0.911235464487412, 1), (0.9121120224855023, 1), (0.5300487667284051, 1), (0.47881974982586206, 1), (0.5082956832686287, 1), (0.9112354644872674, 1), (0.9112354644878259, 1), (0.20318675354546814, 1), (0.9112354644874249, 1), (0.20318675354543428, 1), (0.911235464487434, 1), (0.9112354644874304, 1), (0.12213525063401878, 1), (0.9112354644875421, 1), (0.5082956832686232, 1), (0.9112354644880235, 1), (0.91123546448774, 1), (0.09837029089682389, 1), (0.20318675354543345, 1), (0.12213525063397948, 1), (0.5082956832684565, 1), (0.5082956832686251, 1)]",Propionate-n-C30
cdpc16c19g_c,11.895788279032017,0.0015980378414032863,"[(0.3763398761165766, 1), (0.4691870137651015, 1), (0.6681811046556001, 1), (0.28105499362119535, 1), (0.4489702842689358, 1), (0.2277773535881098, 1), (0.3250969289151401, 1), (0.5711842518499279, 1), (0.24153944954826945, 1), (0.5482385598419156, 1), (0.6689303171243216, 1), (0.4489702842689418, 1), (0.8493150632533609, 1), (0.3761472029261067, 1), (0.19693341250821822, 1), (0.5074869801728179, 1), (0.36040148060934385, 1), (0.6681811046555719, 1), (0.3641921059090625, 1), (0.14947527375613817, 1), (0.3641921059091705, 1), (0.32050029358507237, 1), (0.3763398761165646, 1), (0.37633987611659225, 1), (0.0, 1), (0.31292035720032696, 1), (0.34371503656321956, 1), (0.3763398761167096, 1), (0.8493150632535352, 1), (0.04044683218094902, 1), (0.14947527375613362, 1), (0.009092598652405526, 1), (0.3391821268522217, 1), (0.39498678527206055, 1)]",cdp-diacylglycerol-C160-C190
