,F_value,pvalue,value_counts,name
adocbl_e,27.0,1.7985245242361115e-05,"[(0.49999999999999994, 29)]",Cobamide coenzyme
co1dam_c,11.187325017953102,0.0024290266390082894,"[(0.5985923027792059, 2), (0.595779212749878, 2), (0.5852643784940776, 2), (0.598707056579046, 2), (0.5853380381768387, 1), (0.5979087780609066, 1), (0.598345191532016, 1), (0.5985923027791871, 1), (0.5839207455558473, 1), (0.5984828849174083, 1), (0.6014033013408765, 1), (0.6017090397586372, 1), (0.5983451915320028, 1), (0.6014033013408798, 1), (0.5987070565790461, 1), (0.5987070565790513, 1), (0.5957792127498779, 1), (0.5953678466449639, 1), (0.5955145823773688, 1), (0.5954551263328928, 1), (0.5839207455558472, 1), (0.5985940507165198, 1), (0.5869151632395349, 1), (0.5951711221042121, 1), (0.5851699319189432, 1)]",Cob-I-yrinate-a-c-diamide
sucglu_c,10.619191356159435,0.0030195967005457202,"[(0.2663748606054685, 1), (0.554041798659048, 1), (0.7588117319113241, 1), (0.349064880218005, 1), (0.47684321656054257, 1), (0.5155859863241314, 1), (0.4601340466206341, 1), (0.28591538437448377, 1), (0.4514337441155181, 1), (0.7099588506465446, 1), (0.4100658625492553, 1), (0.6271009458993269, 1), (0.47684321656054757, 1), (0.8938853356447813, 1), (0.41006586254925564, 1), (0.41006586254925576, 1), (0.4100658625492463, 1), (0.34906488021800314, 1), (0.42497699232040104, 1), (0.39789887568737387, 1), (0.4088706933914243, 1), (0.738418844317293, 1), (0.43091958288741766, 1), (0.349064880218015, 1), (0.4100658625492524, 1), (0.0, 1), (0.4612798748681504, 1), (0.410065862549234, 1), (0.3490648802180057, 1)]",N2-Succinyl-L-glutamate
n6hlysmal_c,9.751660739368717,0.004243445288988168,"[(0.0, 21), (0.612745557848668, 1), (0.33217173081030715, 1), (0.8716980991096932, 1), (0.9438397638409343, 1), (0.5404400287426919, 1), (0.5074334638268392, 1), (0.3962945082795429, 1), (0.8255137505283777, 1)]",N6-Hydroxy-L-lysine coupled to malonyl group
co2dam_c,9.694142381268248,0.004341797760683269,"[(0.5958736593250125, 7), (0.5852643784940778, 6), (0.598707056579046, 3), (0.5987070565790461, 2), (0.5864047288787836, 1), (0.5958736593249935, 1), (0.5958736593250124, 1), (0.5987070565790401, 1), (0.5987070565790404, 1), (0.5987070565790329, 1), (0.5987070565790444, 1), (0.5987070565790513, 1), (0.5958736593250038, 1), (0.5987070565790901, 1), (0.5958736593250118, 1)]",Cob-II-yrinate-a-c-diamide
gln__L_c,9.388930317333472,0.004906873152269689,"[(0.2132920131311661, 1), (0.6159413928563682, 1), (0.7659136461987965, 1), (0.46581754482093474, 1), (0.6168431545703029, 1), (0.5877765898582884, 1), (0.5471639265758472, 1), (0.20448502191360654, 1), (0.5982334115367481, 1), (0.7875756267548535, 1), (0.5679358267499629, 1), (0.7268910014057612, 1), (0.6168431545703075, 1), (0.9222822654026016, 1), (0.5679358267499633, 1), (0.5679358267499557, 1), (0.5679358267499411, 1), (0.4658175448209315, 1), (0.5214151138935086, 1), (0.5015832660082945, 1), (0.5096189585448132, 1), (0.20448502191360554, 1), (0.5832089646573216, 1), (0.46581754482093807, 1), (0.5679358267499592, 1), (0.0, 1), (0.5480031242133933, 1), (0.5679358267499471, 1), (0.4658175448209354, 1)]",L-Glutamine
pre8_c,8.698320084454236,0.006503817998122008,"[(0.13613310511371238, 3), (0.1412492708254552, 2), (0.1426156339286511, 2), (0.12733443665642263, 1), (0.05427445372582769, 1), (0.054274453725827496, 1), (0.032412644074693006, 1), (0.1412492708254551, 1), (0.03241264407469248, 1), (0.03241264407469281, 1), (0.032412644074692964, 1), (0.03241264407469302, 1), (0.03241264407469269, 1), (0.032412644074692895, 1), (0.03241264407469341, 1), (0.14261563392865106, 1), (0.054274453725828134, 1), (0.054274453725827426, 1), (0.13613310511371293, 1), (0.032412644074404445, 1), (0.14124927082545527, 1), (0.14261563392865112, 1), (0.13625008175373246, 1), (0.05427445372582583, 1), (0.14124927082545516, 1)]",Precorrin-8
glu5p_c,8.653554716769413,0.006625301937774319,"[(0.1826219532089328, 1), (0.6517055681695488, 1), (0.7700169704762804, 1), (0.5332745745363404, 1), (0.6977319292342282, 1), (0.6294866759136115, 1), (0.5974478084746745, 1), (0.15743641365321967, 1), (0.6830509149412675, 1), (0.8324208317029265, 1), (0.6591494954270354, 1), (0.784547422032162, 1), (0.6977319292341706, 1), (0.9386893644698896, 1), (0.6591494954270366, 1), (0.6591494954270339, 1), (0.6591494954270282, 1), (0.5332745745363391, 1), (0.5771348634579366, 1), (0.5614897445686715, 1), (0.5678290108750286, 1), (0.157436413653221, 1), (0.671198299944, 1), (0.5332745745363473, 1), (0.6591494954270344, 1), (0.0, 1), (0.5981098419315036, 1), (0.6591494954270242, 1), (0.5332745745363424, 1)]",L-Glutamate-5-phosphate
phdca_c,8.166521460903587,0.00811926057454108,"[(0.0, 5), (0.42627639929130967, 1), (0.49646628589988123, 1), (0.5925569916799609, 1), (0.41559905238612965, 1), (0.47579982891447625, 1), (0.4922852480750002, 1), (0.5411354722104961, 1), (0.6196552150634889, 1), (0.4533777498226567, 1), (0.5925569916799626, 1), (0.5411354722104849, 1), (0.5490465066022047, 1), (0.6196552150634942, 1), (0.5490465066021947, 1), (0.462029001558834, 1), (0.48674971931686184, 1), (0.29163697108978887, 1), (0.44117374896729944, 1), (0.6224329828266605, 1), (0.24702123395398926, 1), (0.3663063958753212, 1), (0.325852240530728, 1), (0.24506872745988206, 1), (0.46202900155883436, 1)]",phenol-palmitic-acid
phdca_e,8.16652146090358,0.008119260574541097,"[(0.0, 5), (0.42627639929130967, 1), (0.49646628589988123, 1), (0.5925569916799609, 1), (0.41559905238612965, 1), (0.47579982891447625, 1), (0.4922852480750003, 1), (0.5411354722104961, 1), (0.619655215063489, 1), (0.4533777498226568, 1), (0.5925569916799626, 1), (0.541135472210485, 1), (0.5490465066022047, 1), (0.6196552150634942, 1), (0.5490465066021948, 1), (0.46202900155883403, 1), (0.48674971931686184, 1), (0.29163697108978887, 1), (0.4411737489672995, 1), (0.6224329828266605, 1), (0.24702123395398926, 1), (0.3663063958753212, 1), (0.32585224053072803, 1), (0.24506872745988212, 1), (0.4620290015588344, 1)]",phenol-palmitic-acid
