,F_value,pvalue,value_counts,name
no2_e,27.0,1.7985245242361115e-05,"[(0.9999999999999999, 29)]",Nitrite
ncam_c,16.67594166621178,0.00035461760883162633,"[(0.6102217694460479, 1), (0.6367395757883978, 1), (0.6105434654258931, 1), (0.39159941055015, 1), (0.6603285294495053, 1), (0.6659316194313596, 1), (0.6381508902170682, 1), (0.3915994105501548, 1), (0.7168497775257487, 1), (0.7168497775243001, 1), (0.660328529449838, 1), (0.6875354509743721, 1), (0.46214584830173955, 1), (0.7160383794350125, 1), (0.07556681284612721, 1), (0.743645804226208, 1), (0.08331727476565376, 1), (0.406435998316253, 1), (0.37806670961833844, 1), (0.39393579803486845, 1), (0.027607424791233903, 1), (0.6379248128946515, 1), (0.9999999999999999, 1), (0.6860255666554032, 1), (0.027607424791186608, 1), (0.35264469683010924, 1), (0.3915994105501538, 1), (0.29693484684464333, 1), (0.0276074247911825, 1)]",Nicotinamide
2sephchc_c,15.92263192788008,0.0004540490560170666,"[(0.6395508199527191, 1), (0.697162992296207, 1), (0.6675138380777861, 1), (0.5207967083264544, 1), (0.7219443922434334, 1), (0.6744825101081986, 1), (0.6971629922962554, 1), (0.5207967083264599, 1), (0.7837396899960423, 1), (0.7837396899975684, 1), (0.7219443922433835, 1), (0.7215925977779143, 1), (0.5056443103537432, 1), (0.7219443922436583, 1), (0.05320846615064467, 1), (0.7496724680795943, 1), (0.05320846615177088, 1), (0.5056443103537509, 1), (0.49453955115986836, 1), (0.9237194343919726, 1), (0.053208466150635014, 1), (0.6744825101082379, 1), (0.555714076444241, 1), (0.6971629922962517, 1), (0.053208466150631906, 1), (0.41949714564392016, 1), (0.5207967083264555, 1), (0.4194971456439468, 1), (0.053208466150631684, 1)]",2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate
hphthiocnylcoa_c,15.911385496209544,0.000455744387211012,"[(0.7784167390598293, 1), (0.8610848244961797, 1), (0.7756496053389432, 1), (0.5373392962373731, 1), (0.866863366884044, 1), (0.741745024614872, 1), (0.8479863372511754, 1), (0.5373392962373806, 1), (0.9723483949551142, 1), (0.9282540842574694, 1), (0.8668633668841774, 1), (0.9288538906274998, 1), (0.5495075507866934, 1), (0.8894612987238106, 1), (0.11635239506531136, 1), (0.861925040300348, 1), (0.16409783643797082, 1), (0.5495075507867084, 1), (0.5286949656590468, 1), (0.534469797619602, 1), (0.15291595020036564, 1), (0.7532740287870066, 1), (0.6223729403336488, 1), (0.8661309739372385, 1), (1.9984014443252818e-15, 1), (0.4415965976518921, 1), (0.5373392962373834, 1), (0.44159659765192105, 1), (0.0, 1)]",hydroxyphthioceranoyl-CoA
metsox__R__L_c,15.897370388316606,0.00045786664674016145,"[(0.799903271022986, 1), (0.8706596501521746, 1), (0.8876638837703379, 1), (0.687485788452612, 1), (0.940272808189253, 1), (0.7766245743013547, 1), (0.8633685292220029, 1), (0.6874857884526173, 1), (0.9684501891050349, 1), (0.9999999999999999, 1), (0.9402728081892421, 1), (0.929339887951019, 1), (0.6788034123787656, 1), (0.9402728081892567, 1), (0.26044802347500984, 1), (0.8865415853357428, 1), (0.09096362109261125, 1), (0.6788034123787869, 1), (0.6190629157984431, 1), (0.6293107599664497, 1), (0.1736872729064699, 1), (0.8284157414599469, 1), (0.6336670588198965, 1), (0.9038465380063547, 1), (0.17368727290645314, 1), (0.5864720033266223, 1), (0.6874857884526211, 1), (0.5864720033266408, 1), (0.28940488817370347, 1)]",L-methionine-R-sulfoxide
nac_c,15.654421562121655,0.00049640210859413,"[(0.8196868369941698, 1), (0.8553071604456228, 1), (0.8201189585168664, 1), (0.5260200443095034, 1), (0.8869932715983408, 1), (0.8196868369939085, 1), (0.8572029234582925, 1), (0.5260200443095097, 1), (0.9629160350562831, 1), (0.9629160350566133, 1), (0.886993271598788, 1), (0.9235392562971687, 1), (0.5459494475309009, 1), (0.8869932715983359, 1), (0.026673075092521703, 1), (0.9240772365397929, 1), (0.03708396493770261, 1), (0.5459494475309308, 1), (0.5078421008499402, 1), (0.5291584214753661, 1), (0.03708396494150468, 1), (0.8568992427071187, 1), (0.6302551380976305, 1), (0.8466782438356462, 1), (0.037083964941437175, 1), (0.39886086926126474, 1), (0.5260200443095073, 1), (0.3988608692613147, 1), (0.037083964941431846, 1)]",Nicotinate
34hpp_c,15.577034276909771,0.0005094010301064263,"[(0.6480081618563694, 1), (0.6790524035322254, 1), (0.6689938612091724, 1), (0.47445408635957376, 1), (0.7235450997331412, 1), (0.6420562909951213, 1), (0.6797514731160267, 1), (0.4744540863595792, 1), (0.7854774110799365, 1), (0.7854774110812535, 1), (0.723545099733153, 1), (0.7389610706601573, 1), (0.4655903711773427, 1), (0.7235450997331414, 1), (0.010757611906873521, 1), (0.7343027116399978, 1), (0.010757611906853759, 1), (0.465590371177349, 1), (0.4790832388527628, 1), (0.9799212498063813, 1), (0.010757611906861975, 1), (0.6420562909951892, 1), (0.559213238753836, 1), (0.6758704587939435, 1), (0.010757611906861309, 1), (0.39931539691628626, 1), (0.4744540863595754, 1), (0.3993153969163078, 1), (0.01075761190686153, 1)]",3-4-Hydroxyphenyl-pyruvate
phpyr_c,15.53098963109057,0.0005173092471694353,"[(0.7166945577011024, 2), (0.6377860954137711, 1), (0.6644282238376024, 1), (0.6626598115872764, 1), (0.4583786701161444, 1), (0.6316379119312965, 1), (0.6644282238376014, 1), (0.45837867011614997, 1), (0.7780404924665147, 1), (0.7780404924681705, 1), (0.7166945577011081, 1), (0.7317389355589486, 1), (0.44859016632001236, 1), (0.0017684122503415223, 1), (0.7184629699514298, 1), (0.0017684122503235367, 1), (0.4485901663200197, 1), (0.4631605075518047, 1), (0.980517832354493, 1), (0.001768412250329865, 1), (0.6316379119313554, 1), (0.5345133957021548, 1), (0.6644282238375991, 1), (0.001768412250330087, 1), (0.3907716504761546, 1), (0.4583786701161454, 1), (0.390771650476176, 1), (0.0017684122503307531, 1)]",Phenylpyruvate
ppap_c,15.412677025301265,0.0005382438214212011,"[(0.06460907223983225, 2), (0.7395722097443787, 1), (0.856783179253604, 1), (0.7966757282581243, 1), (0.3549598152966805, 1), (0.8616384285134955, 1), (0.7204088325014619, 1), (0.8612848004970023, 1), (0.3549598152966792, 1), (0.9353909277609467, 1), (0.9353909277623008, 1), (0.8616384285135452, 1), (0.8801906653749763, 1), (0.40908291003147557, 1), (0.8616384285134908, 1), (0.06460907223987467, 1), (0.9262475007523769, 1), (0.06460907223981627, 1), (0.4090829100314809, 1), (0.3381921514290621, 1), (0.3381921514290701, 1), (0.06460907223983758, 1), (0.7204088325016597, 1), (0.4432041867010731, 1), (0.8362932160782223, 1), (0.22230365596431412, 1), (0.35495981529668297, 1), (0.2223036559643592, 1)]",Propanoyl phosphate
nmn_c,15.337008411140623,0.0005521111931975412,"[(0.8660907503990826, 1), (0.8793529926918493, 1), (0.8715099637322193, 1), (0.6463105225805234, 1), (0.9278226929873089, 1), (0.8034530917528633, 1), (0.8797551295978959, 1), (0.646310522580533, 1), (0.9511467700642946, 1), (0.9511467700649227, 1), (0.8755018702351866, 1), (0.9734850239642884, 1), (0.7009378188380574, 1), (0.9278226929873103, 1), (0.1869506735080888, 1), (0.8837470361008863, 1), (0.0, 1), (0.6209811910211026, 1), (0.7251063591035312, 1), (0.7296280631178487, 1), (3.199218667759851e-12, 1), (0.8739843961765283, 1), (0.7692339078101595, 1), (0.8148849334075705, 1), (0.189159073505911, 1), (0.5611060690987633, 1), (0.6463105225805286, 1), (0.5611060690987824, 1), (3.183897590020024e-12, 1)]",Nicotinamide D-ribonucleotide
