,F_value,pvalue,value_counts,subsystem,name,genes,reaction,alleles_sim
LACZ,27.0,1.7985245242361115e-05,"[(0.9999999999999999, 29)]",Alternate Carbon Metabolism,B-galactosidase,[],h2o_c + lcts_c --> gal_c + glc__D_c,
HISt2r,13.5,0.0010407853299258798,"[(0.9954321538662644, 29)]",Transport,L histidine reversible transport via proton symport,[],h_e + his__L_e <=> h_c + his__L_c,
LYSt5r,13.5,0.0010407853299258798,"[(0.8962698007153806, 29)]",Transport,LYSt5r,['Rv2320c'],lys__L_e <=> lys__L_c,
FORMCOAL,9.310322174169974,0.005065025954162876,"[(1.0, 25), (0.0, 3), (0.9999918896168485, 1)]",Redox Metabolism,FORMCOAL,[],atp_c + coa_c + for_c <=> amp_c + forcoa_c + ppi_c,
GLXO1,9.310322174169944,0.005065025954162943,"[(0.0, 25), (0.9999999999999999, 3), (8.110383151484204e-06, 1)]",Glyoxylate Metabolism,GLXO1,[],glx_c + h2o_c + nad_c --> 2.0 h_c + nadh_c + oxa_c,
OXACOAL,9.310322174169944,0.005065025954162943,"[(0.0, 25), (0.9999999999999999, 3), (8.110383151484204e-06, 1)]",Glyoxylate Metabolism,OXACOAL,[],atp_c + coa_c + oxa_c <=> amp_c + oxalcoa_c + ppi_c,
OXCDC,9.310322174169944,0.005065025954162943,"[(0.0, 25), (1.0, 3), (8.110383151484204e-06, 1)]",Glyoxylate Metabolism,Oxalyl-CoA decarboxylase,['Rv0118c'],h_c + oxalcoa_c --> co2_c + forcoa_c,['Rv0118c']
ACCOAC,8.948011693846633,0.005869182865129107,"[(1.0, 15), (0.0, 14)]",Pyruvate Metabolism,Acetyl-CoA carboxylase,"['Rv3285', 'Rv2247']",accoa_c + atp_c + hco3_c <=> adp_c + h_c + malcoa_c + pi_c,['Rv2247']
ACCD3,8.285911880306063,0.007721806654226747,"[(0.0, 15), (0.6300865207358598, 1), (0.8042057472533214, 1), (0.6300865207345806, 1), (0.6300865207171091, 1), (0.4586040184632161, 1), (0.6719715066888791, 1), (0.6125594841578209, 1), (0.45860401860642397, 1), (0.6300865207293523, 1), (0.4586040184655427, 1), (0.8042057472345023, 1), (0.6300865207357869, 1), (0.8042057472392687, 1), (0.6327232449464906, 1)]",Mycolic acid pathway,ACCD3,['Rv0904c'],accoa_c + bccpco2_c --> accb_c + h_c + malcoa_c,
BIRA,8.285911880306017,0.00772180665422688,"[(6.012651440697566e-15, 13), (0.6300865207358619, 1), (0.8042057472533224, 1), (0.6300865207345827, 1), (0.6300865207171112, 1), (0.45860401846321924, 1), (0.671971506688881, 1), (0.6125594841578231, 1), (0.4586040186064272, 1), (0.6300865207293544, 1), (0.45860401846554594, 1), (0.8042057472345036, 1), (1.47417739026231e-15, 1), (0.630086520735789, 1), (3.62511101536429e-15, 1), (0.8042057472392699, 1), (0.6327232449464927, 1)]",Mycolic acid pathway,BIRA,['Rv3279c'],accb_c + atp_c + h2o_c --> amp_c + bccp_c + h_c + ppi_c,
ACCA3,8.285911880306017,0.00772180665422688,"[(6.012651440697567e-15, 13), (0.6300865207358619, 1), (0.8042057472533225, 1), (0.6300865207345827, 1), (0.6300865207171112, 1), (0.4586040184632193, 1), (0.671971506688881, 1), (0.6125594841578232, 1), (0.4586040186064272, 1), (0.6300865207293544, 1), (0.4586040184655459, 1), (0.8042057472345036, 1), (1.4848990921756369e-15, 1), (0.630086520735789, 1), (3.6251110153642905e-15, 1), (0.80420574723927, 1), (0.6327232449464928, 1)]",Mycolic acid pathway,ACCA3,['Rv3285'],atp_c + bccp_c + hco3_c --> adp_c + bccpco2_c + pi_c,
ALDD19x,6.75,0.0150003448262223,"[(2.457785369667596e-16, 29)]","Tyrosine, Tryptophan, and Phenylalanine Metabolism",,['Rv2858c'],h2o_c + nad_c + pacald_c --> 2.0 h_c + nadh_c + pac_c,
VALt2r,6.75,0.0150003448262223,"[(0.0011549889011750625, 29)]",Transport,L-valine reversible transport via proton symport,[],h_e + val__L_e <=> h_c + val__L_c,
PHEMEt,6.75,0.0150003448262223,"[(0.9333333333333332, 29)]",Cofactor and Prosthetic Group Biosynthesis,protoheme transport,"['Rv0206c', 'Rv0202c', 'Rv0203']",pheme_e --> pheme_c,
