,F_value,pvalue,value_counts,subsystem,name,genes,reaction,alleles_sim
FAD_1,8.361251233364014,0.004483994391715056,"[(1.0, 69), (0.0, 51), (0.317343660266189, 14)]",Fatty Acid Metabolism,,"['Rv3563', 'Rv3274c', 'Rv0752c', 'Rv0215c', 'Rv1467c', 'Rv0154c', 'Rv3139', 'Rv3039c', 'Rv0231', 'Rv0456c', 'Rv0271c', 'Rv1346', 'Rv0243', 'Rv3543c', 'Rv3546', 'Rv1679', 'Rv3140', 'Rv3550', 'Rv0222', 'Rv3141', 'Rv2831', 'Rv3556c', 'Rv2500c', 'Rv0975c', 'Rv3544c', 'Rv1933c', 'Rv2679', 'Rv3573c', 'Rv1912c', 'Rv0971c', 'Rv3560c', 'Rv1070c', 'Rv2724c', 'Rv3774', 'Rv0632c', 'Rv1074c', 'Rv3505', 'Rv0244c', 'Rv0673', 'Rv1715', 'Rv3504', 'Rv1071c', 'Rv0400c', 'Rv1323', 'Rv0972c', 'Rv0468', 'Rv1935c', 'Rv0859', 'Rv0131c', 'Rv3562', 'Rv3797', 'Rv3761c', 'Rv3373', 'Rv0672', 'Rv2486', 'Rv3374', 'Rv1472', 'Rv3516', 'Rv1142c', 'Rv0905', 'Rv3061c', 'Rv1141c', 'Rv1934c', 'Rv0675', 'Rv0873', 'Rv3564', 'Rv2789c']",coa_c + fad_c + nad_c + octscoa_c --> accoa_c + fadh2_c + hexscoa_c + nadh_c,"['Rv3139', 'Rv3516']"
FAD_2,8.361251233364014,0.004483994391715056,"[(1.0, 69), (0.0, 51), (0.317343660266189, 14)]",Fatty Acid Metabolism,,"['Rv3563', 'Rv3274c', 'Rv0752c', 'Rv0215c', 'Rv1467c', 'Rv0154c', 'Rv3139', 'Rv3039c', 'Rv0231', 'Rv0456c', 'Rv0271c', 'Rv1346', 'Rv0243', 'Rv3543c', 'Rv3546', 'Rv1679', 'Rv3140', 'Rv3550', 'Rv0222', 'Rv3141', 'Rv2831', 'Rv3556c', 'Rv2500c', 'Rv0975c', 'Rv3544c', 'Rv1933c', 'Rv2679', 'Rv3573c', 'Rv1912c', 'Rv0971c', 'Rv3560c', 'Rv1070c', 'Rv2724c', 'Rv3774', 'Rv0632c', 'Rv1074c', 'Rv3505', 'Rv0244c', 'Rv0673', 'Rv1715', 'Rv3504', 'Rv1071c', 'Rv0400c', 'Rv0972c', 'Rv1323', 'Rv0468', 'Rv1935c', 'Rv0859', 'Rv0131c', 'Rv3562', 'Rv3797', 'Rv3761c', 'Rv3373', 'Rv0672', 'Rv2486', 'Rv3374', 'Rv1472', 'Rv3516', 'Rv1142c', 'Rv0905', 'Rv3061c', 'Rv1141c', 'Rv1934c', 'Rv0675', 'Rv0873', 'Rv3564', 'Rv2789c']",coa_c + fad_c + hexscoa_c + nad_c --> accoa_c + fadh2_c + nadh_c + tetscoa_c,"['Rv3139', 'Rv3516']"
FAD_3,8.361251233364014,0.004483994391715056,"[(1.0, 69), (0.0, 51), (0.317343660266189, 14)]",Fatty Acid Metabolism,,"['Rv3563', 'Rv3274c', 'Rv0752c', 'Rv0215c', 'Rv1467c', 'Rv0154c', 'Rv3139', 'Rv3039c', 'Rv0231', 'Rv0456c', 'Rv0271c', 'Rv1346', 'Rv0243', 'Rv3543c', 'Rv3546', 'Rv1679', 'Rv3140', 'Rv3550', 'Rv0222', 'Rv3141', 'Rv2831', 'Rv3556c', 'Rv2500c', 'Rv0975c', 'Rv3544c', 'Rv1933c', 'Rv2679', 'Rv3573c', 'Rv1912c', 'Rv0971c', 'Rv3560c', 'Rv1070c', 'Rv2724c', 'Rv3774', 'Rv0632c', 'Rv1074c', 'Rv3505', 'Rv0244c', 'Rv0673', 'Rv1715', 'Rv3504', 'Rv1071c', 'Rv0400c', 'Rv1323', 'Rv0972c', 'Rv0468', 'Rv0859', 'Rv1935c', 'Rv0131c', 'Rv3562', 'Rv3797', 'Rv3761c', 'Rv3373', 'Rv0672', 'Rv2486', 'Rv3374', 'Rv1472', 'Rv3516', 'Rv1142c', 'Rv0905', 'Rv3061c', 'Rv1141c', 'Rv1934c', 'Rv0675', 'Rv0873', 'Rv3564', 'Rv2789c']",coa_c + fad_c + nad_c + tetscoa_c --> accoa_c + doscoa_c + fadh2_c + nadh_c,"['Rv3139', 'Rv3516']"
FAD_4,8.361251233364014,0.004483994391715056,"[(1.0, 69), (0.0, 51), (0.317343660266189, 14)]",Fatty Acid Metabolism,,"['Rv3563', 'Rv3274c', 'Rv0752c', 'Rv0215c', 'Rv1467c', 'Rv0154c', 'Rv3139', 'Rv3039c', 'Rv0231', 'Rv0456c', 'Rv0271c', 'Rv1346', 'Rv0243', 'Rv3543c', 'Rv3546', 'Rv1679', 'Rv3140', 'Rv3550', 'Rv0222', 'Rv3141', 'Rv2831', 'Rv3556c', 'Rv2500c', 'Rv0975c', 'Rv3544c', 'Rv1933c', 'Rv2679', 'Rv3573c', 'Rv1912c', 'Rv0971c', 'Rv3560c', 'Rv1070c', 'Rv2724c', 'Rv3774', 'Rv0632c', 'Rv1074c', 'Rv3505', 'Rv0244c', 'Rv0673', 'Rv1715', 'Rv3504', 'Rv1071c', 'Rv0400c', 'Rv1323', 'Rv0972c', 'Rv0468', 'Rv1935c', 'Rv0859', 'Rv0131c', 'Rv3562', 'Rv3797', 'Rv3761c', 'Rv3373', 'Rv0672', 'Rv2486', 'Rv3374', 'Rv1472', 'Rv3516', 'Rv1142c', 'Rv0905', 'Rv3061c', 'Rv1141c', 'Rv1934c', 'Rv0675', 'Rv0873', 'Rv3564', 'Rv2789c']",coa_c + doscoa_c + fad_c + nad_c --> accoa_c + eiscoa_c + fadh2_c + nadh_c,"['Rv3139', 'Rv3516']"
FAD_5,8.361251233364014,0.004483994391715056,"[(1.0, 69), (0.0, 51), (0.317343660266189, 14)]",Fatty Acid Metabolism,,"['Rv3563', 'Rv3274c', 'Rv0752c', 'Rv0215c', 'Rv1467c', 'Rv0154c', 'Rv3139', 'Rv3039c', 'Rv0231', 'Rv0456c', 'Rv0271c', 'Rv1346', 'Rv0243', 'Rv3543c', 'Rv3546', 'Rv1679', 'Rv3140', 'Rv3550', 'Rv0222', 'Rv3141', 'Rv2831', 'Rv3556c', 'Rv2500c', 'Rv0975c', 'Rv3544c', 'Rv1933c', 'Rv2679', 'Rv3573c', 'Rv1912c', 'Rv0971c', 'Rv3560c', 'Rv1070c', 'Rv2724c', 'Rv3774', 'Rv0632c', 'Rv1074c', 'Rv3505', 'Rv0244c', 'Rv0673', 'Rv1715', 'Rv3504', 'Rv1071c', 'Rv0400c', 'Rv1323', 'Rv0972c', 'Rv0468', 'Rv1935c', 'Rv0859', 'Rv0131c', 'Rv3562', 'Rv3797', 'Rv3761c', 'Rv3373', 'Rv0672', 'Rv2486', 'Rv3374', 'Rv1472', 'Rv3516', 'Rv1142c', 'Rv0905', 'Rv3061c', 'Rv1141c', 'Rv1934c', 'Rv0675', 'Rv0873', 'Rv3564', 'Rv2789c']",coa_c + eiscoa_c + fad_c + nad_c --> accoa_c + fadh2_c + nadh_c + octdcoa_c,"['Rv3139', 'Rv3516']"
FAD_6,8.361251233364014,0.004483994391715056,"[(1.0, 69), (0.0, 51), (0.317343660266189, 14)]",Fatty Acid Metabolism,,"['Rv3563', 'Rv3274c', 'Rv0752c', 'Rv0215c', 'Rv1467c', 'Rv0154c', 'Rv3139', 'Rv3039c', 'Rv0231', 'Rv0456c', 'Rv0271c', 'Rv1346', 'Rv0243', 'Rv3543c', 'Rv3546', 'Rv1679', 'Rv3140', 'Rv3550', 'Rv0222', 'Rv3141', 'Rv2831', 'Rv3556c', 'Rv2500c', 'Rv0975c', 'Rv3544c', 'Rv1933c', 'Rv2679', 'Rv3573c', 'Rv1912c', 'Rv0971c', 'Rv3560c', 'Rv1070c', 'Rv2724c', 'Rv3774', 'Rv0632c', 'Rv1074c', 'Rv3505', 'Rv0244c', 'Rv0673', 'Rv1715', 'Rv3504', 'Rv1071c', 'Rv0400c', 'Rv1323', 'Rv0972c', 'Rv0468', 'Rv1935c', 'Rv0859', 'Rv0131c', 'Rv3562', 'Rv3797', 'Rv3761c', 'Rv3373', 'Rv0672', 'Rv2486', 'Rv3374', 'Rv1472', 'Rv3516', 'Rv1142c', 'Rv0905', 'Rv3061c', 'Rv1141c', 'Rv1934c', 'Rv0675', 'Rv0873', 'Rv3564', 'Rv2789c']",coa_c + fad_c + nad_c + octdcoa_c --> accoa_c + fadh2_c + hexdcoa_c + nadh_c,"['Rv3139', 'Rv3516']"
ASPTA,8.314095581622153,0.004594704702056008,"[(0.9988094778987223, 2), (0.9988094778900508, 1), (0.9988094778987555, 1), (0.9988094778988483, 1), (0.9988094778986661, 1), (0.9988094778915932, 1), (0.9988094778828631, 1), (0.9988094778992204, 1), (0.9988094778986618, 1), (0.998809477899245, 1), (0.9988094779006357, 1), (0.9988094779009696, 1), (0.998809477899747, 1), (0.9988094778984327, 1), (0.998809477901832, 1), (0.9999999999997516, 1), (7.548184299821514e-12, 1), (0.9988094778987631, 1), (0.9988094778986951, 1), (0.9988094778991586, 1), (0.9988094778917385, 1), (0.9988094778988571, 1), (0.9988094778984996, 1), (0.9988094778976824, 1), (0.9988094778989252, 1), (0.998809477898941, 1), (0.9999999999999999, 1), (0.9988094778988679, 1), (0.9988094778992168, 1), (0.9988094778919123, 1), (0.9988094778989226, 1), (0.9988094778991167, 1), (0.9988094778986221, 1), (0.9988094778999203, 1), (0.9988094778985565, 1), (0.9988094778921855, 1), (0.9988094776261961, 1), (0.9988094778989588, 1), (0.0, 1), (0.9988094778998713, 1), (0.9988094778992901, 1), (0.9988094778984166, 1), (0.9988094778990948, 1), (0.9988094778987132, 1), (0.9988094779007441, 1), (0.998809477891844, 1), (0.9988094778978572, 1), (0.9988094778988954, 1), (0.9988094778985962, 1), (0.9988094778987424, 1), (0.9988094778984701, 1), (0.9988094778989549, 1), (0.9988094778987385, 1), (0.9988094781323996, 1), (0.9988094778988443, 1), (0.9988094778988721, 1), (0.9988094778998245, 1), (0.9988094779010173, 1), (0.9988094779012787, 1), (0.9988094778989386, 1), (0.998809477902688, 1), (0.9988094778986153, 1), (0.9988094778986277, 1), (0.9988094778990757, 1), (0.9988094779007788, 1), (0.9988094778981164, 1), (0.9988094778991825, 1), (0.9988094778996199, 1), (0.9999999999989426, 1), (0.9988094778954965, 1), (0.9988094778991438, 1), (0.9988094778990747, 1), (0.9988094779000566, 1), (0.9988094777430203, 1), (0.0011545676733615284, 1), (0.9988094779017473, 1), (0.9988094781799141, 1), (0.9988094779004545, 1), (0.9988094778996932, 1), (0.9988094778985938, 1), (0.9988094778997069, 1), (0.9988094778983887, 1), (0.9988094778983795, 1), (0.9988094779007174, 1), (0.9988094778978871, 1), (0.9988094778983774, 1), (0.9988094778987295, 1), (0.9988094778993497, 1), (0.9988094779005178, 1), (0.998809477898615, 1), (0.9988094778992357, 1), (0.998809477898252, 1), (0.9988094778997537, 1), (0.998809477898656, 1), (0.9988094779007136, 1), (0.998809477901653, 1), (0.998809477897725, 1), (0.998809477899867, 1), (0.9988094778919944, 1), (0.9988094778979721, 1), (0.9988094778996643, 1), (0.9988094778988471, 1), (0.001214727141965577, 1), (0.9988094778989122, 1), (0.9988094778988202, 1), (0.9988094778998243, 1), (0.9988094778986489, 1), (0.9988094778990558, 1), (0.9988094779020918, 1), (0.9988094779003914, 1), (0.9988094778992744, 1), (0.998809477899965, 1), (0.9988094779007798, 1), (0.9988094778989003, 1), (0.9988094779009504, 1), (0.9988094778982726, 1), (0.9988094778987316, 1), (0.9988094778991111, 1), (0.9988094778987474, 1), (0.9988094778988206, 1), (0.9988094778995978, 1), (0.9988094778967331, 1), (0.9988094778921033, 1), (0.9996031592985816, 1), (0.9988094778988842, 1), (0.9988094778987554, 1), (9.547918011776346e-15, 1), (0.9988094778780077, 1), (0.9988094778990285, 1), (0.9988094778983437, 1), (0.9988094778988569, 1), (0.9988094778989144, 1), (0.9988094778964857, 1)]","Alanine, Aspartate, and Glutamate Metabolism",aspartate transaminase,['Rv0337c'],akg_c + asp__L_c <=> glu__L_c + oaa_c,
QULNS,8.311608944732011,0.004600620464430777,"[(2.106321299608454e-05, 3), (2.1063213083446515e-05, 3), (2.1063212954451095e-05, 2), (2.1063212954451123e-05, 2), (2.1063212544099384e-05, 2), (2.10632129874821e-05, 2), (2.1063213125611612e-05, 1), (2.1063212954358274e-05, 1), (2.106321304181311e-05, 1), (2.1063213258170493e-05, 1), (2.1063231992635793e-05, 1), (2.1063212559274596e-05, 1), (2.106321301363303e-05, 1), (2.1063212996084554e-05, 1), (2.1063212979292376e-05, 1), (2.1063212954280456e-05, 1), (2.1063212990102184e-05, 1), (2.1063213065120287e-05, 1), (2.1063212989601336e-05, 1), (0.0, 1), (0.9999999999853029, 1), (2.106321295445111e-05, 1), (2.106321301292941e-05, 1), (2.106321299799779e-05, 1), (2.1063213053415796e-05, 1), (2.1063213209173472e-05, 1), (2.1063212964695668e-05, 1), (2.106321304164239e-05, 1), (2.1063213053415864e-05, 1), (2.106321297219847e-05, 1), (2.1063213027372257e-05, 1), (1.6328084717631697e-16, 1), (2.1063212966629383e-05, 1), (2.1063212996600986e-05, 1), (2.106321315255123e-05, 1), (2.106321301267107e-05, 1), (2.1063212996051052e-05, 1), (2.1063212997982124e-05, 1), (2.1063212937221334e-05, 1), (2.10632129820337e-05, 1), (2.1063213059390143e-05, 1), (2.1063212975617256e-05, 1), (2.1063213012703015e-05, 1), (1.0, 1), (2.106321295468371e-05, 1), (2.106321295443921e-05, 1), (2.1063213012762863e-05, 1), (2.1063212982779414e-05, 1), (2.1063213128654412e-05, 1), (2.1063213012736408e-05, 1), (2.106321297316952e-05, 1), (2.1063212998132015e-05, 1), (2.106321295394366e-05, 1), (2.1063213012507154e-05, 1), (2.1063212954652865e-05, 1), (2.1063213014942163e-05, 1), (2.1063212225043554e-05, 1), (2.1063212946844116e-05, 1), (2.1063212954279886e-05, 1), (2.1063212991507865e-05, 1), (2.1063212979309398e-05, 1), (2.106321295455442e-05, 1), (2.1063213053432018e-05, 1), (2.1063213027851596e-05, 1), (2.10632130126682e-05, 1), (2.1063212954223508e-05, 1), (2.10632130126724e-05, 1), (2.1063212996749414e-05, 1), (2.106321294434644e-05, 1), (8.736202950290761e-14, 1), (2.1063213025507903e-05, 1), (2.1063212987482087e-05, 1), (2.106321297376396e-05, 1), (2.1063216110488728e-05, 1), (0.9988440804970807, 1), (2.1063212991477575e-05, 1), (2.106321263499682e-05, 1), (2.1063212956498652e-05, 1), (2.106321301264425e-05, 1), (2.1063212996084486e-05, 1), (2.106321301068186e-05, 1), (2.1063213065189242e-05, 1), (2.1063212954280483e-05, 1), (2.1063213218992522e-05, 1), (2.10632130983278e-05, 1), (2.106321294092261e-05, 1), (2.106321298721883e-05, 1), (2.1063213053859695e-05, 1), (2.1063212933091892e-05, 1), (2.1063213007013515e-05, 1), (2.1063213104257397e-05, 1), (2.106321297754971e-05, 1), (2.106321296730499e-05, 1), (2.106321398653533e-05, 1), (2.1063213123408337e-05, 1), (2.10632130739152e-05, 1), (2.10632130225383e-05, 1), (2.1063212954109816e-05, 1), (0.9987838505869985, 1), (2.1063212954451028e-05, 1), (2.1063213036305337e-05, 1), (2.10632130126053e-05, 1), (2.1063212974528216e-05, 1), (2.1063212958387088e-05, 1), (2.1063212954444482e-05, 1), (2.106321297499018e-05, 1), (2.1063212972371927e-05, 1), (2.106321291756109e-05, 1), (2.1063212909116537e-05, 1), (2.1063212979318194e-05, 1), (2.106321295417102e-05, 1), (2.1063212997432515e-05, 1), (2.1063212996890116e-05, 1), (2.106321299796147e-05, 1), (2.1063213018230765e-05, 1), (2.10632128719353e-05, 1), (2.1063213152721857e-05, 1), (7.021071076274111e-06, 1), (2.106321295428047e-05, 1), (2.1063212933568182e-05, 1), (0.9999999999999614, 1), (2.10632134576517e-05, 1), (2.106321299779087e-05, 1), (2.1063213050126963e-05, 1), (2.10632129960845e-05, 1), (2.1063212954280496e-05, 1)]",Pantothenate and CoA Metabolism,quinolinate synthase,['Rv1594'],dhap_c + iasp_c --> 2.0 h2o_c + pi_c + quln_c,
NNDPR,8.311608944732006,0.004600620464430777,"[(2.106321299608454e-05, 3), (2.1063212954451136e-05, 3), (2.106321308344653e-05, 3), (2.1063212987482114e-05, 3), (2.106321295445111e-05, 2), (2.1063212544099398e-05, 2), (2.1063212954280483e-05, 2), (2.1063213125611612e-05, 1), (2.1063212954358288e-05, 1), (2.106321304181311e-05, 1), (2.1063213258170507e-05, 1), (2.1063231992635807e-05, 1), (2.1063212559274623e-05, 1), (2.106321301363303e-05, 1), (2.1063212996084567e-05, 1), (2.1063212979292363e-05, 1), (2.106321295428047e-05, 1), (2.1063212990102197e-05, 1), (2.1063213065120287e-05, 1), (2.1063212989601336e-05, 1), (0.0, 1), (0.9999999999853031, 1), (2.1063213012929423e-05, 1), (2.1063212997997805e-05, 1), (2.1063213053415796e-05, 1), (2.1063213209173472e-05, 1), (2.106321296469568e-05, 1), (2.1063213041642404e-05, 1), (2.1063213053415877e-05, 1), (2.1063212972198482e-05, 1), (2.106321302737227e-05, 1), (1.6329439970347304e-16, 1), (2.1063212966629383e-05, 1), (2.1063212996600986e-05, 1), (2.106321315255123e-05, 1), (2.1063213012671085e-05, 1), (2.1063212996051065e-05, 1), (2.1063212997982138e-05, 1), (2.106321293722136e-05, 1), (2.1063212982033714e-05, 1), (2.1063213059390143e-05, 1), (2.1063212975617256e-05, 1), (2.1063213012702703e-05, 1), (1.0000000000000002, 1), (2.1063212954683725e-05, 1), (2.1063212954439223e-05, 1), (2.1063213012762863e-05, 1), (2.1063212982779428e-05, 1), (2.1063213128654426e-05, 1), (2.1063213012736408e-05, 1), (2.1063212973169534e-05, 1), (2.1063212998132042e-05, 1), (2.1063212953943675e-05, 1), (2.106321301250718e-05, 1), (2.1063212954652893e-05, 1), (2.1063213014942163e-05, 1), (2.106321222504358e-05, 1), (2.106321294684413e-05, 1), (2.10632129542799e-05, 1), (2.1063212991507892e-05, 1), (2.1063212979309425e-05, 1), (2.1063212954554433e-05, 1), (2.1063213053432032e-05, 1), (2.1063213027851623e-05, 1), (2.1063213012668226e-05, 1), (2.1063212954223508e-05, 1), (2.1063213012672427e-05, 1), (2.1063212996749414e-05, 1), (2.1063212944346467e-05, 1), (8.736204305543477e-14, 1), (2.1063213025507903e-05, 1), (2.1063212973763975e-05, 1), (2.1063216110488755e-05, 1), (0.998844080497081, 1), (2.106321299147759e-05, 1), (2.1063212634996807e-05, 1), (2.1063212956498652e-05, 1), (2.1063213012644278e-05, 1), (2.10632129960845e-05, 1), (2.1063213010681872e-05, 1), (2.1063213065189256e-05, 1), (2.1063213218992536e-05, 1), (2.1063213098327787e-05, 1), (2.1063212941049232e-05, 1), (2.1063212987218856e-05, 1), (2.106321305385971e-05, 1), (2.1063212933091906e-05, 1), (2.1063213007013068e-05, 1), (2.1063213104257397e-05, 1), (2.1063212977549738e-05, 1), (2.1063212967305003e-05, 1), (2.1063213986535344e-05, 1), (2.1063213123408364e-05, 1), (2.1063213073915226e-05, 1), (2.1063213022538314e-05, 1), (2.1063212954109843e-05, 1), (0.9987838505869988, 1), (2.1063212954451055e-05, 1), (2.1063213036305378e-05, 1), (2.10632130126053e-05, 1), (2.106321297452823e-05, 1), (2.1063212958387115e-05, 1), (2.106321295444451e-05, 1), (2.1063212974990194e-05, 1), (2.1063212972371954e-05, 1), (2.1063212917561103e-05, 1), (2.106321290911655e-05, 1), (2.106321297930883e-05, 1), (2.1063212954171046e-05, 1), (2.106321299743253e-05, 1), (2.1063212996890116e-05, 1), (2.106321299796147e-05, 1), (2.1063213018230765e-05, 1), (2.1063212871935328e-05, 1), (2.1063213152721857e-05, 1), (7.0210710762741245e-06, 1), (2.1063212933568196e-05, 1), (0.9999999999999616, 1), (2.1063213457651712e-05, 1), (2.1063212997790898e-05, 1), (2.1063213050126977e-05, 1), (2.1063212996084527e-05, 1), (2.106321295428051e-05, 1)]",Pantothenate and CoA Metabolism,nicotinate-nucleotide diphosphorylase (carboxylating),['Rv1596'],2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c,
DM_ncam_c,8.311564059475648,0.004600727319621689,"[(0.0, 129), (0.9999999999851191, 1), (1.0, 1), (0.9988440561491417, 1), (0.9987838249704232, 1), (0.9999999999999383, 1)]",Intracellular demand,ncam_c Demand reaction,[],ncam_c --> ,
