,F_value,pvalue,value_counts,subsystem,name,genes,reaction,alleles_sim
DM_ncam_c,26.875506432229564,7.9453593729446e-07,"[(6.433742531325746e-15, 28), (0.4222413125509577, 2), (0.42224131255095854, 2), (0.9574553624608576, 2), (6.77707449935473e-15, 1), (0.42224131255095565, 1), (0.4294060601959575, 1), (0.5938452093473625, 1), (0.07493492227351209, 1), (0.07493492227350403, 1), (0.4222413125509605, 1), (0.9574553624608494, 1), (0.9574553624608556, 1), (0.07493492227356457, 1), (0.957455362460859, 1), (1.2639094666527864e-13, 1), (0.42224131255095726, 1), (0.42224131255095715, 1), (0.07493492227351849, 1), (0.42224131255095737, 1), (0.4222413125509555, 1), (0.4222413125415822, 1), (6.179975424521714e-15, 1), (0.422241312550941, 1), (0.42224131255095937, 1), (0.5314461475973795, 1), (0.9574553624599397, 1), (0.3430382469793065, 1), (0.42224131255095837, 1), (0.9574553624608514, 1), (0.36844915424423064, 1), (0.3684491542442373, 1), (0.4222413125509562, 1), (0.3684491542442346, 1), (0.9574553624608536, 1), (0.3732348279632021, 1), (0.4222413125509484, 1), (0.3732348279632013, 1), (0.4222413125509761, 1), (0.4222413125509557, 1), (0.4222413125509588, 1), (0.36844915424528824, 1), (0.6384649660934711, 1), (6.866639360579683e-15, 1), (0.9574553624608496, 1), (0.9574553624608693, 1), (0.07493492227352612, 1), (0.42224131255095493, 1), (0.07493492227349983, 1), (0.3732348279632044, 1), (0.4222413125509523, 1), (6.2098303782633654e-15, 1), (0.9574553624608474, 1), (0.42224131255097613, 1), (0.9574553624759233, 1), (0.95745536246085, 1), (0.36844915424425395, 1), (6.329250193229968e-15, 1), (0.6384649660934736, 1), (0.3684491542442349, 1), (0.9574553624633632, 1), (0.9547167692010939, 1), (0.4222413125510186, 1), (0.9574553624608628, 1), (0.3684491542442354, 1), (0.4222413125509575, 1), (0.3684491542442998, 1), (0.9418347326625137, 1), (0.9114721800696902, 1), (0.42224131255095865, 1), (0.597350886078085, 1), (0.9574553624631856, 1), (0.9418347326625186, 1), (1.0, 1), (0.07493492227351309, 1), (0.4307873516678946, 1), (0.9574553624608757, 1), (0.9418347326625195, 1), (7.568230773508476e-15, 1), (0.42224131255095776, 1), (0.9574553624608394, 1), (0.36844915424423375, 1), (0.4222413125509615, 1), (0.4222413125509576, 1), (0.0, 1), (6.568089823163174e-15, 1), (0.9574553624608616, 1), (0.9574553624603163, 1), (0.9467762362446981, 1), (0.4222413125509506, 1), (0.9574553624609399, 1), (0.42940606019595484, 1), (0.5605347257479031, 1), (0.37323482796319807, 1), (0.3684491542442343, 1), (0.4222413125509525, 1), (0.9574553624608502, 1), (0.07493492227350952, 1), (6.4486700081965716e-15, 1), (0.42224131255077085, 1), (0.4222413125509608, 1), (0.37323482796320195, 1), (0.638464966093467, 1), (0.07493492227351368, 1)]",Intracellular demand,ncam_c Demand reaction,[],ncam_c --> ,
NNAM,24.312926412697273,2.4155281439099083e-06,"[(0.9999999999999256, 67), (0.9999999999999255, 12), (7.216449660063518e-16, 8), (0.521550670870183, 2), (0.9999999999999254, 2), (0.582503546131977, 2), (0.521550670870193, 1), (0.5215506708701801, 1), (5.051514762044462e-15, 1), (0.5215506708701781, 1), (0.6169079080143736, 1), (0.5215506708701818, 1), (0.5215506708703267, 1), (0.5825035461319736, 1), (0.5825035461319638, 1), (0.5215506708701833, 1), (6.661338147750939e-16, 1), (0.521550670870181, 1), (0.5215506708701823, 1), (0.5825035461319739, 1), (0.49846437520499737, 1), (0.9999999999999228, 1), (0.5215506708701662, 1), (0.5215506708701443, 1), (2.220446049250313e-15, 1), (0.5770808119932905, 1), (1.0, 1), (0.9999999999999329, 1), (0.39247305527711646, 1), (0.5215506708701876, 1), (0.0, 1), (0.999999999999942, 1), (0.5215506708701838, 1), (0.9999999999999245, 1), (0.6112971084199202, 1), (0.5215506708701897, 1), (1.27675647831893e-15, 1), (0.5770808119934197, 1), (0.6169079080143761, 1), (0.521550670870188, 1), (0.9999999999999264, 1), (0.5215506708701846, 1), (0.5215506708701843, 1), (0.40223066622875914, 1), (0.6167198425582782, 1), (0.5825035461319732, 1), (3.941291737419306e-15, 1)]",Pantothenate and CoA Metabolism,Nicotinamidase,['Rv2043c'],h2o_c + ncam_c <=> nac_c + nh4_c,['Rv2043c']
FAD_8,13.653414669477476,0.0003209862481941619,"[(2.6575963651964685e-15, 2), (0.09398374466699505, 1), (0.09398374466683944, 1), (0.09398374466685286, 1), (0.06626978276267673, 1), (0.1925345889764679, 1), (0.496195888071004, 1), (0.3238516348551174, 1), (0.09398374466685591, 1), (0.30398267874216595, 1), (0.11016413341686772, 1), (0.09398374466686406, 1), (0.11016413341686507, 1), (0.09398374466685416, 1), (0.09398374466684678, 1), (0.06626978276267871, 1), (0.0939837446668379, 1), (0.09398374466685747, 1), (0.08351836992654743, 1), (0.09398374466687417, 1), (0.09398374466685769, 1), (0.09398374466685327, 1), (0.1387805101420614, 1), (0.06626978276267585, 1), (0.09398374466684911, 1), (0.09398374466684933, 1), (0.09398374466686185, 1), (0.06626978273659308, 1), (0.09398374466686144, 1), (0.09398374466684867, 1), (0.09398374466681197, 1), (0.09398374466687175, 1), (0.09398374466677858, 1), (0.6250077935501369, 1), (0.02637938235681753, 1), (0.11016413341819055, 1), (0.06626978276267827, 1), (0.18630323399360446, 1), (0.09398374466684889, 1), (8.867906409193438e-15, 1), (0.09398374466684187, 1), (0.09398374466675638, 1), (0.06626978276266882, 1), (0.0939837446668535, 1), (0.30398267874185836, 1), (0.06626978276269536, 1), (0.09398374466688998, 1), (0.06626978276266772, 1), (0.09398374466685394, 1), (0.09398374466687504, 1), (0.06626978276264289, 1), (0.09398374466685833, 1), (0.09398374466686339, 1), (0.09398374465217355, 1), (0.4961958880608368, 1), (0.09398374466687702, 1), (0.11016413341685809, 1), (0.1387805101420807, 1), (0.15566722598007782, 1), (0.06626978276268443, 1), (0.13878051014206488, 1), (0.06626978276267652, 1), (0.0939837446668366, 1), (0.06626978276270508, 1), (0.13878051014207457, 1), (0.0662697827626552, 1), (0.13878051013834344, 1), (0.9999999999999543, 1), (0.4893778449090857, 1), (0.09398374466681791, 1), (0.09398374466683856, 1), (0.4961958880608403, 1), (0.09398374466686096, 1), (0.9999999999877008, 1), (0.09398374466685724, 1), (0.9253997888607511, 1), (0.0662697827627677, 1), (0.11016413341683168, 1), (0.09398374465982148, 1), (0.06626978276267036, 1), (0.09398374466686076, 1), (0.09398374466685461, 1), (0.9999999999999752, 1), (0.303982678741802, 1), (0.09398374466685086, 1), (0.06626978276267828, 1), (0.09398374466684384, 1), (0.4758944222855897, 1), (0.3039826787206704, 1), (0.06626978276267476, 1), (0.1387805101420016, 1), (0.13664992242206714, 1), (0.3333904270968504, 1), (0.11605012706107401, 1), (0.3109070293204513, 1), (0.13878051014201834, 1), (0.0662697827625684, 1), (9.756084828893563e-15, 1), (0.0939837446668288, 1), (0.06626978276267256, 1), (0.1387805101420394, 1), (0.09398374466684603, 1), (0.125192331997644, 1), (0.09398374466685505, 1), (0.09398374466685483, 1), (0.06532254452786171, 1), (0.09398374466687615, 1), (0.24446508535570152, 1), (0.1387805101420869, 1), (0.5812866884655747, 1), (0.06626978276182745, 1), (0.3039826787416377, 1), (0.09398374466685307, 1), (0.19253458897645034, 1), (0.13878051014206752, 1), (0.40106184409995055, 1), (0.066269782762673, 1), (0.0835183699265371, 1), (0.09398374466685197, 1), (0.09398374466685264, 1), (0.09398374466679593, 1), (0.9999999999999999, 1), (0.09398374466683637, 1), (0.41019912092774546, 1), (0.0, 1), (0.09398374466685593, 1), (0.03326892217577282, 1), (0.09398374466703457, 1), (0.09398374466685636, 1), (0.06532254452730665, 1), (0.09398374466684735, 1), (0.4961958880608183, 1), (0.32385163485508667, 1)]",Fatty Acid Metabolism,,"['Rv3563', 'Rv3274c', 'Rv0752c', 'Rv0215c', 'Rv1467c', 'Rv0154c', 'Rv3139', 'Rv3039c', 'Rv0231', 'Rv0456c', 'Rv0271c', 'Rv1346', 'Rv0243', 'Rv3543c', 'Rv3546', 'Rv1679', 'Rv3140', 'Rv3550', 'Rv0222', 'Rv3141', 'Rv2831', 'Rv3556c', 'Rv2500c', 'Rv0975c', 'Rv3544c', 'Rv1933c', 'Rv2679', 'Rv3573c', 'Rv1912c', 'Rv0971c', 'Rv3560c', 'Rv1070c', 'Rv2724c', 'Rv3774', 'Rv0632c', 'Rv1074c', 'Rv3505', 'Rv0244c', 'Rv0673', 'Rv1715', 'Rv3504', 'Rv1071c', 'Rv0400c', 'Rv0972c', 'Rv0468', 'Rv1323', 'Rv1935c', 'Rv0859', 'Rv0131c', 'Rv3562', 'Rv3797', 'Rv3761c', 'Rv3373', 'Rv0672', 'Rv2486', 'Rv3374', 'Rv1472', 'Rv3516', 'Rv1142c', 'Rv0905', 'Rv3061c', 'Rv1141c', 'Rv1934c', 'Rv0675', 'Rv0873', 'Rv3564', 'Rv2789c']",coa_c + fad_c + nad_c + tdcoa_c --> accoa_c + dodcoa_c + fadh2_c + nadh_c,"['Rv3139', 'Rv3516']"
ECOAH9ir,11.741205426713288,0.0008154043072531183,"[(0.3333333333333333, 64), (0.5, 29), (1.0, 26), (0.6666666666666666, 8), (0.16666666666666666, 6), (0.0, 1)]","Valine, Leucine, and Isoleucine Metabolism",2-Methylprop-2-enoyl-CoA (2-Methylbut-2-enoyl-CoA),"['Rv2486', 'Rv3774', 'Rv0905', 'Rv1472', 'Rv1070c']",2mb2coa_c + h2o_c --> 3hmbcoa_c,
DHPPDA,10.909333927377988,0.0012314493668063317,"[(0.9999999999999956, 34), (0.9999999999999959, 24), (0.9999999999999964, 20), (0.9999999999999949, 13), (0.9999999999999957, 9), (0.999999999999998, 6), (0.9999999999999953, 6), (5.491163079796024e-13, 5), (0.9999999999999961, 4), (5.506706202140776e-13, 3), (0.9999999999999933, 2), (7.66053886991358e-13, 1), (5.493383525845275e-13, 1), (0.0, 1), (5.500044863993026e-13, 1), (5.495603971894525e-13, 1), (0.9999999999999947, 1), (0.9999999999999951, 1), (5.555556015224283e-13, 1)]",Riboflavin Metabolism,Diaminohydroxyphosphoribosylaminopyrimidine deaminase,['Rv1409'],25dhpp_c + h2o_c + h_c --> 5apru_c + nh4_c,['Rv1409']
DESAT16,10.290607605869091,0.0016781706051939517,"[(3.4419731928894276e-13, 29), (3.443687322965568e-13, 16), (3.4402590628132877e-13, 8), (3.429974282356447e-13, 4), (3.4368308026610074e-13, 4), (3.4454014530417084e-13, 2), (3.390549290605223e-13, 2), (0.2592876721812532, 2), (0.9414609621259574, 2), (0.2592876721812285, 1), (0.26642636985388485, 1), (3.3031286567220753e-13, 1), (0.6959864758209908, 1), (3.423117762051886e-13, 1), (0.24060687086464658, 1), (0.9635744003961614, 1), (0.763715202347597, 1), (0.26642636985400586, 1), (0.2592876721812586, 1), (0.7784574945277554, 1), (0.2592876721812727, 1), (3.46768514403153e-13, 1), (0.25928767218127324, 1), (3.1574276002501624e-13, 1), (0.3387944664540363, 1), (0.9635744003961371, 1), (3.4385449327371473e-13, 1), (0.2725736140792408, 1), (3.177997161163844e-13, 1), (0.2719427727976283, 1), (0.240606870864575, 1), (3.361409079310841e-13, 1), (0.008610927553920806, 1), (0.6604053712453071, 1), (0.9635744003962707, 1), (0.7784574945277504, 1), (0.5328436023041944, 1), (0.7784574945277389, 1), (0.00861092755391973, 1), (0.25928767218126303, 1), (0.9414609621259438, 1), (3.4951112252497724e-13, 1), (0.9414609621394768, 1), (0.7784574945277355, 1), (0.062385447530844754, 1), (0.6604053712453125, 1), (0.5151256492775639, 1), (1.0, 1), (0.7637152023476014, 1), (0.21494557517774743, 1), (0.7784574945277396, 1), (0.24060687086452992, 1), (0.5946476801592748, 1), (0.24060687084850127, 1), (0.7706417518772397, 1), (0.2592876721812437, 1), (0.7784574945273797, 1), (0.01861393171363979, 1), (3.4505438432701286e-13, 1), (3.3716938597676817e-13, 1), (3.4591144936508296e-13, 1), (0.26732653253398325, 1), (3.095718917509117e-13, 1), (0.7784574945277598, 1), (0.36178290695214665, 1), (0.0, 1), (0.2406068708643596, 1), (3.4025482011382044e-13, 1), (0.7784574945277383, 1), (3.4796840545645113e-13, 1), (0.25928767218127524, 1), (0.7784574945277698, 1), (0.2592876721812747, 1), (0.6604053712452982, 1)]",Fatty Acid Metabolism,Palmitoyl CoA desaturase  n C160CoA   n C161CoA ,['Rv3229c'],h_c + nadph_c + o2_c + pmtcoa_c --> 2.0 h2o_c + hdcoa_c + nadp_c,
EX_glyclt,10.06765298139842,0.0018773656043140979,"[(9.5300163064078e-14, 6), (0.3398599882061109, 2), (0.33985998820611113, 2), (0.33985998820610624, 2), (9.644231779041962e-14, 2), (8.814756042250347e-14, 2), (8.42681308219577e-14, 1), (1.3680653860282964e-13, 1), (1.122183299480132e-13, 1), (0.03023598726821563, 1), (0.08214739652798442, 1), (0.3940968752164614, 1), (0.7103084661162207, 1), (0.4786225017261533, 1), (0.4786225017261493, 1), (0.710308466116313, 1), (0.7103084660967511, 1), (9.301585361139475e-14, 1), (0.7103084661162938, 1), (0.5316912344495126, 1), (8.830446536523559e-14, 1), (0.030235987268207865, 1), (1.0161770639415507e-13, 1), (0.011417744546985418, 1), (0.3398599882061089, 1), (9.541039152944472e-14, 1), (0.4786225017261627, 1), (0.03023598726821386, 1), (9.525117263502611e-14, 1), (9.415800833773637e-14, 1), (0.03023598726453555, 1), (9.190939122025131e-14, 1), (8.8343522138711e-14, 1), (9.534915349312988e-14, 1), (0.33985998820429403, 1), (0.5684543871583009, 1), (0.07095428308272074, 1), (0.7103084661332559, 1), (0.5306426223315409, 1), (0.05627266883810489, 1), (9.537364870765582e-14, 1), (0.7103084661162573, 1), (0.3398599882061215, 1), (0.030235987268214144, 1), (0.478622501726162, 1), (0.0, 1), (0.33985998820610835, 1), (9.344416163377286e-14, 1), (0.03023598726832621, 1), (9.758447251676124e-14, 1), (0.3398599881896763, 1), (0.11218831314194089, 1), (1.0500847823798175e-13, 1), (0.7103084661162953, 1), (0.4786225017261566, 1), (0.4786225017261446, 1), (0.030235987268206865, 1), (0.47862250172616944, 1), (0.3398599882061108, 1), (3.145938705216686e-13, 1), (0.33985998820902025, 1), (0.47862250172617116, 1), (0.030235987268164892, 1), (0.4766571176880689, 1), (0.478622501726205, 1), (0.5617251463611509, 1), (0.33985998820610563, 1), (9.564309606744115e-14, 1), (0.1121883131419409, 1), (0.33985998820610536, 1), (0.5098430253270692, 1), (0.2723890440365715, 1), (0.9999999999999999, 1), (0.030235987265169014, 1), (0.710308466116297, 1), (0.339859988206109, 1), (0.0302359872682109, 1), (0.3398599882061103, 1), (9.594262509764516e-14, 1), (0.577313969518959, 1), (0.7691452157623572, 1), (0.030235987268205755, 1), (0.6127054845878448, 1), (0.4786225017234427, 1), (0.030235987268215424, 1), (0.5773139695189783, 1), (0.42486291866635767, 1), (0.5098430253495083, 1), (0.05462685324780749, 1), (0.7103084661162539, 1), (0.47862250172616516, 1), (0.5306426223311219, 1), (0.577313969518969, 1), (9.549192283392258e-14, 1), (0.030235987268212833, 1), (0.4786225017261932, 1), (0.33985998820610575, 1), (0.03404863050570706, 1), (9.787001119834664e-14, 1), (9.986878196944446e-14, 1), (0.3398599882182113, 1), (0.531691234449349, 1), (0.478622501726132, 1), (0.47862250172614745, 1), (0.7777794102858557, 1), (0.03023598725272096, 1), (0.47862250172644577, 1), (0.0823195214496448, 1), (0.4786225017261607, 1), (0.3711218640165568, 1), (0.33985998820610724, 1), (0.01141774454698138, 1), (0.3398599882061123, 1), (0.33985998820610913, 1), (0.4786225017261895, 1), (0.4753410018464493, 1), (0.47862250172615345, 1), (0.530642622328473, 1), (0.06623999145902804, 1), (1.6705456847003575e-12, 1), (9.270367032432834e-14, 1), (0.3398599882061101, 1), (0.11218831314194172, 1), (0.7103084661162945, 1)]",Exchange,,[],glyclt_e --> ,
PRDX,9.316855802247076,0.002746127952577934,"[(3.0024358430186975e-16, 12), (3.3455713679351203e-16, 4), (3.1740036054769087e-16, 3), (0.222624437360116, 2), (0.22478296223259997, 2), (0.22262443736011586, 2), (0.4425641107455637, 2), (0.2226244373601186, 1), (0.22262443736011572, 1), (0.22834055145728852, 1), (0.21705232466229463, 1), (0.7871068644856398, 1), (0.3430385170154904, 1), (0.5059676243883184, 1), (0.44846635146359753, 1), (0.44846635146364544, 1), (0.44846635146360003, 1), (0.1210031767897512, 1), (0.2283405514572871, 1), (0.22262443736011536, 1), (0.07712432746460256, 1), (0.07712432746459978, 1), (0.22262443736011606, 1), (0.4425641107455635, 1), (0.246930454334076, 1), (0.2226244373601152, 1), (0.22262443736011628, 1), (0.2226244373601164, 1), (0.22834055145582666, 1), (0.22262443736011578, 1), (0.22262443736011486, 1), (0.22262443736011653, 1), (0.22262443736011522, 1), (0.07712432746547489, 1), (0.1373905984643821, 1), (0.22843200903406097, 1), (0.4484663514636096, 1), (0.21532654774684898, 1), (0.4484663514636022, 1), (0.2879799963608134, 1), (0.2283405514572867, 1), (0.28797999636081223, 1), (0.0908500696078989, 1), (0.22262443736014728, 1), (0.08284044156177209, 1), (0.22262443736011633, 1), (0.22834055145728463, 1), (0.22262443736011414, 1), (0.22262443736011592, 1), (0.2879799963624696, 1), (0.2226244373601162, 1), (0.4484663514635992, 1), (0.44256411074556046, 1), (0.2283405514572859, 1), (0.44256411074555435, 1), (0.08284044156177237, 1), (0.22262443736011744, 1), (0.09085006960844907, 1), (0.4425641107455613, 1), (0.22977067585327932, 1), (0.07712432746459194, 1), (0.2226244373601163, 1), (0.5367128234721078, 1), (0.0771243274646033, 1), (0.33713627630299214, 1), (0.0, 1), (1.0, 1), (0.22834055145729246, 1), (0.4484663514635987, 1), (0.2879799963608146, 1), (0.22834055145728713, 1), (0.28797999636081095, 1), (0.6241508424029308, 1), (0.6604165439725893, 1), (0.07712432746460153, 1), (0.22834055145728654, 1), (0.22262443736011608, 1), (0.791294121990687, 1), (0.4425641107392639, 1), (0.22834055145728765, 1), (0.6241508424029419, 1), (0.4071344467745338, 1), (0.33713627629745163, 1), (0.3470433310385535, 1), (0.12691753103223555, 1), (0.22262443736011758, 1), (0.2283405514572882, 1), (0.07712432746460189, 1), (0.22372945767622807, 1), (0.22262443736011614, 1), (0.22262443736011617, 1), (0.324245697930479, 1), (0.4425641107455644, 1), (0.630053083120971, 1), (0.228340551457293, 1), (0.4425641107455075, 1), (0.22262443736011575, 1), (0.21706859477251314, 1), (0.4425641107455606, 1), (0.2706445536705949, 1), (0.08284044156177071, 1), (0.07712432746460078, 1), (0.08513395551072814, 1), (0.4425641107455537, 1), (0.22262443736011717, 1), (0.2502837156525029, 1), (0.442564110745565, 1), (0.12120141693527493, 1), (0.22262443736009987, 1), (0.22262443736011622, 1), (0.0908500696078995, 1), (3.04532778363325e-16, 1), (0.4894049258490561, 1), (0.343038517015496, 1)]",Redox Metabolism,PRDX,[],h2o2_c + meoh_c --> fald_c + 2.0 h2o_c,
FAD_19,9.056320078539567,0.0031366365840086938,"[(0.9817193637745502, 10), (0.9817193637745492, 6), (0.9817193637745504, 4), (0.981719363774551, 3), (0.40272815792339134, 2), (0.40272815792341077, 2), (0.981719363774552, 2), (0.9817193637745506, 2), (0.40272815792358474, 1), (0.04018049460551343, 1), (0.40272815792340744, 1), (0.010235551925420805, 1), (0.5318146471867248, 1), (0.7767477079270442, 1), (0.9896933326275447, 1), (0.4027281579234133, 1), (0.7022672608819089, 1), (0.9999999999999999, 1), (0.402728157923425, 1), (0.40272815792344063, 1), (0.010235551925252495, 1), (0.4027281579280453, 1), (0.03452575027601046, 1), (0.39518959792950015, 1), (0.034525750276068634, 1), (0.040180494605496886, 1), (0.4027281579234089, 1), (0.38276486280326105, 1), (0.040180494605464245, 1), (0.4027281579234041, 1), (0.402728157923417, 1), (0.3827648627650224, 1), (0.40272815792341454, 1), (0.402728157923397, 1), (0.4027281579233466, 1), (0.04018049460548423, 1), (0.03452575027753357, 1), (0.0, 1), (0.7022672608838824, 1), (0.028549104632167532, 1), (0.19175913635565234, 1), (0.40272815792340344, 1), (0.9999999999999561, 1), (0.03452575027694771, 1), (0.0025222696842969183, 1), (0.40272815792341055, 1), (0.02854910463218041, 1), (0.40272815792344807, 1), (0.0025222696842789327, 1), (0.4027281579234112, 1), (0.4027281579234604, 1), (0.3827648628032164, 1), (0.4027281579234262, 1), (0.40272815791088823, 1), (0.8264988056739043, 1), (0.40272815792343186, 1), (0.7022672608819203, 1), (0.9817193637745539, 1), (0.38276486280326893, 1), (0.0025222696842940318, 1), (0.04018049460412709, 1), (0.028549104632194844, 1), (0.7538005977438742, 1), (0.38276486280318556, 1), (0.7538005977378646, 1), (0.03452575027597038, 1), (0.9817193637745496, 1), (0.0345257502761146, 1), (0.9817193637745454, 1), (0.034525750276005684, 1), (0.9817193637745386, 1), (0.10218160525626396, 1), (0.3827648628032526, 1), (0.040180494605510875, 1), (0.40272815792341, 1), (0.03452575027600491, 1), (0.38276486280326005, 1), (0.4027281579233979, 1), (0.9817193637745458, 1), (0.3827648628032577, 1), (0.7538005977435057, 1), (0.07197080343923357, 1), (0.9817193637745981, 1), (0.002522269684304801, 1), (0.9896933326275381, 1), (0.40272815792339745, 1), (0.3827648628032555, 1), (0.753800597743803, 1), (0.03452575027599014, 1), (0.09638197179899033, 1), (0.40272815792341177, 1), (0.014562455157246745, 1), (0.4027281579234354, 1), (0.3827648628034952, 1), (0.4027281579234202, 1), (0.014562455155850196, 1), (0.39518959792948094, 1), (0.034525750275991585, 1), (0.04851239975231325, 1), (0.040180494605400074, 1), (0.9817193637745463, 1), (0.4027281579234737, 1), (0.9817193637745499, 1), (0.9896933326275333, 1), (0.048512399753032565, 1), (0.3589932374617295, 1), (0.040180494605420614, 1), (0.028549104632170197, 1), (0.03452575027599847, 1), (0.8264988056738943, 1), (0.9817193637745444, 1)]",Beta oxidation of unsaturated fatty acids,,"['Rv3563', 'Rv3274c', 'Rv0752c', 'Rv0215c', 'Rv1467c', 'Rv0154c', 'Rv3139', 'Rv3039c', 'Rv0231', 'Rv0456c', 'Rv0271c', 'Rv1346', 'Rv0243', 'Rv3543c', 'Rv3546', 'Rv1679', 'Rv3140', 'Rv3550', 'Rv0222', 'Rv3141', 'Rv2831', 'Rv3556c', 'Rv2500c', 'Rv0975c', 'Rv3544c', 'Rv1933c', 'Rv2679', 'Rv3573c', 'Rv1912c', 'Rv0971c', 'Rv3560c', 'Rv1070c', 'Rv2724c', 'Rv3774', 'Rv0632c', 'Rv1074c', 'Rv3505', 'Rv0244c', 'Rv0673', 'Rv1715', 'Rv3504', 'Rv1071c', 'Rv0400c', 'Rv0972c', 'Rv0468', 'Rv1323', 'Rv1935c', 'Rv0859', 'Rv0131c', 'Rv3562', 'Rv3797', 'Rv3761c', 'Rv3373', 'Rv0672', 'Rv2486', 'Rv3374', 'Rv1472', 'Rv3516', 'Rv1142c', 'Rv0905', 'Rv3061c', 'Rv1141c', 'Rv1934c', 'Rv0675', 'Rv0873', 'Rv3564', 'Rv2789c']",d2hdodcoa_c + nad_c --> dodcoa_c + nadh_c,"['Rv3139', 'Rv3516']"
EX_fum,8.991525426208096,0.003242354031820561,"[(2.8486435432739654e-11, 3), (2.848576929892488e-11, 3), (2.8485547254319954e-11, 2), (2.8494318016214493e-11, 2), (0.5321532948012223, 2), (2.8487212588856892e-11, 2), (2.8487767700369204e-11, 2), (2.8488322811881517e-11, 2), (2.8485103165110104e-11, 2), (2.8485658276622416e-11, 2), (2.8483326808270704e-11, 2), (2.8489655079511067e-11, 2), (0.532153294801209, 2), (2.8455904299562462e-11, 1), (2.84628987046176e-11, 1), (0.1523233953247869, 1), (0.21498712462304082, 1), (0.5321532948011484, 1), (0.5321532948012234, 1), (0.5321532948011959, 1), (0.5321532948011115, 1), (2.8506197402577982e-11, 1), (0.5321532948012196, 1), (2.8436475396631522e-11, 1), (2.849420699391203e-11, 1), (2.8505531268763207e-11, 1), (2.8487656678066742e-11, 1), (2.848543623201749e-11, 1), (0.5321532948012041, 1), (2.848177249603623e-11, 1), (2.8474667068678627e-11, 1), (2.8480440228406678e-11, 1), (0.0, 1), (2.8480773295314066e-11, 1), (2.8418933872842445e-11, 1), (2.849287472628248e-11, 1), (2.8503643889621344e-11, 1), (0.6153000564247545, 1), (0.18612587583232165, 1), (0.5321532948012136, 1), (2.848676849964704e-11, 1), (0.27177049262608777, 1), (2.848354885287563e-11, 1), (0.532153294801243, 1), (2.845801372330925e-11, 1), (2.8489988146418455e-11, 1), (2.8479552049986978e-11, 1), (2.848588032122734e-11, 1), (0.5321532948011981, 1), (2.8478441826962353e-11, 1), (2.857458714089489e-11, 1), (2.8474000934863852e-11, 1), (3.0750957336067586e-11, 1), (0.21498712463745295, 1), (0.532153294801201, 1), (0.5321532948012248, 1), (0.5321532948011553, 1), (2.846778368592595e-11, 1), (2.850042424284993e-11, 1), (0.5321532948012228, 1), (2.8447577626877774e-11, 1), (0.5321532948423925, 1), (0.5321532948012159, 1), (0.9999999999999999, 1), (2.867295290087668e-11, 1), (2.8459568035543725e-11, 1), (0.21498712463744718, 1), (2.8470559243487514e-11, 1), (0.5321532948010222, 1), (2.8502311621991794e-11, 1), (0.7182791706050448, 1), (2.8593349910011057e-11, 1), (0.5321532948012108, 1), (2.84477996714827e-11, 1), (2.848488112050518e-11, 1), (0.532153294801203, 1), (0.5321532948012179, 1), (2.848143942912884e-11, 1), (2.848932201260368e-11, 1), (0.2149871246374454, 1), (0.5321532948011699, 1), (2.8479330005382053e-11, 1), (0.532153294801187, 1), (0.8113421085069646, 1), (0.532153294801225, 1), (0.041675185844706975, 1), (0.5321532948012117, 1), (0.5321532948011999, 1), (2.8439695043402935e-11, 1), (0.5321532948012121, 1), (2.8463009726920063e-11, 1), (2.8480329206104216e-11, 1), (0.5321532948011606, 1), (2.8476332403215565e-11, 1), (0.11788281855242244, 1), (2.8491209391745542e-11, 1), (2.8479441027684516e-11, 1), (2.8491653480955392e-11, 1), (0.5321532948012341, 1), (0.5321532948012125, 1), (0.5321532948011859, 1), (2.8462232570802826e-11, 1), (0.5321532948013487, 1), (0.1526213598918763, 1), (0.7749328338881681, 1), (2.847788671545004e-11, 1), (2.8484214986690404e-11, 1), (2.848232760754854e-11, 1), (2.848321578596824e-11, 1), (2.8474445024073702e-11, 1), (0.9208322154782899, 1), (0.5321532948012094, 1), (2.8494984150029268e-11, 1), (2.8464453016852076e-11, 1), (2.6917135187431995e-11, 1), (2.8490765302535692e-11, 1), (2.8478219782357428e-11, 1), (0.2149871246374373, 1), (0.5321532948012345, 1)]",Exchange,,[],fum_e --> ,
