,F_value,pvalue,value_counts,subsystem,name,genes,reaction,alleles_sim
BTS3r,48.0,9.474312594322568e-09,"[(0.9999999999999999, 50)]",Cofactor and Prosthetic Group Biosynthesis,Biotin synthase,['Rv1589'],dtbt_c + 2.0 s_c <=> btn_c + h2s_c,
CHCD,48.0,9.474312594322568e-09,"[(0.9999999999999999, 43), (1.0, 7)]",Cholesterol degradation,MNXR22345,[],hipohcoa_c + nad_c --> h_c + hipocoa_c + nadh_c,
HIAA,48.0,9.474312594322568e-09,"[(0.9999999999999998, 43), (0.9999999999999999, 7)]",Cholesterol degradation,HIAA,[],h2o_c + hipocoa_c --> accoa_c + hia_c,
HIPB,48.0,9.474312594322568e-09,"[(0.9999999999999999, 49), (1.0, 1)]",Cholesterol degradation,HIPB,[],h_c + hipcoa_c + nadh_c --> 5ohhipcoa_c + nad_c,
FADE30,48.0,9.474312594322568e-09,"[(0.9999999999999999, 43), (1.0, 7)]",Cholesterol degradation,MNXR87739,['Rv3560c'],5ohhipcoa_c + fad_c --> fadh2_c + hipecoa_c,
FADD3,48.0,9.474312594322568e-09,"[(0.9999999999999999, 49), (1.0, 1)]",Cholesterol degradation,MNXR22341,"['Rv3552', 'Rv3561', 'Rv3551']",atp_c + coa_c + 3.0 h_c + hip_c --> amp_c + hipcoa_c + ppi_c,
EX_hia,48.0,9.474312594322568e-09,"[(0.9999999999999999, 43), (1.0, 7)]",Exchange,,[],hia_e --> ,
ACALDt,48.0,9.474312594322568e-09,"[(0.9999999999999999, 49), (1.0, 1)]",Transport,acetaldehyde reversible transport,[],acald_e <=> acald_c,
DPPS,10.879999999999999,0.001836126651081098,"[(0.0, 46), (0.9999999999887155, 1), (0.9999999999999828, 1), (0.9999999999887305, 1), (1.0, 1)]",Polyprenyl Metabolism,DPPS,[],frdp_c + 7.0 ipdp_c --> decdp_c + 7.0 ppi_c,
UDPDPS,10.879999999999999,0.001836126651081098,"[(0.0, 46), (0.9999999999887156, 1), (0.9999999999999829, 1), (0.9999999999887303, 1), (0.9999999999999999, 1)]",Polyprenyl Metabolism,Undecaprenyl-diphosphate synthase,['Rv2361c'],decdp_c + ipdp_c --> ppi_c + udcpdp_c,
ALAt2r,9.6,0.0032488992698567966,"[(0.9999999999997392, 40), (0.99999999999974, 2), (0.999999999999738, 1), (0.9999999999997347, 1), (0.9999999999997257, 1), (0.9999999999997381, 1), (0.9999999999997212, 1), (0.9999999999996584, 1), (0.9999999999997439, 1), (0.999999999999729, 1)]",Transport,L alanine reversible transport via proton symport,[],ala__L_e + h_e <=> ala__L_c + h_c,
GHMT2,6.85802368126542,0.011773929296233845,"[(0.0, 32), (0.584045723308814, 1), (0.5840457233343092, 1), (0.6625086622541019, 1), (0.662508662301188, 1), (0.7687793281905565, 1), (0.5634672342284089, 1), (0.6625086622917695, 1), (0.5840457233114212, 1), (0.5840457233164499, 1), (0.662508662308447, 1), (0.6625086623046594, 1), (0.6625086622834749, 1), (0.6625086622529699, 1), (0.662508662304187, 1), (0.5634672342394851, 1), (0.5840457233070236, 1), (0.5634672342260908, 1), (0.8954659464864537, 1)]",Glycolysis/Gluconeogenesis,,"['Rv0070c', 'Rv1093']",ser__L_c + thf_c --> gly_c + h2o_c + mlthf_c,
