,F_value,pvalue,value_counts,subsystem,name,genes,reaction,alleles_sim
MSHAMID,inf,0.0,"[(0.9999999999999971, 30), (1.0, 19), (0.9999999999999957, 1)]",Sulfur metabolism,MSHAMID,['Rv1082'],bmnmsh_c + h2o_c --> acysbmn_c + igam_c,
FAD_24,96.0,4.91982181907951e-13,"[(0.9999999999480761, 23), (0.9999999999480544, 4), (0.9999999999479894, 2), (0.9999999999480652, 2), (0.9999999999480977, 2), (0.9999999999483363, 1), (0.9999999999481303, 1), (0.9999999999486833, 1), (0.9999999999481645, 1), (0.9999999999481086, 1), (0.9999999999481628, 1), (0.9999999999472845, 1), (0.999999999948087, 1), (0.9999999999479351, 1), (0.9999999999470568, 1), (0.9999999999476316, 1), (0.9999999999480436, 1), (0.9999999999477291, 1), (0.9999999999480872, 1), (0.9999999999482496, 1), (0.9999999999493905, 1), (0.9999999999479766, 1)]",Fatty Acid Metabolism,,"['Rv3563', 'Rv3274c', 'Rv0752c', 'Rv0215c', 'Rv1467c', 'Rv0154c', 'Rv3139', 'Rv3039c', 'Rv0231', 'Rv0456c', 'Rv0271c', 'Rv1346', 'Rv0243', 'Rv3543c', 'Rv3546', 'Rv1679', 'Rv3140', 'Rv3550', 'Rv0222', 'Rv3141', 'Rv2831', 'Rv3556c', 'Rv2500c', 'Rv0975c', 'Rv3544c', 'Rv1933c', 'Rv2679', 'Rv3573c', 'Rv1912c', 'Rv0971c', 'Rv3560c', 'Rv1070c', 'Rv2724c', 'Rv3774', 'Rv0632c', 'Rv1074c', 'Rv3505', 'Rv0244c', 'Rv0673', 'Rv1715', 'Rv3504', 'Rv1071c', 'Rv0400c', 'Rv1323', 'Rv0972c', 'Rv0468', 'Rv0859', 'Rv1935c', 'Rv0131c', 'Rv3562', 'Rv3797', 'Rv3761c', 'Rv3373', 'Rv0672', 'Rv2486', 'Rv3374', 'Rv1472', 'Rv3516', 'Rv1142c', 'Rv0905', 'Rv3061c', 'Rv1141c', 'Rv1934c', 'Rv0675', 'Rv0873', 'Rv3564', 'Rv2789c']",coa_c + fad_c + nad_c + undcoa_c --> accoa_c + fadh2_c + nadh_c + nndccoa_c,"['Rv3139', 'Rv3516']"
ICL,48.0,9.474312594322568e-09,"[(0.9999999999984386, 28), (0.9999999999984369, 13), (0.9999999999984402, 5), (0.9999999999984377, 1), (0.9999999999984395, 1), (0.9999999999999999, 1), (0.9999999999984429, 1)]",Glyoxylate Metabolism,Isocitrate lyase,"['Rv1916', 'Rv0467', 'Rv1915']",icit_c --> glx_c + succ_c,
FAD_1,48.0,9.474312594322568e-09,"[(0.9999999999480761, 12), (0.9999999999481645, 4), (0.9999999999479877, 4), (0.9999999999479656, 2), (0.9999999999481424, 2), (0.9999999999480652, 2), (0.9999999999482496, 1), (0.9999999999481303, 1), (0.9999999999488568, 1), (0.9999999999480544, 1), (0.9999999999481086, 1), (0.9999999999481203, 1), (0.9999999999481628, 1), (0.9999999999480977, 1), (0.9999999999482307, 1), (0.9999999999480319, 1), (0.9999999999481314, 1), (0.9999999999481535, 1), (0.9999999999487809, 1), (0.9999999999479324, 1), (0.9999999999469823, 1), (0.9999999999476783, 1), (0.9999999999480436, 1), (0.999999999948065, 1), (0.999999999948054, 1), (0.9999999999471038, 1), (0.9999999999484297, 1), (0.9999999999493905, 1), (0.9999999999479766, 1), (0.9999999999371156, 1)]",Fatty Acid Metabolism,,"['Rv3563', 'Rv3274c', 'Rv0752c', 'Rv0215c', 'Rv1467c', 'Rv0154c', 'Rv3139', 'Rv3039c', 'Rv0231', 'Rv0456c', 'Rv0271c', 'Rv1346', 'Rv0243', 'Rv3543c', 'Rv3546', 'Rv1679', 'Rv3140', 'Rv3550', 'Rv0222', 'Rv3141', 'Rv2831', 'Rv3556c', 'Rv2500c', 'Rv0975c', 'Rv3544c', 'Rv1933c', 'Rv2679', 'Rv3573c', 'Rv1912c', 'Rv0971c', 'Rv3560c', 'Rv1070c', 'Rv2724c', 'Rv3774', 'Rv0632c', 'Rv1074c', 'Rv3505', 'Rv0244c', 'Rv0673', 'Rv1715', 'Rv3504', 'Rv1071c', 'Rv0400c', 'Rv1323', 'Rv0972c', 'Rv0468', 'Rv1935c', 'Rv0859', 'Rv0131c', 'Rv3562', 'Rv3797', 'Rv3761c', 'Rv3373', 'Rv0672', 'Rv2486', 'Rv3374', 'Rv1472', 'Rv3516', 'Rv1142c', 'Rv0905', 'Rv3061c', 'Rv1141c', 'Rv1934c', 'Rv0675', 'Rv0873', 'Rv3564', 'Rv2789c']",coa_c + fad_c + nad_c + octscoa_c --> accoa_c + fadh2_c + hexscoa_c + nadh_c,"['Rv3139', 'Rv3516']"
FAD_2,48.0,9.474312594322568e-09,"[(0.9999999999480761, 13), (0.9999999999479877, 3), (0.9999999999479545, 2), (0.9999999999481424, 2), (0.9999999999488568, 2), (0.9999999999480652, 2), (0.9999999999481535, 2), (0.9999999999482496, 1), (0.9999999999481303, 1), (0.9999999999480544, 1), (0.9999999999481645, 1), (0.9999999999481086, 1), (0.9999999999481203, 1), (0.9999999999481628, 1), (0.9999999999482528, 1), (0.999999999948065, 1), (0.9999999999481953, 1), (0.9999999999482307, 1), (0.9999999999478993, 1), (0.9999999999480319, 1), (0.9999999999504847, 1), (0.9999999999481314, 1), (0.9999999999479324, 1), (0.9999999999469823, 1), (0.9999999999476673, 1), (0.9999999999480436, 1), (0.999999999948054, 1), (0.9999999999480429, 1), (0.9999999999470928, 1), (0.9999999999486948, 1), (0.9999999999493905, 1)]",Fatty Acid Metabolism,,"['Rv3563', 'Rv3274c', 'Rv0752c', 'Rv0215c', 'Rv1467c', 'Rv0154c', 'Rv3139', 'Rv3039c', 'Rv0231', 'Rv0456c', 'Rv0271c', 'Rv1346', 'Rv0243', 'Rv3543c', 'Rv3546', 'Rv1679', 'Rv3140', 'Rv3550', 'Rv0222', 'Rv3141', 'Rv2831', 'Rv3556c', 'Rv2500c', 'Rv0975c', 'Rv3544c', 'Rv1933c', 'Rv2679', 'Rv3573c', 'Rv1912c', 'Rv0971c', 'Rv3560c', 'Rv1070c', 'Rv2724c', 'Rv3774', 'Rv0632c', 'Rv1074c', 'Rv3505', 'Rv0244c', 'Rv0673', 'Rv1715', 'Rv3504', 'Rv1071c', 'Rv0400c', 'Rv0972c', 'Rv1323', 'Rv0468', 'Rv1935c', 'Rv0859', 'Rv0131c', 'Rv3562', 'Rv3797', 'Rv3761c', 'Rv3373', 'Rv0672', 'Rv2486', 'Rv3374', 'Rv1472', 'Rv3516', 'Rv1142c', 'Rv0905', 'Rv3061c', 'Rv1141c', 'Rv1934c', 'Rv0675', 'Rv0873', 'Rv3564', 'Rv2789c']",coa_c + fad_c + hexscoa_c + nad_c --> accoa_c + fadh2_c + nadh_c + tetscoa_c,"['Rv3139', 'Rv3516']"
HIAA,48.0,9.474312594322568e-09,"[(0.9999999999999976, 36), (0.9999999999999972, 6), (0.9999999999999979, 4), (0.9999999999999974, 1), (0.9999999999999999, 1), (0.9999999999999984, 1), (0.9999999999999952, 1)]",Cholesterol degradation,HIAA,[],h2o_c + hipocoa_c --> accoa_c + hia_c,
NDPK5,24.0,1.1362436456475478e-05,"[(0.9897959183673469, 50)]",Purine and Pyrimidine Biosynthesis,nucleoside-diphosphate kinase (ATP:dGDP),['Rv2445c'],atp_c + dgdp_c <=> adp_c + dgtp_c,
2MIL,24.0,1.1362436456475478e-05,"[(0.9999999999999851, 46), (0.9999999999999852, 2), (0.9999999999999838, 1), (0.9999999999999781, 1)]",Propanoate Metabolism,,['Rv0467'],micit_c --> pyr_c + succ_c,
UDPDPS2,15.136883793569496,0.0003075581378558111,"[(0.9375, 22), (0.9583333333333334, 14), (0.9166666666666666, 10), (0.9791666666666666, 4)]",Polyprenyl Metabolism,UDPDPS2,['Rv2361c'],decdp__tb_c + ipdp_c --> ppi_c + udcpdp_c,
EX_gly,13.623284401672366,0.0005702711103820673,"[(0.9999999999873547, 5), (0.8447151617037674, 2), (0.31056967656731516, 1), (0.31056967656761836, 1), (0.9999999999873465, 1), (0.8447151617037301, 1), (0.3105696765673315, 1), (0.3105696765675334, 1), (0.31056967656367174, 1), (0.31056967656728474, 1), (0.8447151617037776, 1), (0.9999999999873457, 1), (0.9999999999873526, 1), (0.8447151617038335, 1), (0.3105696765671707, 1), (0.310569676567126, 1), (0.3105696765661474, 1), (0.3105696765662601, 1), (0.3105696765671453, 1), (0.9999999999873788, 1), (0.8447151617038691, 1), (0.844715161705021, 1), (0.31056967657185885, 1), (0.8447151617037945, 1), (0.3105696765675118, 1), (0.31056967656733137, 1), (0.999999999987408, 1), (0.8447151617036741, 1), (0.31056967656489476, 1), (0.31056967656410706, 1), (0.844715161703737, 1), (0.3105696765645216, 1), (0.8447151617038997, 1), (0.8447151617024854, 1), (0.8447151617034774, 1), (0.31056967656710877, 1), (3.9968028886505635e-15, 1), (0.31056967656733514, 1), (0.8447151617037769, 1), (0.3105696765677056, 1), (0.3105696765670388, 1), (0.9999999999873543, 1), (0.3105696765677407, 1), (0.3105696765667072, 1), (0.8447151619224915, 1)]",Exchange,,[],gly_e --> ,
