,F_value,pvalue,value_counts,name
2mbdhl_c,48.0,9.474312594322568e-09,"[(0.9999999999999999, 50)]",S-(2-Methylbutanoyl)-dihydrolipoamide
gly_e,13.623284401672406,0.0005702711103820569,"[(0.9999999999747097, 5), (0.8447151616930859, 2), (0.3105696765633881, 1), (0.3105696765636913, 1), (0.9999999999746931, 1), (0.8447151616930487, 1), (0.3105696765634044, 1), (0.31056967656360634, 1), (0.31056967655974466, 1), (0.31056967656335766, 1), (0.8447151616930961, 1), (0.9999999999747007, 1), (0.9999999999747056, 1), (0.8447151616931521, 1), (0.3105696765632435, 1), (0.3105696765631989, 1), (0.31056967656222023, 1), (0.31056967656233303, 1), (0.3105696765632182, 1), (0.9999999999747579, 1), (0.8447151616931876, 1), (0.8447151616943396, 1), (0.3105696765679318, 1), (0.844715161693113, 1), (0.3105696765635847, 1), (0.3105696765634043, 1), (0.9999999999748163, 1), (0.8447151616929927, 1), (0.3105696765609677, 1), (0.31056967656018, 1), (0.8447151616930556, 1), (0.31056967656059453, 1), (0.8447151616932184, 1), (0.844715161691804, 1), (0.844715161692796, 1), (0.3105696765631817, 1), (4.107825191113079e-15, 1), (0.31056967656340806, 1), (0.8447151616930955, 1), (0.31056967656377854, 1), (0.31056967656311174, 1), (0.999999999974709, 1), (0.3105696765638136, 1), (0.3105696765627801, 1), (0.8447151619118101, 1)]",Glycine
lpro_c,11.503371251550984,0.0013990822267234977,"[(0.20539201547440408, 2), (0.5064377104900598, 1), (0.5064377104897426, 1), (1.654093528813405e-12, 1), (0.08200144309697602, 1), (0.5064377104899868, 1), (0.5064377104899725, 1), (0.5064377104944771, 1), (0.5064377104899923, 1), (0.08200144309698347, 1), (0.2053920154744453, 1), (1.2016498907030382e-12, 1), (0.08200144309685349, 1), (0.5064377104901755, 1), (0.5064377104901893, 1), (0.5064377104912343, 1), (0.20539201547443386, 1), (0.5064377104917742, 1), (0.5064377104902282, 1), (0.20539201547427552, 1), (0.08200144309692828, 1), (0.08200144309589713, 1), (0.5064377104870124, 1), (0.08200144309697259, 1), (0.08200144309687914, 1), (0.5064377104897793, 1), (0.5064377104899189, 1), (2.1890822488046524e-12, 1), (0.0820014430969886, 1), (0.5064377104936875, 1), (0.5064377104906999, 1), (0.0820014430969365, 1), (0.5064377104927019, 1), (0.0820014430970098, 1), (0.0820014430970091, 1), (0.08200144309680023, 1), (1.3966050538272157e-12, 1), (0.5064377104901097, 1), (1.0, 1), (0.5064377104900473, 1), (0.08200144309687353, 1), (0.5064377104894294, 1), (0.08200144309697889, 1), (0.5064377104907012, 1), (0.20539201547483582, 1), (0.5064377104894815, 1), (0.5064377104904279, 1), (0.08200144293028265, 1), (0.20539201547461577, 1)]",Lipoylprotein
ncam_c,8.693055322403328,0.004921664186342761,"[(1.0, 25), (0.28111760452330614, 2), (0.0, 1), (0.7539008339768645, 1), (0.47490297337254406, 1), (0.4890847499695995, 1), (0.21212152625147318, 1), (4.57744953052952e-13, 1), (0.2811176045233065, 1), (0.2852719853276713, 1), (0.28111760452330425, 1), (0.20796714544675232, 1), (0.4890847499699884, 1), (0.4890847499695997, 1), (0.281117604523365, 1), (0.28111760452330714, 1), (0.48908474996960793, 1), (0.48908474996943185, 1), (0.28527198532801334, 1), (0.48908474996959994, 1), (0.2852719853280219, 1), (0.2811176045232887, 1), (0.28111760452329904, 1), (0.2811176045237266, 1), (0.49323913077431414, 1)]",Nicotinamide
gly_c,7.56941024208252,0.008350163377332947,"[(0.30478800953556706, 2), (0.11205897305322465, 2), (0.36081749606219593, 2), (0.11205897305329326, 1), (0.11205897305337897, 1), (0.9999999999878959, 1), (0.3608174960621877, 1), (0.11205897305329948, 1), (0.11205897305335633, 1), (0.1120589730519721, 1), (0.11205897305331192, 1), (0.30478800953559615, 1), (0.3608174960622137, 1), (0.36081749606219193, 1), (0.3047880095356077, 1), (0.11205897305324375, 1), (0.11205897305293244, 1), (0.11205897305290424, 1), (0.999999999987921, 1), (0.3047880095356219, 1), (0.304788009536036, 1), (0.11205897305585055, 1), (0.30478800953559126, 1), (0.3047880095355868, 1), (0.11205897305336099, 1), (0.11205897305328705, 1), (0.36081749606219415, 1), (0.30478800953555885, 1), (0.11205897305244261, 1), (0.11205897305214707, 1), (0.11205897305229251, 1), (0.30478800953563145, 1), (0.3047880095344382, 1), (0.304788009535476, 1), (0.36081749606221925, 1), (0.11205897305322554, 1), (3.019806626980426e-14, 1), (0.11205897305331147, 1), (0.30478800953558727, 1), (0.9999999999878955, 1), (0.11205897305380708, 1), (0.30478800953558083, 1), (0.11205897305316648, 1), (0.11205897305344648, 1), (0.11205897305306167, 1), (0.3047880096145117, 1), (0.3608174960622168, 1)]",Glycine
dhlpro_c,7.372072268534924,0.009178514301105462,"[(0.6952119904642764, 4), (0.8879410269466308, 3), (0.6952119904642386, 3), (0.8879410269466685, 2), (0.6952119904642009, 2), (0.8879410269470465, 2), (0.8879410269468195, 2), (0.8879410269465173, 1), (1.1522338638769725e-11, 1), (0.7729588029011805, 1), (0.695211990464266, 1), (0.8879410269466728, 1), (0.8879410269478019, 1), (0.6391825039376111, 1), (0.7729588029011938, 1), (0.8879410269466799, 1), (0.8879410269468953, 1), (0.6391825039374219, 1), (0.887941026946744, 1), (1.1466605442933542e-11, 1), (0.6952119904642595, 1), (0.8879410269442127, 1), (0.6952119904642786, 1), (0.8879410269466113, 1), (0.7729588029013694, 1), (0.8879410269474621, 1), (0.8879410269477481, 1), (0.695211990465435, 1), (0.7729588029011427, 1), (0.8879410269467063, 1), (1.0, 1), (0.8879410269466697, 1), (1.1542100608608052e-11, 1), (0.8879410269465751, 1), (0.6952119904643133, 1), (0.6391825039377244, 1), (0.887941026946574, 1), (0.6952119903855025, 1), (0.6391825039376866, 1)]",Dihydrolipolprotein
mmmeroacidcyc1AMP_c,7.0890381266657405,0.010522277250727862,"[(0.004846658154924112, 1), (0.6179831057296193, 1), (0.009482046452431492, 1), (0.5932286479257427, 1), (0.004893270464610735, 1), (0.5930686641803822, 1), (0.004846658154924261, 1), (0.6173546957564745, 1), (0.004846658154924166, 1), (0.006976170219594609, 1), (0.010054130447734417, 1), (0.005035470126663898, 1), (0.008400984973969676, 1), (0.961701460398094, 1), (0.6181162861642168, 1), (0.005671842528059837, 1), (0.005538964197092332, 1), (0.004846658154923479, 1), (0.009391934126096513, 1), (2.2551405187698492e-17, 1), (0.005717836890557064, 1), (0.5930859633053851, 1), (0.0048466581549286205, 1), (0.0057091323757374746, 1), (0.004893270464610647, 1), (0.0048466581549240755, 1), (0.010108057848288995, 1), (0.004953901762698339, 1), (0.007101234737362372, 1), (0.5957675278666561, 1), (1.0, 1), (0.007101234737362404, 1), (0.004846658154923815, 1), (0.00621984612635221, 1), (0.01015467015796414, 1), (0.00621984612635298, 1), (0.004953901762698649, 1), (0.59330540812943, 1), (0.5972116299244922, 1), (0.0048466581549240165, 1), (0.004893270464610825, 1), (0.0, 1), (0.00626226591067302, 1), (0.004893270464612336, 1), (0.010108057848288866, 1), (0.004711687578823818, 1), (0.006262265910672648, 1), (0.006173233816665883, 1), (0.6140963038530977, 1), (0.010401587015769907, 1)]",cyclopropanated-methyl-hydroxy-methoxy-meroacid-AMP-1-cyclopropane-ring
mmeroacidcyc2AMP_c,7.088665315475932,0.010524179197895119,"[(0.004846658154924152, 1), (0.6171492168417393, 1), (0.009025783232410975, 1), (0.5932286479257427, 1), (0.004893270464610768, 1), (0.5930686641803823, 1), (0.004846658154924301, 1), (0.6173546957564746, 1), (0.004846658154924499, 1), (0.0060969564162750775, 1), (0.010054130447734457, 1), (0.0050354701266639365, 1), (0.00489327046461074, 1), (0.9617014603980941, 1), (0.6172823972763367, 1), (0.004846658155001604, 1), (0.00471168757882426, 1), (0.004846658154923519, 1), (0.008558045238216423, 1), (6.418476861114186e-17, 1), (0.0048932704646143105, 1), (0.5930859633053852, 1), (0.004846658154931068, 1), (0.00489327046461078, 1), (0.004893270464610687, 1), (0.004846658154924088, 1), (0.010108057848289035, 1), (0.004953901762698382, 1), (0.006219846126352737, 1), (0.5949336389787759, 1), (0.9999999999999999, 1), (0.006219846126352721, 1), (0.00484665815492356, 1), (0.006219846126352252, 1), (0.010154670157965399, 1), (0.006219846126353034, 1), (0.0049539017626986925, 1), (0.59330540812943, 1), (0.5963669002673115, 1), (0.004846658154924055, 1), (0.004893270464610864, 1), (0.0, 1), (0.0062622659106730556, 1), (0.0048932704646125254, 1), (0.010108057848288903, 1), (0.004711687578823858, 1), (0.0062622659106726895, 1), (0.006173233816665923, 1), (0.6132717374271585, 1), (0.0100541304477345, 1)]",cyclopropanated-methoxy-meroacid-AMP-2-cyclopropane-rings
3php_c,6.474193429748187,0.01421706811431772,"[(0.043185581298923914, 2), (0.026721312088093807, 1), (0.02672131208795636, 1), (0.9999999999931954, 1), (2.7977620220553945e-14, 1), (0.6548440261858773, 1), (0.02672131208809647, 1), (0.026721312088119342, 1), (0.026721312088237026, 1), (0.02672131208810069, 1), (0.6548440261858872, 1), (0.6713082953967082, 1), (5.10702591327572e-15, 1), (0.6548440261858913, 1), (0.026721312088098692, 1), (0.026721312088269, 1), (0.026721312086675164, 1), (0.6713082953967224, 1), (0.02672131208815065, 1), (0.02672131208809736, 1), (0.5597011170933737, 1), (0.6548440261858853, 1), (0.6548440261858679, 1), (0.02672131208886297, 1), (0.6548440261858731, 1), (0.6548440261858764, 1), (0.026721312088082927, 1), (0.0267213120880887, 1), (2.3314683517128287e-14, 1), (0.6548440261858736, 1), (0.02672131208823325, 1), (0.026721312088056948, 1), (0.6548440261858801, 1), (0.026721312088106464, 1), (0.6548440261859069, 1), (0.6548440261853508, 1), (0.6548440261858662, 1), (0.6379502582031746, 1), (0.026721312088100246, 1), (0.026721312088102245, 1), (0.6548440261858827, 1), (0.5597011170933719, 1), (0.02672131208806805, 1), (0.6548440261858792, 1), (0.026721312088091365, 1), (0.026721312088069604, 1), (0.02672131208809403, 1), (0.6548440261972519, 1), (0.671308295396729, 1)]",3-Phosphohydroxypyruvate
pser__L_c,6.361963896388698,0.015029567339895628,"[(0.01951635060697776, 1), (0.01951635060682544, 1), (0.9999999999937481, 1), (2.842170943040401e-14, 1), (0.6903260223320118, 1), (0.019516350606975985, 1), (0.01951635060699508, 1), (0.01951635060704393, 1), (0.019516350606979094, 1), (0.6903260223320178, 1), (0.6991176093711592, 1), (1.887379141862766e-14, 1), (0.690326022332021, 1), (0.01951635060697754, 1), (0.019516350607160504, 1), (0.019516350605436106, 1), (0.6991176093711675, 1), (0.019516350607030608, 1), (0.019516350606974875, 1), (0.5297785886837583, 1), (0.6903260223320173, 1), (0.6903260223319985, 1), (0.019516350607713395, 1), (0.6903260223320073, 1), (0.6903260223320121, 1), (0.01951635060696555, 1), (0.019516350606968214, 1), (1.8207657603852567e-14, 1), (0.6903260223320129, 1), (0.019516350607093447, 1), (0.01951635060693313, 1), (0.690326022332012, 1), (0.019516350606970212, 1), (0.6903260223320316, 1), (0.6903260223316008, 1), (0.6903260223320044, 1), (0.6813050916282469, 1), (0.019516350606980204, 1), (0.028307937646120385, 1), (0.019516350606980648, 1), (0.6903260223320146, 1), (0.5297785886837536, 1), (0.019516350606969324, 1), (0.6903260223320141, 1), (0.019516350606958666, 1), (0.028307937646113945, 1), (0.01951635060695911, 1), (0.01951635060697221, 1), (0.6903260223441507, 1), (0.6991176093711619, 1)]",O-Phospho-L-serine
