,F_value,pvalue,value_counts,subsystem,name,genes,reaction,alleles_sim
ACOTA,48.0,9.474312594322568e-09,"[(0.9999999798305627, 15), (0.9999999798393798, 2), (0.9999999798405664, 2), (0.9999999798426552, 1), (0.9999999798406172, 1), (0.9999999798610243, 1), (0.9999999798405232, 1), (0.9999999798403726, 1), (0.9999999798405355, 1), (0.9999999798405979, 1), (0.9999999798053187, 1), (0.9999999798404084, 1), (0.9999999798429992, 1), (0.9999999798306489, 1), (0.9999999798318037, 1), (0.9999999798384412, 1), (0.9999999798404956, 1), (0.9999999798306277, 1), (0.9999999798403899, 1), (0.9999999798310659, 1), (0.9999999798330476, 1), (0.9999999798591874, 1), (0.9999999798405061, 1), (0.9999999797786303, 1), (0.9999999798271451, 1), (0.9999999798331792, 1), (0.9999999798401074, 1), (0.9999999798405237, 1), (0.9999999798405524, 1), (0.9999999798323737, 1), (0.9999999798305623, 1), (0.9999999798403415, 1), (0.9999999798325219, 1), (0.9999999798405337, 1)]",Arginine and Proline Metabolism,acetylornithine transaminase,['Rv1655'],acorn_c + akg_c <=> acg5sa_c + glu__L_c,
CYSS,48.0,9.474312594322568e-09,"[(0.9999999999999999, 50)]",Cysteine and methionine metabolism,cysteine synthase,"['Rv2334', 'Rv1336']",acser_c + h2s_c --> ac_c + cys__L_c + h_c,
GTHRDt2,48.0,9.474312594322568e-09,"[(0.9999999999999999, 50)]",Transport,Glutathione transport,"['Rv1281c', 'Rv1280c', 'Rv1283c', 'Rv1282c']",atp_c + gthrd_e + h2o_c --> adp_c + gthrd_c + h_c + pi_c,
CHCD,48.0,9.474312594322568e-09,"[(0.9999999999999998, 43), (0.9999999999999999, 7)]",Cholesterol degradation,MNXR22345,[],hipohcoa_c + nad_c --> h_c + hipocoa_c + nadh_c,
HIAA,48.0,9.474312594322568e-09,"[(0.9999999999999999, 43), (1.0, 7)]",Cholesterol degradation,HIAA,[],h2o_c + hipocoa_c --> accoa_c + hia_c,
IPDAB,48.0,9.474312594322568e-09,"[(0.9999999999999999, 44), (1.0, 6)]",Cholesterol degradation,IPDAB,"['Rv3552', 'Rv3551']",5ohhip_c + atp_c + coa_c + 3.0 h_c --> 5ohhipcoa_c + amp_c + ppi_c,
HIPA,48.0,9.474312594322568e-09,"[(0.9999999999999999, 44), (1.0, 6)]",Cholesterol degradation,HIPA,[],h_c + hip_c + nadh_c --> 5ohhip_c + nad_c,
FADE30,48.0,9.474312594322568e-09,"[(0.9999999999999999, 43), (1.0, 7)]",Cholesterol degradation,MNXR87739,['Rv3560c'],5ohhipcoa_c + fad_c --> fadh2_c + hipecoa_c,
EX_hia,48.0,9.474312594322568e-09,"[(0.9999999999999999, 43), (1.0, 7)]",Exchange,,[],hia_e --> ,
GLU5K,24.0,1.1362436456475478e-05,"[(0.999999943318886, 14), (0.9999999433087792, 3), (0.9999999433074191, 2), (0.9999999433050248, 1), (0.999999943307361, 1), (0.9999999432839692, 1), (0.9999999433074687, 1), (0.9999999433087794, 1), (0.9999999433076414, 1), (0.9999999433074543, 1), (0.9999999433073827, 1), (0.9999999433478212, 1), (0.9999999433188858, 1), (0.9999999433046307, 1), (0.9999999433184937, 1), (0.9999999433173838, 1), (0.9999999433053886, 1), (0.9999999433075002, 1), (0.9999999433185273, 1), (0.9999999433077521, 1), (0.9999999433183087, 1), (0.9999999433081158, 1), (0.9999999432839699, 1), (0.9999999433074881, 1), (0.9999999433784124, 1), (0.999999943353525, 1), (0.9999999433158866, 1), (0.9999999433079454, 1), (0.9999999433074678, 1), (0.9999999433074349, 1), (0.9999999433196858, 1), (0.9999999433188862, 1), (0.9999999433076766, 1), (0.9999999433074546, 1)]",Urea Cycle,glutamate 5-kinase,['Rv2439c'],atp_c + glu__L_c --> adp_c + glu5p_c,
DPPS,10.88,0.001836126651081092,"[(0.0, 46), (0.9999999999851997, 1), (0.9999999999993802, 1), (0.9999999999880042, 1), (0.9999999999994551, 1)]",Polyprenyl Metabolism,DPPS,[],frdp_c + 7.0 ipdp_c --> decdp_c + 7.0 ppi_c,
UDPDPS,10.879999999999999,0.001836126651081098,"[(0.0, 46), (0.9999999999851997, 1), (0.9999999999993802, 1), (0.9999999999880039, 1), (0.9999999999994549, 1)]",Polyprenyl Metabolism,Undecaprenyl-diphosphate synthase,['Rv2361c'],decdp_c + ipdp_c --> ppi_c + udcpdp_c,
