,F_value,pvalue,value_counts,subsystem,name,genes,reaction,alleles_sim
EX_acysbmn,9.6,0.0032488992698567966,"[(5.252243109517853e-13, 50)]",Exchange,,[],acysbmn_e --> ,
NNAM,9.538403014870513,0.003340846090663504,"[(0.9999999999999999, 13), (1.0, 10), (0.05751119726634901, 1), (0.6214806522278014, 1), (0.6214806522278382, 1), (0.131997653951072, 1), (0.1612948086070355, 1), (0.276931296642111, 1), (0.06085167718553108, 1), (0.21188601682414543, 1), (0.16129480860704415, 1), (0.1983557216530304, 1), (0.06085167718553164, 1), (0.0676963187826759, 1), (0.03880431675143836, 1), (0.16129480860703038, 1), (0.1612948086070244, 1), (0.08469473480966572, 1), (0.19835572165302373, 1), (0.1983557216530224, 1), (0.038804316751398504, 1), (0.06085167718553952, 1), (0.3745227734551937, 1), (0.06085167718553597, 1), (0.0846947348096645, 1), (0.25049415116821017, 1), (0.04386242469124857, 1), (0.0, 1), (0.17802734969799094, 1)]",Pantothenate and CoA Metabolism,Nicotinamidase,['Rv2043c'],h2o_c + ncam_c <=> nac_c + nh4_c,['Rv2043c']
UGLDDS1,8.747368651968827,0.004799445439380255,"[(0.6000000000000001, 22), (0.4000000000000001, 14), (0.5000000000000001, 6), (0.8, 4), (0.20000000000000007, 3), (1.0, 1)]",Peptidoglycan Metabolism,UGLDDS1,['Rv2157c'],alaala_c + atp_c + uAgl_c --> adp_c + h_c + pi_c + uAgla_c,
KSH,8.701711968602616,0.004901966267582585,"[(0.5692307692307693, 5), (0.476923076923077, 4), (0.7230769230769232, 3), (0.6923076923076924, 3), (0.8307692307692309, 3), (0.44615384615384623, 3), (0.5384615384615385, 3), (0.5076923076923078, 3), (0.676923076923077, 2), (0.6615384615384616, 2), (0.41538461538461546, 2), (0.3538461538461539, 2), (0.3846153846153847, 2), (0.6000000000000001, 2), (0.6153846153846154, 1), (0.7076923076923078, 1), (0.6461538461538463, 1), (0.7846153846153847, 1), (0.9076923076923078, 1), (0.4538461538461539, 1), (0.5115384615384616, 1), (0.4615384615384616, 1), (0.5538461538461539, 1), (0.6307692307692309, 1), (0.9692307692307693, 1)]",Cholesterol degradation,R09860,"['Rv3526', 'Rv3571']",andrs14dn317dn_c + h_c + nadh_c + o2_c --> 9ohadd_c + h2o_c + nad_c,
DM_ncam_c,8.550903709535918,0.005257375904781695,"[(0.0, 25), (0.6061145400457093, 1), (0.9521234964152796, 1), (0.352690901453836, 1), (0.8338904868227762, 1), (0.6347941016015491, 1), (0.9521234964152797, 1), (0.8338904868227854, 1), (0.8998427050119228, 1), (0.994598289639981, 1), (0.8724421782110607, 1), (0.9999999999999999, 1), (0.9521234964152742, 1), (0.6985877461411295, 1), (0.9521234964152749, 1), (0.8724421782110572, 1), (0.5727701350578471, 1), (0.4461741002360717, 1), (0.9521234964152135, 1), (0.9029178133755339, 1), (0.6985877461410736, 1), (0.6769389285419077, 1), (0.9698056751556806, 1), (0.9521234964152765, 1), (0.8724447024364037, 1), (0.9521234964152757, 1)]",Intracellular demand,ncam_c Demand reaction,[],ncam_c --> ,
FACOALPHDCA,7.117852914009646,0.010376374246222592,"[(0.9982363315696648, 28), (0.9964726631393297, 7), (0.9977954144620811, 4), (0.9973544973544973, 4), (0.9991181657848324, 2), (0.9980158730158729, 2), (0.9986772486772486, 1), (0.9995590828924161, 1), (0.9975749559082892, 1)]",Membrane Metabolism,FACOALPHDCA,[],atp_c + coa_c + phdca_c <=> amp_c + phdcacoa_c + ppi_c,
TMHAS2,6.828326760441408,0.011945974401048727,"[(0.5, 18), (0.0, 9), (0.50390625, 7), (0.25, 5), (0.375, 2), (0.75, 2), (1.0, 2), (0.5078125, 2), (0.49609375, 1), (0.4921875, 1), (0.501953125, 1)]",Fatty Acid Metabolism,TMHAS2,[],tdm1_c + tdm3_c + tre_c --> 2.0 h2o_c + tmha2_c,
RBFK,6.453722913691201,0.01436170030523485,"[(0.5000000000000001, 12), (0.6000000000000001, 11), (0.55, 9), (0.4000000000000001, 8), (0.8, 3), (0.6500000000000001, 2), (0.0, 1), (0.45000000000000007, 1), (1.0, 1), (0.7000000000000001, 1), (0.7500000000000001, 1)]",Riboflavin Metabolism,riboflavin kinase,['Rv2786c'],atp_c + ribflv_c --> adp_c + fmn_c + h_c,
UGAGDS,5.962668062453958,0.018346849354020388,"[(0.27920035938903864, 17), (0.27923779574722973, 12), (0.27916292303084755, 10), (0.2792190775681342, 2), (0.6745470200658881, 1), (0.27927523210542077, 1), (0.2964023659778377, 1), (0.27991165019466907, 1), (0.5012728361784966, 1), (0.22143605870020966, 1), (0.5017220724767895, 1), (0.380989817310572, 1), (0.2791816412099431, 1)]",Peptidoglycan Metabolism,UGAGDS,['Rv2158c'],26dap__M_c + atp_c + ugmag_c --> adp_c + h_c + pi_c + uggmd_c,
TRE6PS,5.781690013556261,0.020100891145133762,"[(0.42857142857142855, 18), (0.5714285714285714, 10), (0.2857142857142857, 6), (0.14285714285714285, 6), (0.7142857142857142, 2), (0.9999999999999999, 1), (0.21428571428571427, 1), (0.0, 1), (0.3571428571428571, 1), (0.5, 1), (0.25, 1), (0.5357142857142857, 1), (0.46428571428571425, 1)]",Membrane Metabolism,"Alpha,alpha-trehalose-phosphate synthase (UDP-forming)",['Rv3490'],g6p_c + udpg_c --> h_c + tre6p_c + udp_c,
ASNS1,5.58278361894394,0.02223800283498112,"[(0.42342342342342343, 7), (0.4414414414414415, 7), (0.43243243243243246, 5), (0.4684684684684685, 4), (0.41441441441441446, 4), (0.4594594594594595, 3), (0.45045045045045046, 3), (0.5225225225225225, 3), (0.4864864864864865, 3), (0.3603603603603604, 2), (0.5045045045045046, 2), (0.5405405405405406, 1), (0.3873873873873874, 1), (0.44594594594594594, 1), (0.463963963963964, 1), (0.4774774774774775, 1), (0.3963963963963964, 1), (0.35135135135135137, 1)]","Alanine, Aspartate, and Glutamate Metabolism",asparagine synthase (glutamine-hydrolysing),['Rv2201'],asp__L_c + atp_c + gln__L_c + h2o_c --> amp_c + asn__L_c + glu__L_c + h_c + ppi_c,
TRPS1,5.565884044082442,0.022430488531212496,"[(0.6666666666666666, 25), (0.3333333333333333, 9), (0.8333333333333333, 8), (0.5, 5), (1.0, 2), (0.0, 1)]","Tyrosine, Tryptophan, and Phenylalanine Metabolism",tryptophan synthase (indoleglycerol phosphate),"['Rv1613', 'Rv1612']",3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c,
DHNAOT,5.5279026119836345,0.022869649427862643,"[(0.2876712328767123, 24), (0.273972602739726, 10), (0.3013698630136986, 7), (0.29452054794520544, 6), (0.3561643835616438, 1), (0.2808219178082192, 1), (0.2910958904109589, 1)]",Cofactor and Prosthetic Group Biosynthesis,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",['Rv0534c'],dhna_c + octdp_c --> 2dmmq8_c + co2_c + h_c + ppi_c,
PHTHDLS2,5.465361167559591,0.023613016809265825,"[(0.5, 24), (0.25, 16), (0.375, 7), (0.0, 2), (0.75, 1)]",Membrane Metabolism,PHTHDLS2,[],h_c + prepphth_c --> co2_c + pphthdl_c,
CYP1,5.27382304381995,0.026055674780228834,"[(1.4380414731415963e-15, 5), (1.5372167471513615e-15, 4), (1.2396909251220658e-15, 4), (1.5868043841562441e-15, 3), (1.338866199131831e-15, 3), (1.7851549321757747e-15, 3), (1.190103288117183e-15, 3), (1.0909280141074178e-15, 3), (1.3884538361367137e-15, 3), (1.6363920211611267e-15, 2), (1.6115982026586854e-15, 2), (1.4876291101464789e-15, 2), (1.2892785621269484e-15, 2), (1.1405156511123004e-15, 2), (1.0661341956049765e-15, 1), (1.6859796581660095e-15, 1), (0.316283006609227, 1), (1.8347425691806574e-15, 1), (0.4204770502064784, 1), (0.33444812456460077, 1), (0.11975202582270776, 1), (1.3636600176342724e-15, 1), (0.3248877826668616, 1)]",Cholesterol degradation,MNXR19061,"['Rv3518c', 'Rv3545c']",chol4en3one_c + h_c + nadh_c + o2_c --> h2o_c + hchol_c + nad_c,
