,F_value,pvalue,value_counts,name
acysbmn_e,12.0,0.0011296670368900366,"[(1.0504486219030189e-12, 50)]",acetyl-cystine-bimane
ncam_c,8.550903709535918,0.005257375904781695,"[(0.0, 25), (0.6061145400457093, 1), (0.9521234964152796, 1), (0.352690901453836, 1), (0.8338904868227762, 1), (0.634794101601549, 1), (0.9521234964152797, 1), (0.8338904868227854, 1), (0.8998427050119228, 1), (0.994598289639981, 1), (0.8724421782110607, 1), (0.9999999999999999, 1), (0.9521234964152742, 1), (0.6985877461411295, 1), (0.9521234964152749, 1), (0.8724421782110572, 1), (0.5727701350578471, 1), (0.4461741002360717, 1), (0.9521234964152135, 1), (0.9029178133755339, 1), (0.6985877461410734, 1), (0.6769389285419077, 1), (0.9698056751556806, 1), (0.9521234964152765, 1), (0.8724447024364036, 1), (0.9521234964152757, 1)]",Nicotinamide
4hba_c,5.424983545271162,0.02410669665142945,"[(0.4476525014603221, 43), (0.35364945899950784, 1), (1.0, 1), (0.3953481805158393, 1), (0.49270692657280546, 1), (0.3688072575134762, 1), (0.6821078284099382, 1), (0.4344135612453666, 1)]",4-Hydroxy-benzyl-alcohol
cchol_c,5.21875390224374,0.0268072463980399,"[(0.4673435022898016, 3), (0.8831197492998935, 2), (0.9022222710155469, 1), (0.9084243164548773, 1), (0.8578067894569127, 1), (0.9044168437700877, 1), (0.9378564273038641, 1), (0.8831197492999017, 1), (0.9436542638709935, 1), (0.0, 1), (0.89676422406303, 1), (0.6873570338892687, 1), (0.8578067894569106, 1), (0.8241335437184223, 1), (0.9436542638709896, 1), (0.3235449580882022, 1), (0.93923647297753, 1), (0.8366321001779525, 1), (0.9042920673022148, 1), (0.8967642240630136, 1), (0.9436542638709944, 1), (0.8855806887284767, 1), (0.9086444377008505, 1), (0.8578067894569563, 1), (0.9084243164548647, 1), (0.272208465845626, 1), (0.9436542638709842, 1), (0.5408980968563054, 1), (0.8578067894569223, 1), (0.5010064048887277, 1), (0.9084243164542655, 1), (0.5981559486308923, 1), (0.8578067894568833, 1), (0.8838463562405983, 1), (0.7516398561628076, 1), (0.8221232084102792, 1), (0.9378564273038632, 1), (0.8578067894569185, 1), (0.899483942306528, 1), (0.9245231509375141, 1), (0.8327189271622057, 1), (0.9190738338134374, 1), (0.8850694224694082, 1), (0.8855806887284623, 1), (0.8578067894569161, 1), (0.9436582287432755, 1), (0.8578067894569169, 1)]",26-Carboxycholest-4-en-3-one
ochol_c,4.781419116581585,0.03367478478877429,"[(0.6746435232156497, 3), (0.9742956084084962, 2), (0.9328556588286254, 2), (0.9830470832077811, 1), (0.9701297422475095, 1), (0.9492828566040953, 1), (0.9189812994417252, 1), (0.9328556588286291, 1), (0.9848388215388997, 1), (0.0, 1), (0.9788979278310668, 1), (0.8150138924720632, 1), (0.9492828566040938, 1), (0.9269581222396527, 1), (0.9848388215388962, 1), (0.36567774730874614, 1), (0.9744704580076011, 1), (0.8857363672619784, 1), (0.9669884457474134, 1), (0.9788979278310501, 1), (0.9848388215389008, 1), (0.9703963106468041, 1), (0.9702970763249197, 1), (0.9492828566041445, 1), (0.9701297422474962, 1), (0.3042698763257226, 1), (0.9848388215388937, 1), (0.6280682250041006, 1), (0.9492828566041007, 1), (0.6688230665954397, 1), (0.970129742247127, 1), (0.7593271696290383, 1), (0.9492828566040905, 1), (0.972351234334599, 1), (0.856550705965273, 1), (0.9032427410061239, 1), (0.949282856604099, 1), (0.9369618551506939, 1), (0.9999999999999308, 1), (0.8806674126908116, 1), (0.9311705026895568, 1), (0.9053206726335886, 1), (0.9703963106467915, 1), (0.9492828566040974, 1), (0.984816718445448, 1), (0.9492828566040976, 1)]",26-Oxocholest-4-en-3-one
scys__L_c,4.564913063272567,0.037758793881730646,"[(0.0, 42), (0.8996143397337727, 1), (0.4833259769380371, 1), (0.8996143397337759, 1), (0.9229553007459954, 1), (0.8106178095748664, 1), (0.8055492165622274, 1), (0.7985121581498626, 1), (0.899614339733778, 1)]",S-Sulfo-L-cysteine
mkmycolate_c,4.441359280229658,0.04032753315543427,"[(0.996375546451039, 2), (0.998035876288361, 2), (0.9996366728320083, 1), (0.8003004744245996, 1), (0.8068312268474893, 1), (0.9247747750132834, 1), (0.32466184989752556, 1), (0.8723798881270658, 1), (0.9955888167161243, 1), (0.9213718280117593, 1), (0.4878732524516275, 1), (0.9256816104441536, 1), (0.9981483723318877, 1), (0.3327616200294343, 1), (0.9977684250012099, 1), (0.8607328684745322, 1), (0.9974262766165038, 1), (0.9989983407331248, 1), (0.0008019089878156249, 1), (0.9964458218016804, 1), (0.9989618974019605, 1), (0.9973547718983219, 1), (0.8130866680216189, 1), (0.9982545878096695, 1), (0.8016281874221514, 1), (0.28221465539423973, 1), (0.8520714280998789, 1), (0.9965139408792367, 1), (0.998221131567606, 1), (0.9976842242495062, 1), (0.8604360770112035, 1), (0.9981876242029939, 1), (0.9973841762406535, 1), (0.808840514199256, 1), (0.9981633210307831, 1), (0.8109552375390988, 1), (0.8126522856805024, 1), (0.9996770558821367, 1), (0.8092168682812699, 1), (0.8679507156853761, 1), (0.9977621277380299, 1), (0.8062298924108866, 1), (0.9982574810458555, 1), (0.6572654701867915, 1), (0.6156182671022603, 1), (0.9979565825102986, 1), (0.9983059686889779, 1), (0.8569764749310641, 1)]",keto-mycolate-1-cyclopropanated-rings
gmhep7p_c,4.062722469545471,0.04945689056522417,"[(0.1537448662176191, 15), (3.400058012914542e-14, 2), (0.9999999999999051, 1), (3.447242491461111e-14, 1), (0.10516440431319454, 1), (0.056564676744849066, 1), (0.057990041172458553, 1), (0.7524167225282395, 1), (0.45225626448457845, 1), (0.8899337271329251, 1), (0.05798597933291841, 1), (0.05799004117244734, 1), (0.9950349185671238, 1), (0.048291832809164256, 1), (3.3362201889985954e-14, 1), (0.914872238275977, 1), (0.41008309757287853, 1), (3.441691376337985e-14, 1), (0.7524167225282332, 1), (0.05799004117245429, 1), (0.048291832809163895, 1), (0.10516440431319485, 1), (0.057990041172451615, 1), (0.9999999999999999, 1), (0.3941037044956127, 1), (3.4611202792689255e-14, 1), (0.9616813313677959, 1), (3.4916514124461173e-14, 1), (3.3806291099836017e-14, 1), (0.9950349185671198, 1), (0.10516440431319563, 1), (0.10516440431319529, 1), (3.499978085130806e-14, 1), (0.04833266684348965, 1), (3.49442697000768e-14, 1)]",D-Glycero-D-manno-heptose 7-phosphate
pacald_c,3.7401603628060056,0.05902708777634356,"[(0.3447443640681422, 32), (0.9201567102291692, 1), (0.6170134438007479, 1), (0.08131550121211772, 1), (0.6755944120570991, 1), (0.2252394920998163, 1), (0.10689415417514028, 1), (0.1756206926704798, 1), (0.2342538352853094, 1), (0.06973917062616913, 1), (0.0697391706261708, 1), (0.6755944120571021, 1), (0.23146309553963623, 1), (0.17519073251044656, 1), (0.12859130395188498, 1), (0.9006153994854822, 1), (0.1974204006488015, 1), (0.29512641246467697, 1), (0.020020067717148426, 1)]",Phenylacetaldehyde
4hba_e,3.682108199275193,0.06095611987346558,"[(0.4982224051329601, 44), (1.0, 1), (0.4694139639125929, 1), (0.5090119349256484, 1), (0.448816672203573, 1), (0.563366174625763, 1), (0.35508263212959335, 1)]",4-Hydroxybenzyl alcohol
mmmeroacidcyc1AMP_c,3.6377853879197377,0.062475587812062576,"[(0.9935697874719824, 2), (0.9921618990215153, 2), (0.9976625432729788, 1), (0.02624944759965475, 1), (0.9885648289020424, 1), (0.6317721360488097, 1), (0.9917226068592881, 1), (0.37501204618878536, 1), (0.612477467230865, 1), (0.9988414506575376, 1), (0.9900764005710815, 1), (0.9832638852620884, 1), (0.9919185795373607, 1), (0.9830356970015933, 1), (0.0, 1), (0.31670316359393325, 1), (0.986418772130979, 1), (0.9932633796311023, 1), (0.9988414506575448, 1), (0.9803847177762559, 1), (1.0, 1), (0.9877493794616915, 1), (0.08761201985800138, 1), (0.9871925445241359, 1), (0.9934451765246515, 1), (0.992390598481076, 1), (0.9849540895354343, 1), (0.992772777671427, 1), (0.9870840379289753, 1), (0.31799665356049356, 1), (0.40795386053216653, 1), (0.9855961004544854, 1), (0.992824740897383, 1), (0.9857271258154225, 1), (0.9866419715105933, 1), (0.9903019402560153, 1), (0.9955188726977534, 1), (0.07015678767548139, 1), (0.3539922376941993, 1), (0.9868473924188154, 1), (0.9997482221137859, 1), (0.993274112807449, 1), (0.9913043271815932, 1), (0.9820017550228719, 1), (0.9861858142089492, 1), (0.9928876042355426, 1), (0.3003890447029979, 1), (0.9827396985460225, 1)]",cyclopropanated-methyl-hydroxy-methoxy-meroacid-AMP-1-cyclopropane-ring
mmeroacidcyc2AMP_c,3.634439514677766,0.0625919703521934,"[(0.9935697874719823, 2), (0.9832638852620884, 2), (0.9921618990215153, 2), (0.9976625432729787, 1), (0.028686844493671093, 1), (0.9905627206471659, 1), (0.6317721360488097, 1), (0.9917226068592881, 1), (0.37501204618878525, 1), (0.612477467230865, 1), (0.998841450657537, 1), (0.990680858000854, 1), (0.9919185795373607, 1), (0.9877915148948855, 1), (0.0, 1), (0.31845101945465504, 1), (0.9881123775246302, 1), (0.9953147090453955, 1), (0.9988414506575448, 1), (0.9821989619325744, 1), (0.9999999999999999, 1), (0.9898038423651658, 1), (0.08761201985800116, 1), (0.9871925445241365, 1), (0.9953820082967924, 1), (0.992390598481076, 1), (0.9849540895354343, 1), (0.992772777671427, 1), (0.9870840379289753, 1), (0.31981089771681204, 1), (0.40795386053216653, 1), (0.9870840379289751, 1), (0.992824740897385, 1), (0.9857271258154224, 1), (0.9866688726657131, 1), (0.9903019402560153, 1), (0.9955188726977534, 1), (0.07015678767548117, 1), (0.3557577795132091, 1), (0.9868473924188153, 1), (0.9997482221137858, 1), (0.993274112807449, 1), (0.991304327181593, 1), (0.9820017550228718, 1), (0.9861858142089492, 1), (0.9928876042355425, 1), (0.301967184299333, 1)]",cyclopropanated-methoxy-meroacid-AMP-2-cyclopropane-rings
bccp_c,3.0495287328326883,0.087157971413505,"[(0.13691488150338688, 2), (0.13691488150338693, 2), (0.13691488150338915, 1), (0.13691488150338588, 1), (0.3311752504687798, 1), (0.24140151884633007, 1), (0.7983867584597044, 1), (0.22611986793188682, 1), (0.28845907907928225, 1), (0.13691488150338793, 1), (0.2775603250695259, 1), (0.13691488150338704, 1), (0.22611986793188896, 1), (0.24403446125136463, 1), (0.24402695819506506, 1), (0.24403446125135822, 1), (0.13691488150338676, 1), (0.1369148815033862, 1), (0.22611986793188757, 1), (0.13670549894751916, 1), (0.13691488150338654, 1), (0.6147348376454196, 1), (0.13691488150338604, 1), (0.22611986793188515, 1), (0.22611986793187822, 1), (0.13691488150338577, 1), (0.24403446125136627, 1), (0.2261198679318853, 1), (0.3287037528647355, 1), (0.24403446125136358, 1), (0.1369148815033952, 1), (0.28511480901430925, 1), (0.13691488150338926, 1), (0.1369148815033832, 1), (0.4209133944320199, 1), (0.136914881503388, 1), (0.241401518846332, 1), (0.1369148815033872, 1), (0.2690612772537593, 1), (0.1369148815033857, 1), (0.0, 1), (0.24796511721830675, 1), (0.33117525046878177, 1), (0.33117525046878077, 1), (0.6069439520075794, 1), (0.1369148815033877, 1), (0.22619529682463985, 1), (0.13691488150338582, 1)]",[Acetyl-CoA:carbon-dioxide ligase (ADP-forming)]
gmhep17bp_c,2.9883883448646706,0.0902917394169375,"[(0.11040155204275987, 2), (0.11040155204275964, 1), (0.11040155204277552, 1), (0.016847461185421377, 1), (0.0600817034013682, 1), (0.05881370141879404, 1), (0.6938296215889189, 1), (0.016847461185421794, 1), (0.11040155204275956, 1), (0.016847461185424423, 1), (0.11040155204275978, 1), (0.9020852144850079, 1), (0.06744121252674548, 1), (0.058813701418799144, 1), (0.058817314824944025, 1), (0.0588137014189625, 1), (0.9955830712633315, 1), (0.11040155204275967, 1), (0.06744121252674516, 1), (0.11040155204275992, 1), (0.1104015520427592, 1), (0.2881026574623459, 1), (0.1104015520427799, 1), (0.06744121252674608, 1), (0.06744121252674919, 1), (0.11040155204276009, 1), (0.11040155204275989, 1), (0.058813701418796785, 1), (0.0674412125267461, 1), (0.016847461185421308, 1), (0.05881370141879938, 1), (0.9999999999999999, 1), (0.2738874141815599, 1), (0.1104015520427993, 1), (0.9659117718570015, 1), (0.11040155204275959, 1), (0.11040155204275945, 1), (0.06008170340136687, 1), (0.11040155204275973, 1), (0.04676100621067318, 1), (0.9955830712633283, 1), (0.11040155204275584, 1), (0.05692073196023509, 1), (0.01684746118542119, 1), (0.01684746118542089, 1), (0.1104015520427595, 1), (0.11040155204276, 1), (0.06740488663318582, 1), (0.1104015520427597, 1)]","D-Glycero-D-manno-heptose 1,7-bisphosphate"
