,F_value,pvalue,value_counts,subsystem,name,genes,reaction,alleles_sim
ASPO6,20.61413023898612,1.1406675246012494e-05,"[(4.413252109524535e-08, 120), (4.413252137683604e-08, 3), (4.415098851679056e-08, 1), (1.0, 1), (4.411869330273365e-08, 1), (4.4131381283750855e-08, 1), (4.41325212360407e-08, 1), (0.9999998279192719, 1), (0.9999998279190554, 1), (4.4132134682682646e-08, 1), (4.4123995373869616e-08, 1), (0.9999998284711102, 1), (4.41301533614144e-08, 1), (4.41324940566627e-08, 1), (0.0, 1), (4.438908304829381e-08, 1), (0.9999998282697585, 1), (0.999999828470096, 1), (0.9999998284717413, 1), (0.9999998283010566, 1), (0.9999998279206639, 1), (0.999999827921066, 1), (0.9999998282752173, 1), (4.4834242424108286e-08, 1), (0.9999998279190551, 1), (4.413276611699851e-08, 1), (4.41325795253139e-08, 1), (4.204681235093052e-08, 1), (0.9999998284733393, 1), (0.9999998279351423, 1), (4.413186358097999e-08, 1), (4.4112731605402124e-08, 1)]","Alanine, Aspartate, and Glutamate Metabolism",L-aspartate oxidase,['Rv1595'],asp__L_c + o2_c --> h2o2_c + h_c + iasp_c,
PYRD1,20.61412999633539,1.1406676517484648e-05,"[(0.0, 138), (1.0, 1), (0.9999999998788554, 1), (0.9999999998788559, 1), (0.9999999998787862, 1), (0.9999999996790885, 1), (0.9999999998803741, 1), (0.9999999998789152, 1), (0.999999999878853, 1), (0.9999999995309377, 1), (0.9999999998788527, 1), (0.999999999678668, 1), (1.5021819333458876e-13, 1), (0.9999999996790894, 1), (0.999999999881233, 1), (0.9999999995514198, 1)]",Purine and Pyrimidine Biosynthesis,PYRD1,['Rv2139'],dhor__S_c + o2_c --> h2o2_c + orot_c,
CAT,20.61412999503088,1.1406676524320165e-05,"[(3.157036543649669e-11, 121), (1.0, 14), (3.155878758623652e-11, 1), (0.0, 1), (3.147457870791282e-11, 1), (3.157947216526007e-11, 1), (3.157020566685464e-11, 1), (2.613587543887251e-11, 1), (3.151993922343923e-11, 1), (3.157186111863013e-11, 1), (3.1570385697742385e-11, 1), (3.1805193967464675e-11, 1), (3.156864394304631e-11, 1), (3.157046888136821e-11, 1), (3.157823528985443e-11, 1), (3.1520909304789624e-11, 1), (3.1570120526453284e-11, 1), (3.1669374065356406e-11, 1), (6.348665667878312e-11, 1), (3.157036402547581e-11, 1)]",Redox Metabolism,catalase,['Rv1908c'],2.0 h2o2_c --> 2.0 h2o_c + o2_c,['Rv1908c']
GLYCTO1,20.61412998707829,1.1406676565991128e-05,"[(0.0, 139), (0.999999996433714, 1), (0.9999999842236986, 1), (0.9999999962575609, 1), (0.9999999920943661, 1), (0.9999999918884962, 1), (0.9999999936588596, 1), (0.9999999713457943, 1), (0.9999999930266499, 1), (0.999999991740696, 1), (0.9999999999999999, 1), (0.9999999916496058, 1), (0.9999999918887013, 1), (0.9999999921027393, 1), (0.9999999917609141, 1)]",Glyoxylate Metabolism,Glycolate oxidase,['Rv1257c'],glyclt_c + o2_c --> glx_c + h2o2_c,
DHORD2,19.056023073805356,2.3437687021634914e-05,"[(0.0, 14), (0.9999999963646045, 5), (0.9999999963646024, 4), (0.9999999963646029, 4), (0.9999999963646032, 3), (0.9999999963646042, 3), (0.9999999960371659, 2), (0.9999999963646027, 2), (0.9999999963646025, 2), (0.9999999963645987, 2), (0.9999999963646056, 2), (0.9999999963645985, 2), (0.9999999963645959, 2), (0.9999999975484648, 1), (0.9999999963642864, 1), (0.999999996365464, 1), (0.9999999975279427, 1), (0.9999999960371646, 1), (0.999999996364243, 1), (0.9999999963645961, 1), (0.9999999960497242, 1), (0.9999999960371628, 1), (0.9999999961928795, 1), (0.9999999963696381, 1), (0.999999995922229, 1), (0.8014107460967214, 1), (0.9999999975279411, 1), (0.9999999963653085, 1), (0.9999999963656236, 1), (0.9999999963642877, 1), (0.9999999975279442, 1), (0.999999996364229, 1), (0.9999999963588926, 1), (0.999999996404462, 1), (0.9999999963642922, 1), (0.9999999963645042, 1), (0.9999999963646095, 1), (0.8014107460967179, 1), (0.9999999964905008, 1), (0.9999999963642829, 1), (0.9999999963772022, 1), (0.999999997483889, 1), (0.9999999960885819, 1), (0.9999999963648324, 1), (0.9999999963642825, 1), (0.9999999963642876, 1), (0.9999999961648328, 1), (0.99999999636458, 1), (0.999999997527952, 1), (0.9999999963660788, 1), (0.9999999960496769, 1), (0.9999999975279199, 1), (0.9999999963646666, 1), (0.999999996363607, 1), (0.9999999963642812, 1), (0.9999999963646232, 1), (0.9999999963645965, 1), (0.9999999963442544, 1), (0.9999999963645972, 1), (0.9999999961646023, 1), (0.9999999960497904, 1), (0.9999999960169356, 1), (0.9999999959221217, 1), (0.9999999963642872, 1), (0.999999996357108, 1), (0.999999996037162, 1), (0.9999999963642678, 1), (0.9999999961564585, 1), (0.9999999960501271, 1), (0.9999999963775746, 1), (0.8014107460967212, 1), (0.9999999963644667, 1), (0.9999999963646008, 1), (0.999999996360073, 1), (0.9999999963646564, 1), (0.9999999960371636, 1), (0.9999999963642847, 1), (0.9999999963557816, 1), (0.999999996365664, 1), (0.9999999960497905, 1), (0.9999999975279398, 1), (0.9999999963631612, 1), (0.9999999963645957, 1), (0.9999999963646037, 1), (0.9999999960371213, 1), (0.99999999637461, 1), (0.9999999975279423, 1), (0.9999999963642845, 1), (0.9999999961648364, 1), (0.9999999961647419, 1), (0.9999999963643121, 1), (0.9999999960372082, 1), (0.9999999959221298, 1), (0.9999999963523835, 1), (0.9999999975279236, 1), (0.999999996364285, 1), (0.9999999961648497, 1), (0.9999999963289316, 1), (0.9999999963241802, 1), (0.9999999963658743, 1), (0.9999999963724867, 1), (0.9999999964112407, 1), (0.9999999963646038, 1), (0.9999999959221113, 1), (0.9999999958919241, 1), (0.9999999963645996, 1), (0.9999999960523107, 1), (0.9999999963646052, 1), (0.9999999960499619, 1), (0.9999999963642819, 1), (0.9999999963642843, 1), (0.9999999963646053, 1), (0.8676071628526801, 1), (0.9999999963646017, 1), (0.9999999963749391, 1), (0.9999999963652774, 1), (0.9999999963572532, 1), (1.0, 1), (0.9999999963645964, 1)]",Purine and Pyrimidine Biosynthesis,Dihydoorotic acid dehydrogenase (quinone8),['Rv2139'],dhor__S_c + q8_c --> orot_c + q8h2_c,
DALAOX,16.38339261104876,8.237016988476939e-05,"[(0.0, 139), (0.24767012622875806, 1), (0.6058749564245641, 1), (0.605874956418332, 1), (0.9999999999949822, 1), (0.6058749564342616, 1), (0.24767012784631495, 1), (0.6058749564260983, 1), (0.6058749564164364, 1), (0.9174018631948077, 1), (0.9999999999757189, 1), (0.9999999999968111, 1), (1.0, 1), (0.9174018631672171, 1), (0.6058749564482876, 1)]",Other Amino Acid Metabolism,DALAOX,['Rv1905c'],ala__D_c + h2o_c + o2_c --> h2o2_c + nh4_c + pyr_c,
ALDD19x,12.437598960838539,0.0005575504917885071,"[(4.638342092398531e-16, 138), (0.5238726496993623, 2), (0.9999999999974747, 1), (2.249363222066177e-16, 1), (4.887922084110947e-16, 1), (0.5238726497035145, 1), (1.0, 1), (0.523872649699361, 1), (0.5238726496993622, 1), (0.1097897875402815, 1), (6.165028637224564e-16, 1), (4.638342092398523e-16, 1), (0.0, 1), (0.1097897875221901, 1), (0.5238726497061683, 1)]","Tyrosine, Tryptophan, and Phenylalanine Metabolism",,['Rv2858c'],h2o_c + nad_c + pacald_c --> 2.0 h_c + nadh_c + pac_c,
PHYCBOXL,12.437598960838484,0.0005575504917885234,"[(0.0, 143), (0.523872649699362, 3), (0.9999999999974746, 1), (0.5238726497035144, 1), (1.0, 1), (0.5238726496993608, 1), (0.10978978754028108, 1), (0.1097897875221897, 1), (0.523872649706168, 1)]","Tyrosine, Tryptophan, and Phenylalanine Metabolism",PHYCBOXL,['Rv2531c'],h_c + phe__L_c --> co2_c + peamn_c,
PEAMNO,12.43759896083845,0.000557550491788534,"[(3.614494005113237e-16, 139), (0.5238726496993622, 2), (0.9999999999974746, 1), (1.2565408343955886e-16, 1), (3.8640739968256536e-16, 1), (0.5238726497035144, 1), (0.9999999999999999, 1), (0.5238726496993609, 1), (0.5238726496993621, 1), (0.1097897875402814, 1), (5.141180549932047e-16, 1), (0.0, 1), (0.10978978752219, 1), (0.5238726497061682, 1)]","Tyrosine, Tryptophan, and Phenylalanine Metabolism",PEAMNO,['none'],h2o_c + o2_c + peamn_c --> h2o2_c + nh4_c + pacald_c,
EX_pac,12.437598960838434,0.000557550491788534,"[(4.303731198915986e-16, 139), (0.5238726496993622, 2), (0.9999999999974745, 1), (1.9147523285836322e-16, 1), (4.553311190628403e-16, 1), (0.5238726497035145, 1), (1.0, 1), (0.523872649699361, 1), (0.5238726496993621, 1), (0.10978978754028146, 1), (5.249707761658587e-16, 1), (0.0, 1), (0.10978978752219007, 1), (0.5238726497061682, 1)]",Exchange,,[],pac_e --> ,
