,F_value,pvalue,value_counts,subsystem,name,genes,reaction,alleles_sim
GLYCTO4,22.29004690812136,5.308058126987729e-06,"[(0.8681116944117044, 5), (0.8681116944117043, 3), (0.8681116944117034, 2), (0.8681116944117042, 2), (0.8681116944117062, 2), (0.8681116944117022, 2), (0.9522328383204958, 2), (0.8875108439833296, 1), (0.8681116944117041, 1), (0.8681116944117073, 1), (0.8681116944117009, 1), (0.9979216141362277, 1), (0.3914255633378826, 1), (0.868111694411708, 1), (0.952232838320532, 1), (0.8789209555048962, 1), (0.8681116944117006, 1), (0.9522328381812574, 1), (0.8996115030863873, 1), (0.8681116944117108, 1), (0.9599917936572929, 1), (0.8681116944116489, 1), (0.8681116944117012, 1), (0.8996115030696622, 1), (0.8681116944117114, 1), (0.8996115030696645, 1), (0.8681116944117, 1), (0.878920955505248, 1), (0.8681116944117137, 1), (0.8996115030696611, 1), (0.899611503069668, 1), (0.8681116944117067, 1), (0.8681116944109705, 1), (0.8681116944117079, 1), (0.8789209555048814, 1), (0.8681116944116962, 1), (0.8789209555048845, 1), (0.8681116944122385, 1), (0.9599917936572931, 1), (0.9375699020402984, 1), (0.9979216141362298, 1), (0.8681116944188062, 1), (0.9181707524687299, 1), (0.8681116944117142, 1), (0.8681116944117112, 1), (1.0, 1), (0.3914255633278485, 1), (0.8681116944117008, 1), (0.8681116944116981, 1), (0.9181707524687289, 1), (0.3914255633278496, 1), (0.8681116944117018, 1), (0.8789209555048767, 1), (0.8681116944117033, 1), (0.9181707524683604, 1), (0.8681116944117091, 1), (0.8996115030696568, 1), (0.8789209555048889, 1), (0.9599917936572258, 1), (0.8681116944117084, 1), (0.9599917936572928, 1), (0.41211611088493827, 1), (0.9289800135618047, 1), (0.8996115030696614, 1), (0.8681116944117098, 1), (0.8829219812315376, 1), (0.9181707524687279, 1), (0.868111694411699, 1), (0.8681116944117131, 1), (0.8681116944116984, 1), (0.868111694411806, 1), (0.9599917936580977, 1), (0.8681116944116982, 1), (0.8681116944116484, 1), (0.8789209555069263, 1), (0.8681116944117099, 1), (0.9181707524630642, 1), (0.9979216141362331, 1), (0.8681116944117179, 1), (0.8996115030696726, 1), (0.9496705611267388, 1), (0.8681116944117053, 1), (0.8996115030696705, 1), (0.899611503069665, 1), (0.8789209555036563, 1), (0.0, 1), (0.9522328383261488, 1), (0.3914255633278716, 1), (0.9522328383205023, 1), (0.39142556332784373, 1), (0.8681116944117059, 1), (0.8681116944116983, 1), (0.11119009114253531, 1), (0.034353947397188556, 1), (0.868111694411702, 1), (0.9181707524687399, 1), (0.46244554976593033, 1), (0.8681116944108609, 1), (0.9522328383172407, 1), (0.9999999999999984, 1), (0.41211611089262057, 1), (0.9599917936572894, 1), (0.9979216141362357, 1), (0.8996115030700589, 1), (0.8681116944117021, 1), (0.9999999999999994, 1), (0.8789209555049033, 1), (0.8681116944117367, 1), (0.4121161108926299, 1), (0.8681116944117213, 1), (0.8789209555049047, 1), (0.8681116944117171, 1), (0.9599917936569484, 1), (0.8681116944086948, 1), (0.8681116944117442, 1), (0.8681116943998436, 1), (0.05762729094834307, 1), (0.8789209555048918, 1), (0.868111694411705, 1), (0.38061630223464915, 1), (0.8681116944452653, 1), (0.8681116944116618, 1), (0.8681116944116709, 1), (0.9979216141362313, 1), (0.8996115030696665, 1), (0.9522328383204989, 1), (0.8875108439832897, 1), (0.878920955504891, 1), (0.8996115030696634, 1), (0.8681116944117196, 1), (0.8789209555048786, 1), (0.8875108439832802, 1), (0.9914675337745839, 1), (0.8681116944117061, 1), (0.9496705611266951, 1), (0.868111694405685, 1), (0.8681116944117007, 1), (0.8681116944122573, 1), (0.8681116944134338, 1), (0.8996115030696664, 1), (0.9289800135619248, 1), (0.8681116944116856, 1)]",Glyoxylate Metabolism,Glycolate oxidase,['Rv1257c'],2dmmq8_c + glyclt_c --> 2dmmql8_c + glx_c,
ASPO5,17.688015765916575,4.444006362490901e-05,"[(0.9999999999996012, 51), (0.9999999999996013, 22), (0.9999999999996011, 21), (0.9999999999996017, 3), (0.999999999999602, 3), (0.9999999999996021, 2), (0.9999999999995985, 2), (0.9999999999996007, 1), (0.999999999999603, 1), (0.3914255633289906, 1), (0.9999999999996063, 1), (0.9999999999992626, 1), (0.9999999999994582, 1), (0.9999999999996008, 1), (0.9999999999997741, 1), (0.9999999999996031, 1), (0.9999999999997632, 1), (0.9999999999998322, 1), (0.9999999999996019, 1), (0.39142556332769474, 1), (0.3914255633276964, 1), (0.9999999999992932, 1), (0.9999999999996023, 1), (0.999999999999599, 1), (0.4121161108926503, 1), (0.9999999999994494, 1), (0.9999999999996084, 1), (0.9999999999997142, 1), (0.9999999999999525, 1), (0.9999999999995668, 1), (0.9999999999995998, 1), (0.9999999999999999, 1), (0.0, 1), (0.9999999999996284, 1), (0.39142556332771916, 1), (0.3914255633276871, 1), (0.9999999999996027, 1), (0.11119009114249268, 1), (0.03435394739718045, 1), (0.9999999999996009, 1), (0.46244554976574603, 1), (0.4121161108924565, 1), (0.999999999999604, 1), (0.9999999999999115, 1), (0.9999999999996082, 1), (0.4121161108924676, 1), (0.9999999999996014, 1), (0.9999999999997734, 1), (0.05762729094832808, 1), (0.9999999999994909, 1), (0.3806163022344987, 1), (0.9999999999996034, 1), (0.9999999999995783, 1), (0.9999999999996037, 1), (0.9999999999995987, 1), (0.9999999999990142, 1)]","Alanine, Aspartate, and Glutamate Metabolism",L-aspartate oxidase,['Rv1595'],asp__L_c + fum_c --> h_c + iasp_c + succ_c,
DHORD2,16.12291168065491,9.32492737941823e-05,"[(0.999999999993072, 61), (0.9999999999930722, 45), (0.9999999999930718, 13), (0.9999999999930721, 3), (0.9999999999930724, 3), (0.5114892940739242, 2), (0.46132597728805036, 1), (0.9999999999930786, 1), (0.9999999999937376, 1), (0.9999999999930791, 1), (0.9999999999941601, 1), (0.9999999999917096, 1), (0.9999999999930715, 1), (0.5114892940739247, 1), (0.5114892940739131, 1), (0.9999999999930734, 1), (0.9999999999928736, 1), (0.9999999999930713, 1), (0.0, 1), (0.5114892940739524, 1), (0.5114892940739213, 1), (0.21503512969282046, 1), (0.1645057735949289, 1), (0.4613259772887549, 1), (0.5114892940739163, 1), (0.5114892940739235, 1), (0.9999999999933588, 1), (1.0, 1), (0.16838803641465294, 1), (0.9999999999901997, 1), (0.9999999999930732, 1), (0.9999999999968234, 1)]",Purine and Pyrimidine Biosynthesis,Dihydoorotic acid dehydrogenase (quinone8),['Rv2139'],dhor__S_c + q8_c --> orot_c + q8h2_c,
GLYCTO3,16.122911678939907,9.324927387043341e-05,"[(0.9999999999717873, 5), (0.999999999971791, 4), (0.9999999999717868, 4), (0.9999999999717876, 3), (0.9999999999717865, 3), (0.9999999999717878, 3), (0.9999999999717841, 3), (0.9999999999717863, 3), (0.9999999999717922, 3), (0.9999999999717896, 3), (0.9999999999717856, 2), (0.9999999999717851, 2), (0.9999999999717895, 2), (0.9999999999717853, 2), (0.9999999999717855, 2), (0.9999999999717867, 2), (0.9999999999717909, 2), (0.999999999971789, 2), (0.9999999999717872, 2), (0.9999999999717849, 2), (0.9999999999717875, 2), (0.9999999999717891, 2), (0.999999999971787, 2), (0.9999999999717858, 2), (0.9999999999717843, 2), (0.9999999999717879, 2), (0.9999999999717906, 2), (0.9999999999717885, 2), (0.999999999971788, 2), (0.9999999999717892, 2), (0.9999999999717918, 2), (0.999999999971812, 1), (0.9999999999717903, 1), (0.461325977287129, 1), (0.9999999999717888, 1), (0.9999999999718165, 1), (0.999999999971792, 1), (0.9999999999717969, 1), (0.9999999994121509, 1), (0.9999999999722746, 1), (0.9999999999717901, 1), (0.99999999997179, 1), (0.9999999999717902, 1), (0.9999999999717827, 1), (0.9999999999717828, 1), (0.9999999999689669, 1), (0.9999999999717889, 1), (0.9999999999717836, 1), (0.9999999999723681, 1), (0.999999999976473, 1), (0.999999999971781, 1), (0.5114892940630349, 1), (0.9999999999717881, 1), (0.9999999999717882, 1), (0.5114892940630356, 1), (0.9999999999717893, 1), (0.9999999999717947, 1), (0.9999999999717857, 1), (0.9999999999717846, 1), (0.9999999999719138, 1), (0.9999999999717948, 1), (0.5114892940551281, 1), (0.9999999999715897, 1), (0.9999999999717823, 1), (0.9999999999717976, 1), (0.9999999999717898, 1), (0.9999999999717919, 1), (0.9999999999717871, 1), (0.9999999999717953, 1), (0.9999999999717866, 1), (0.9999999999726039, 1), (0.9999999999717877, 1), (0.9999999999661054, 1), (0.9999999999717845, 1), (0.9999999999717883, 1), (0.9999999999713785, 1), (0.0, 1), (0.9999999999775389, 1), (0.9999999999717917, 1), (0.5114892940630632, 1), (0.5114892940630307, 1), (0.21503512968824334, 1), (0.1645057735914256, 1), (0.9999999999717913, 1), (0.4613259772789341, 1), (0.999999999969214, 1), (0.5114892940630237, 1), (0.9999999999717908, 1), (0.9999999999717806, 1), (0.9999999999717861, 1), (0.9999999999717808, 1), (0.5114892940630392, 1), (0.9999999999717998, 1), (0.9999999999717928, 1), (0.9999999999717859, 1), (0.999999999960366, 1), (0.16838803641106725, 1), (0.5114892940630376, 1), (1.0, 1), (0.999999999971785, 1), (0.9999999999717842, 1), (0.9999999999717832, 1), (0.9999999999717852, 1), (0.99999999997181, 1), (0.9999999999618071, 1), (0.99999999997216, 1), (0.9999999999717835, 1), (0.999999999971775, 1)]",Glyoxylate Metabolism,Glycolate oxidase,['Rv1257c'],glyclt_c + mqn8_c --> glx_c + mql8_c,
GLYCTO2,16.06433054522181,9.589128529709123e-05,"[(0.9999999999884599, 80), (0.9999999999884598, 8), (0.9999999999884595, 3), (0.9999999999884541, 2), (0.9999999999884613, 2), (0.9999999999884601, 2), (0.9999999999884596, 2), (0.46132597729515934, 1), (0.9999999999884728, 1), (0.9999999999884618, 1), (0.9999999997086046, 1), (0.9999999999884571, 1), (0.9999999999884556, 1), (0.9999999999884475, 1), (0.9999999999884549, 1), (0.9999999999884573, 1), (0.997703330245031, 1), (0.5114892940715661, 1), (0.9999999999884535, 1), (0.5114892940715652, 1), (0.999999999988454, 1), (0.9999999999882713, 1), (0.999999999988461, 1), (0.9999999999884529, 1), (0.9999999999884644, 1), (0.5114892940636594, 1), (0.9999999999884542, 1), (0.9999999999880701, 1), (0.9999999999888683, 1), (0.9999999999884545, 1), (0.9999999999897432, 1), (0.9999999999856192, 1), (0.999999999988466, 1), (0.9999999999884585, 1), (0.9999999999884592, 1), (0.9999999999882576, 1), (0.0, 1), (0.9999999999913329, 1), (0.5114892940715934, 1), (0.9999999999884623, 1), (0.5114892940715622, 1), (0.21503512969182914, 1), (0.1645057735941705, 1), (0.4613259772866275, 1), (0.9999999999871735, 1), (0.9899282152191757, 1), (0.5114892940715583, 1), (0.99999999998846, 1), (0.999999999988436, 1), (0.9899282152191714, 1), (0.5114892940715641, 1), (0.9999999999889718, 1), (0.168388036413876, 1), (0.5114892940715651, 1), (0.9999999999999999, 1), (0.9999999999884593, 1), (0.9999999999884575, 1), (0.9999999999884719, 1), (0.9999999999884546, 1), (0.9999999999884602, 1), (0.9999999999884671, 1)]",Glyoxylate Metabolism,Glycolate oxidase,['Rv1257c'],glyclt_c + q8_c --> glx_c + q8h2_c,
EX_glyclt,14.706783335096553,0.00018398984770888637,"[(0.8156759142227558, 3), (0.8156759142227571, 3), (0.8156759142227559, 3), (0.8156759142227552, 3), (0.8156759142227568, 3), (0.8156759142227585, 2), (0.8156759142227545, 2), (0.8156759142227602, 2), (0.7313099216072373, 2), (0.7313099216072385, 2), (0.815675914222755, 2), (0.8156759142227555, 2), (0.8156759142227548, 2), (0.8156759142227563, 2), (0.815675914222751, 2), (0.7119093474816461, 1), (0.8156759142227586, 1), (0.8156759142227553, 1), (0.9999999999999881, 1), (0.2949054333925549, 1), (0.606058708721565, 1), (0.8156759142227804, 1), (0.6856978036275723, 1), (0.8156759142227589, 1), (0.8156759142795156, 1), (0.7313099216072194, 1), (0.6184983772614788, 1), (0.8156759142227514, 1), (0.8156759142227582, 1), (0.8156759142227581, 1), (0.8156759142227595, 1), (0.8156759142227228, 1), (0.8156759142227561, 1), (0.6856978036275279, 1), (0.6184983772614794, 1), (0.7313099216072465, 1), (0.8156759142227612, 1), (0.8156759142188894, 1), (0.8156759142227572, 1), (0.6856978036275683, 1), (0.6856978036275667, 1), (0.8156759142232061, 1), (0.7520383379589819, 1), (0.95218458491439, 1), (0.8156759142262273, 1), (0.8558049047001675, 1), (0.8156759142227624, 1), (0.6683676838725345, 1), (0.8539676450417046, 1), (0.2949054333802068, 1), (0.6184983772614787, 1), (0.8558049047001718, 1), (0.2949054333802109, 1), (0.6856978036275623, 1), (0.855804904699669, 1), (0.7313099216072253, 1), (0.6856978036275698, 1), (0.8156759142226861, 1), (0.8156759142227592, 1), (0.3405175513493127, 1), (0.725826794104587, 1), (0.7313099216072342, 1), (0.6553054445082314, 1), (0.8558049047001641, 1), (0.8156759142224304, 1), (0.8156759142234071, 1), (0.8156759142227522, 1), (0.8156759142227695, 1), (0.6856978036303325, 1), (0.8558049047026877, 1), (0.9463415560219656, 1), (0.7313099216072344, 1), (0.7714389120846573, 1), (0.7313099216072451, 1), (0.731309921607247, 1), (0.6856978036270194, 1), (0.08794609914028462, 1), (0.8156759142273522, 1), (0.8156759142227574, 1), (0.294905433380227, 1), (0.8156759142227634, 1), (0.2949054333801949, 1), (0.8156759142227523, 1), (0.8156759142227685, 1), (0.03230297872239174, 1), (0.0, 1), (0.6060587087215268, 1), (0.8558049047001851, 1), (0.40876935611855203, 1), (0.8156759142225571, 1), (0.8156759142206986, 1), (0.8477478107717422, 1), (0.3405175513597979, 1), (0.8156759142227569, 1), (0.9999999999999999, 1), (0.7313099216069143, 1), (0.8156759142227562, 1), (0.8477478107717571, 1), (0.6856978036275708, 1), (0.8156759142272274, 1), (0.3405175513598876, 1), (0.8156759142227605, 1), (0.6184983772614767, 1), (0.6856978036275595, 1), (0.8156759142227606, 1), (0.8156759142227687, 1), (0.8156759142233245, 1), (0.8156759142227505, 1), (0.8156759142232703, 1), (0.8156759142064596, 1), (0.04664734516498048, 1), (0.6856978036275736, 1), (0.42488354397538397, 1), (0.815675914249657, 1), (0.8156759142227189, 1), (0.8156759142226456, 1), (0.6683676838725326, 1), (0.9339018874820453, 1), (0.7313099216072387, 1), (0.8156759142227541, 1), (0.7119093474815966, 1), (0.6856978036275692, 1), (0.8156759142227781, 1), (0.6856978036275574, 1), (0.7119093474815847, 1), (0.8156759142227564, 1), (0.8156759142227533, 1), (0.7714389120846574, 1), (0.8156759142287033, 1), (0.8156759142190257, 1), (0.8156759142242599, 1), (0.7313099216072348, 1), (0.7258267941049958, 1)]",Exchange,,[],glyclt_e --> ,
DALAOX,11.56331174165482,0.000860796488854786,"[(0.999999999999999, 10), (0.4858476794069261, 4), (0.46918462988089005, 3), (0.9999999999999991, 3), (0.4858476794069275, 3), (0.48584767940692675, 2), (0.4858476794069265, 2), (0.46918462988088927, 2), (0.4691846298808896, 2), (0.46918462988089016, 2), (0.46918462988088894, 2), (0.48584767940692786, 2), (0.48584767940692686, 2), (0.4858476794069262, 2), (0.49404261136629446, 1), (0.6674545482126311, 1), (0.6674545482126204, 1), (0.2188096184444357, 1), (0.2737628676390548, 1), (0.7126189655309054, 1), (0.6674545482126213, 1), (0.4858476794069272, 1), (0.4691846298808897, 1), (0.4691846296539053, 1), (0.4691846298808895, 1), (0.29042591716509514, 1), (0.2853573414812778, 1), (0.4691846298808898, 1), (0.4858476794069251, 1), (0.4691846298809036, 1), (0.6674545482126306, 1), (0.4691846298808856, 1), (0.48584767940692875, 1), (0.4858476794068445, 1), (0.7475826524465223, 1), (0.4720327859707971, 1), (0.46918462988088794, 1), (0.6843667112856497, 1), (0.46918462988089105, 1), (0.48584767940636386, 1), (0.4691846298808876, 1), (0.4858476794069255, 1), (0.4691846298808955, 1), (0.6732580116016084, 1), (0.46918462988089704, 1), (0.25848076701268496, 1), (0.21998077249082748, 1), (0.4858476794058564, 1), (0.25848076701267775, 1), (0.46918462988087273, 1), (0.4815472154206665, 1), (0.2584807670126741, 1), (0.4691846298808886, 1), (0.4720327859707968, 1), (0.48584767940692386, 1), (0.2584807670126764, 1), (0.6674545482126282, 1), (0.48584767940692886, 1), (0.5599399511504339, 1), (0.6674545482129226, 1), (0.4858476794069253, 1), (0.6732580116016251, 1), (0.7167847279124031, 1), (0.4858476794069285, 1), (0.4589711049383277, 1), (0.6843667112856439, 1), (0.4858476794067096, 1), (0.3397293196209722, 1), (0.258480767012665, 1), (0.4858476794069273, 1), (0.7167847279113135, 1), (0.4858476794069271, 1), (0.48584767940692763, 1), (0.6732580116030515, 1), (0.275143816538714, 1), (0.0, 1), (0.6674545482126253, 1), (0.6843667112856546, 1), (0.684366711285657, 1), (0.6674545482126577, 1), (0.6843667112856522, 1), (0.4691846298808786, 1), (0.9349929846408147, 1), (0.46918462988089027, 1), (0.4691846298808908, 1), (0.9999999999999999, 1), (0.4691846298808927, 1), (0.27376286763905655, 1), (0.48362725981301535, 1), (0.46918462988385745, 1), (0.28535734148127334, 1), (0.527561164092192, 1), (0.716784727912431, 1), (0.20331772295895112, 1), (0.46918462988035037, 1), (0.527561164092206, 1), (0.6674545482126816, 1), (0.4691846298808904, 1), (0.7126189655309173, 1), (0.2904259171650957, 1), (0.48584767940692564, 1), (0.4691846298808894, 1), (0.66745454821133, 1), (0.46918462987985443, 1), (0.667454548213186, 1), (0.6674545482126362, 1), (0.48584767940692775, 1), (0.48584767940401496, 1), (0.4691846298808797, 1), (0.4858476794069525, 1), (0.29994034661495705, 1), (0.2199807724849897, 1), (0.6843667112856517, 1), (0.49404261136625616, 1), (0.4691846298808875, 1), (0.4858476794069355, 1), (0.49404261136625394, 1), (0.7336839686502967, 1), (0.6674545482126262, 1), (0.6843667112856515, 1), (0.4691846298787835, 1), (0.46918462988088727, 1), (0.6674545482135583, 1), (0.46918462988088716, 1), (0.45897110493832705, 1), (0.6674545482126267, 1)]",Other Amino Acid Metabolism,DALAOX,['Rv1905c'],ala__D_c + h2o_c + o2_c --> h2o2_c + nh4_c + pyr_c,
ACCC,8.258106963066698,0.004642376104071409,"[(0.6796875, 58), (0.5, 29), (0.671875, 29), (0.6875, 26), (0.65625, 3), (0.0, 3), (1.0, 2), (0.703125, 2), (0.6640625, 1)]",Fatty Acid Metabolism,Acyl-CoA Carboxylase,"['Rv3280', 'Rv3799c', 'Rv3285']",co2_c + hexccoa_c --> chexccoa_c + h2o_c,['Rv3280']
DHPPDA,8.252303008871435,0.004656458708198865,"[(2.220446049250313e-15, 67), (4.218847493575595e-15, 66), (0.0, 7), (0.9999999999997459, 3), (0.9999999999999009, 1), (3.552713678800501e-15, 1), (1.0, 1), (0.9999999999751266, 1), (0.9999999999988741, 1), (0.9999999999997469, 1), (0.9999999999997439, 1), (3.1086244689504383e-15, 1), (0.9999999999999443, 1), (0.999999999999748, 1)]",Riboflavin Metabolism,Diaminohydroxyphosphoribosylaminopyrimidine deaminase,['Rv1409'],25dhpp_c + h2o_c + h_c --> 5apru_c + nh4_c,['Rv1409']
FRD2,7.974467735541838,0.00538480164062301,"[(6.377232075749362e-12, 3), (6.401656982291115e-12, 2), (6.3687943807622105e-12, 2), (6.391553952767026e-12, 2), (6.427303134159956e-12, 2), (6.383116257779875e-12, 2), (6.416311926216167e-12, 2), (6.385447726131588e-12, 2), (6.3720140275336234e-12, 2), (0.08195769174336165, 2), (0.14708771551645017, 1), (6.414757613981692e-12, 1), (0.9842413180266896, 1), (0.46151414927222534, 1), (6.403988450642828e-12, 1), (0.6378210981926934, 1), (6.3685723361572855e-12, 1), (0.08195769174336065, 1), (6.345479697245082e-12, 1), (6.398104268612315e-12, 1), (0.6378211014191126, 1), (0.23883701073906383, 1), (6.396105867167989e-12, 1), (6.3978822240073896e-12, 1), (6.384004436199575e-12, 1), (0.6966508428173341, 1), (6.303735311519176e-12, 1), (0.2388370107425305, 1), (6.452283152214022e-12, 1), (0.23883701074250407, 1), (6.38555874843405e-12, 1), (0.08195769176517154, 1), (0.23883701074250596, 1), (0.23883701074251562, 1), (6.4609428918060985e-12, 1), (8.596456879672587e-13, 1), (6.381228878638012e-12, 1), (0.08195769174331313, 1), (6.350364678553433e-12, 1), (0.08195769174320999, 1), (5.963673999076491e-12, 1), (0.6966508428173115, 1), (0.5266441730308875, 1), (0.9842413180267181, 1), (2.4849455826370104e-11, 1), (0.3795564575210605, 1), (6.5246696934195825e-12, 1), (6.460609824898711e-12, 1), (0.9999999999999533, 1), (0.08195769174340617, 1), (6.3756777635148865e-12, 1), (0.3795564575210665, 1), (0.08195769174339895, 1), (6.360467708077522e-12, 1), (6.3862248822488255e-12, 1), (0.3795564575182033, 1), (0.23883701074245312, 1), (0.08195769174336509, 1), (0.6966508428160152, 1), (6.381450923242937e-12, 1), (0.696650842817286, 1), (0.23883701074405483, 1), (0.4615141492586218, 1), (0.23883701074251829, 1), (6.274980535181385e-12, 1), (0.11229416250758151, 1), (0.3795564575209919, 1), (6.351696946182983e-12, 1), (6.36701802392281e-12, 1), (6.389999640532551e-12, 1), (3.4341418597705342e-12, 1), (0.6966508428172976, 1), (6.019296172610211e-12, 1), (0.08195769175620182, 1), (6.384448525409425e-12, 1), (0.37955645752090994, 1), (0.9842413180267169, 1), (6.201039681741349e-12, 1), (0.23883701074253227, 1), (0.618393468257495, 1), (6.806666341674372e-12, 1), (0.23883701074252206, 1), (0.23883701074254737, 1), (0.08195769174375045, 1), (0.9842413180266626, 1), (0.6378210981919767, 1), (0.08195769174336087, 1), (0.6378210981926683, 1), (0.08195769174336665, 1), (6.399991647754177e-12, 1), (6.431855048560919e-12, 1), (0.20025890111623856, 1), (6.417422149240792e-12, 1), (6.38467057001435e-12, 1), (0.3795564575210866, 1), (0.999999999999962, 1), (0.0, 1), (0.6378210981874473, 1), (0.9999999999999318, 1), (0.23883701074258756, 1), (0.6966508428173097, 1), (0.9842413180267344, 1), (0.23883701074488728, 1), (6.372791183650861e-12, 1), (0.9999999999999616, 1), (0.08195769174340717, 1), (7.668421453388419e-12, 1), (0.2388370107425477, 1), (6.3369309799554685e-12, 1), (0.6378210981926399, 1), (0.0819576917434428, 1), (6.369682559181911e-12, 1), (0.6966508428147955, 1), (6.4144245470743044e-12, 1), (1.0306866471410103e-11, 1), (4.554689958524705e-12, 1), (0.14708771551612776, 1), (6.4331873161904696e-12, 1), (6.304068378426564e-12, 1), (4.737010783628648e-11, 1), (6.108225036882686e-12, 1), (6.2019278601610495e-12, 1), (6.371014826811461e-12, 1), (0.9842413180266871, 1), (0.2388370107425335, 1), (0.6378210981926223, 1), (0.637821098192654, 1), (0.14708771551634392, 1), (0.0819576917433591, 1), (0.23883701074247599, 1), (6.318723322351616e-12, 1), (0.08195769174328171, 1), (0.14708771551628175, 1), (0.9353053617050482, 1), (6.432410160073232e-12, 1), (0.6183934682571557, 1), (3.621647426399477e-11, 1), (3.975819673485148e-12, 1), (1.9537371720446117e-11, 1), (0.2388370107425246, 1), (0.4615141492581074, 1), (6.349698544738658e-12, 1)]",Citric Acid Cycle,Fumarate reductase,"['Rv3318', 'Rv3317', 'Rv0247c', 'Rv3316', 'Rv0248c', 'Rv3319']",fum_c + mql8_c --> mqn8_c + succ_c,
