,F_value,pvalue,value_counts,subsystem,name,genes,reaction,alleles_sim
HSERTA,7.777497227089722,0.00597158097375649,"[(0.0, 22), (0.5563159026821581, 6), (0.5563159026821545, 5), (0.5563159026818587, 4), (0.5563159026821539, 3), (0.5563159026821577, 3), (0.5563159033293384, 2), (0.556315902499998, 2), (0.5563159024999987, 2), (0.4458375442547739, 2), (0.5563159026823874, 2), (0.5563159026821571, 2), (0.5563159026821567, 2), (0.556315902682158, 2), (0.5563159033292957, 2), (0.5563159033293562, 1), (0.5563159026822143, 1), (0.5563159026819058, 1), (0.5563159026824344, 1), (0.556315902682154, 1), (0.9999999988165922, 1), (0.5563159026821535, 1), (0.9996768042287877, 1), (0.999999998690645, 1), (0.5563159024358609, 1), (0.5563159033293381, 1), (0.5563159026821588, 1), (0.5563159026806582, 1), (0.5563159033292955, 1), (0.5563159026819606, 1), (0.9996768052322996, 1), (0.5563159026819603, 1), (0.5563159026819295, 1), (0.5563159026821795, 1), (0.5563159025682732, 1), (0.5563159033293399, 1), (0.5563159026818573, 1), (0.5563159026812922, 1), (0.9999999989806823, 1), (0.5563159026825205, 1), (0.5563159024726806, 1), (0.556315902681859, 1), (0.5563159026818844, 1), (0.5563159025710208, 1), (0.5563159033295964, 1), (0.9999999983304211, 1), (0.5563159033292946, 1), (0.5563159026821538, 1), (0.556315902682155, 1), (0.556315902681858, 1), (0.5563159026821578, 1), (0.5563159026821554, 1), (0.5563159025711352, 1), (0.999999997531672, 1), (0.9996768041554049, 1), (0.9999999980606015, 1), (0.5563159024999983, 1), (0.9999999986925691, 1), (0.9999999986776804, 1), (0.8014107484467187, 1), (0.5563159026967318, 1), (0.5563159026819037, 1), (0.5563159026777648, 1), (0.9999999984101419, 1), (0.5563159026818184, 1), (0.5563159026819416, 1), (0.5563159025710772, 1), (0.9999999983309205, 1), (0.5563159026821649, 1), (0.5563159033292947, 1), (0.9999999990814812, 1), (0.9999999860689229, 1), (0.5563159026821587, 1), (0.9999999986460698, 1), (0.5563159026821523, 1), (0.999999998472589, 1), (0.9999999986920949, 1), (0.5563159026818588, 1), (0.9999999996339762, 1), (0.9999999986922108, 1), (0.5563159026833209, 1), (0.55631590249987, 1), (0.999999998057543, 1), (0.9999999986932987, 1), (0.5563159033293311, 1), (0.5563159026820118, 1), (0.5563159026818854, 1), (0.9999999986906992, 1), (0.556315902682159, 1), (0.5563159026824301, 1), (0.9999999987354592, 1), (0.9999999980550627, 1), (0.5563159024997882, 1), (0.5563159026824195, 1), (0.9999999983297084, 1), (0.5563159026821611, 1), (0.9999999983306717, 1), (0.5563159026821568, 1), (0.5563159026818583, 1), (0.5563159026821572, 1), (0.5563159026818214, 1), (0.9999999999999999, 1), (0.48266366373056946, 1), (0.9999999867050839, 1), (0.5563159026620255, 1), (0.999999998648666, 1), (0.5563159026821584, 1)]",Cysteine and methionine metabolism,homoserine O-trans-acetylase,['Rv3341'],accoa_c + hom__L_c <=> achms_c + coa_c,
ACHMSSH,7.777497227089022,0.005971580973758672,"[(0.0, 22), (0.5563159026821581, 6), (0.5563159026821545, 5), (0.5563159026818587, 4), (0.5563159026821577, 4), (0.5563159026821572, 3), (0.5563159026821539, 3), (0.5563159026821568, 3), (0.5563159033293384, 2), (0.556315902499998, 2), (0.5563159024999987, 2), (0.4458375442547739, 2), (0.5563159026823874, 2), (0.556315902682158, 2), (0.5563159033292957, 2), (0.5563159033293562, 1), (0.5563159026822143, 1), (0.5563159026819058, 1), (0.5563159026824344, 1), (0.556315902682154, 1), (0.9999999988165922, 1), (0.5563159026821535, 1), (0.9996768042287877, 1), (0.999999998690645, 1), (0.5563159024358609, 1), (0.5563159033293381, 1), (0.5563159026821616, 1), (0.5563159026806628, 1), (0.5563159033292955, 1), (0.5563159026819606, 1), (0.9996768052322996, 1), (0.5563159026819603, 1), (0.5563159026819295, 1), (0.5563159026821586, 1), (0.5563159025682733, 1), (0.5563159033293396, 1), (0.5563159026818573, 1), (0.5563159026812922, 1), (0.9999999989806823, 1), (0.5563159026825205, 1), (0.5563159024726806, 1), (0.556315902681859, 1), (0.5563159026818844, 1), (0.5563159025710208, 1), (0.5563159033296144, 1), (0.9999999983304211, 1), (0.5563159033292946, 1), (0.5563159026821538, 1), (0.556315902682155, 1), (0.556315902681858, 1), (0.5563159026821554, 1), (0.5563159025711352, 1), (0.999999997531672, 1), (0.9996768041554049, 1), (0.9999999980606015, 1), (0.5563159024999983, 1), (0.9999999986925691, 1), (0.9999999986776804, 1), (0.8014107484467187, 1), (0.5563159026967318, 1), (0.5563159026819037, 1), (0.5563159026777648, 1), (0.9999999984101419, 1), (0.5563159026818184, 1), (0.5563159026819416, 1), (0.5563159025710772, 1), (0.9999999983309205, 1), (0.5563159026821647, 1), (0.5563159033292947, 1), (0.9999999990814812, 1), (0.9999999860689229, 1), (0.5563159026821587, 1), (0.9999999986460698, 1), (0.5563159026821523, 1), (0.999999998472589, 1), (0.9999999986920949, 1), (0.5563159026818588, 1), (0.9999999996339762, 1), (0.9999999986922108, 1), (0.5563159026833209, 1), (0.55631590249987, 1), (0.999999998057543, 1), (0.9999999986932987, 1), (0.5563159033293311, 1), (0.5563159026820118, 1), (0.5563159026818854, 1), (0.9999999986906993, 1), (0.5563159026821591, 1), (0.5563159026824301, 1), (0.9999999987350489, 1), (0.9999999980550627, 1), (0.5563159024997882, 1), (0.5563159026824195, 1), (0.9999999983297084, 1), (0.556315902682159, 1), (0.9999999983306717, 1), (0.5563159026818583, 1), (0.5563159026818214, 1), (0.9999999999999999, 1), (0.48266366373056946, 1), (0.9999999867050839, 1), (0.5563159026620255, 1), (0.999999998648666, 1), (0.5563159026821585, 1)]",Cysteine and methionine metabolism,,['Rv3340'],achms_c + h2s_c --> ac_c + h_c + hcys__L_c,
QRr,6.0547250254227425,0.014996104262243517,"[(2.7249406826240814e-15, 85), (0.3146618804361486, 5), (2.0838902643115453e-15, 1), (0.2685266406615679, 1), (0.9921852366596409, 1), (0.9867669065658676, 1), (0.9999999999973801, 1), (0.9897845302630816, 1), (2.71912789717134e-15, 1), (0.9975992936007779, 1), (0.16569550034712321, 1), (2.155054943929148e-15, 1), (2.4330460942172436e-15, 1), (2.1640215666006123e-15, 1), (4.27414586021271e-15, 1), (1.9106270201106115e-15, 1), (0.9975992936004918, 1), (1.8630235254900532e-15, 1), (2.831625670137876e-15, 1), (5.289591716342555e-16, 1), (3.1533606958270365e-15, 1), (0.9975992936026332, 1), (0.751438536183716, 1), (1.702716584315163e-15, 1), (0.9891676129625263, 1), (2.7239808185231467e-15, 1), (0.0, 1), (2.323245801825168e-15, 1), (0.6302724676248582, 1), (0.9999999999973035, 1), (0.9999999999973639, 1), (0.9975992936007804, 1), (0.9999999999973798, 1), (0.9999999999973058, 1), (1.0, 1), (0.33939371884430186, 1), (2.255395350924775e-15, 1), (0.9943751101321455, 1), (0.9975992936007052, 1), (1.5505129918054031e-15, 1), (1.6565233187698546e-15, 1), (0.9943543534063296, 1), (0.9835219663715464, 1), (0.761654005917801, 1), (0.31466188043614857, 1), (0.9897845302631738, 1), (0.9943543534063619, 1), (0.9975992936006469, 1), (0.3146618804361482, 1), (0.3146618804361481, 1), (0.9999999999974352, 1), (0.9841388836721309, 1), (1.8371807443311452e-15, 1), (0.9975992936006461, 1), (2.1940707840991725e-15, 1), (0.9897845302629613, 1), (0.9975992936007749, 1), (0.9865395900687911, 1), (0.989167612962446, 1), (3.552964139611107e-15, 1), (0.9999999999973627, 1), (0.9999999999971901, 1), (0.9897845302629796, 1), (0.2228813079697689, 1), (0.5609154267270481, 1)]",Oxidative Phosphorylation,QRr,['Rv3777'],h_c + nadph_c + q_c <=> nadp_c + qh2_c,
CYO1a,6.054725025421896,0.01499610426225047,"[(0.0, 106), (0.31466188043614673, 5), (0.26852664066156584, 1), (0.9921852366596408, 1), (0.9867669065658675, 1), (0.99999999999738, 1), (0.9897845302630814, 1), (0.9975992936007778, 1), (0.16569550034712094, 1), (0.9975992936004917, 1), (0.9975992936026331, 1), (0.7514385361837153, 1), (0.9891676129625262, 1), (0.6302724676248571, 1), (0.9999999999973029, 1), (0.9999999999973641, 1), (0.9975992936007803, 1), (0.9999999999973797, 1), (0.9999999999973057, 1), (0.9999999999999999, 1), (0.33939371884430014, 1), (0.9943751101328987, 1), (0.9975992936007051, 1), (0.9943543534063295, 1), (0.9835219663715462, 1), (0.7616540059178002, 1), (0.3146618804361467, 1), (0.9897845302631737, 1), (0.9943543534063618, 1), (0.9975992936006468, 1), (0.3146618804361463, 1), (0.31466188043614624, 1), (0.999999999997435, 1), (0.9841388836721308, 1), (0.997599293600646, 1), (0.9897845302629612, 1), (0.9975992936007748, 1), (0.9865395900687909, 1), (0.9891676129624459, 1), (0.9999999999973626, 1), (0.99999999999719, 1), (0.9897845302629795, 1), (0.22288130796976677, 1), (0.5609154267270469, 1)]",Oxidative Phosphorylation,CYO1a,"['Rv2195', 'Rv2194', 'Rv2196']",2.0 ficytc_c + 2.0 h_c + qh2_c --> 2.0 focytc_c + 2.0 h_e + q_c,
FAS80_L,5.921504568507744,0.016124857449084335,"[(0.00018586599690582935, 46), (0.4649834262587727, 1), (0.4401919462113887, 1), (0.4574098827543242, 1), (0.2749749295475975, 1), (0.44920068075554165, 1), (0.41633094042647756, 1), (0.4700193391152386, 1), (0.6667141544976527, 1), (0.27521345589048135, 1), (0.2675837722170397, 1), (0.4594694109717013, 1), (0.6496181771205035, 1), (0.39538125845945654, 1), (0.6496181941839335, 1), (0.47259509151667267, 1), (0.4414736713000174, 1), (0.47220018026500926, 1), (0.27334934418967216, 1), (0.47247073664416084, 1), (0.412152939100515, 1), (0.4837867104232183, 1), (0.4512602090275279, 1), (0.5060418443140191, 1), (0.45546630439292435, 1), (0.4100653167381977, 1), (0.4083909890948495, 1), (0.39108721977118177, 1), (0.5174124632358952, 1), (0.6602295542589718, 1), (0.32834332378397174, 1), (0.6783863561726546, 1), (0.0763681940712366, 1), (0.46265502933962305, 1), (0.6513616612512714, 1), (0.4163309275273085, 1), (0.527979337967625, 1), (0.5204993058082752, 1), (0.2862855531788087, 1), (0.4163309404254589, 1), (0.6996029187537851, 1), (0.7196232678332556, 1), (0.48643840693032625, 1), (0.3293974091169979, 1), (0.472595078617081, 1), (0.4163309404270321, 1), (0.5047821614121489, 1), (0.4680037955751472, 1), (0.4705355633011269, 1), (0.4982249740059897, 1), (0.4167161409493303, 1), (0.4146566127318817, 1), (0.0028709565547239773, 1), (0.47247073664431744, 1), (0.3289427483029449, 1), (0.4328859803276277, 1), (0.6602943138417587, 1), (0.5221605690955826, 1), (0.002762391064836455, 1), (0.6733597205289145, 1), (0.6565767761261996, 1), (0.41465661273101695, 1), (0.6565767761262732, 1), (0.13231506759078282, 1), (0.0, 1), (0.4930905021622161, 1), (0.00276543318060638, 1), (0.3980714804034598, 1), (0.5220149124232946, 1), (0.4140037391433658, 1), (0.4725950915167186, 1), (0.45908419240284776, 1), (0.6521367749721471, 1), (0.5254019269299084, 1), (0.4722098909945078, 1), (0.5560714789287311, 1), (0.589604046389339, 1), (0.002765433180142328, 1), (0.5275841834818356, 1), (0.0027654331760441067, 1), (0.33108680744477326, 1), (0.45751613477769737, 1), (0.5051966102358868, 1), (0.4741534513103561, 1), (0.002765433180146892, 1), (0.43991395380487897, 1), (0.5189784540127527, 1), (0.12425884541546833, 1), (0.4569803795665217, 1), (0.46800379557640104, 1), (0.715988415533607, 1), (0.46098031978773996, 1), (0.4722143472622723, 1), (0.5022047502958663, 1), (0.4067756969147745, 1), (0.4163309404254081, 1), (0.7001072291143867, 1), (0.40510136921816664, 1), (0.5204993058085535, 1), (0.9972096054117047, 1), (0.41215293910020834, 1), (0.407160897381878, 1), (0.27497492954764396, 1), (0.6494369992473166, 1), (0.430444640807468, 1), (0.4007272640116215, 1), (0.7726918769230807, 1), (1.0, 1)]",Fatty Acid Metabolism,Fatty acid synthase  n C80   lumped reaction,"['Rv2524c', 'Rv2947c', 'Rv1484', 'Rv1350']",accoa_c + 8.0 h_c + 3.0 malcoa_c + 6.0 nadph_c --> 3.0 co2_c + 4.0 coa_c + 2.0 h2o_c + 6.0 nadp_c + octa_c,['Rv1484']
MCD,5.8032361385099405,0.017201151903930283,"[(1.0, 103), (0.15342335143380395, 24), (0.07671176857905708, 12), (0.0, 11), (1.857243102019938e-07, 2), (0.9983942175765437, 1)]",Fatty Acid Metabolism,Malonyl-CoA Decarboxylase cytoplasmic,"['Rv3280', 'Rv3799c', 'Rv3285', 'Rv3281', 'Rv2247']",h_c + malcoa_c --> accoa_c + co2_c,"['Rv2247', 'Rv3280']"
NADH5,5.639589169000933,0.018815545170081886,"[(0.0, 143), (1.0, 10)]",Oxidative Phosphorylation,NADH dehydrogenase (ubiquinone-8 ),"['Rv1854c', 'Rv0392c']",h_c + nadh_c + q8_c --> nad_c + q8h2_c,['Rv1854c']
GLYCK,5.28263612396322,0.022911320838789613,"[(0.0, 148), (0.4278694197739424, 1), (0.7253058607824207, 1), (0.5461601119608154, 1), (1.0, 1), (0.6018734754366429, 1)]",Glycolysis/Gluconeogenesis,glycerate kinase,['Rv2205c'],atp_c + glyc__R_c --> 3pg_c + adp_c + h_c,
GLYALDDr,5.2826361239632185,0.022911320838789613,"[(0.0, 148), (0.4278694197739424, 1), (0.7253058607824202, 1), (0.5461601119608154, 1), (1.0, 1), (0.6018734754366429, 1)]",Glycerolipid metabolism,D-Glyceraldehyde dehydrogenase,"['Rv0458', 'Rv2858c']",glyald_c + h2o_c + nad_c --> glyc__R_c + 2.0 h_c + nadh_c,
ALCD19y,5.2826361239632185,0.022911320838789613,"[(0.0, 148), (0.4278694197739423, 1), (0.7253058607824204, 1), (0.5461601119608153, 1), (1.0, 1), (0.6018734754366428, 1)]",Glycerolipid metabolism,"alcohol dehydrogenase (glycerol, NADP)",['Rv3045'],glyc_c + nadp_c <=> glyald_c + h_c + nadph_c,
