,F_value,pvalue,value_counts,subsystem,name,genes,reaction,alleles_sim
DM_ncam_c,26.394231675504958,8.478431181146423e-07,"[(4.4730058473253305e-15, 41), (0.2707543822679466, 3), (0.27075438226794696, 3), (0.8869871716590464, 2), (4.232369456804664e-15, 1), (0.2709011985944919, 1), (0.6468762436567049, 1), (2.0949521057093318e-15, 1), (0.27075438226795173, 1), (0.942877424000865, 1), (5.209070100682664e-15, 1), (0.9428774240008694, 1), (4.741952401436663e-15, 1), (0.2707543822679475, 1), (0.270901198594492, 1), (6.3980969714906625e-15, 1), (0.30999824951061117, 1), (0.2709011985944995, 1), (0.27075438226794607, 1), (0.30594686847103, 1), (0.27075438226794574, 1), (0.27075438226794657, 1), (0.270901198594494, 1), (0.8759293948695765, 1), (0.27917202413624614, 1), (0.9428774240027434, 1), (0.31461934960775145, 1), (0.8925892274805857, 1), (0.2791720241362447, 1), (0.27075438226794596, 1), (4.692409615152997e-15, 1), (0.27176091275973563, 1), (0.3171890926306004, 1), (0.3146193496077539, 1), (0.8869871716590381, 1), (0.3074009723671108, 1), (0.27075438226794346, 1), (0.3143577818037256, 1), (0.2707543822679464, 1), (0.2707543822679487, 1), (0.27075438226794685, 1), (0.2707543822679461, 1), (0.6203083169742921, 1), (0.9428774240008526, 1), (0.8869871716590304, 1), (0.3099982495106919, 1), (0.0, 1), (0.3143577818037268, 1), (0.27090119859449163, 1), (4.189904211418664e-15, 1), (0.8869871716590326, 1), (0.30594686847184593, 1), (0.8869871716590405, 1), (0.8869871716590436, 1), (0.3146193496077516, 1), (0.2791720241362466, 1), (0.6203083169743046, 1), (0.2791720241362529, 1), (0.886987171665033, 1), (0.882881662905455, 1), (0.30999824951069066, 1), (0.9428774240008796, 1), (0.27075438226795123, 1), (0.30999824951069166, 1), (0.2709011985945186, 1), (0.27075438226794585, 1), (0.2707543822679472, 1), (0.8869871716590394, 1), (0.8869871716590411, 1), (0.8869871716590391, 1), (0.653031148542336, 1), (0.8869871716603274, 1), (4.642866828869331e-15, 1), (0.3099982495106917, 1), (0.8869871716590675, 1), (0.8869871716590495, 1), (2.491294395978665e-15, 1), (0.41948718593484235, 1), (0.8563971160747416, 1), (0.886987171659042, 1), (0.8869871716590424, 1), (3.2945952878638313e-15, 1), (0.30999824951068633, 1), (0.8869871716590498, 1), (0.2717609127597359, 1), (0.2707543822679462, 1), (0.2707543822679463, 1), (4.816266580862164e-15, 1), (0.8869871716590364, 1), (0.8869871716590392, 1), (0.9428774240008684, 1), (0.3099982495106912, 1), (3.765251757558664e-15, 1), (0.8869871716590766, 1), (0.27075438226794163, 1), (0.8941048740004524, 1), (0.31461934960775423, 1), (0.27176091275973524, 1), (0.2709011985944909, 1), (0.8869871716590442, 1), (5.378931082226663e-15, 1), (4.4517732246323304e-15, 1), (4.3633039634114974e-15, 1), (0.27090119859449235, 1), (0.2709011985944925, 1), (0.30740097236711017, 1), (3.998810607181664e-15, 1), (0.6203083169743107, 1)]",Intracellular demand,ncam_c Demand reaction,[],ncam_c --> ,
CAT,19.25884934284452,2.132957864350826e-05,"[(0.45204522482193743, 57), (0.4520452248219373, 15), (0.45204522482193754, 13), (0.45204522482193765, 3), (0.45204522482193826, 2), (0.2430012423029022, 2), (0.8283297466179291, 2), (0.4520452248219375, 2), (0.8997206533712419, 1), (0.4408446228709991, 1), (0.44084462287100845, 1), (0.45546709758412646, 1), (0.45204522482193804, 1), (0.24300124230290213, 1), (0.4096938993204084, 1), (0.24300124230290593, 1), (0.0, 1), (0.4520452248219368, 1), (0.23299400582368446, 1), (0.2647019716327005, 1), (0.24300124230290307, 1), (0.22380545468659885, 1), (0.4096938993204106, 1), (0.23299400582368435, 1), (0.197228081373164, 1), (0.45204522482193793, 1), (0.18779871097536524, 1), (0.19389185045094373, 1), (0.4520452248219372, 1), (0.8283297466179287, 1), (0.19389185045094304, 1), (0.1972280813733156, 1), (0.4520452248219361, 1), (0.22380545468659852, 1), (0.24300124230289594, 1), (0.45204522482191395, 1), (0.24300124230289816, 1), (0.4520452248253145, 1), (0.03907692713246588, 1), (0.4385958204189926, 1), (1.0, 1), (0.8283297466179298, 1), (0.8209004855251432, 1), (0.9653938460174782, 1), (0.9529744275784819, 1), (0.2430012423029017, 1), (0.4554670975841317, 1), (0.8705739850055589, 1), (0.9653938460174749, 1), (0.4520452248219383, 1), (0.4430476791451591, 1), (0.9653938460174718, 1), (0.23299400582368474, 1), (0.4096938993204087, 1), (0.18779871097533984, 1), (0.8283297466179331, 1), (0.8764349267609475, 1), (0.4520452248219384, 1), (0.19722808137316244, 1), (0.2329940058236848, 1), (0.24323920513921649, 1), (0.40969389932040984, 1), (0.187798710975368, 1), (0.24323920513921737, 1), (0.4408446228709949, 1)]",Redox Metabolism,catalase,['Rv1908c'],2.0 h2o2_c --> 2.0 h2o_c + o2_c,['Rv1908c']
NNAM,15.278650763305246,0.00013968164310535457,"[(0.9999999999999982, 88), (0.9999999999999983, 4), (0.8231479347361765, 3), (0.8231479347361763, 2), (2.609024107869118e-15, 2), (0.823147934736177, 2), (0.42063536753698194, 2), (0.8231479347361698, 1), (0.8231479347361749, 1), (0.7946669506212283, 1), (0.44061626114728925, 1), (0.4406162611472882, 1), (0.42063536753699476, 1), (0.38412882432992157, 1), (0.8176496771028557, 1), (0.7946669506212272, 1), (0.7946669506212269, 1), (0.8176496771028527, 1), (0.8176496771028549, 1), (0.8231479347361769, 1), (0.3766100327565767, 1), (0.5929681987824051, 1), (0.8231479347361751, 1), (0.8224904864809242, 1), (0.7946669506212264, 1), (0.0, 1), (0.7975145214828678, 1), (0.797514521482867, 1), (0.8001608132912905, 1), (0.448825487548904, 1), (0.7944960990694951, 1), (0.9999999999999993, 1), (0.9999999999999979, 1), (0.38819505113138164, 1), (0.8231479347361852, 1), (0.5784257958491252, 1), (0.8176496771028559, 1), (0.797514521482868, 1), (0.7975145214828155, 1), (0.7975145214828689, 1), (0.42063536753698505, 1), (0.8581546315570767, 1), (0.8231479347361708, 1), (0.8230520368587391, 1), (1.8318679906315083e-15, 1), (0.7992110178536933, 1), (0.8231479347361845, 1), (0.7975145214828786, 1), (0.8231479347361774, 1), (1.0, 1), (0.8171834029556204, 1), (0.41598620785037793, 1), (0.7946669506212282, 1), (0.8794775047717713, 1), (2.7200464103316335e-15, 1), (0.8171834029556195, 1), (0.44061626114729047, 1)]",Pantothenate and CoA Metabolism,Nicotinamidase,['Rv2043c'],h2o_c + ncam_c <=> nac_c + nh4_c,['Rv2043c']
PHTHDLS2,14.069226397197797,0.0002505918044879713,"[(0.6666666666666666, 70), (0.5, 18), (0.7083333333333333, 17), (0.3333333333333333, 13), (0.8333333333333333, 10), (0.6875, 9), (0.75, 6), (0.65625, 2), (0.6744791666666666, 1), (0.6614583333333333, 1), (0.6458333333333333, 1), (0.6692708333333333, 1), (0.0, 1), (1.0, 1), (0.625, 1), (0.5833333333333333, 1)]",Membrane Metabolism,PHTHDLS2,[],h_c + prepphth_c --> co2_c + pphthdl_c,
CYTBD,13.892087867797501,0.0002731456718961513,"[(7.056778082324882e-12, 36), (7.056880375226084e-12, 25), (7.0566757894236806e-12, 20), (7.056867588613434e-12, 8), (7.0568739819197595e-12, 7), (7.0568771785729215e-12, 5), (7.056854802000784e-12, 4), (7.056829228775484e-12, 3), (7.056573496522478e-12, 3), (7.056982668127287e-12, 3), (7.0568036555501825e-12, 2), (0.36020672574557283, 2), (0.360206725745521, 1), (0.3602067257455724, 1), (7.0660867363342694e-12, 1), (1.243533882752887e-11, 1), (0.36020672574557316, 1), (7.056826032122321e-12, 1), (0.360206725745573, 1), (0.36012351103423207, 1), (7.056957094901986e-12, 1), (0.3602067257455704, 1), (0.0, 1), (0.9999999999999926, 1), (0.9999999999999921, 1), (7.0538115881900224e-12, 1), (0.3602067257455714, 1), (0.9999999999999909, 1), (0.37505438107282085, 1), (0.3601235110342365, 1), (7.057289546830893e-12, 1), (7.056471203621276e-12, 1), (0.34197421470293726, 1), (0.3750543810728216, 1), (0.9999999999999917, 1), (0.9872848777705019, 1), (0.3602067257455726, 1), (0.8670239808312107, 1), (7.056883571879247e-12, 1), (0.3601235110342339, 1), (0.9999999999999999, 1), (0.7157679101493495, 1), (0.3750543810728207, 1), (7.057084961028488e-12, 1), (7.056359320760587e-12, 1), (6.880182175012187e-12, 1), (7.05166343726478e-12, 1)]",Redox Metabolism,cytochrome oxidase bd (ubiquinol-8: 2 protons),"['Rv1620c', 'Rv1622c', 'Rv1621c']",2.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 2.0 h_e + q8_c,
DAGK160,11.143022841099292,0.0010622941621948653,"[(3.0716530572517612e-15, 12), (3.1356458292778396e-15, 8), (3.1036494432648002e-15, 7), (2.0477687048345072e-15, 6), (3.1676422152908786e-15, 5), (2.9436675131996045e-15, 5), (3.2956277593430353e-15, 4), (3.2636313733299963e-15, 4), (4.095537409669015e-15, 4), (3.007660285225683e-15, 4), (2.879674741173526e-15, 3), (3.583595233460388e-15, 2), (3.839566321564702e-15, 2), (2.5597108810431342e-15, 2), (2.8156819691474477e-15, 2), (3.199638601303918e-15, 2), (1.5358265286258806e-15, 2), (2.847678355160487e-15, 2), (5.247407306138426e-15, 2), (5.119421762086266e-16, 2), (0.08408313419672768, 1), (2.7836855831344087e-15, 1), (0.08408313419671604, 1), (0.6466044875368532, 1), (0.07214428083946399, 1), (3.151644022284359e-15, 1), (0.08408313419671626, 1), (0.0960219601373414, 1), (0.08429136526609707, 1), (0.08408313419671805, 1), (0.0, 1), (0.08429136526609195, 1), (0.084083134196719, 1), (3.423613303395192e-15, 1), (0.05265526108901442, 1), (0.08408313419671817, 1), (0.0842913652660931, 1), (3.0236584782322023e-15, 1), (2.3037397929388207e-15, 1), (3.195639053052288e-15, 1), (0.30198642345123283, 1), (0.08408313419671617, 1), (2.9916620922191633e-15, 1), (0.0840831341967182, 1), (0.06719055605973596, 1), (0.051974749231667616, 1), (0.04692932933584763, 1), (0.08408313419671966, 1), (2.919670223689825e-15, 1), (0.08408313419671785, 1), (0.6466044875368631, 1), (0.9999999999999962, 1), (1.0238843524172536e-15, 1), (0.999999999999998, 1), (0.06719055605973365, 1), (0.9999999999999968, 1), (3.1756413117941385e-15, 1), (3.3276241453560747e-15, 1), (1.4078409845737239e-15, 1), (3.0476557677419818e-15, 1), (3.11964763627132e-15, 1), (0.08408313419659914, 1), (0.99999999999983, 1), (2.4317253369909775e-15, 1), (0.08408313419671773, 1), (0.0842913652660851, 1), (0.9999999999999961, 1), (2.975663899212644e-15, 1), (0.04692932933584516, 1), (0.0840831341967183, 1), (2.2557452139192622e-15, 1), (1.7917976167301937e-15, 1), (0.9999999999999969, 1), (0.07214428083946357, 1), (1.0, 1), (0.20796361488903242, 1), (0.08408313419671715, 1), (2.7516891971213693e-15, 1), (0.9999999999999998, 1), (0.9999999999999966, 1), (0.04692932933584761, 1), (4.9914362180341125e-15, 1), (2.9356684166963445e-15, 1), (2.9116711271865655e-15, 1), (0.0970344201302521, 1), (0.0842913652660908, 1), (0.9999999999999954, 1), (3.0396566712387222e-15, 1), (3.3596205313691137e-15, 1), (0.08429136526609504, 1), (0.08429136526609592, 1), (0.05197474923166881, 1), (0.6466044875368562, 1)]",Glycerophospholipid metabolism,Diacylglycerol kinase (n-C16:0),"['Rv2252', 'Rv0499']",12dgr160_c + atp_c --> adp_c + h_c + pa160_c,
PPA,10.888709187507624,0.0012070859066878343,"[(0.32132132132132135, 14), (0.3123123123123123, 10), (0.30930930930930933, 9), (0.43243243243243246, 9), (0.4084084084084084, 8), (0.3183183183183183, 8), (0.3153153153153153, 7), (0.33633633633633636, 7), (0.3003003003003003, 6), (0.32732732732732733, 6), (0.5045045045045045, 6), (0.32432432432432434, 5), (0.3033033033033033, 5), (0.30180180180180183, 5), (0.2882882882882883, 4), (0.30630630630630634, 3), (0.3303303303303303, 3), (0.33933933933933935, 3), (0.5285285285285286, 3), (0.0, 2), (0.33333333333333337, 2), (0.2642642642642643, 2), (0.3843843843843844, 2), (0.4804804804804805, 2), (0.3078078078078078, 2), (0.5765765765765766, 2), (0.31981981981981983, 2), (0.36036036036036034, 1), (0.2912912912912913, 1), (0.0960960960960961, 1), (0.07207207207207209, 1), (0.16816816816816818, 1), (0.31681681681681684, 1), (0.31381381381381385, 1), (0.32582582582582587, 1), (0.37237237237237236, 1), (0.4564564564564565, 1), (0.3228228228228228, 1), (0.2972972972972973, 1), (1.0, 1), (0.2942942942942943, 1), (0.24024024024024027, 1), (0.34234234234234234, 1)]",Oxidative Phosphorylation,inorganic diphosphatase,['Rv3628'],h2o_c + ppi_c --> h_c + 2.0 pi_c,
SALSYN,9.400771486927335,0.0025704597477477133,"[(1.936935340165046e-15, 35), (1.9322082252409093e-15, 17), (1.8613015013788577e-15, 8), (1.941662455089183e-15, 5), (1.899118420771952e-15, 5), (1.9381171188960804e-15, 3), (1.935753561434012e-15, 3), (1.918026880468499e-15, 2), (0.06571663507374961, 1), (0.577615864958631, 1), (0.836808071713141, 1), (0.8368080717131456, 1), (0.8898118901582043, 1), (0.8898118901581519, 1), (2.0125691789512347e-15, 1), (0.06784105573547007, 1), (0.5554347626451431, 1), (0.08502545088800219, 1), (0.06784105573546839, 1), (0.07991227087835714, 1), (0.06784105573547028, 1), (0.06571663507374705, 1), (0.06784105573546982, 1), (0.8711047189492778, 1), (0.20804465808688893, 1), (0.08037508221133022, 1), (0.06784105573546911, 1), (0.06784105573547357, 1), (0.06571663507374886, 1), (1.931026446509875e-15, 1), (0.4180811646441495, 1), (1.953480242399525e-15, 1), (1.9316173358753923e-15, 1), (1.9463895700133197e-15, 1), (0.8898118901581462, 1), (0.08502545088800184, 1), (0.06784105573546947, 1), (0.06784105573546916, 1), (0.07229601111843856, 1), (0.06784105573546878, 1), (0.8898118901581555, 1), (1.3696815492686324e-15, 1), (0.06571663507374918, 1), (0.8898118901581492, 1), (1.9558437998615935e-15, 1), (0.07991227087833848, 1), (0.5675861392327235, 1), (0.07991227087835316, 1), (0.8898118901614359, 1), (0.29696653380339283, 1), (0.06581787569859003, 1), (0.08037508221149087, 1), (0.8879364637123534, 1), (0.06784105573547314, 1), (0.06784105573546965, 1), (0.889811890158168, 1), (1.944026012551251e-15, 1), (0.07991227087834193, 1), (5.400728800826273e-16, 1), (0.8898118901581714, 1), (0.8898118901581455, 1), (0.8898118901581507, 1), (0.8898118901581545, 1), (0.06784105573547235, 1), (0.08037508221148847, 1), (0.06784105573547043, 1), (0.06691572047876525, 1), (0.06784105573546924, 1), (0.0, 1), (0.8898118901581485, 1), (0.8898118901581438, 1), (0.8879364637123498, 1), (2.1496555117512013e-15, 1), (0.8898118901580249, 1), (0.8898118901581493, 1), (0.08093595800291944, 1), (0.8898118901581664, 1), (0.6722085064866486, 1), (0.06571663507374821, 1), (0.06571663507374931, 1), (0.07427544716933075, 1), (0.5675861392327092, 1), (0.836808071713135, 1)]",Mycobactin biosynthesis,Salicylate synthase,['Rv2386c'],ichor_c --> pyr_c + salc_c,
LALDD,9.172217766224392,0.002890796240510548,"[(0.9999999999969086, 2), (0.087411425036015, 2), (3.622296673060485e-15, 2), (3.814271180288217e-15, 2), (0.08741142503601551, 2), (0.08741142503602917, 1), (3.811420073745231e-15, 1), (4.293268794961653e-15, 1), (3.7705484776828915e-15, 1), (3.671715853138911e-15, 1), (0.6443921778940866, 1), (2.404850789006213e-15, 1), (0.20750921667934824, 1), (6.345701939104153e-14, 1), (0.08741142503602557, 1), (2.9490180873118566e-15, 1), (0.9504761916796546, 1), (6.17415316594231e-15, 1), (0.09982282951916883, 1), (0.5962414428772631, 1), (3.9864502484576356e-15, 1), (3.8503851964993744e-15, 1), (0.017482285007206142, 1), (3.688822492396828e-15, 1), (0.08741142503601392, 1), (3.4795211131791453e-15, 1), (0.08741142503601536, 1), (0.08011693584959731, 1), (0.9504761916796424, 1), (0.0344003916572263, 1), (0.06635223013754986, 1), (3.584791863241935e-15, 1), (0.08741142503601418, 1), (0.08741142503601995, 1), (0.05004757203233304, 1), (3.52559083596541e-15, 1), (0.0874114250360161, 1), (0.08741142503601455, 1), (0.0801169358496013, 1), (0.08127589065690662, 1), (0.5566992882018501, 1), (0.09982282951917026, 1), (0.9504761916797865, 1), (3.9879337480707415e-15, 1), (0.4305463585513041, 1), (0.08741142503601487, 1), (0.26138095271189304, 1), (3.4781535062492655e-15, 1), (3.3618956088010865e-15, 1), (0.0663522301378749, 1), (0.08127589065690581, 1), (0.0650926790619278, 1), (0.9999999999969031, 1), (0.04940076171322066, 1), (0.08741142503601489, 1), (0.06857142130376039, 1), (0.0874114250360154, 1), (0.08741142503601357, 1), (3.7690011943544555e-15, 1), (0.08741142503601451, 1), (3.7420431478659015e-15, 1), (0.0874114250360136, 1), (0.6529935565143116, 1), (0.08741142503601297, 1), (0.9504761916796456, 1), (0.9999999999969102, 1), (3.403711838098216e-15, 1), (0.06635223013788002, 1), (0.06857142130375923, 1), (0.08011693584959545, 1), (0.06509267906192549, 1), (0.999999999996902, 1), (0.05004757203216693, 1), (0.9999999999969108, 1), (0.9999999999969017, 1), (0.06509267906192596, 1), (0.7819496339683442, 1), (0.09982282951916716, 1), (0.01748228500707822, 1), (0.007909239210262698, 1), (0.09982282951917364, 1), (1.0, 1), (0.28335952461145386, 1), (0.0688941527568325, 1), (2.2936810240289553e-15, 1), (0.06635223013787665, 1), (0.2894510798396609, 1), (0.08741142503601905, 1), (0.06635223013787686, 1), (3.2687594617302066e-15, 1), (0.08741142503601497, 1), (0.0874114250360164, 1), (0.9999999999969268, 1), (0.9874440017715506, 1), (0.09982282951916868, 1), (0.06635223013787511, 1), (0.9999999999969196, 1), (0.08741142503601454, 1), (0.6138772185292166, 1), (0.9999999999985578, 1), (0.06635223013819812, 1), (3.696425443178124e-15, 1), (0.999999999996934, 1), (0.06635223013787317, 1), (5.152390517796367e-15, 1), (0.9999999999969066, 1), (3.7230357709126614e-15, 1), (0.20750921667935648, 1), (0.9999999999969077, 1), (0.0685714213037503, 1), (0.9999999999969137, 1), (0.08741142503601655, 1), (0.06635223013787725, 1), (0.08741142503601554, 1), (0.08011693584960428, 1), (0.0812758906569049, 1), (4.346477734978959e-15, 1), (3.5956863453259476e-15, 1), (3.60138855841192e-15, 1), (3.607090771497892e-15, 1), (0.9999999999969068, 1), (0.9999999999968946, 1), (0.0, 1), (3.654609213880994e-15, 1), (0.06635223013785932, 1), (0.9999999999967647, 1), (0.08741142503601367, 1), (0.08741142503601276, 1), (0.9999999999969105, 1), (3.692623967787476e-15, 1), (0.06509267906192623, 1), (0.08741142503601468, 1), (0.08127589065690571, 1), (3.500649460559744e-15, 1), (1.6191100455871819e-15, 1), (0.9999999999969058, 1), (0.08741142503601528, 1), (0.3024682844349021, 1), (0.06857142130376048, 1), (0.9999999999969115, 1), (0.0998228295191987, 1), (0.7153438979161464, 1), (3.6090784388817204e-15, 1), (0.01001461698120313, 1), (0.049400761713223475, 1), (0.10087536605480034, 1), (0.007909239210264169, 1), (0.20750921667934918, 1)]",Pyruvate Metabolism,LALDD,[],h2o_c + lald__L_c + nad_c --> 2.0 h_c + lac__L_c + nadh_c,
RNDR2,8.836090820031286,0.0034382396211703726,"[(0.12338858195211783, 6), (0.3846685082872928, 5), (0.4185082872928177, 5), (0.4097605893186004, 5), (0.3257366482504604, 4), (0.4311694290976059, 4), (0.39871086556169427, 3), (0.5285451197053407, 3), (0.43232044198895025, 3), (0.39732965009208104, 3), (0.7974217311233887, 3), (0.35267034990791896, 3), (0.3664825046040516, 2), (0.5469613259668509, 2), (0.40584714548802947, 2), (0.39042357274401474, 2), (0.4014732965009208, 2), (0.3848987108655617, 2), (0.39594843462246776, 2), (0.3259668508287293, 2), (0.4258747697974217, 2), (0.38904235727440145, 2), (1.0, 2), (0.5948434622467772, 2), (0.287292817679558, 2), (0.4152854511970534, 2), (0.35681399631675875, 1), (0.3651012891344383, 1), (0.3819060773480663, 1), (0.14180478821362796, 1), (0.45234806629834257, 1), (0.15653775322283608, 1), (0.4143646408839779, 1), (0.7163904235727441, 1), (0.47882136279926335, 1), (0.36556169429097607, 1), (0.43278084714548803, 1), (0.423572744014733, 1), (0.3717771639042357, 1), (0.6795580110497237, 1), (0.35451197053406996, 1), (0.36372007366482506, 1), (0.3777624309392265, 1), (0.4162062615101289, 1), (0.3897329650092081, 1), (0.417817679558011, 1), (0.43646408839779005, 1), (0.2302025782688766, 1), (0.44106813996316757, 1), (0.10313075506445674, 1), (0.22283609576427255, 1), (0.35589318600368325, 1), (0.4102209944751381, 1), (0.35888581952117865, 1), (0.3609576427255985, 1), (0.42449355432780844, 1), (0.34760589318600366, 1), (0.43485267034990793, 1), (0.4118324125230203, 1), (0.35957642725598526, 1), (0.3756906077348066, 1), (0.35082872928176795, 1), (0.2523020257826888, 1), (0.2154696132596685, 1), (0.24125230202578268, 1), (0.5211786372007366, 1), (0.34898710865561694, 1), (0.39917127071823205, 1), (0.3443830570902394, 1), (0.425414364640884, 1), (0.40285451197053407, 1), (0.3268876611418048, 1), (0.4843462246777164, 1), (0.5322283609576427, 1), (0.4714548802946593, 1), (0.39134438305709024, 1), (0.3761510128913444, 1), (0.4880294659300184, 1), (0.3798342541436464, 1), (0.39180478821362796, 1), (0.39779005524861877, 1), (0.4659300184162063, 1), (0.45119705340699817, 1), (0.3186003683241252, 1), (0.42173112338858193, 1), (0.3724677716390424, 1), (0.3029465930018416, 1), (0.3839779005524862, 1), (0.0, 1), (0.4106813996316759, 1), (0.36348987108655617, 1), (0.8858195211786373, 1), (0.3337937384898711, 1), (0.6427255985267035, 1), (0.39686924493554326, 1), (0.3800644567219153, 1), (0.32228360957642727, 1), (0.40699815837937386, 1), (0.5580110497237569, 1), (0.34000920810313073, 1), (0.3867403314917127, 1), (0.3729281767955801, 1), (0.35359116022099446, 1), (0.3406998158379374, 1)]",Purine and Pyrimidine Biosynthesis,ribonucleoside-diphosphate reductase (GDP),"['Rv3048c', 'Rv3051c']",gdp_c + trdrd_c --> dgdp_c + h2o_c + trdox_c,
