,0
ADNCYC_min,-0.5997678069011542
ADNCYC_max,-0.45616493245092804
OXCDC_max,-0.5120730565000774
OXCDC_min,-0.47853773279292905
NARK_min,-0.32975440832327
ASPt2r_min,-0.12321397503784325
PYK_max,-0.0755066295644043
PYK_min,-0.13115243938179252
FACOAL140_min,-0.08500156379626278
ACCOAC_min,-0.5912746645034005
Kabc_min,-0.20018214541423
Kabc_max,-0.21276803230462496
ALAALAr_min,-0.1255715068936019
FACOALPREPH_min,-0.029917305677016854
PGCD_min,-0.14074139960847634
FACOAL180_min,-0.0262315763405139
PGCD_max,-0.026940497873005714
CYSM_II_min,-0.11043693058699106
NARK_max,-0.18080992280426225
PREPTHS_min,-0.1312780295333261
PDIMAT_min,-0.13127802953332604
FACOAL200_min,-0.13127802953332604
ASNt2r_min,-0.044680554699868126
CYSM_II_max,-0.11659459517795072
FACOAL161_max,-0.15646886105343683
ALAALAr_max,-0.09067870140885652
MAN1PT_min,-0.08953209734313881
MAN1PT_max,-0.08953209734313881
MAN1PT2_min,-0.08953209734313881
FAD_8_max,-0.1505142293692137
ALAR_min,-0.05532733881287213
CHORS_min,0.015385815208970607
FACOAL161_min,0.03837096386006194
DHFR_max,-0.026790880315211707
TMDS_max,-0.04010887901362779
KGD2_min,0.0649356703275743
PREPTHS_max,-0.04080284216699947
PDIMAT_max,-0.04080284216699948
FACOAL200_max,-0.04080284216699948
NADH5_min,-0.05277611471091755
ASPt2r_max,-0.03766072379427462
ASNt2r_max,-0.03766072379427453
NNAM_min,0.18669728929283216
FACOAL180_max,0.053132501179584034
FACOAL140_max,0.047270944454550955
FACOALPREPH_max,0.05612567982843388
ACCOAC_max,-0.41930139756117013
FAS200_min,-0.128358099895253
FAS180_min,-0.12591284931805963
TMDS_min,0.07898158242639851
CYST_II_max,0.007962584910687215
CAT_min,-0.12996171903388815
MCOATA_max,-0.03926262669884144
CHORS_max,0.042161115073196094
FAD_10_max,-0.14062574144835896
FAD_9_max,-0.14062574144835896
G3PD1ir_min,-0.019879337889231057
FAD_18_max,-0.14002443330370257
FAD_15_max,-0.14002443330370257
FAD_17_max,-0.14002443329974687
FAD_16_max,-0.14002443329097994
FAD_19_max,-0.14002443329974684
FAD_11_max,-0.13601744780551087
FAD_12_max,-0.13601744780551087
FAD_13_max,-0.13601744780551087
G3PD1ir_max,-0.15466491003992194
CYST_II_min,0.02250637925392419
FAD_14_max,-0.12791131475517753
MCD_max,-0.2666021898048469
ALAD_L_max,-0.073934852328208
VPAMTr_min,0.04771677566879439
PPCOAC_min,-0.037494114943624306
MCOATA_min,-0.14787873269730914
PPDIMAT_min,-0.14543333678192014
PREPTHS2_min,-0.14543333678192014
FAD_3_min,-8.243981639498174e-17
MYCSacp50_max,-3.806997502149431e-17
FAS160_max,-0.128486766926387
FAS260_min,-0.002445432837711367
MYCSacp50_min,-0.008854804753542635
FAS260_max,-5.384989664025863e-17
MSHS_max,-5.951069729974605e-17
FAD_7_min,7.977467599784811e-17
FAS240_L_min,-0.0024454328377113504
MYC1M2_max,0.0
MYC1M1_min,-0.0024468771624963337
MYC1M1_max,0.0
DCPT_min,-0.0024453267735897025
DHFS_max,0.0
DHFS_min,-0.002449484896435775
MAN1PT2_max,0.0
ECHA191_max,0.0
MYC1M2_min,-0.012360496071366293
HEMEOS_max,0.0
GXRA_min,0.0
ECHA192_max,0.0
FBPA_min,0.0
FBPA_max,0.005112073805902264
FAS80_L_min,0.0
FAS240_L_max,0.0
FAS80_L_max,-0.12411800005457833
KGD2_max,0.10917755751108531
HEMEOS_min,-0.0024433424017517194
ECHA191_min,0.0
MYCSacp56_max,-0.010362537264398944
ACCC_min,-0.002445320380268194
ACChex_max,0.0
TDPDRR_min,-0.002436424013002253
TDPDRR_max,0.0
ACChex_min,-0.002445320380268194
ALAD_L_min,0.0
APRAUR_max,0.0
APRAUR_min,-0.002445483242078243
PREPTHS2_max,-0.07333268283281638
PPDIMAT_max,-0.07333268283281638
CHSTEROLt_max,0.0
CHSTEROLt_min,0.0
CIGAMS_max,0.0
CIGAMS_min,-0.0024448897001109696
CYO1b_min,-0.032908628202648484
CYSK2_I_max,0.0
CYSK2_I_min,0.0
DCPE_max,0.0
DCPE_min,-0.0024453267735897025
NAGINSP_min,-0.0024448897001109696
NAGINSP_max,0.0
DCPT_max,0.0
MYCSacp58_min,-0.002445389899979726
MYCSacp58_max,0.0
MYCSacp56_min,-0.002445389899979726
ECHA192_min,0.0
FAS200_max,-0.0591753705181584
ACCC_max,0.0
FAS181_max,-0.1332223613237753
FAD_22_min,0.0
FAD_6_max,0.0
FAD_5_min,0.0
FAD_5_max,0.0
FAD_4_min,0.0
FAD_4_max,0.0
FAD_23_max,0.0
FAD_2_min,0.0
FAD_2_max,0.0
FAD_27_min,0.0
FAD_27_max,0.0
FAD_26_min,0.0
FAS181_min,0.0
FAD_23_min,0.0
