,0
NNAM_min,1.344386452077103
DHFS_min,0.45264705581328446
MYC1M1_min,0.4526455370780443
APRAUR_min,0.4526447252636069
FAS240_L_min,0.4526446959082773
FAS260_min,0.4526446959082771
MYCSacp56_min,0.45264467090149096
MYCSacp58_min,0.45264467090149096
MYCSacp50_min,0.45264467090149085
DCPT_min,0.4526446341368995
DCPE_min,0.4526446341368995
ACCC_min,0.4526446304134512
ACChex_min,0.4526446304134512
FAS200_min,0.45264458976038163
MSHS_min,0.45264437958681547
CIGAMS_min,0.4526443795868151
NAGINSP_min,0.4526443795868151
MYC1M2_min,0.45264427221606013
HEMEOS_min,0.4526434784455945
EMB_min,0.4526394491998803
TDPDRR_min,0.4526394491998803
FAS180_min,0.38022329051224096
FAS161_min,0.38022329051224063
FAS80_L_min,0.38022329051224063
FAS181_min,0.38022329051224063
FAS160_min,0.38022329051224046
CAT_min,0.37940360737807427
FAD_10_max,0.32051896417164266
FAD_9_max,0.32051896417164266
FAS140_min,0.31738889249318125
FAS100_min,0.3173888924931812
FAS120_min,0.3173888924931812
FAD_19_max,0.28641608509185723
FAD_18_max,0.28641608509185723
FAD_16_max,0.28641608509185723
FAD_15_max,0.28641608509185723
FAD_17_max,0.28641608509185673
FAD_11_max,0.2852749551069866
FAD_12_max,0.2852749551069866
FAD_13_max,0.2852749551069866
FAD_14_max,0.28249345457423053
CYO1b_max,0.2804516694466749
MCOATA_min,0.2514407213225768
G3PD1ir_max,0.24900442601129688
ALAR_max,0.22823709749229612
NARK_min,0.22485944625258597
MCOATA_max,0.22372339977669664
PPCOAC_max,0.21686492659137954
NNAM_max,0.21545961126944027
CAT_max,0.2137075825257949
CYO1b_min,0.21224807359165762
G3PD1ir_min,0.1797115160681234
PPCOAC_min,0.16550589150088496
CHORS_min,0.1602117613806097
FAD_8_max,0.15429530168008768
FACOAL161_max,0.14433702171587537
FAS100_max,0.12485869704955671
FAS140_max,0.12485869704774687
FAS120_max,0.12485869704174304
FACOAL161_min,0.11663748628440096
FACOAL180_min,0.10884112565859733
FAS80_L_max,0.10657953678072642
MCD_max,0.1065252229145385
CYST_II_max,0.10604752166273614
FAS160_max,0.10045477316762481
KGD2_max,0.09792965037979169
KGD2_min,0.0876985251331742
MCD_min,0.07454915356870946
PPDIMAT_max,0.0722790445236569
PREPTHS2_max,0.0722790445236569
NARK_max,0.07115519826751773
FAS181_max,0.06956402157326047
FACOALPREPH_min,0.06143272702207464
ADNCYC_min,0.04534134653682515
FAS200_max,0.044204303626204124
MAN1PT2_min,0.03180358540703599
FACOAL140_min,0.03162704092071706
FACOALPREPH_max,0.03129112833647536
FAS161_max,0.031219556670986026
DHPPDA2_max,0.030579304397474603
FACOAL180_max,0.030218042038412177
FACOAL140_max,0.02953448222263474
CHORS_max,0.025210270880064837
