,sol
1448803_3,-78.9624963654968
1418256_3,-78.98626668019897
1324223_3,-106.00451007834963
1447451_3,-78.96617394238892
1421997_3,-14.382803844849263
1448632_3,-56.4317458416636
1423498_3,-106.20169991005483
1427227_3,1366370.9874723738
1427257_3,-106.05641493529598
1447472_3,-78.30672709944602
1354138_3,1366370.3863224452
1408906_4,-106.02091454187182
1423552_3,-76.50188820528099
1427235_3,-78.32320395385557
1408913_4,-79.01658706176624
1423522_3,-78.9386322557961
1455264_3,-79.02830165701172
1448609_3,-106.00820044162106
1447460_3,-79.00402584481996
1422079_3,-78.98367650134506
1422049_3,-106.03490016569384
1438834_3,-106.01749733857288
1423480_3,-78.99154288171711
1423437_3,-105.3382532751481
1324226_3,-78.96585092491466
1423562_3,-78.32691952412365
1408923_4,-84.16912232269134
1421934_3,-78.32032907590107
1447520_3,-106.03117431881068
1447501_3,-78.16550640046623
1427299_3,77.93696592192481
1423536_3,-79.0257516009399
1354132_3,-57.11835355802211
1324264_3,-78.9893943754983
1447492_3,-78.32878689743683
1295726_3,-78.33133488378733
1447448_3,-106.02144278909958
1397856_3,-106.0270684098883
1402590_3,-78.97276865393542
1397916_3,-78.8121555370434
1408935_4,-14.326086310899655
1408905_4,-79.00368229789844
1422026_3,-78.81567685702215
1448498_3,-106.01823966849196
1448399_3,94.44642822050596
1422084_3,-78.87024033852649
1448482_3,-78.97832245016558
1448737_3,-78.31119853287804
1421952_3,-105.31931310776126
1295774_3,-78.98140200904665
1240677_3,-56.306739688409735
1448530_3,-78.82769908964502
1447509_3,-70.97522197699541
1421924_3,-79.00448087434893
1402591_3,1366370.4717433841
1354119_3,9.219050269908463
1423519_3,-78.89030905987931
1354149_3,-78.95902222273378
1423548_3,-105.338253295686
1447525_3,-78.30672709944429
1427243_3,-106.00468982135052
1400898_3,-78.33822005120624
1423474_3,-78.3275098553523
1397923_3,-78.96711955380471
1447447_3,-78.30298145259876
1448644_3,-78.30724456180873
1455295_3,-78.3092750857888
1408974_4,-106.04829587222427
1773_372,-76.41271318125614
1423574_3,-78.25551751947879
1397896_3,-78.98878594654386
1438871_3,-79.01178234307959
1354133_3,-106.00513639424929
1324292_3,-79.00206193123883
1423484_3,-78.297549181692
1408918_4,-79.00094250070126
1423456_3,-78.3117229859013
1773_267,-76.45000700138428
1448459_3,9.175966580751004
1421999_3,-78.79198046085884
1448785_3,-14.216542361699593
1447452_3,-78.98048011540608
1447457_3,-78.30927508579055
1448783_3,-78.30204954228354
1448428_3,-78.98047773996412
1354137_3,-78.98182675192047
1279039_3,-76.50087417995037
1423532_3,-78.99491629651823
1421940_3,-78.33007740534376
1448827_3,74.37878475603856
1455287_3,-78.30927505896541
1773_346,-76.42884364473313
1448761_3,-78.97617741461926
1324219_3,-78.32947328564177
1448733_3,-78.17442107115897
1427264_3,-78.32067166983953
1421998_3,-79.03304619527142
1448739_3,-78.95123619417575
1423533_3,-57.10619870526189
1397867_3,-79.03106662782508
1200348_3,443.86790426080137
1400871_3,-56.43081104251312
1422037_3,-105.85886771951458
1402600_3,-78.32692529930247
1448667_3,-56.34972086048748
1324297_3,-106.02056297851564
1427203_3,87.80950863149171
1262529_3,-79.03695053825777
1422083_3,-78.85616282614296
1773_276,-76.44090624571051
1448484_3,-78.31847006816409
1773_298,-11.734923943088903
1427192_3,79.65884881361364
1448635_3,-78.19793777739106
1421996_3,-78.80020735123551
1773_327,-76.42346316945147
1423440_3,-78.985777506097
1427330_3,-79.22310691522534
1354121_3,-78.97720752512629
1438849_3,-79.00585202047681
1423453_3,-78.30411779265484
1773_266,-103.46308752110441
1421942_3,-78.98884392890984
1448395_3,-78.95963064066086
1417028_3,-78.21833051697716
1427219_3,-79.00766634609269
1423503_3,-78.34018348148827
1397879_3,-17.810702103359795
1266446_3,-78.95159848698664
1448707_3,-105.98882438668875
1417010_3,-76.47750427234051
1448537_3,-79.00368229788317
1397904_3,-76.47937772827134
1427325_3,-78.31802185134949
1448580_3,-106.00727854798377
1402598_3,-76.55066185473574
1423563_3,-78.96756876890542
1448812_3,-13.461005466223263
1773_283,-76.44730719861813
1400909_3,-105.02378054108611
1423526_3,-105.34669527136488
1448702_3,60.11719917102295
1324259_3,-105.9751341428583
1427236_3,-78.30604254845196
1448452_3,-78.16550640046623
1448767_3,-78.95442699866457
1306414_3,-78.20459914796702
1455291_3,-78.96673952384272
1400888_3,-77.97883187440489
1448606_3,-78.970414725432
1417017_3,-76.37798317513398
1324250_3,-79.00508930329987
1447480_3,-106.04704969758147
1448409_3,-79.00219667206403
1448460_3,-105.98582064467864
1448664_3,9.209164469314556
1427224_3,-78.30534906204385
1448836_3,-78.29715844239436
1448455_3,-71.6583964127163
