,sol
1448803_3,-1124.6938967931917
1418256_3,-257.95287376884744
1324223_3,-1124.4948860082511
1447451_3,-1124.2952166577586
1421997_3,-257.9561074819718
1448632_3,-257.9483234508316
1423498_3,-1124.2674555763838
1427227_3,-1124.2690998349333
1427257_3,-1124.4401343270335
1447472_3,-257.92874724896876
1354138_3,-257.9232600220916
1408906_4,-257.7291669712756
1423552_3,-1124.2266832121159
1427235_3,-1124.4414248775313
1408913_4,-257.72489166726683
1423522_3,-1124.7200041241322
1455264_3,-257.86901319806736
1448609_3,-1124.2617976506558
1447460_3,-1124.2556467039194
1422079_3,-1124.495224823057
1422049_3,-1124.4813730973565
1438834_3,-257.9573530216752
1423480_3,-1124.5059656821065
1423437_3,-257.92426578787
1324226_3,-257.97712405219283
1423562_3,-1124.4553121731717
1408923_4,-1124.4428995861415
1421934_3,-1124.258188230661
1447520_3,-257.73210004133466
1447501_3,-257.9030975210584
1427299_3,-297.88408888692123
1423536_3,-1124.4586554906336
1354132_3,-257.7276772161998
1324264_3,-257.9652712160539
1447492_3,-1124.4460875305547
1295726_3,-257.88504557832556
1447448_3,-257.94299769564947
1397856_3,-1124.490059405593
1402590_3,-378.90167430313267
1397916_3,-258.04854445301333
1408935_4,-1144.057144637284
1408905_4,-257.7341562618511
1422026_3,-257.8414363531306
1448498_3,-257.6701108709051
1448399_3,-421.62289872591566
1422084_3,-257.80373878715767
1448482_3,-1124.5103060874433
1448737_3,-257.92475278943
1421952_3,-1124.2467229818494
1295774_3,-1124.4957863622074
1240677_3,-1124.4514559314139
1448530_3,-257.8308273341337
1447509_3,-257.923846172878
1421924_3,-257.74945770662873
1402591_3,-257.9340197642563
1354119_3,-1616.991696496398
1423519_3,-586.305413454577
1354149_3,-257.7729046369324
1423548_3,-257.92335908709725
1447525_3,-257.9287472489705
1427243_3,-1124.2891161175362
1400898_3,-1124.4650864238904
1423474_3,-1124.4663680163108
1397923_3,-1124.3238493307367
1447447_3,-257.9380247903183
1448644_3,-257.97164529043897
1455295_3,-1124.4495243079366
1408974_4,-257.70489119984137
1773_372,-606.947986742953
1423574_3,-1124.6953537895274
1397896_3,-257.7609708962477
1438871_3,-1124.4617792520366
1354133_3,-257.748266576792
1324292_3,-257.94550993128104
1423484_3,-1124.2711938277498
1408918_4,-257.9447778293488
1423456_3,-257.72981480832226
1773_267,-1124.4386515154329
1448459_3,-1389.3572530095455
1421999_3,-257.86944846381044
1448785_3,-1124.6847505897051
1447452_3,-257.98766069453507
1447457_3,-1124.4495243079348
1448783_3,-257.9684264442489
1448428_3,-257.98766069453507
1354137_3,-257.95822258774183
1279039_3,-257.92355028538276
1423532_3,-257.87608091850797
1421940_3,-1124.4549254222147
1448827_3,-1389.1266684506738
1455287_3,-1124.2391576521957
1773_346,-277.58291708405034
1448761_3,-257.9966190104892
1324219_3,-257.71174695586404
1448733_3,-257.93273442571666
1427264_3,-257.9233591512604
1421998_3,-257.9487079752751
1448739_3,-626.8995869985571
1423533_3,-1124.6733575831524
1397867_3,-1124.4817883041387
1200348_3,-1409.0659576957103
1400871_3,-1124.2409960253058
1422037_3,-258.0233760306553
1402600_3,-257.9278406123574
1448667_3,-257.76165915100603
1324297_3,-257.94583735428546
1427203_3,-1287.8938984998154
1262529_3,-1124.4481510064204
1422083_3,-257.82963112173127
1773_276,-257.9097791784855
1448484_3,-1124.267059022137
1773_298,-379.03624999945987
1427192_3,-1164.3922441518826
1448635_3,-257.72640963381843
1421996_3,-257.8525654972035
1773_327,-257.93253829767065
1423440_3,-1124.274767539534
1427330_3,-257.91119901860833
1354121_3,-1124.4970662807248
1438849_3,-257.7031585226651
1423453_3,-1124.4574583844692
1773_266,-257.91688312214137
1421942_3,-1124.4755459630119
1448395_3,-257.9868171306652
1417028_3,-257.6716655230633
1427219_3,-257.93896062559855
1423503_3,-257.9199223738784
1397879_3,-2255.724331999749
1266446_3,-1124.4906055939841
1448707_3,-1124.6849093014248
1417010_3,-257.946500690897
1448537_3,-257.9444389704532
1397904_3,-257.71993086488754
1427325_3,-257.72981480832016
1448580_3,-1124.2824794714718
1402598_3,-257.91117823121795
1423563_3,-1124.695264470929
1448812_3,-257.9287472489673
1773_283,-257.90975764039536
1400909_3,-257.17138135288076
1423526_3,-257.71922133007047
1448702_3,-1288.1427803538852
1324259_3,-257.9916374506691
1427236_3,-1124.4661898184784
1448452_3,-257.93100186447737
1448767_3,-399.03234079064737
1306414_3,-257.7801474192189
1455291_3,-1124.690783007919
1400888_3,-1123.705933031067
1448606_3,-1124.2921028724015
1417017_3,-1124.4486177154267
1324250_3,-1124.4824279059806
1447480_3,-257.8779395884148
1448409_3,-257.94099857198216
1448460_3,-257.9713970514744
1448664_3,-1389.1978279804955
1427224_3,-1124.4858085174649
1448836_3,-257.9849796117306
1448455_3,-1124.278098786743
