,sol
1448803_3,268.191231257027
1418256_3,2.082993220206241
1324223_3,268.8437800357869
1447451_3,269.16678619307555
1421997_3,123.59606212787428
1448632_3,1.4076464463495635
1423498_3,269.67976181708633
1427227_3,269.76835351187157
1427257_3,268.75680438378214
1447472_3,2.0853345130846437
1354138_3,2.693791631849275
1408906_4,2.9261926974216337
1423552_3,269.79005525657436
1427235_3,268.871365678382
1408913_4,2.3248899147421147
1423522_3,268.20737939035996
1455264_3,2.0713422342621515
1448609_3,269.1321875166773
1447460_3,268.4664560147371
1422079_3,268.85446434633224
1422049_3,268.14611361774837
1438834_3,1.3834208549751805
1423480_3,268.1968444011816
1423437_3,2.0507662554146613
1324226_3,2.080886250795144
1423562_3,268.8643522950673
1408923_4,269.49312835487547
1421934_3,269.1329804414461
1447520_3,2.318246263765657
1447501_3,2.0805951817413817
1427299_3,2.099093049178653
1423536_3,268.1964576956873
1354132_3,1.6446952121341738
1324264_3,2.0846923474347854
1447492_3,268.1868687049239
1295726_3,1.4620610345334186
1447448_3,1.3678463099728906
1397856_3,268.82748167887905
1402590_3,2.3547526577495272
1397916_3,1.2053122324462322
1408935_4,812.9846283796383
1408905_4,2.951385833236511
1422026_3,1.4767941998869376
1448498_3,3.05564866047287
1448399_3,1403.3238706475217
1422084_3,1.9958682378902561
1448482_3,268.8615494422582
1448737_3,2.0853283833107854
1421952_3,269.13561388064005
1295774_3,268.85435317575536
1240677_3,268.20248305231075
1448530_3,1.467350888089251
1447509_3,2.085308078812471
1421924_3,2.3710862829593538
1402591_3,2.6762158987082776
1354119_3,2.9270406215723854
1423519_3,1.4389817089140855
1354149_3,2.3501304406827614
1423548_3,2.0345913486659057
1447525_3,2.0669623459768935
1427243_3,269.11612124038425
1400898_3,268.1874352391174
1423474_3,268.8805332329856
1397923_3,269.17028578033836
1447447_3,2.067101750676823
1448644_3,2.0925926593375954
1455295_3,268.8621610658781
1408974_4,2.183229712939529
1773_372,3.261908678306928
1423574_3,268.8309783171336
1397896_3,2.3684828688876367
1438871_3,268.7821772648797
1354133_3,2.3213815561879336
1324292_3,1.4045113703174001
1423484_3,268.4683235144495
1408918_4,2.6630835913342077
1423456_3,1.6482897918007666
1773_267,269.4785401101615
1448459_3,2.689264870314102
1421999_3,1.4674743382485598
1448785_3,390.41140972482884
1447452_3,2.0831188846162756
1447457_3,268.87137795796735
1448783_3,2.071905445291975
1448428_3,2.066943928564722
1354137_3,1.9788127866944423
1279039_3,2.6762246282082183
1423532_3,1.3863262230015396
1421940_3,268.8611145233361
1448827_3,125.1022585944093
1455287_3,269.1403512499576
1773_346,424.83222281625535
1448761_3,1.4061948514462537
1324219_3,2.3649682526371842
1448733_3,2.049753709750827
1427264_3,2.069141196978727
1421998_3,2.031840048657741
1448739_3,425.1597984637376
1423533_3,268.8963241368803
1397867_3,268.8706515326624
1200348_3,424.18185061745515
1400871_3,269.17016980942435
1422037_3,1.7944941735908557
1402600_3,2.0509390742080305
1448667_3,2.354890801906614
1324297_3,2.655085856171466
1427203_3,1670.408359532209
1262529_3,268.8170924378307
1422083_3,1.4298412866967298
1773_276,2.6677122294717748
1448484_3,269.1540071329537
1773_298,124.86182778031882
1427192_3,268.7940013296631
1448635_3,2.327419342901308
1421996_3,1.9988868207716948
1773_327,2.636531665860697
1423440_3,269.1667860388109
1427330_3,1.947487215791336
1354121_3,268.86661321308964
1438849_3,2.3895700181755606
1423453_3,268.8643583262368
1773_266,2.6337590154400914
1421942_3,268.86203765696575
1448395_3,2.080886201492768
1417028_3,2.3499841404559865
1427219_3,2.0487090012091134
1423503_3,1.3908142855670018
1397879_3,269.1296972286004
1266446_3,268.20116301280717
1448707_3,268.1977525240279
1417010_3,2.6481347880542225
1448537_3,2.666770407876526
1397904_3,2.9580791979810064
1427325_3,1.6669627699616998
1448580_3,269.10840057585057
1402598_3,1.9855266655669017
1423563_3,268.23754009874006
1448812_3,124.2475441166358
1773_283,2.691209669342883
1400909_3,1.6286212815146608
1423526_3,1.6369344326573088
1448702_3,1670.171684617686
1324259_3,2.0301553659597875
1427236_3,268.88754058513075
1448452_3,2.100421064892643
1448767_3,424.56073203783467
1306414_3,2.35492365579342
1455291_3,268.90824896061326
1400888_3,268.44195902005004
1448606_3,269.1506111320628
1417017_3,269.48117164163807
1324250_3,268.86214877824005
1447480_3,2.0715277773228977
1448409_3,1.3883487459492863
1448460_3,2.048451735953212
1448664_3,2.371098562542273
1427224_3,268.87134510407736
1448836_3,1.434918235852555
1448455_3,269.76594993987663
