,sol
1448803_3,-288.6235464107834
1418256_3,-81.34866452870301
1324223_3,-250.5856936240368
1447451_3,-288.55830752308685
1421997_3,-172.33592749690024
1448632_3,-264.87985467587106
1423498_3,-250.08759161899195
1427227_3,-288.1024404680442
1427257_3,-250.52412304448717
1447472_3,-81.31503698459268
1354138_3,-81.32544501002822
1408906_4,-43.26809144149757
1423552_3,-288.3238350809559
1427235_3,-288.5402068368838
1408913_4,-81.27716008601537
1423522_3,-288.4275931054624
1455264_3,-81.31578515322347
1448609_3,-250.5286688946386
1447460_3,-288.5377210625317
1422079_3,-288.6009667821863
1422049_3,-250.331192599636
1438834_3,-43.32280966538064
1423480_3,-288.3631174437836
1423437_3,-43.29617442527371
1324226_3,-81.36625630305367
1423562_3,-288.5572488149449
1408923_4,-434.0924637773573
1421934_3,-288.0881068848603
1447520_3,-43.120732093425254
1447501_3,-81.30923946562038
1427299_3,-106.15878444476039
1423536_3,-288.55804409942266
1354132_3,-264.6777459597454
1324264_3,-81.35606206981787
1447492_3,-288.5359950185397
1295726_3,-81.28132454364965
1447448_3,-43.314887146428475
1397856_3,-250.3693987083581
1402590_3,-97.54536807223181
1397916_3,-81.16505544299538
1408935_4,-379.6130486032764
1408905_4,-81.28655189557156
1422026_3,-80.89956468178772
1448498_3,-43.27338653652821
1448399_3,-131.68271731941837
1422084_3,-81.03853560039437
1448482_3,-288.38935579066003
1448737_3,-81.31107975708073
1421952_3,-250.33061149782915
1295774_3,-288.38918948290933
1240677_3,-472.0881979225687
1448530_3,-81.24016812181945
1447509_3,-131.6091097586577
1421924_3,-80.88288479306901
1402591_3,-81.32804905154615
1354119_3,-1889.1580845044123
1423519_3,-81.24145879297166
1354149_3,-81.10905189444142
1423548_3,-43.296174325332196
1447525_3,-81.31503698459457
1427243_3,-250.3774942793299
1400898_3,-288.5511832410692
1423474_3,-288.5657342062835
1397923_3,-288.4331621274764
1447447_3,-81.32069518681347
1448644_3,-81.38678866149674
1455295_3,-288.55145479941547
1408974_4,-43.251678884263946
1773_372,-157.4178274593527
1423574_3,-288.40189110370903
1397896_3,-81.14765979648531
1438871_3,-288.55801482392394
1354133_3,-43.07513599021847
1324292_3,-81.32868483688479
1423484_3,-288.0891297345873
1408918_4,-81.33672220453748
1423456_3,-81.11128113629202
1773_267,-288.5402844049123
1448459_3,-1830.139770917049
1421999_3,-80.91167383748646
1448785_3,-379.59327661482166
1447452_3,-81.15281769450597
1447457_3,-288.55145479941336
1448783_3,-81.38480326915041
1448428_3,-81.15283398137082
1354137_3,-81.11441122676455
1279039_3,-81.30593144849223
1423532_3,-81.09295002420171
1421940_3,-288.5593352759148
1448827_3,-1920.9369652425974
1455287_3,-288.3403352797874
1773_346,-81.25319010444609
1448761_3,-81.39209693664476
1324219_3,-81.09075038997793
1448733_3,-81.3179736026416
1427264_3,-81.31009417607638
1421998_3,-81.34205855715084
1448739_3,-157.47705029819184
1423533_3,-472.1530512201783
1397867_3,-288.37089624867997
1200348_3,-1919.6681578911812
1400871_3,-471.88946098663405
1422037_3,-43.26677534676823
1402600_3,-81.31475825316349
1448667_3,-264.6524264722283
1324297_3,-43.322141054533354
1427203_3,-288.3464779952008
1262529_3,-288.54869863120604
1422083_3,-81.0602945668716
1773_276,-81.29421745824136
1448484_3,-288.35279807781876
1773_298,-189.14972926584895
1427192_3,-313.1187788962414
1448635_3,-81.27425634782134
1421996_3,-80.89718648989789
1773_327,-81.31468983039385
1423440_3,-288.3314910902463
1427330_3,-81.29139644050609
1354121_3,-288.61059672416326
1438849_3,-81.11909333107215
1423453_3,-288.55830950821866
1773_266,-43.287893610020326
1421942_3,-288.5857724757913
1448395_3,-81.15779265626263
1417028_3,-81.26093622394761
1427219_3,-81.33583828189292
1423503_3,-81.29419553097006
1397879_3,-1998.9215567544882
1266446_3,-288.5939362545369
1448707_3,-250.60179230915907
1417010_3,-81.32931643110163
1448537_3,-81.33535246036321
1397904_3,-81.09365478273548
1427325_3,-81.10107212051886
1448580_3,-250.36745136744105
1402598_3,-81.28407787791164
1423563_3,-288.62711085991737
1448812_3,-172.30923296978293
1773_283,-81.29704623901297
1400909_3,-43.07360677460702
1423526_3,-42.81473682662757
1448702_3,-250.60717361434612
1324259_3,-43.149760216075734
1427236_3,-288.34231900260875
1448452_3,-81.31591319580595
1448767_3,-98.0715290994694
1306414_3,-81.11532523386107
1455291_3,-288.62243049462836
1400888_3,-288.33713158264385
1448606_3,-288.55735905902634
1417017_3,-288.5511761076231
1324250_3,-288.3718196960626
1447480_3,-43.31252125017007
1448409_3,-81.32216363457843
1448460_3,-43.34631897820019
1448664_3,-1829.6930574396838
1427224_3,-288.3550818063416
1448836_3,-81.38431697948333
1448455_3,-338.4146184183174
