,sol
1448803_3,-111.79369651987568
1418256_3,-111.99073789421935
1324223_3,-124.76813254213843
1447451_3,-111.9474513252507
1421997_3,-80.99897842495801
1448632_3,-111.77960993446762
1423498_3,-124.81353511824578
1427227_3,473788.4273031313
1427257_3,-124.84836443443236
1447472_3,-112.17740304251987
1354138_3,473788.19120166573
1408906_4,-124.83466670013868
1423552_3,-112.08522774723868
1427235_3,-112.06866639471446
1408913_4,-111.99297592658142
1423522_3,-111.73278964972978
1455264_3,-111.91331118968081
1448609_3,-124.84091318848587
1447460_3,-112.0417278647479
1422079_3,-111.84487700907091
1422049_3,-124.92791617164242
1438834_3,-124.78181174346636
1423480_3,-111.96373932430238
1423437_3,-124.98974291117305
1324226_3,-111.94848577245135
1423562_3,-112.17734959421409
1408923_4,-124.83768967084957
1421934_3,-112.18629900758346
1447520_3,-125.00352014990546
1447501_3,-112.01649757429469
1427299_3,37.330107741769424
1423536_3,-111.86466714166423
1354132_3,-112.00126615418804
1324264_3,-111.80950378239771
1447492_3,-112.1882129259541
1295726_3,-112.08192102330199
1447448_3,-125.00345734645755
1397856_3,-124.82214390384458
1402590_3,-111.95373885540481
1397916_3,-111.83850079732264
1408935_4,195.93526442134203
1408905_4,-111.98216604315205
1422026_3,-111.79832071023183
1448498_3,-124.82080975736604
1448399_3,-111.94881988357649
1422084_3,-111.86847730876515
1448482_3,-111.7599204152449
1448737_3,-112.18324608249347
1421952_3,-125.1375796671981
1295774_3,-111.98487908331646
1240677_3,-112.02541822061961
1448530_3,-111.83110235869074
1447509_3,-112.22344578393934
1421924_3,-111.95645045826768
1402591_3,473788.1927545602
1354119_3,315.77371516101454
1423519_3,-111.86777331164707
1354149_3,-111.9048981475718
1423548_3,-125.0299229982668
1447525_3,-112.17740304251889
1427243_3,-124.91889551574633
1400898_3,-112.15343142653265
1423474_3,-112.03431928617954
1397923_3,-111.98955929290723
1447447_3,-111.99855382402802
1448644_3,-111.80228783316369
1455295_3,-112.02973918226398
1408974_4,-124.98967173261454
1773_372,314.4668979732907
1423574_3,-111.56700598158743
1397896_3,-111.95871889114618
1438871_3,-111.99297592658102
1354133_3,-124.75699384474034
1324292_3,-111.9990965310329
1423484_3,-112.1098241608031
1408918_4,-112.02079327313926
1423456_3,-112.10592310975608
1773_267,-112.22941688826832
1448459_3,-111.05769054510498
1421999_3,-111.90831878783355
1448785_3,-80.8853006332936
1447452_3,-111.91355876831011
1447457_3,-112.02973918226594
1448783_3,-111.65068468770585
1448428_3,-111.91355876831021
1354137_3,-111.82544057501927
1279039_3,-112.18762303952658
1423532_3,-111.79444751700154
1421940_3,-112.2283534161968
1448827_3,-79.98580240862
1455287_3,-112.02971956791177
1773_346,164.85529311074697
1448761_3,-111.96450016301685
1324219_3,-112.06991926935724
1448733_3,-112.1717396528377
1427264_3,-112.06819351655653
1421998_3,-112.02469639966844
1448739_3,591.8656047544774
1423533_3,-111.97393262371476
1397867_3,-111.83419911219545
1200348_3,166.24039492086553
1400871_3,-112.02801342946391
1422037_3,-124.81479965146121
1402600_3,-112.21758312961485
1448667_3,-111.72615452554906
1324297_3,-124.83336154788856
1427203_3,-112.0572253142858
1262529_3,-112.0316851220812
1422083_3,-111.99326488788793
1773_276,-112.04424172481974
1448484_3,-112.1404558675349
1773_298,-81.17895859181085
1427192_3,37.293733150963504
1448635_3,-112.0271773935731
1421996_3,-111.92758013023628
1773_327,-112.15457912205514
1423440_3,-111.79526436303267
1427330_3,-111.9577292203437
1354121_3,-111.79499859746508
1438849_3,-111.88978401007465
1423453_3,-112.21497623508473
1773_266,-125.14996325065711
1421942_3,-111.83900361968433
1448395_3,-111.75131053731072
1417028_3,-112.15127997791166
1427219_3,-111.89422144203347
1423503_3,-112.22684015593714
1397879_3,-123.95953615611249
1266446_3,-111.76588256242397
1448707_3,-124.76631903132959
1417010_3,-112.14304314771165
1448537_3,-111.98216604314577
1397904_3,-112.01264240809724
1427325_3,-112.15343142652735
1448580_3,-124.80968759839963
1402598_3,-112.20103984022951
1423563_3,-111.94880862698801
1448812_3,-81.21700709228416
1773_283,-112.0813971072223
1400909_3,-124.99252215611948
1423526_3,-124.99542249265095
1448702_3,-124.80039330815472
1324259_3,-124.90680768987917
1427236_3,-111.98153078425814
1448452_3,-112.01649757429374
1448767_3,165.1419146926336
1306414_3,-111.70550162931757
1455291_3,-111.79677762739531
1400888_3,-112.76288369963531
1448606_3,-111.95005824391323
1417017_3,-112.06989965500868
1324250_3,-111.84638244395886
1447480_3,-124.98132418722591
1448409_3,-111.85066765455501
1448460_3,-124.75952266453413
1448664_3,-110.99779674230616
1427224_3,-111.94457544626135
1448836_3,-111.7730497577753
1448455_3,-111.78496933387318
