,sol
1448803_3,-2021.559888605796
1418256_3,-316.3156024095564
1324223_3,-1996.183860293935
1447451_3,-2021.4259883851723
1421997_3,-376.96063800909917
1448632_3,-534.6605124219188
1423498_3,-1997.5532632871527
1427227_3,-2022.8313318963274
1427257_3,-1997.7555584880777
1447472_3,-316.33135710693637
1354138_3,-317.8513555507142
1408906_4,-292.6594353648046
1423552_3,-2023.0628062399537
1427235_3,-2021.4347259194037
1408913_4,-317.91832558958123
1423522_3,-2021.3505738688496
1455264_3,-317.0124350946482
1448609_3,-1996.1624540407108
1447460_3,-2021.4195860055768
1422079_3,-2021.4446726143096
1422049_3,-1995.9657084976538
1438834_3,-291.06413166489557
1423480_3,-2021.2301134980567
1423437_3,-291.0361065995001
1324226_3,-316.3162661208754
1423562_3,-2021.44567152641
1408923_4,-2214.834908633759
1421934_3,-2021.4552467628712
1447520_3,-290.9997829374982
1447501_3,-316.2880962249803
1427299_3,-316.24862457009175
1423536_3,-2021.438184015745
1354132_3,-533.2778500273537
1324264_3,-316.29514226356247
1447492_3,-2021.4736854297837
1295726_3,-316.26787773575154
1447448_3,-291.08207880540147
1397856_3,-1995.982058903177
1402590_3,-1123.0825115668692
1397916_3,-316.1968886907335
1408935_4,-2081.9805401625813
1408905_4,-317.9354712424854
1422026_3,-316.160230680813
1448498_3,-291.7309612942352
1448399_3,-860.7030750348625
1422084_3,-317.96176046480707
1448482_3,-2021.2337218695375
1448737_3,-316.33020766287564
1421952_3,-1996.1173169599747
1295774_3,-2021.2473144998983
1240677_3,-2238.5364636789914
1448530_3,-316.31387593756506
1447509_3,-336.96518474351006
1421924_3,-316.01818004080474
1402591_3,-317.9149591392616
1354119_3,-600.2815412186326
1423519_3,-396.4787476974799
1354149_3,-315.97076941854806
1423548_3,-291.03610653204396
1447525_3,-316.3313571069377
1427243_3,-1996.1176277245795
1400898_3,-2021.4422762058712
1423474_3,-2021.4423561852134
1397923_3,-2021.3908966219362
1447447_3,-316.32815912091974
1448644_3,-317.6004150365169
1455295_3,-2021.47489314443
1408974_4,-292.65422375289955
1773_372,-1124.5755010299022
1423574_3,-2023.7361092719354
1397896_3,-316.26161746120243
1438871_3,-2023.0575798689333
1354133_3,-290.76049656066186
1324292_3,-316.3109368789464
1423484_3,-2021.192644942496
1408918_4,-317.9287511487339
1423456_3,-316.2270317186797
1773_267,-2023.0688748571213
1448459_3,-602.1671810375483
1421999_3,-316.1638492931987
1448785_3,-2082.670511472945
1447452_3,-316.0868970412113
1447457_3,-2021.474893144429
1448783_3,-317.6159377893564
1448428_3,-316.0869037229888
1354137_3,-317.7038896944787
1279039_3,-317.917714976085
1423532_3,-316.77955395044216
1421940_3,-2021.7213319556377
1448827_3,-663.3035584612143
1455287_3,-2021.4048816690654
1773_346,-317.93774423018783
1448761_3,-316.34166973743305
1324219_3,-316.22682494063486
1448733_3,-316.3455377015623
1427264_3,-316.2958263557446
1421998_3,-316.2995672602492
1448739_3,-1124.6011585577762
1423533_3,-2240.235192271256
1397867_3,-2021.229692642758
1200348_3,-1417.9070568296522
1400871_3,-2238.425104164354
1422037_3,-292.71575381640764
1402600_3,-316.2983823415393
1448667_3,-534.7260513445614
1324297_3,-292.63068821228387
1427203_3,-2545.1575392482173
1262529_3,-2023.0381687828833
1422083_3,-316.2686969357215
1773_276,-317.92459266944127
1448484_3,-2021.3792249469543
1773_298,-1185.2386220660092
1427192_3,-2022.7979257709108
1448635_3,-316.18966001069106
1421996_3,-317.83421341271395
1773_327,-317.93261284978996
1423440_3,-2021.1773257501454
1427330_3,-317.88295852373466
1354121_3,-2021.3821920886626
1438849_3,-316.1742313088631
1423453_3,-2021.4467907814158
1773_266,-292.6538736042255
1421942_3,-2021.4593224992436
1448395_3,-316.0968642613987
1417028_3,-316.95325868313904
1427219_3,-316.29765396575624
1423503_3,-316.2946186410992
1397879_3,-2280.15808569698
1266446_3,-2021.452913544607
1448707_3,-1996.2960566488168
1417010_3,-317.9170569856866
1448537_3,-317.9214213901559
1397904_3,-317.9205994362469
1427325_3,-316.2578393530887
1448580_3,-1996.1139440034779
1402598_3,-317.8937078266187
1423563_3,-2021.5942344287275
1448812_3,-377.0000875644385
1773_283,-317.9231327433339
1400909_3,-291.353434769211
1423526_3,-290.74673560235476
1448702_3,-2519.9974794092877
1324259_3,-290.83654186408376
1427236_3,-2021.232404295379
1448452_3,-316.34300627481565
1448767_3,-1124.596543114481
1306414_3,-317.67180368830617
1455291_3,-2021.5917384144125
1400888_3,-2021.76340432874
1448606_3,-2021.4248034568732
1417017_3,-2023.0508791983011
1324250_3,-2021.2342872296776
1447480_3,-291.7870147825209
1448409_3,-316.3052949261078
1448460_3,-291.08687708579305
1448664_3,-600.2443019131933
1427224_3,-2021.2313182935102
1448836_3,-317.5997818526695
1448455_3,-2043.4783768244931
