,sol
1448803_3,1046.2472483853555
1418256_3,366.22030908784257
1324223_3,1022.1906440743401
1447451_3,1046.1917823399542
1421997_3,366.2800787520286
1448632_3,366.51979852203533
1423498_3,1022.2013188058856
1427227_3,776572.1598325284
1427257_3,1022.2554251394027
1447472_3,366.2454901558461
1354138_3,775892.1972135472
1408906_4,342.4730405304238
1423552_3,1046.4782847605538
1427235_3,1046.5061560874155
1408913_4,366.2523255421073
1423522_3,1046.2130512171677
1455264_3,366.602784027057
1448609_3,1022.4630117715075
1447460_3,1046.481911665343
1422079_3,1046.5001862452677
1422049_3,1022.2273196321902
1438834_3,342.2681164868515
1423480_3,1046.5092681645751
1423437_3,342.245111188492
1324226_3,366.21405456478584
1423562_3,1046.2367498309618
1408923_4,1022.1695070742277
1421934_3,1046.5010973165288
1447520_3,342.5215496170947
1447501_3,366.2482207001843
1427299_3,366.3429310092882
1423536_3,1046.2153496221429
1354132_3,366.59023754200075
1324264_3,366.2329245835681
1447492_3,1046.2844130168942
1295726_3,366.6023847219518
1447448_3,342.5123562888521
1397856_3,1022.4844514194416
1402590_3,366.5710440605409
1397916_3,366.5262168567157
1408935_4,1046.3692608701024
1408905_4,366.25891298031826
1422026_3,366.3852390217361
1448498_3,342.23867572386825
1448399_3,709.3005380569662
1422084_3,366.4245629155447
1448482_3,1046.2592386604222
1448737_3,366.26269105110293
1421952_3,1022.1903323595795
1295774_3,1046.5025750325676
1240677_3,1046.2305057392143
1448530_3,366.3889159719795
1447509_3,709.5313122503416
1421924_3,366.2341173258595
1402591_3,775892.2188978031
1354119_3,2059.147931915264
1423519_3,366.4000290135933
1354149_3,366.24886306566293
1423548_3,342.5398014781432
1447525_3,366.2717038155304
1427243_3,1022.2251599761353
1400898_3,1046.2384977391096
1423474_3,1046.4896039742262
1397923_3,1046.4883083297907
1447447_3,366.24215205938344
1448644_3,366.46193150785797
1455295_3,1046.2377420521932
1408974_4,342.2144043453462
1773_372,421.72663468689376
1423574_3,1046.2279512227512
1397896_3,366.26058677539936
1438871_3,1046.2484343546632
1354133_3,342.2444969710197
1324292_3,366.2418735147982
1423484_3,1046.2622032175705
1408918_4,366.5375635601013
1423456_3,365.4809209432349
1773_267,1046.5000347725359
1448459_3,2003.663435928026
1421999_3,366.3865922903498
1448785_3,1046.252228704145
1447452_3,366.2354285331697
1447457_3,1046.2380122845755
1448783_3,366.44371050890913
1448428_3,366.28400859591085
1354137_3,366.5705630357939
1279039_3,366.28967068242287
1423532_3,366.2995160954965
1421940_3,1046.4621256555592
1448827_3,2003.9026416235874
1455287_3,1046.2254444955731
1773_346,366.27437545119335
1448761_3,366.2545371867095
1324219_3,366.5293246784968
1448733_3,366.25516854480855
1427264_3,366.55495749705744
1421998_3,366.1990831614082
1448739_3,421.77409252605656
1423533_3,1046.1886729684034
1397867_3,1046.2065694790197
1200348_3,2749.182136462975
1400871_3,1046.2249308722594
1422037_3,342.3339871165545
1402600_3,366.54990693852403
1448667_3,366.50236384358715
1324297_3,342.4854886750523
1427203_3,1046.540329206748
1262529_3,1046.1972094904768
1422083_3,366.43614260492757
1773_276,366.28412565070005
1448484_3,1046.2565997847628
1773_298,366.2380907339201
1427192_3,1046.226221030167
1448635_3,365.4547450631976
1421996_3,366.4258741149397
1773_327,366.26994143137006
1423440_3,1046.1739941733417
1427330_3,366.3046678683113
1354121_3,1046.1941323425176
1438849_3,366.62238205112584
1423453_3,1046.519989357311
1773_266,342.2563678027932
1421942_3,1046.2130810502629
1448395_3,366.2124306312673
1417028_3,366.2584939131612
1427219_3,366.54209990663384
1423503_3,366.58079896588083
1397879_3,2659.9214931058514
1266446_3,1046.22887545254
1448707_3,1022.2393259027202
1417010_3,366.2833298743206
1448537_3,366.2455127778688
1397904_3,366.26326415770836
1427325_3,366.3076325242442
1448580_3,1022.486882678697
1402598_3,365.43873229825056
1423563_3,1046.2032367653621
1448812_3,366.27217822947114
1773_283,366.5366618741178
1400909_3,342.25697321374037
1423526_3,342.52512796849913
1448702_3,1022.5132119529869
1324259_3,342.5268038491303
1427236_3,1046.2071330337183
1448452_3,366.2296080507064
1448767_3,366.2812293215862
1306414_3,366.50564944981033
1455291_3,1046.23736600264
1400888_3,1046.2417308684205
1448606_3,1046.2108000863327
1417017_3,1046.5174002149731
1324250_3,1046.5037087050982
1447480_3,342.29744902058934
1448409_3,366.27881914798246
1448460_3,342.1985964279058
1448664_3,2003.9310977239518
1427224_3,1046.2338607799677
1448836_3,366.45792783021636
1448455_3,1389.19610662958
