,sol
1448803_3,182.97679119999023
1418256_3,182.82170984032197
1324223_3,117.09609379178175
1447451_3,182.76618552484234
1421997_3,112.75178767996228
1448632_3,-260.39989847598247
1423498_3,117.56178851238482
1427227_3,182.9481513243246
1427257_3,117.5352259830512
1447472_3,182.92777829465356
1354138_3,182.83395653565802
1408906_4,117.28124446446516
1423552_3,183.04760669329715
1427235_3,183.0503377160439
1408913_4,182.81273165697968
1423522_3,183.13848875788725
1455264_3,182.81660717695522
1448609_3,117.25794613367601
1447460_3,182.8179788627081
1422079_3,182.6546764432204
1422049_3,117.08738546990897
1438834_3,117.5270882034273
1423480_3,182.63854833363263
1423437_3,117.54262511184746
1324226_3,182.8204508964828
1423562_3,183.0489538395299
1408923_4,-325.12901356681243
1421934_3,183.02177817848226
1447520_3,117.00228563633925
1447501_3,182.99550493154635
1427299_3,-38.53847716854168
1423536_3,182.79145064268124
1354132_3,-260.61776531415904
1324264_3,182.85015330879725
1447492_3,183.03756311899966
1295726_3,183.01961817295037
1447448_3,117.20859076397545
1397856_3,117.30817055242441
1402590_3,-80.27819934323428
1397916_3,182.87290520395177
1408935_4,-361.9947125743618
1408905_4,182.7813721297807
1422026_3,182.81271864755232
1448498_3,117.09919209490342
1448399_3,-1054.8657302025165
1422084_3,182.9877017873991
1448482_3,182.76420204594746
1448737_3,183.3895915345616
1421952_3,117.24508049315337
1295774_3,182.83050729891568
1240677_3,-260.27855083644096
1448530_3,182.83153644524822
1447509_3,182.82254465227544
1421924_3,182.75027656672677
1402591_3,182.93343542570582
1354119_3,182.73415637887976
1423519_3,70.30974541407114
1354149_3,182.83344930057982
1423548_3,117.51676728302715
1447525_3,182.92302355684845
1427243_3,117.23029456357584
1400898_3,182.88857127163746
1423474_3,183.02463675555086
1397923_3,183.04663419357945
1447447_3,182.94826707680969
1448644_3,182.86347031297845
1455295_3,183.07078284121582
1408974_4,117.11879490292954
1773_372,-80.3454647869643
1423574_3,182.98988103046113
1397896_3,182.74367909388542
1438871_3,182.85758197525396
1354133_3,117.25777384824664
1324292_3,182.86430483546792
1423484_3,182.87708698990733
1408918_4,182.856034406928
1423456_3,182.70568797722325
1773_267,182.8449135462023
1448459_3,182.81323469252519
1421999_3,182.80708658195337
1448785_3,112.70409260231352
1447452_3,182.78468788145855
1447457_3,183.09474645800924
1448783_3,183.09722628277095
1448428_3,182.8329884425552
1354137_3,182.8457395190134
1279039_3,182.9320181665884
1423532_3,182.90817694951878
1421940_3,182.795019140822
1448827_3,112.69232074125672
1455287_3,182.93170727688974
1773_346,-291.66745003082576
1448761_3,182.9781669848563
1324219_3,182.82348143628
1448733_3,183.4083184574823
1427264_3,183.03798944493434
1421998_3,162.17819886738167
1448739_3,-555.007649276304
1423533_3,-260.2709078123494
1397867_3,182.83791145511188
1200348_3,-292.0420753013224
1400871_3,-259.48278958930916
1422037_3,117.26759562929756
1402600_3,183.04077353663803
1448667_3,-260.3850146976974
1324297_3,117.06592302171325
1427203_3,-1054.240647475739
1262529_3,182.8547352815258
1422083_3,182.96196097609482
1773_276,182.991458225823
1448484_3,182.89637498021887
1773_298,-150.53787443877326
1427192_3,-38.5263455679032
1448635_3,182.92680252675623
1421996_3,182.9820106371725
1773_327,183.09082149539122
1423440_3,182.76973400024443
1427330_3,182.81307136614794
1354121_3,182.86341894377642
1438849_3,182.6089958179839
1423453_3,182.78670213648323
1773_266,117.29638879899991
1421942_3,182.85484892270455
1448395_3,182.87660466971806
1417028_3,183.08625023389936
1427219_3,182.6683924681272
1423503_3,183.02136608421665
1397879_3,117.21387406398699
1266446_3,182.78618461533358
1448707_3,117.95186230254129
1417010_3,182.91046839349136
1448537_3,182.82375602763855
1397904_3,182.96171681197055
1427325_3,183.04306664741137
1448580_3,117.21692455160064
1402598_3,182.78405301100418
1423563_3,183.10701585468024
1448812_3,112.7130454138948
1773_283,182.84583922680463
1400909_3,117.25863772960145
1423526_3,117.54097812061583
1448702_3,-1120.5578393882915
1324259_3,117.53675118636426
1427236_3,183.1010672795566
1448452_3,183.10689141776268
1448767_3,-554.990247542504
1306414_3,182.82979471203285
1455291_3,183.112716266522
1400888_3,182.91337089318918
1448606_3,182.754572076208
1417017_3,182.78670749566598
1324250_3,182.81124018088667
1447480_3,117.29544249487051
1448409_3,182.79579068388384
1448460_3,117.33139380650498
1448664_3,183.0463258793709
1427224_3,182.93166345708892
1448836_3,182.8664280279814
1448455_3,182.75322151081522
