,sol
1448803_3,160.10900921677916
1418256_3,159.70654939310427
1324223_3,105.47339133917482
1447451_3,159.7181541010475
1421997_3,290.75821384317794
1448632_3,159.88401417413274
1423498_3,105.55117288573238
1427227_3,174602.13083783176
1427257_3,105.41453216050138
1447472_3,159.69505263743181
1354138_3,174601.9194407379
1408906_4,105.41781611554501
1423552_3,159.7195387143329
1427235_3,159.7813360123397
1408913_4,159.76149920572465
1423522_3,160.12126359915
1455264_3,159.7676599246499
1448609_3,105.41277072161246
1447460_3,159.67771580757153
1422079_3,159.8262338573794
1422049_3,105.36381239635485
1438834_3,105.51713399995636
1423480_3,159.75074955290356
1423437_3,105.42763135401616
1324226_3,159.74298302242016
1423562_3,159.6951029155402
1408923_4,105.42670478966197
1421934_3,159.62924989916166
1447520_3,105.35477880110572
1447501_3,159.81671984579808
1427299_3,401.0573035687125
1423536_3,159.7990189356647
1354132_3,159.64003531849934
1324264_3,159.84486372557245
1447492_3,159.6850723665184
1295726_3,159.71566536618423
1447448_3,105.36575901028081
1397856_3,105.35366079285785
1402590_3,159.76491806940763
1397916_3,160.11006301178847
1408935_4,344.03620205729374
1408905_4,159.68961658078646
1422026_3,160.0530413307053
1448498_3,105.41517758700422
1448399_3,895.7820234523358
1422084_3,160.00658552766302
1448482_3,159.8994200934658
1448737_3,159.68983359826183
1421952_3,105.31387671100437
1295774_3,159.73881006106063
1240677_3,159.80803251998597
1448530_3,160.01366057238727
1447509_3,159.66761640936048
1421924_3,159.7225346028452
1402591_3,174601.98662448872
1354119_3,622.364412181929
1423519_3,159.80191093541904
1354149_3,159.7709306530548
1423548_3,105.40542153118811
1447525_3,159.69505263743278
1427243_3,105.35488799259298
1400898_3,159.65614389156053
1423474_3,159.7579076253033
1397923_3,159.72402541972136
1447447_3,159.8295578346522
1448644_3,159.8643941902162
1455295_3,159.80216505398496
1408974_4,105.27755826499161
1773_372,622.4945650132585
1423574_3,160.1951944620981
1397896_3,159.70447270192346
1438871_3,159.70393671163302
1354133_3,105.48477818046516
1324292_3,159.69881484213806
1423484_3,159.70993745737226
1408918_4,159.69359964420127
1423456_3,159.62700829171462
1773_267,159.6639457681633
1448459_3,159.6964818122743
1421999_3,159.96381954291073
1448785_3,291.19423775088524
1447452_3,159.7821925177149
1447457_3,159.80216505398323
1448783_3,159.97544282311975
1448428_3,159.7821925177149
1354137_3,159.92225451342716
1279039_3,159.68763371592163
1423532_3,159.8889951547944
1421940_3,159.66363185829152
1448827_3,290.7638542738688
1455287_3,159.75307074053225
1773_346,212.99651808626626
1448761_3,159.79435264237287
1324219_3,159.73085355163167
1448733_3,159.7029464663848
1427264_3,159.72789911402037
1421998_3,159.567405030948
1448739_3,675.9208608759461
1423533_3,159.97663507884306
1397867_3,159.73251826372922
1200348_3,213.28947527319127
1400871_3,159.81392265719603
1422037_3,105.64300908938478
1402600_3,159.6117298407276
1448667_3,159.88764870512566
1324297_3,105.4337367576588
1427203_3,895.7192153311568
1262529_3,159.6703935185174
1422083_3,159.90254622204927
1773_276,159.79260648119978
1448484_3,159.66818645352598
1773_298,290.8033185716154
1427192_3,401.03724438968777
1448635_3,159.74686284961928
1421996_3,159.98075045632
1773_327,159.7195687343691
1423440_3,159.85856315857566
1427330_3,159.81276021504368
1354121_3,159.85530906417034
1438849_3,159.79901644991452
1423453_3,159.7286283129122
1773_266,105.31412580070656
1421942_3,159.82583348535334
1448395_3,159.91275918275312
1417028_3,159.65940302187508
1427219_3,159.78678427327569
1423503_3,159.60294858483968
1397879_3,105.37313494669597
1266446_3,159.84924411751967
1448707_3,105.72315747457469
1417010_3,159.72600607888518
1448537_3,159.7139054418844
1397904_3,159.74929088064468
1427325_3,159.63185512909163
1448580_3,105.43307549359236
1402598_3,159.60974578432825
1423563_3,159.99658198142959
1448812_3,290.81055283872297
1773_283,159.7735552161239
1400909_3,105.37398648637456
1423526_3,105.39414206140137
1448702_3,841.4935254037523
1324259_3,105.4643741818134
1427236_3,159.8557895127392
1448452_3,159.76351822891982
1448767_3,213.25691542287316
1306414_3,159.90055306912296
1455291_3,160.10670379400193
1400888_3,159.15562748121616
1448606_3,159.71623113694417
1417017_3,159.78575895691895
1324250_3,159.84000454179352
1447480_3,105.30136572986993
1448409_3,159.81473365060995
1448460_3,105.4867304282461
1448664_3,159.75177059068926
1427224_3,159.88817528242694
1448836_3,159.89134125738852
1448455_3,159.86490756921236
