,sol
1448803_3,-1556.0366132999131
1418256_3,3.669186680933341
1324223_3,-1556.0331843749727
1447451_3,-1556.005858647674
1421997_3,3.6907191335328227
1448632_3,-202.40827036460877
1423498_3,-1556.4324784178161
1427227_3,-1556.4332979898304
1427257_3,-1556.7662954715304
1447472_3,3.6233260064733033
1354138_3,2.954420891286935
1408906_4,2.9366208513270586
1423552_3,-1556.7635989274129
1427235_3,-1556.0280056161616
1408913_4,2.929915944378322
1423522_3,-1555.685942828212
1455264_3,2.6150615033327367
1448609_3,-1556.003492184337
1447460_3,-1555.99916201758
1422079_3,-1556.0348791536235
1422049_3,-1555.6797813214482
1438834_3,3.627598697819921
1423480_3,-1555.6796226516383
1423437_3,3.686124867027416
1324226_3,3.669980225811368
1423562_3,-1556.0347552165624
1408923_4,-1762.3995829211362
1421934_3,-1555.9249038984117
1447520_3,3.7418371023229047
1447501_3,3.659185551202455
1427299_3,-1.3124754572229382
1423536_3,-1556.0304728505712
1354132_3,-201.7286330809432
1324264_3,3.687598824344088
1447492_3,-1556.093026664551
1295726_3,3.679777544590107
1447448_3,3.6091132406175586
1397856_3,-1555.681946028275
1402590_3,-471.69884365267177
1397916_3,4.049878262660812
1408935_4,-1555.7940473851536
1408905_4,2.9354744218548094
1422026_3,4.107542107473044
1448498_3,2.6782983437440397
1448399_3,-448.95669999574295
1422084_3,3.0697240203307263
1448482_3,-1555.6833339799211
1448737_3,3.625272904686858
1421952_3,-1555.9178806469945
1295774_3,-1555.681132087533
1240677_3,-1761.60511061085
1448530_3,3.8528709470742015
1447509_3,-449.01911724881944
1421924_3,4.159115299582613
1402591_3,2.916819178634184
1354119_3,-567.3364938338768
1423519_3,-181.4737088508321
1354149_3,4.185763123772625
1423548_3,3.6861249093704695
1447525_3,3.6233260064722095
1427243_3,-1555.918935744337
1400898_3,-1556.0333321239923
1423474_3,-1556.0316412219297
1397923_3,-1555.93168401307
1447447_3,3.626670291069622
1448644_3,3.121378539552969
1455295_3,-1556.0930426537577
1408974_4,2.9405471103800163
1773_372,-472.22162556584885
1423574_3,-1556.8645381790775
1397896_3,3.7419836718443813
1438871_3,-1556.813079075943
1354133_3,4.153029413873762
1324292_3,3.6734679822134595
1423484_3,-1555.616662185539
1408918_4,2.919214346803441
1423456_3,3.7695634626587635
1773_267,-1556.7983248437401
1448459_3,-568.5381442860163
1421999_3,4.1008379769563215
1448785_3,-1556.8122127934707
1447452_3,4.03770328507787
1447457_3,-1556.0930426537568
1448783_3,3.082533444278325
1448428_3,4.037556715556321
1354137_3,3.2467488300935474
1279039_3,2.915956728995665
1423532_3,2.92560716193582
1421940_3,-1556.391448022295
1448827_3,-568.5708658846524
1455287_3,-1555.973579922794
1773_346,2.916515279280646
1448761_3,3.610860184035534
1324219_3,3.806346372605072
1448733_3,3.607761988818103
1427264_3,3.686124867027416
1421998_3,3.6833429794172297
1448739_3,-472.2279107807218
1423533_3,-1762.2987343906743
1397867_3,-1555.678533522938
1200348_3,-1449.5919409314529
1400871_3,-1761.4085058627222
1422037_3,3.006990118315324
1402600_3,3.684727438301539
1448667_3,-202.34491788462597
1324297_3,2.9442423771713604
1427203_3,-1555.9179670079536
1262529_3,-1556.7884384111012
1422083_3,3.9399345329644118
1773_276,2.9227560501511425
1448484_3,-1555.9173316337854
1773_298,-472.18674070255287
1427192_3,-1561.4887712965444
1448635_3,3.630245402928092
1421996_3,3.2742598930390088
1773_327,2.893784758958366
1423440_3,-1555.5745991528759
1427330_3,2.953694768633567
1354121_3,-1555.9973044682329
1438849_3,3.8525850594094404
1423453_3,-1556.036043636378
1773_266,2.9190079976111973
1421942_3,-1556.0462292403095
1448395_3,4.041302153108521
1417028_3,2.729438647661665
1427219_3,3.68523613410459
1423503_3,3.6861408562257463
1397879_3,-2127.0529054689737
1266446_3,-1556.0795511193162
1448707_3,-1556.031795903221
1417010_3,2.9371490444794945
1448537_3,2.9004897829626572
1397904_3,2.956343244026615
1427325_3,3.745769543877853
1448580_3,-1555.9159227739578
1402598_3,2.9301720958942425
1423563_3,-1556.0982606235214
1448812_3,3.6233260064734716
1773_283,2.8994116269689103
1400909_3,3.1747748112601126
1423526_3,4.163535860999402
1448702_3,-1556.0951684161435
1324259_3,4.038194323164673
1427236_3,-1555.6831372306292
1448452_3,3.608958642262372
1448767_3,-472.2059417183683
1306414_3,3.195515777245167
1455291_3,-1556.0967166252638
1400888_3,-1556.5510116467917
1448606_3,-1556.0047411850694
1417017_3,-1556.7768737808447
1324250_3,-1555.6855749833628
1447480_3,2.5832176476100708
1448409_3,3.6769781786285307
1448460_3,3.6069452302325806
1448664_3,-567.269050087328
1427224_3,-1555.6804736230245
1448836_3,3.1251733431093363
1448455_3,-2009.086289367832
