,sol
1448803_3,967.5786074767897
1418256_3,213.48209835598612
1324223_3,918.9108166477446
1447451_3,967.5237698621407
1421997_3,213.5880429312154
1448632_3,505.9381619872902
1423498_3,918.9078070743842
1427227_3,281906.75537682144
1427257_3,918.816763482662
1447472_3,213.5090297154316
1354138_3,281152.73758122785
1408906_4,165.04212258565704
1423552_3,967.7241498720871
1427235_3,967.7555818152001
1408913_4,213.5241246977197
1423522_3,967.535930933305
1455264_3,213.8125298519072
1448609_3,918.9402020518623
1447460_3,967.7179773690448
1422079_3,967.7774392040972
1422049_3,918.9456090587948
1438834_3,164.92228354341736
1423480_3,967.7721053113883
1423437_3,164.8901014269727
1324226_3,213.49137968836249
1423562_3,967.5784062036417
1408923_4,1211.041716297783
1421934_3,967.7702692037045
1447520_3,165.09264964106256
1447501_3,213.34533172482256
1427299_3,406.5716743055286
1423536_3,967.5378559878652
1354132_3,505.95188278277055
1324264_3,213.52481243268048
1447492_3,967.4672122473977
1295726_3,213.79133314059308
1447448_3,165.06602511356377
1397856_3,919.102779841255
1402590_3,308.62512886643583
1397916_3,213.60474385947035
1408935_4,967.598284112799
1408905_4,213.5375738020404
1422026_3,213.5464393572591
1448498_3,164.8846147496309
1448399_3,450.4869650643182
1422084_3,213.57333026390145
1448482_3,967.4570947904361
1448737_3,213.52473288064436
1421952_3,918.8954463290424
1295774_3,967.7473146297887
1240677_3,1259.7214615115802
1448530_3,213.53212431206114
1447509_3,450.58473695547946
1421924_3,213.50915926195768
1402591_3,281152.7550453925
1354119_3,386.43136431565546
1423519_3,319.8795594544504
1354149_3,213.53099004857626
1423548_3,165.10824911871768
1447525_3,213.54006831804804
1427243_3,918.9373588985753
1400898_3,967.6015183142691
1423474_3,967.7482612696089
1397923_3,967.7519302096915
1447447_3,213.52355530645744
1448644_3,213.67005140467145
1455295_3,967.5720346905802
1408974_4,164.86884140078794
1773_372,308.3766867213958
1423574_3,967.596554236924
1397896_3,213.55055554737174
1438871_3,967.4401596745149
1354133_3,164.8935554065743
1324292_3,213.51011578679174
1423484_3,967.6137922301566
1408918_4,213.73312996650935
1423456_3,212.22731794353888
1773_267,967.5905377517897
1448459_3,386.39189736146506
1421999_3,213.56224988485496
1448785_3,967.566038164482
1447452_3,213.52495665846783
1447457_3,967.564127569386
1448783_3,213.66217284920637
1448428_3,213.5779507697364
1354137_3,213.76000142770755
1279039_3,213.56210085873298
1423532_3,213.56943661796583
1421940_3,967.7220249448337
1448827_3,386.57590208566836
1455287_3,967.552047052835
1773_346,213.55314784068372
1448761_3,213.53472930898508
1324219_3,213.55003902418588
1448733_3,213.52678221371468
1427264_3,213.7496070128739
1421998_3,213.53749830315508
1448739_3,308.45574654713766
1423533_3,1259.709854940187
1397867_3,967.5367466630111
1200348_3,623.584732364781
1400871_3,1259.7246486401295
1422037_3,164.85236870492815
1402600_3,213.7446982580771
1448667_3,505.91855419344705
1324297_3,165.05940698199564
1427203_3,967.8102779823264
1262529_3,967.5313573944226
1422083_3,213.58167469209712
1773_276,213.3871771384645
1448484_3,967.601712786233
1773_298,308.3398774952024
1427192_3,1160.4950239090138
1448635_3,212.20761518942206
1421996_3,213.58914120085657
1773_327,213.5413867017748
1423440_3,967.4981407661954
1427330_3,213.581201554897
1354121_3,967.539108370693
1438849_3,213.81363252629714
1423453_3,967.7733618993132
1773_266,164.89334470019602
1421942_3,967.547921001802
1448395_3,213.49603710844815
1417028_3,213.44555414441606
1427219_3,213.73971286205852
1423503_3,213.77941312049487
1397879_3,1091.9992490050377
1266446_3,967.5518190737474
1448707_3,918.9344549360711
1417010_3,213.56920301422932
1448537_3,213.52597690597727
1397904_3,213.5526758268915
1427325_3,213.60154355420883
1448580_3,919.1257148315553
1402598_3,212.21525936629396
1423563_3,967.5604549847321
1448812_3,213.5450323707079
1773_283,213.7157171720077
1400909_3,164.8984597861362
1423526_3,165.086336998702
1448702_3,919.1399961869055
1324259_3,165.0881794955546
1427236_3,967.5279444129926
1448452_3,213.48578769289918
1448767_3,308.4168856130252
1306414_3,213.74773989817305
1455291_3,967.5923242075374
1400888_3,967.5600925717404
1448606_3,967.5525491793161
1417017_3,967.76527679179
1324250_3,967.7658537901289
1447480_3,164.95540922618943
1448409_3,213.55423670092904
1448460_3,164.85392112416326
1448664_3,386.5762375231405
1427224_3,967.5804042324451
1448836_3,213.6774431674157
1448455_3,1204.4286022205822
