,sol
1448803_3,-119.83970226943887
1418256_3,-119.84369326917229
1324223_3,-119.87687170113965
1447451_3,-120.55259013796675
1421997_3,-119.80492699811424
1448632_3,-258.1371008532996
1423498_3,-121.7690952554556
1427227_3,-121.85784887367001
1427257_3,-121.27263286154852
1447472_3,-119.87778384018078
1354138_3,-121.28714326508454
1408906_4,-121.78049580482076
1423552_3,-121.869990685405
1427235_3,-119.90127706099643
1408913_4,-121.74122373375712
1423522_3,-119.83966945334453
1455264_3,-119.87464060218116
1448609_3,-121.43980066473428
1447460_3,-120.49548359326465
1422079_3,-119.8719681778909
1422049_3,-119.78063638720702
1438834_3,-119.77804698231479
1423480_3,-119.78066031731836
1423437_3,-119.8777399638172
1324226_3,-119.84370628856593
1423562_3,-119.9012968825269
1408923_4,-259.63612218078543
1421934_3,-120.56165600158856
1447520_3,-120.54438068088139
1447501_3,-120.80695838945094
1427299_3,-161.49571741811783
1423536_3,-119.77545835720423
1354132_3,-259.72651768229247
1324264_3,-119.85838973741738
1447492_3,-120.77929994881887
1295726_3,-119.82652274610882
1447448_3,-119.74746401375461
1397856_3,-119.8671925721671
1402590_3,-120.55665608494893
1397916_3,-120.562978793007
1408935_4,-120.30818010453238
1408905_4,-121.78825881552035
1422026_3,-120.309572372801
1448498_3,-120.53410181887276
1448399_3,-119.85338536624099
1422084_3,-121.53738358478994
1448482_3,-120.84369994113324
1448737_3,-119.87778381535232
1421952_3,-120.58488962910822
1295774_3,-119.86230879702373
1240677_3,-258.1671766494558
1448530_3,-120.27973840382434
1447509_3,-119.87769860017913
1421924_3,-120.54438483874868
1402591_3,-121.25674980443634
1354119_3,-192.91144481368724
1423519_3,-1324.1604460161655
1354149_3,-120.5465521128868
1423548_3,-119.87774001376441
1447525_3,-119.87277949412258
1427243_3,-120.56217238902425
1400898_3,-119.80290189238087
1423474_3,-119.90129685806899
1397923_3,-120.55676423100886
1447447_3,-119.87542944207229
1448644_3,-119.84694115525318
1455295_3,-119.89629251201069
1408974_4,-121.723239983092
1773_372,-121.26295246993143
1423574_3,-121.30281982142633
1397896_3,-120.5653086310005
1438871_3,-121.24145915439402
1354133_3,-120.53632479469259
1324292_3,-119.74746814716487
1423484_3,-120.5302481312882
1408918_4,-121.21920439770919
1423456_3,-121.36259436717967
1773_267,-121.33494499013172
1448459_3,-193.64631095122797
1421999_3,-120.28941758145304
1448785_3,-119.84475073328848
1447452_3,-119.85336288989956
1447457_3,-119.90129685787244
1448783_3,-119.83417568428784
1448428_3,-119.8533655448965
1354137_3,-121.14112275024887
1279039_3,-121.25675587253032
1423532_3,-120.73710750910085
1421940_3,-119.87501525245223
1448827_3,-194.14199700515488
1455287_3,-120.58436656253582
1773_346,-121.7905574799665
1448761_3,-119.7531678663173
1324219_3,-121.41730927031935
1448733_3,-119.86314693937753
1427264_3,-119.87776401846516
1421998_3,-119.85836573271618
1448739_3,-121.30086168229158
1423533_3,-259.6876190052752
1397867_3,-119.87198797477602
1200348_3,-194.1142720882515
1400871_3,-258.95577334974934
1422037_3,-120.9830218098677
1402600_3,-119.87544921431635
1448667_3,-258.9132092652272
1324297_3,-121.25169184204013
1427203_3,-120.58190881301608
1262529_3,-121.22869307266524
1422083_3,-120.2715533608072
1773_276,-121.28169456967368
1448484_3,-120.58493345600063
1773_298,-121.2279547446712
1427192_3,-162.80936784557127
1448635_3,-120.55802366730249
1421996_3,-121.53947443955754
1773_327,-121.18666478517629
1423440_3,-120.55258972865919
1427330_3,-121.11107959712155
1354121_3,-119.87188518941612
1438849_3,-120.56222921256024
1423453_3,-119.901296857884
1773_266,-121.22793072463456
1421942_3,-119.86721660151082
1448395_3,-119.84370626392302
1417028_3,-121.39813959826039
1427219_3,-119.85101799905671
1423503_3,-119.78157002898925
1397879_3,-192.9503501515598
1266446_3,-120.7517706143042
1448707_3,-119.8396980616259
1417010_3,-121.2211583711989
1448537_3,-121.22487458053598
1397904_3,-121.8151589884973
1427325_3,-120.51196512829895
1448580_3,-120.55729359178014
1402598_3,-121.16797478840977
1423563_3,-119.8814273093051
1448812_3,-119.89688892888584
1773_283,-121.26295245348712
1400909_3,-120.4886209017224
1423526_3,-120.49060924101103
1448702_3,-119.91857696741097
1324259_3,-119.843682259222
1427236_3,-119.90127701105014
1448452_3,-119.8832196028753
1448767_3,-121.24461963299682
1306414_3,-120.54238236538154
1455291_3,-119.91857371635027
1400888_3,-120.50648928159272
1448606_3,-120.55258534654013
1417017_3,-121.29787879738389
1324250_3,-119.87687590778835
1447480_3,-119.87362296806882
1448409_3,-119.74748799399812
1448460_3,-119.84367957958285
1448664_3,-192.91117869928397
1427224_3,-119.90126404197505
1448836_3,-119.7893365542239
1448455_3,-121.85490480978707
