,sol
1448803_3,1472.205416196019
1418256_3,1.8685967698872235
1324223_3,1472.226332649842
1447451_3,1472.7058748722197
1421997_3,12.010923315233322
1448632_3,25.615025857090853
1423498_3,1472.6499880558993
1427227_3,1472.5896795928998
1427257_3,1472.566424612244
1447472_3,1.8778453511884519
1354138_3,2.0146138002873553
1408906_4,2.47897195742755
1423552_3,1472.6750933802916
1427235_3,1472.2281246326418
1408913_4,2.4702461574280647
1423522_3,1472.212011031469
1455264_3,2.0698208080572775
1448609_3,1473.0294964779375
1447460_3,1472.5603750949226
1422079_3,1472.218834373205
1422049_3,1472.168876653965
1438834_3,1.964701604561594
1423480_3,1472.1786593167005
1423437_3,2.0080433021234714
1324226_3,1.8659787566592825
1423562_3,1472.2281183594416
1408923_4,1496.008003686749
1421934_3,1472.6581961841673
1447520_3,2.3605440792803685
1447501_3,2.387472195444492
1427299_3,1.9511675214557482
1423536_3,1472.0422443669208
1354132_3,26.53790487375246
1324264_3,2.011106446978966
1447492_3,1472.569668465937
1295726_3,2.1050056375571544
1447448_3,1.818224955366913
1397856_3,1472.2178244051618
1402590_3,2.445098531385249
1397916_3,2.6533264579590723
1408935_4,1655.7437155396751
1408905_4,2.3662793339187487
1422026_3,2.6395660455914265
1448498_3,2.3579436823664883
1448399_3,242.0032264272431
1422084_3,2.498035919956235
1448482_3,1472.6141464640768
1448737_3,2.0112585174541553
1421952_3,1472.5933628795478
1295774_3,1472.21688812552
1240677_3,1495.9705014706396
1448530_3,2.63059890320718
1447509_3,242.02703486070712
1421924_3,2.372964824875088
1402591_3,2.0045769607771176
1354119_3,2.37044615843662
1423519_3,599.0336575359333
1354149_3,2.474383355813437
1423548_3,2.0014227705858767
1447525_3,1.8661175334147326
1427243_3,1472.5788844649396
1400898_3,1472.0476584152054
1423474_3,1472.2347464079214
1397923_3,1472.6245635104217
1447447_3,1.8706665190990504
1448644_3,1.8711564427308491
1455295_3,1472.2229329357078
1408974_4,2.4415265941492175
1773_372,1.8807809595627663
1423574_3,1472.2294099394755
1397896_3,2.377979226811384
1438871_3,1472.5583745602937
1354133_3,2.4768514120728273
1324292_3,1.955738410028607
1423484_3,1472.5646792277325
1408918_4,1.9971786823947317
1423456_3,2.761116326670636
1773_267,1472.6160488741389
1448459_3,2.0165357530156935
1421999_3,2.630648679564684
1448785_3,1482.247928093178
1447452_3,1.868599776841384
1447457_3,1472.2281257360626
1448783_3,1.9974669281833959
1448428_3,1.9994444726291616
1354137_3,1.949117204247288
1279039_3,2.0045843373951824
1423532_3,2.3334499575747762
1421940_3,1472.09270777683
1448827_3,12.403499866380052
1455287_3,1472.5875809604033
1773_346,175.33177601309913
1448761_3,1.821521683156719
1324219_3,2.7968882261527317
1448733_3,1.9888252530453412
1427264_3,2.0046367421763263
1421998_3,1.9988165726738258
1448739_3,174.83023836562393
1423533_3,1495.8840697166872
1397867_3,1472.2254561484824
1200348_3,417.39861434322285
1400871_3,1496.4562020642409
1422037_3,2.1229324370864275
1402600_3,1.9933749180334035
1448667_3,26.147385615907552
1324297_3,1.8654380665939425
1427203_3,1472.6682132962508
1262529_3,1472.1903203164911
1422083_3,2.4980566127959025
1773_276,2.3799022627918314
1448484_3,1472.668472177632
1773_298,11.91440797822055
1427192_3,1472.0475986354575
1448635_3,2.3717501435338173
1421996_3,2.4991582117147244
1773_327,1.9884520619787487
1423440_3,1472.591655626701
1427330_3,1.9455782283572391
1354121_3,1472.2219749095675
1438849_3,2.605749865145906
1423453_3,1472.2281258763817
1773_266,1.867337519692783
1421942_3,1472.2209861154092
1448395_3,2.001791807296635
1417028_3,2.785657380666583
1427219_3,1.8547810178374027
1423503_3,1.9563800987810678
1397879_3,1472.7097948256383
1266446_3,1472.5650469921816
1448707_3,1472.202255055268
1417010_3,1.8640534045669235
1448537_3,1.8619420568096854
1397904_3,2.3674852081781936
1427325_3,2.4198602807930394
1448580_3,1472.6938799005673
1402598_3,1.821584677796601
1423563_3,1472.2370858787426
1448812_3,11.91304805459929
1773_283,1.880762975792237
1400909_3,2.335824439801598
1423526_3,2.4455689063691315
1448702_3,1472.1097562293953
1324259_3,1.9919491129853055
1427236_3,1472.2347458384231
1448452_3,2.017022049736895
1448767_3,174.8275726442624
1306414_3,2.4800491873477246
1455291_3,1472.2542826264373
1400888_3,1472.5504720401486
1448606_3,1472.5850345501053
1417017_3,1472.2526977473378
1324250_3,1472.2229323630943
1447480_3,2.0831625971002445
1448409_3,1.9491177737438137
1448460_3,2.0009577204783775
1448664_3,2.4489706900860164
1427224_3,1472.2280327447536
1448836_3,1.847964904674005
1448455_3,1712.737915869137
