,sol
1448803_3,-28.0638053332453
1418256_3,-28.850784289156625
1324223_3,-28.292397637641177
1447451_3,-28.744997025840764
1421997_3,-28.089928101098547
1448632_3,-28.351048251082172
1423498_3,-29.3517707838899
1427227_3,-194297.90593432626
1427257_3,-28.657083617851796
1447472_3,-28.53352014364804
1354138_3,-194297.44326474945
1408906_4,-29.320178055838998
1423552_3,-29.271051806276667
1427235_3,-28.541797930145172
1408913_4,-29.117021565117366
1423522_3,-28.580072834002483
1455264_3,-28.340213042529797
1448609_3,-28.68779164941748
1447460_3,-28.463710876340834
1422079_3,-28.339877639056663
1422049_3,-28.010650034015345
1438834_3,-28.007517727324295
1423480_3,-28.057563231168587
1423437_3,-28.486577607867083
1324226_3,-28.33190786392165
1423562_3,-28.541804320279997
1408923_4,-29.014352541900557
1421934_3,-28.92384654293619
1447520_3,-28.693774343457786
1447501_3,-28.522210387037187
1427299_3,-38.801162830290814
1423536_3,-28.283203507425572
1354132_3,-28.75613518091502
1324264_3,-28.334266909853245
1447492_3,-28.243972840464735
1295726_3,-28.26368181333874
1447448_3,-28.00540450015909
1397856_3,-28.290833694647485
1402590_3,-151.5530665088754
1397916_3,-27.820042468394348
1408935_4,-29.012000622828094
1408905_4,-29.3663174015616
1422026_3,-28.23914231234519
1448498_3,-29.164588183809634
1448399_3,-769.2376435471357
1422084_3,-28.855975873883736
1448482_3,-28.8586942406607
1448737_3,-28.53352035602863
1421952_3,-28.87731319563179
1295774_3,-28.338318834199097
1240677_3,-28.46743831243788
1448530_3,-28.225579604449777
1447509_3,-28.533504023260647
1421924_3,-28.73787368889523
1402591_3,-194297.45079722418
1354119_3,-672.4466726865827
1423519_3,-28.225859926084823
1354149_3,-28.901863781941024
1423548_3,-28.486577658081448
1447525_3,-28.532384914587773
1427243_3,-29.205797543103007
1400898_3,-28.254833724123834
1423474_3,-28.541804067542166
1397923_3,-28.744555659696253
1447447_3,-28.52499240590421
1448644_3,-28.321127620426527
1455295_3,-28.540692151460718
1408974_4,-29.023019495582535
1773_372,-333.401163154921
1423574_3,-28.72165203689843
1397896_3,-28.741205495147202
1438871_3,-28.690178520804132
1354133_3,-28.6897895020063
1324292_3,-28.049557032381998
1423484_3,-28.639360536987358
1408918_4,-28.987526663285923
1423456_3,-28.632492264849127
1773_267,-28.865829666042455
1448459_3,-490.4907042879226
1421999_3,-28.22714270572107
1448785_3,-28.13009914659615
1447452_3,-28.333425940633408
1447457_3,-28.54182715625498
1448783_3,-28.317579711204257
1448428_3,-28.33346655781903
1354137_3,-28.69335690726623
1279039_3,-28.86916944598166
1423532_3,-28.05111606763109
1421940_3,-28.541411801199533
1448827_3,-490.8411621799951
1455287_3,-28.915332058421185
1773_346,-29.246143905446072
1448761_3,-28.57496198851548
1324219_3,-28.901769098857745
1448733_3,-28.52044128973155
1427264_3,-28.53349090565282
1421998_3,-28.28735343801618
1448739_3,-333.5537710835157
1423533_3,-28.852442538112925
1397867_3,-28.339882821485094
1200348_3,-490.61228215264316
1400871_3,-28.92422644320302
1422037_3,-28.435746038853576
1402600_3,-28.52497525161189
1448667_3,-29.229098909205593
1324297_3,-28.949964245968925
1427203_3,-769.8270364278006
1262529_3,-28.7184572027878
1422083_3,-28.22937963881716
1773_276,-28.850059569798653
1448484_3,-28.924232857818854
1773_298,-151.17687782190274
1427192_3,-38.45406932021103
1448635_3,-28.894175795392634
1421996_3,-28.84849625215527
1773_327,-28.844133280635198
1423440_3,-28.74274849653819
1427330_3,-28.697332370157245
1354121_3,-28.579803140128128
1438849_3,-28.743730151677628
1423453_3,-28.541804084129335
1773_266,-28.814044206623024
1421942_3,-28.337746948344233
1448395_3,-28.331907857795965
1417028_3,-28.898613882472056
1427219_3,-28.845461227760484
1423503_3,-28.251051199588286
1397879_3,-490.6999846939209
1266446_3,-28.056004476728933
1448707_3,-28.082316592429535
1417010_3,-28.854270514165368
1448537_3,-28.99044012115534
1397904_3,-29.30711974935924
1427325_3,-28.635555157833526
1448580_3,-28.697387909276234
1402598_3,-28.56912701127426
1423563_3,-28.059552086921734
1448812_3,-28.52932866984441
1773_283,-28.867151820381267
1400909_3,-28.966393477818745
1423526_3,-28.578374081211035
1448702_3,-769.2664266984033
1324259_3,-28.28499461022476
1427236_3,-28.541797879930677
1448452_3,-28.53172824987941
1448767_3,-151.3149186969477
1306414_3,-28.76677640818657
1455291_3,-28.343689990877184
1400888_3,-29.02597792473177
1448606_3,-28.74499601025191
1417017_3,-28.88334389900315
1324250_3,-28.3398775947643
1447480_3,-28.29417409338418
1448409_3,-28.0495622591027
1448460_3,-28.287717680142414
1448664_3,-490.2277704792804
1427224_3,-28.937483223675223
1448836_3,-28.040161463376936
1448455_3,-29.398684022595333
