,F_value,pvalue,value_counts,name
h_c,inf,0.0,"[(0.9999999999953735, 3), (0.9999999999953633, 2), (0.9999999999953553, 1), (0.9999999999953486, 1), (0.9999999999953602, 1), (0.9999999999953608, 1), (0.9999999999944984, 1), (0.9999999999953515, 1), (0.9999999999953453, 1), (0.9999999999953548, 1), (0.9999999999953861, 1), (0.9999999999953884, 1), (0.9999999999953562, 1), (0.9999999999953983, 1)]",H
pro__L_e,inf,0.0,"[(0.9999999999999448, 9), (0.9999999999988526, 1), (0.9999999999999486, 1), (0.9999999999999449, 1), (0.9999999999999413, 1), (0.9999999999999452, 1), (0.9999999999999427, 1), (0.9999999999999312, 1), (0.9999999999999026, 1)]",L-Proline
ac_e,15.0,0.0015017735386984323,"[(0.9999999999934809, 11), (0.9999999999934872, 1), (0.9999999999934531, 1), (0.9999999999934119, 1), (0.9999999999935041, 1), (0.9999999999937718, 1), (0.9999999999932897, 1)]",Acetate
ncam_c,13.437596764504589,0.002294654315237848,"[(1.0, 8), (0.009074538976367452, 1), (0.02619420962199659, 1), (0.009074538976035718, 1), (0.3052338930970886, 1), (0.3223535637434124, 1), (0.29615935412106287, 1), (0.3223535637430516, 1), (0.32382483250977945, 1), (0.30523389309708093, 1)]",Nicotinamide
hgbam_c,7.5,0.015231027044400821,"[(0.9606270395846799, 17)]",Hydrogenobyrinate-a-c-diamide
pre5_c,7.5,0.015231027044400821,"[(0.8557767791882747, 17)]",Precorrin-5
chexccoa_c,5.678074356576494,0.03083940231652728,"[(0.01455969665782305, 1), (0.013762282585976357, 1), (0.0008979507849340707, 1), (0.014559696657821754, 1), (0.0006525926089816399, 1), (0.013762282586031177, 1), (0.0006525926089816503, 1), (0.9765034548788893, 1), (0.014314338481869339, 1), (0.9609046262196562, 1), (0.013822991415589243, 1), (0.014559696657821794, 1), (0.000652592608981685, 1), (0.9950147890126594, 1), (0.9926102162184646, 1), (0.0, 1), (0.002269779467429565, 1)]",carboxy-hexacosanoyl-CoA
hexccoa_c,5.677882105197855,0.030841829570617135,"[(0.014570311500165361, 1), (0.01377290601780365, 1), (0.0009087127871582092, 1), (0.014570311500164098, 1), (0.0006633572541242284, 1), (0.013772906017858442, 1), (0.0006633572541242423, 1), (0.9764603449934025, 1), (0.01432495596713013, 1), (0.9609050473423033, 1), (0.013790251210854225, 1), (0.014570311500164137, 1), (0.0006633572541242701, 1), (0.9950148427117305, 1), (0.9926102958188114, 1), (0.0, 1), (0.002280526692761454, 1)]",Hexacosanoyl-CoA-n-C260CoA
hepdcoa_c,5.649083739426366,0.031207937368004632,"[(0.9917832301309286, 2), (0.9917832301309325, 1), (0.9899582136317038, 1), (0.9534098385257765, 1), (0.9364247395380095, 1), (0.9899582136318558, 1), (0.9392806154049546, 1), (0.03091472867926337, 1), (0.9915088395383879, 1), (0.09159872224152765, 1), (0.9900655782045643, 1), (0.9392806154049548, 1), (0.004667520906706413, 1), (0.010536985792581555, 1), (1.0, 1), (0.9572630590247062, 1)]",heptadecanoyl-CoA
nodcoa_c,5.646963207701091,0.03123509399938683,"[(0.992550545924806, 1), (0.9906093922269599, 1), (0.9541519129196633, 1), (0.9925505459248022, 1), (0.9370407046747786, 1), (0.9906093922271119, 1), (0.9398984590909489, 1), (0.03091881318885814, 1), (0.9921610381104325, 1), (0.09165897440818993, 1), (0.9907005767206621, 1), (0.9925505459248023, 1), (0.9398984590909492, 1), (0.0046705911269089295, 1), (0.010543916852410296, 1), (1.0, 1), (0.9580076680050806, 1)]",nonadecan-1-ol-CoA
nodcoa_e,5.646963207701091,0.03123509399938683,"[(0.992550545924806, 1), (0.9906093922269599, 1), (0.9541519129196633, 1), (0.9925505459248022, 1), (0.9370407046747786, 1), (0.9906093922271119, 1), (0.9398984590909489, 1), (0.03091881318885803, 1), (0.9921610381104325, 1), (0.09165897440818982, 1), (0.9907005767206621, 1), (0.9925505459248023, 1), (0.9398984590909492, 1), (0.0046705911269089295, 1), (0.010543916852410185, 1), (1.0, 1), (0.9580076680050806, 1)]",nonadecan-1-ol-CoA
pentdcoa_c,5.319427793397696,0.03577960133607125,"[(0.9975861337777507, 2), (0.9975861337777528, 1), (0.9966994293883107, 1), (0.977689780296214, 1), (0.9689426719293264, 1), (0.9966994293883895, 1), (0.9704234249556108, 1), (0.4994500525297436, 1), (0.9975034188160492, 1), (0.5309058873915504, 1), (0.9967635175639232, 1), (0.970423424955611, 1), (0.48583262599914256, 1), (0.4888759052932554, 1), (0.9518678100167332, 1), (0.9796876500148426, 1)]",pentadecanoyl-CoA
ppm_c,4.492240709734581,0.051142138512908435,"[(0.12445464630519276, 2), (0.12445464630555647, 1), (0.15535825661382785, 1), (0.12445464630518388, 1), (0.12445464630519965, 1), (0.12445464630520586, 1), (0.12445464630602499, 1), (0.12445464630518477, 1), (0.09036059678609276, 1), (0.12445464630520164, 1), (0.12445464630519942, 1), (0.0903605967861234, 1), (0.12445464630520053, 1), (0.1244546463051901, 1), (0.14930882414295366, 1), (0.12445464630518965, 1)]",D-Mannosyl-1-phosphoundecaprenol
ugma_c,3.7669901928952925,0.07130479780212082,"[(0.022156870487894054, 1), (0.018850750158926344, 1), (0.02215687048764381, 1), (0.022156870487633373, 1), (0.012795153849011642, 1), (0.01885075016168236, 1), (0.018850750158927232, 1), (0.006055596305710953, 1), (0.018850750158935448, 1), (0.012795153849000984, 1), (6.208367153703875e-13, 1), (0.022156870487642255, 1), (0.018850750158934115, 1), (0.018850750158928786, 1), (0.012795153849017193, 1), (0.03526320772196101, 1), (0.0221568704876276, 1)]",UDP-N-glycolylmuramoyl-L-alanine
uGgl_c,3.7669901924057454,0.07130479781860424,"[(0.02005609148922205, 1), (0.01706343727706172, 1), (0.020056091488994898, 1), (0.020056091488990013, 1), (0.011581995586857685, 1), (0.017063437277902826, 1), (0.017063437277060167, 1), (0.005481441690237343, 1), (0.017063437277068605, 1), (0.011581995586847915, 1), (1.0880185641326534e-14, 1), (0.020056091488996453, 1), (0.01706343727706816, 1), (0.017063437277063054, 1), (0.01158199558686035, 1), (0.03191976595561319, 1), (0.020056091488987127, 1)]",UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine
uAgl_c,3.7669901924056512,0.0713047978186074,"[(0.020056091489264904, 1), (0.017063437277104576, 1), (0.020056091489037753, 1), (0.020056091489032424, 1), (0.011581995586900762, 1), (0.01706343727794568, 1), (0.017063437277103022, 1), (0.005481441690280642, 1), (0.01706343727711146, 1), (0.011581995586890992, 1), (5.440092820663267e-14, 1), (0.020056091489039307, 1), (0.017063437277111015, 1), (0.01706343727710591, 1), (0.011581995586903426, 1), (0.03191976595565538, 1), (0.02005609148902976, 1)]",UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysine
uama_c,3.721278968866937,0.0728637948291968,"[(0.025207375837741797, 1), (0.021658107614124233, 1), (0.025207375837467128, 1), (0.0252073758374618, 1), (0.015157153801429235, 1), (0.021658107614944244, 1), (0.02165810761412379, 1), (0.006500953812737631, 1), (0.02165810761413489, 1), (0.015157153801417689, 1), (1.6653345369377348e-14, 1), (0.02520737583746957, 1), (0.021658107614134448, 1), (0.021658107614128452, 1), (0.01515715380143412, 1), (0.0357477920671212, 1), (0.025207375837457358, 1)]",UDP-N-acetylmuramoyl-L-alanine
uamag_c,3.695288204290933,0.07376822043923409,"[(0.02086084606168015, 1), (0.01755034383085241, 1), (0.02086084606150096, 1), (0.020860846061494298, 1), (0.011486721488440876, 1), (0.017550343831673976, 1), (0.017550343830850634, 1), (0.006063622342450392, 1), (0.017550343830860404, 1), (0.011486721488429996, 1), (1.4210854715202004e-14, 1), (0.020860846061501404, 1), (0.017550343830860626, 1), (0.017550343830855075, 1), (0.011486721488444651, 1), (0.03727692009618533, 1), (0.020860846061489857, 1)]",UDP-N-acetylmuramoyl-L-alanyl-D-glutamate
ugmr_c,3.6862628415010104,0.07408539260341059,"[(0.03033978502551582, 1), (0.026853884295526376, 1), (0.030339785025297328, 1), (0.030339785025286226, 1), (0.020468996421795227, 1), (0.026853884297070474, 1), (0.026853884295527486, 1), (0.006384887869915756, 1), (0.026853884295537256, 1), (0.02046899642178457, 1), (1.2732037646401295e-12, 1), (0.03033978502529533, 1), (0.026853884295535035, 1), (0.026853884295530817, 1), (0.020468996421800334, 1), (0.04242541773556652, 1), (0.03033978502528001, 1)]",UDP-N-glycolylmuramate
uaccg_c,3.686262841360073,0.07408539260837611,"[(0.031905882037658095, 1), (0.028240044016805133, 1), (0.03190588203740519, 1), (0.03190588203739786, 1), (0.021525577214890124, 1), (0.028240044017607824, 1), (0.02824004401680491, 1), (0.006714466801990504, 1), (0.028240044016817567, 1), (0.021525577214878355, 1), (5.062616992290714e-14, 1), (0.031905882037406075, 1), (0.0282400440168169, 1), (0.028240044016812904, 1), (0.021525577214895453, 1), (0.04461535810309081, 1), (0.03190588203739253, 1)]",UDP-N-acetyl-3-O-1-carboxyvinyl-D-glucosamine
meroacidcyc2AMP_c,3.6350426176738058,0.07591632716639472,"[(0.0012329258282858056, 1), (0.0029935776994401467, 1), (0.0008394123436150473, 1), (0.5385030996535973, 1), (1.0, 1), (0.0003066787109085667, 1), (0.0004984628186692971, 1), (0.0008688774742457092, 1), (0.002791848322546985, 1), (0.0008919763033450965, 1), (0.00027454120953658914, 1), (0.0012329258282901883, 1), (0.0004984628186693613, 1), (0.0003066787108872565, 1), (0.0004984628186693856, 1), (0.00021562050792655815, 1), (0.3406201387048183, 1)]",cyclopropanated-alpha-meroacid-AMP-2-cyclopropane-rings
uacgam_c,3.554497980340605,0.07890533500882145,"[(0.030381090785498666, 2), (0.030381090785726483, 1), (0.02633162457206062, 1), (0.030381090785489784, 1), (0.018914492035700725, 1), (0.026331624572856205, 1), (0.02633162457205973, 1), (0.007417132536403415, 1), (0.026331624572074608, 1), (0.018914492035689845, 1), (1.9095836023552692e-14, 1), (0.0263316245720715, 1), (0.026331624572068835, 1), (0.0189144920357065, 1), (0.03837968536547609, 1), (0.03038109078548379, 1)]",UDP-N-acetyl-D-glucosamine
ugmag_c,3.529388467202605,0.07986559140921563,"[(0.01828140068431683, 1), (0.0151834120593215, 1), (0.018281400684154514, 1), (0.01828140068414319, 1), (0.009509036471189614, 1), (0.015183412062905743, 1), (0.015183412059320611, 1), (0.00567437558461692, 1), (0.015183412059327717, 1), (0.0095090364711794, 1), (1.4876988529977098e-14, 1), (0.018281400684151405, 1), (0.015183412059328383, 1), (0.015183412059322166, 1), (0.009509036471193832, 1), (0.036724681523193414, 1), (0.018281400684138083, 1)]",UDP-N-glycolylmuramoyl-L-alanyl-D-glutamate
uamr_c,3.5148891833592626,0.08042641072415234,"[(0.030448872610241207, 2), (0.03420616941023957, 1), (0.034206169409996434, 1), (0.03420616940999022, 1), (0.023566886967357314, 1), (0.030448872611041677, 1), (0.00688198564296072, 1), (0.03044887261025342, 1), (0.023566886967345324, 1), (5.1958437552457326e-14, 1), (0.034206169409998655, 1), (0.030448872610251643, 1), (0.03044887261024809, 1), (0.023566886967361755, 1), (0.04349602085036075, 1), (0.034206169409985554, 1)]",UDP-N-acetylmuramate
h2s_e,3.4774748706211454,0.08189534132189513,"[(0.9999999999999817, 12), (0.29284027598932405, 1), (0.2928402759893559, 1), (0.29284027598933526, 1), (0.1587021849662612, 1), (0.29284027598930473, 1)]",Hydrogen-sulfide
hpmtria_c,3.4355644828200407,0.08357888199089408,"[(0.24653138005699637, 1), (0.1929903961437367, 1), (0.24653138005654296, 1), (0.24653138005656094, 1), (0.2532240030456725, 1), (0.1929903961499222, 1), (0.4861888835731455, 1), (0.47483378564540923, 1), (0.25322400304563586, 1), (0.48618888357316936, 1), (0.17406523292032117, 1), (0.24653138005655117, 1), (0.48618888357317347, 1), (0.4259552766712319, 1), (0.4861888835731747, 1), (0.22002198415409868, 1), (0.24653138005654918, 1)]",hepta-methyl-triacontanoic-acid-C300-plus-7-methyl-branches
hmocta_c,3.4313493406716167,0.08375047495600811,"[(0.2609707484538464, 1), (0.1998404560060607, 1), (0.2609707484534054, 1), (0.26097074845341894, 1), (0.2686120350093406, 1), (0.19984045601305134, 1), (0.49660098162048394, 1), (0.4857971013286724, 1), (0.26861203500931574, 1), (0.4966009816205068, 1), (0.18039347146967666, 1), (0.2609707484534136, 1), (0.4966009816204995, 1), (0.4278294026172085, 1), (0.49660098162050514, 1), (0.2239943054201725, 1), (0.2609707484534123, 1)]",hexa-methyl-octacosanoate
omtta_c,3.4296648259419773,0.08381916671377214,"[(0.24717642206153911, 1), (0.19403497205602682, 1), (0.24717642206108348, 1), (0.24717642206109436, 1), (0.2471764220610988, 1), (0.19403497206155262, 1), (0.48207313149911013, 1), (0.4695505050141793, 1), (0.24717642206107482, 1), (0.4820731314991311, 1), (0.17483361143604337, 1), (0.2471764220610957, 1), (0.4820731314991209, 1), (0.4289316814940358, 1), (0.4820731314991321, 1), (0.22099445767130987, 1), (0.2471764220610908, 1)]",octa-methyl-tetracontatricosanoic-acid-C340-8-methyl-branched-carbons
hpmdtria_c,3.4288077811518076,0.08385414136070943,"[(0.2597858553183301, 1), (0.20010775494602684, 1), (0.2597858553178851, 1), (0.2597858553178978, 1), (0.25978585531790244, 1), (0.20010775495217015, 1), (0.4906022091497203, 1), (0.4784143027442571, 1), (0.2597858553178767, 1), (0.4906022091497403, 1), (0.18041959843479272, 1), (0.25978585531789755, 1), (0.49060220914973507, 1), (0.4309241087778465, 1), (0.4906022091497412, 1), (0.22456114856723963, 1), (0.2597858553178929, 1)]",hepta-methyl-dotriacontanoic-acid-7-methyl-branches
hmtria_c,3.417482091613502,0.08431796195121138,"[(0.275932411667728, 2), (0.2759324116681503, 1), (0.20788403871205374, 1), (0.2759324116677153, 1), (0.2759324116677324, 1), (0.20788403871898864, 1), (0.5015238128485516, 1), (0.4897645202050618, 1), (0.2759324116677073, 1), (0.501523812848571, 1), (0.18757253322637646, 1), (0.5015238128485662, 1), (0.4334754398928754, 1), (0.501523812848572, 1), (0.22912834634375367, 1), (0.2759324116677204, 1)]",hexa-methyl-triacontanoic-acid-C300-plus-6-methyl-branches
pmhexc_c,3.4104340912917905,0.08460814177502991,"[(0.2801796849203466, 1), (0.20895320672147077, 1), (0.28017968491992185, 1), (0.2801796849199356, 1), (0.2890829946947451, 1), (0.20895320672953321, 1), (0.5104523720956695, 1), (0.5003817859657853, 1), (0.2890829946947209, 1), (0.5104523720956919, 1), (0.18881203444969885, 1), (0.2801796849199294, 1), (0.5104523720956851, 1), (0.4303225841224009, 1), (0.51045237209569, 1), (0.22927875171520107, 1), (0.2801796849199292, 1)]",penta-methyl-hexacosanoate
pmocta_c,3.384516220005647,0.08568551838990392,"[(0.29734721201753733, 1), (0.21819754214286613, 1), (0.29734721201711967, 1), (0.2973472120171319, 1), (0.2973472120171363, 1), (0.2181975421508513, 1), (0.5160088806016053, 1), (0.5048180483741199, 1), (0.2973472120171119, 1), (0.5160088806016236, 1), (0.19705930347975498, 1), (0.29734721201713255, 1), (0.5160088806016195, 1), (0.43685921072733813, 1), (0.5160088806016249, 1), (0.2351857140214948, 1), (0.2973472120171248, 1)]",penta-methyl-octacosanoate
tamlgnc_c,3.352516380257195,0.08703837154225838,"[(0.30698891080880486, 1), (0.2216715471053663, 1), (0.3069889108084036, 1), (0.3069889108084167, 1), (0.31765358127129906, 1), (0.22167154711492487, 1), (0.529784262581215, 1), (0.520737108897181, 1), (0.31765358127127574, 1), (0.529784262581237, 1), (0.2005615218291954, 1), (0.3069889108084103, 1), (0.5297842625812306, 1), (0.4338022284152896, 1), (0.5297842625812349, 1), (0.23665406448505633, 1), (0.30698891080841095, 1)]",tri-methyl-lignoceric-acid
ugmd_c,3.333904260403209,0.08783695633559514,"[(0.010908263492462211, 2), (0.013856461632829165, 1), (0.010908263492455994, 1), (0.013856461632614225, 1), (0.013856461632607342, 1), (0.005508248972902585, 1), (0.010908263492865888, 1), (0.010908263492454218, 1), (0.005400014523107455, 1), (0.005508248972893037, 1), (3.530731262912923e-12, 1), (0.013856461632614891, 1), (0.01090826349245666, 1), (0.005508248972905694, 1), (0.027009923726790452, 1), (0.013856461632605122, 1)]",UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2-6-diaminopimelate
tat_c,3.332322294727349,0.08790523570372517,"[(0.27947225502925277, 1), (0.21351971384590596, 1), (0.2794722550288016, 1), (0.27947225502881445, 1), (0.2833518162748734, 1), (0.21351971385305113, 1), (0.5052105387617019, 1), (0.48985185773773354, 1), (0.2833518162748476, 1), (0.5052105387617236, 1), (0.18938464365593788, 1), (0.27947225502881223, 1), (0.5052105387617181, 1), (0.4353784363327444, 1), (0.5052105387617266, 1), (0.23634282168239595, 1), (0.27947225502880846, 1)]",tetra-acyl-trehalose
