,F_value,pvalue,value_counts,name
pre5_c,15.0,0.0015017735386984323,"[(0.08629161521273569, 17)]",Precorrin-5
dmbzid_c,12.189133587528387,0.0032816362537280634,"[(0.338440893358452, 2), (0.6275936395621688, 2), (0.6275936395620343, 1), (0.9719467719962183, 1), (0.6275936395621691, 1), (0.5967164385577515, 1), (0.7748373569114898, 1), (0.9568009528243395, 1), (0.7759612696298868, 1), (0.7805239295845947, 1), (0.9719467719962189, 1), (0.8171622559476743, 1), (0.5940483562053456, 1), (0.8118865421784708, 1), (0.5940483562053411, 1)]",5-6-Dimethylbenzimidazole
sucglu_c,9.420530541105084,0.007790761886995288,"[(0.020034755633945772, 1), (0.053711812392779834, 1), (0.15727809231955728, 1), (0.020034755633939444, 1), (0.020034755633939527, 1), (0.02837245418526585, 1), (0.05371181239277961, 1), (0.15727809231955567, 1), (0.05371181239278372, 1), (0.07312193762576849, 1), (0.1572780923195575, 1), (0.020034755633938944, 1), (0.07716524314860687, 1), (0.028372454185266904, 1), (0.10744798310141204, 1), (0.02837245418526474, 1), (0.02003475563393975, 1)]",N2-Succinyl-L-glutamate
din_c,9.348042126456233,0.007981137125005169,"[(0.1285395530134894, 1), (0.4139063724827311, 1), (0.7455612720199184, 1), (0.12853955301489228, 1), (0.05628598921299277, 1), (0.19176142134159269, 1), (0.5461351361706727, 1), (0.6139055807053871, 1), (0.5461351361706764, 1), (0.4844729061942227, 1), (0.8957227659798565, 1), (0.1285395530148874, 1), (0.6295719570547876, 1), (0.1917614213415576, 1), (0.5629658361287887, 1), (0.1917614213415536, 1), (0.056285989212984666, 1)]",Deoxyinosine
hxan_c,9.16720795527454,0.008479734939649005,"[(0.1624686878980942, 1), (0.4671288825682709, 1), (0.7755345482059839, 1), (0.1624686878993319, 1), (0.098726705806925, 1), (0.21824292223021602, 1), (0.5837808931210882, 1), (0.6593881012135152, 1), (0.5837808931210864, 1), (0.5293825693274954, 1), (0.908006785633694, 1), (0.16246868789932756, 1), (0.6573887272927617, 1), (0.2182429222301906, 1), (0.5986289105597067, 1), (0.21824292223018704, 1), (0.09872670580691767, 1)]",Hypoxanthine
gln__L_c,9.161944209672324,0.00849477371839344,"[(0.158241973107478, 1), (0.3469499171465211, 1), (0.8084705435870494, 1), (0.15824197310880528, 1), (0.1582419731088115, 1), (0.29095249165018866, 1), (0.346949917146532, 1), (0.8084705435870678, 1), (0.34694991714658996, 1), (0.4241872917279661, 1), (0.8084705435870805, 1), (0.15824197310880395, 1), (0.44027653893611296, 1), (0.29095249165019577, 1), (0.5607785604847113, 1), (0.29095249165018555, 1), (0.15824197310880594, 1)]",L-Glutamine
co1dam_c,9.134734907755528,0.008573000877611595,"[(0.6256479624571207, 2), (0.6114363451298575, 2), (0.6192684196223338, 1), (0.6289495136985832, 1), (0.6188768158977126, 1), (0.6289495136985819, 1), (0.6256479624571208, 1), (0.6266760976025586, 1), (0.6289495136985833, 1), (0.6192684196223394, 1), (0.6267110184344993, 1), (0.6188768158977155, 1), (0.6268051908137332, 1), (0.6188768158977154, 1), (0.6192684196223395, 1)]",Cob-I-yrinate-a-c-diamide
glu5p_c,9.080271049233117,0.008732077819574647,"[(0.8766841899290385, 2), (0.2486678806188779, 1), (0.5477249327719598, 1), (0.2486678806188628, 1), (0.24866788061886191, 1), (0.2700292228966479, 1), (0.5477249327719582, 1), (0.8766841899290365, 1), (0.5477249327719658, 1), (0.5974540428140662, 1), (0.24866788061886225, 1), (0.6078130684702934, 1), (0.2700292228966641, 1), (0.6853980242298876, 1), (0.27002922289665954, 1), (0.24866788061886258, 1)]",L-Glutamate-5-phosphate
glu__D_c,9.05749377106148,0.00879960620498134,"[(0.07258886727862246, 1), (0.18248180182695561, 1), (0.7333352593027731, 1), (0.0725888672785876, 1), (0.07258886727858815, 1), (0.11878178281939589, 1), (0.1824818018269566, 1), (0.7333352593027649, 1), (0.18248180182702356, 1), (0.2900187042472664, 1), (0.7333352593027751, 1), (0.07258886727858649, 1), (0.31241961852503697, 1), (0.11878178281940144, 1), (0.48019350005516737, 1), (0.11878178281938945, 1), (0.07258886727858971, 1)]",D-Glutamate
glu__L_c,9.057493771061475,0.008799606204981365,"[(0.07258886727845903, 1), (0.1824818018268115, 1), (0.7333352593027261, 1), (0.07258886727842428, 1), (0.07258886727842473, 1), (0.11878178281924057, 1), (0.1824818018268125, 1), (0.7333352593027175, 1), (0.18248180182687945, 1), (0.29001870424714105, 1), (0.7333352593027279, 1), (0.07258886727842317, 1), (0.3124196185249156, 1), (0.11878178281924623, 1), (0.4801935000550758, 1), (0.11878178281923413, 1), (0.07258886727842628, 1)]",L-Glutamate
