,F_value,pvalue,value_counts,subsystem,name,genes,reaction,alleles_sim
ACCC,inf,0.0,"[(0.9999998411141375, 3), (0.9999998411150737, 1), (0.9999998411139888, 1), (0.9999998411156186, 1), (0.9999998411141233, 1), (0.9999998411134088, 1), (0.9999998411135615, 1), (0.9999998411141238, 1), (0.999999841114122, 1), (0.9999998411141731, 1), (0.9999998411144009, 1), (0.9999998403722137, 1), (0.9999998411142699, 1), (0.9999998411141726, 1), (0.9999998411133297, 1)]",Fatty Acid Metabolism,Acyl-CoA Carboxylase,"['Rv3280', 'Rv3799c', 'Rv3285']",co2_c + hexccoa_c --> chexccoa_c + h2o_c,['Rv3280']
ACChex,inf,0.0,"[(0.9999998411150739, 1), (0.999999841113989, 1), (0.9999998411156188, 1), (0.9999998405911539, 1), (0.9999998411134086, 1), (0.9999998414032105, 1), (0.9999998405911676, 1), (0.9999998411141235, 1), (0.9999998414037701, 1), (0.9999998414038216, 1), (0.9999998411144015, 1), (0.9999998411141373, 1), (0.9999998411141378, 1), (0.9999998406618613, 1), (0.9999998405912986, 1), (0.9999998406715638, 1), (0.99999984111333, 1)]",Fatty Acid Metabolism,ACChex,['Rv3280'],coa_c + 2.0 h_c + hexc_c --> h2o_c + hexccoa_c,['Rv3280']
ASPCT,inf,0.0,"[(0.9999998407670343, 1), (0.9999998407659489, 1), (0.9999998407675015, 1), (0.9999998407660702, 1), (0.9999998407651589, 1), (0.9999998407658588, 1), (0.9999998407660973, 1), (0.9999998407660853, 1), (0.9999998407660804, 1), (0.999999840766135, 1), (0.9999998407663624, 1), (0.9999998407660982, 1), (0.9999998407672746, 1), (0.999999840026186, 1), (0.9999998416440692, 1), (0.9999998407679318, 1), (0.9999998407653037, 1)]",Purine and Pyrimidine Biosynthesis,aspartate carbamoyltransferase,['Rv1380'],asp__L_c + cbp_c --> cbasp_c + h_c + pi_c,
CDPMEK,inf,0.0,"[(0.9999998229259086, 2), (0.9999998229258718, 2), (0.9999998229267932, 1), (0.9999998229257265, 1), (0.9999998229273284, 1), (0.999999822925858, 1), (0.999999822924051, 1), (0.9999998229228941, 1), (0.9999998229258722, 1), (0.9999998229303713, 1), (0.9999998229258558, 1), (0.9999998229261311, 1), (0.9999998221891833, 1), (0.9999998229268359, 1), (0.9999998229250724, 1)]",Polyprenyl Metabolism,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,['Rv1011'],4c2me_c + atp_c --> 2p4c2me_c + adp_c + h_c,
CIGAMS,inf,0.0,"[(0.9999998411141378, 3), (0.9999998411141231, 2), (0.9999998411141728, 2), (0.9999998411150739, 1), (0.9999998411139885, 1), (0.9999998411156188, 1), (0.9999998410842088, 1), (0.9999998411135622, 1), (0.9999998411141218, 1), (0.9999998411144015, 1), (0.9999998403724701, 1), (0.9999998411151179, 1), (0.9999998411133295, 1)]",Redox Metabolism,cys-1D-myo-inositol 2-deoxy-D-glucopyranoside synthase,['Rv2130c'],atp_c + cys__L_c + igam_c --> amp_c + cigam_c + 2.0 h_c + ppi_c,['Rv2130c']
CO2t,inf,0.0,"[(0.9999999999360671, 17)]",Transport,CO2 transporter via diffusion,[],co2_e <=> co2_c,
DHDPS,inf,0.0,"[(0.9999998411141366, 3), (0.9999998411141238, 2), (0.9999998411141726, 2), (0.9999998411150728, 1), (0.9999998411139888, 1), (0.9999998411153281, 1), (0.9999998411132884, 1), (0.9999998411135647, 1), (0.9999998411141211, 1), (0.9999998411144018, 1), (0.9999998403724695, 1), (0.9999998444696179, 1), (0.9999998411133284, 1)]",Threonine and Lysine Metabolism,dihydrodipicolinate synthase,['Rv2753c'],aspsa_c + pyr_c --> 23dhdp_c + 2.0 h2o_c + h_c,
DMATT,inf,0.0,"[(0.9999997708871462, 2), (0.9999997708880686, 1), (0.9999997708870005, 1), (0.999999770888605, 1), (0.9999997708871324, 1), (0.9999997708850941, 1), (0.9999997708843893, 1), (0.9999997708927666, 1), (0.9999997708871307, 1), (0.9999997708871826, 1), (0.9999997708874064, 1), (0.9999997708871458, 1), (0.9999997701454786, 1), (0.9999997708881116, 1), (0.9999997708871822, 1), (0.9999997708863388, 1)]",Cofactor and Prosthetic Group Biosynthesis,dimethylallyltranstransferase,"['Rv3383c', 'Rv2173', 'Rv3398c']",dmpp_c + ipdp_c --> grdp_c + ppi_c,
DPR,inf,0.0,"[(0.999999841113445, 1), (0.9999998411207232, 1), (0.9999998411292443, 1), (0.9999998474182838, 1), (0.999999841124724, 1), (0.9999998372107326, 1), (0.9999998474225338, 1), (0.9999998411103719, 1), (0.9999998371884073, 1), (0.9999998371591157, 1), (0.9999998411468325, 1), (0.9999998411089113, 1), (0.9999998410900752, 1), (0.9999998718696386, 1), (0.9999998474324796, 1), (0.9999998472815768, 1), (0.9999998411518516, 1)]",Pantothenate and CoA Metabolism,2-dehydropantoate 2-reductase,['Rv2573'],2dhp_c + h_c + nadph_c --> nadp_c + pant__R_c,
EX_pac,inf,0.0,"[(4.5460097054589363e-13, 17)]",Exchange,,[],pac_e --> ,
