,F_value,pvalue,value_counts,subsystem,name,genes,reaction,alleles_sim
ASPO6,55.468336532551355,6.777124298542415e-12,"[(0.0, 6), (0.999999999983806, 4), (0.9999999999844049, 3), (0.006205268107465139, 3), (0.00620526807056949, 2), (0.9999999999839656, 2), (0.9999999999844247, 2), (0.9999999999844222, 2), (0.006205268108104113, 2), (0.9999999999844216, 2), (0.00620526810761889, 1), (0.9999999999838713, 1), (0.0062052681073209125, 1), (0.006205268107764617, 1), (0.999999999983702, 1), (0.9975354008917895, 1), (0.006205268108276097, 1), (0.006205268106430528, 1), (0.9999999999848832, 1), (0.00620526810809862, 1), (0.006205268107624948, 1), (0.006205268107642358, 1), (0.0062052681069538025, 1), (0.006205268107394684, 1), (0.00620526810806878, 1), (0.006205268108074163, 1), (0.006205268083058748, 1), (0.9999999999844309, 1), (0.006205268123127053, 1), (0.9999999999852432, 1), (0.9999999999838156, 1), (0.006205268120317127, 1), (0.006205268108090634, 1), (0.006205268107317639, 1), (0.999999999982836, 1), (0.5050123265076507, 1), (0.0062052681094252205, 1), (0.0062052681064739875, 1), (0.9999999999837866, 1), (0.0062052680943621, 1), (0.006205268107464952, 1), (0.9999999999840447, 1), (0.006205268108112539, 1), (0.9999999999812712, 1), (0.00620526810645698, 1), (0.9999999999832633, 1), (0.006205268107308701, 1), (0.9999999999841112, 1), (0.9999999998238845, 1), (0.7358533743071691, 1), (0.006205268106948101, 1), (0.9999999999849717, 1), (0.006205268106454625, 1), (0.006205268108084154, 1), (0.9999999999842564, 1), (0.999999999984443, 1), (0.9999999999832531, 1), (0.7358533743072918, 1), (0.9999999999844111, 1), (0.9999999999844201, 1), (0.0062052681058438865, 1), (0.006205268107944387, 1), (0.0037406690032989044, 1), (0.999999999984172, 1), (0.998767700438519, 1), (0.0062052681076249505, 1), (0.9999999999848768, 1), (0.006205268119259998, 1), (0.9999999999848753, 1), (0.006205268095327345, 1), (0.9999999999843642, 1), (0.9999999999844338, 1), (0.006205268108065739, 1), (0.9999999999844263, 1), (0.9999999999833551, 1), (0.006205268094409484, 1), (0.9999999999844311, 1), (0.006205268101236076, 1), (0.9999999999849478, 1), (0.006205268107317619, 1), (0.9987677004380353, 1), (0.9999999999843063, 1), (0.9999999999827976, 1), (0.006205268108072131, 1), (0.9999999999836623, 1), (0.9975354008916957, 1), (0.999999999984116, 1), (0.9999999999849009, 1), (0.9999999999852301, 1), (0.9999999999835368, 1), (0.9975354008916913, 1), (0.006205268108052235, 1), (0.0062052681074651365, 1), (0.9999999999999999, 1), (0.9999999999841899, 1), (0.0062052681071405325, 1), (0.7358533743072831, 1), (0.9999999999847263, 1), (0.006205268094281733, 1), (0.9999999999836654, 1), (0.006205268107318119, 1), (0.9999999999838781, 1), (0.9999999999844212, 1), (0.006205268107465142, 1), (0.9999999999833676, 1), (0.006205268108056864, 1), (0.006205268106908524, 1), (0.006205268108092826, 1), (0.9999999999844372, 1), (0.006205268106461974, 1), (0.999999999984936, 1), (0.9999999999834024, 1), (0.9999999999844215, 1), (0.006205268011275841, 1), (0.00620526810805109, 1), (0.9999999999843936, 1), (0.006205268120362197, 1), (0.9999999999843844, 1), (0.9999999999836591, 1), (0.9999999999848806, 1), (0.9999999999841144, 1), (0.006205268088474565, 1), (0.999999999984413, 1), (0.006205268108084147, 1), (0.9999999999843644, 1), (0.9987677004385374, 1), (0.006205268107624946, 1), (0.006205268106466963, 1), (0.0062052681082853355, 1), (0.006205268107314619, 1), (0.9999999999826904, 1), (0.9999999999840987, 1), (0.9999999999841113, 1), (0.9999999999844121, 1), (0.006205268108064689, 1)]","Alanine, Aspartate, and Glutamate Metabolism",L-aspartate oxidase,['Rv1595'],asp__L_c + o2_c --> h2o2_c + h_c + iasp_c,
DM_ncam_c,49.52443786700417,6.401301197712183e-11,"[(1.0, 82), (0.0, 70), (0.5019216166076963, 1)]",Intracellular demand,ncam_c Demand reaction,[],ncam_c --> ,
NAPRTr,49.52443786695963,6.401301197821628e-11,"[(7.66053886991358e-15, 78), (0.9999999999869422, 54), (0.9999999999999999, 9), (0.9999999999738846, 3), (0.9999999999869518, 1), (0.9999999999706991, 1), (0.4980783833858037, 1), (0.9999999999869583, 1), (0.0, 1), (1.0436096431476471e-14, 1), (3.83026943495679e-14, 1), (2.7755575615628914e-14, 1), (0.9999999999869418, 1)]",Pantothenate and CoA Metabolism,,"['Rv1330c', 'Rv0573c']",h_c + nac_c + prpp_c <=> nicrnt_c + ppi_c,
NNAM,49.524437866958955,6.401301197823298e-11,"[(0.0, 82), (0.9999999999864302, 56), (1.0, 8), (0.9999999999728604, 3), (0.9999999999862152, 1), (0.4980783833855449, 1), (0.9999999999843099, 1), (0.9999999999864297, 1)]",Pantothenate and CoA Metabolism,Nicotinamidase,['Rv2043c'],h2o_c + ncam_c <=> nac_c + nh4_c,['Rv2043c']
QULNS,49.476021808467564,6.521361901954673e-11,"[(0.9999999999967686, 4), (0.9999999999973701, 3), (0.0024738529322852047, 2), (0.9999999999969291, 2), (0.9999999999973899, 2), (0.9999999999973874, 2), (0.002473852969319387, 2), (0.999999999997387, 2), (0.0024738529694797932, 2), (0.002473852969319386, 2), (0.0024738529694737156, 1), (0.9999999999968348, 1), (0.0024738529691711825, 1), (0.0024738529696199875, 1), (0.9999999999966644, 1), (0.9975261470396448, 1), (0.0024738529759627723, 1), (0.002473852968280892, 1), (0.9999999999978457, 1), (0.002473852969879157, 1), (0.002473852969479794, 1), (0.0024738529694972697, 1), (0.00247385296880613, 1), (0.0024738529692486665, 1), (0.0024738529699252945, 1), (0.002473852969930698, 1), (0.002473852945307741, 1), (0.9999999999973961, 1), (0.002473852985040105, 1), (0.9999999999982117, 1), (0.9999999999967786, 1), (0.0024738529822196293, 1), (0.00247385296994723, 1), (0.0024738529691710654, 1), (0.9999999999957951, 1), (0.5031537892941664, 1), (0.002473852971287276, 1), (0.0024738529683245134, 1), (0.9999999999967584, 1), (0.0024738529561638433, 1), (0.9999999999970086, 1), (0.002473852969969217, 1), (0.9999999999321068, 1), (0.002473852968307443, 1), (0.002473852969139941, 1), (0.9999999999962241, 1), (0.0024738529691623614, 1), (0.9999999999970852, 1), (0.999999999836247, 1), (0.9999999999964968, 1), (0.002473852968800407, 1), (0.999999999997939, 1), (0.0024738529683050784, 1), (0.0024738529699407257, 1), (0.0024738529683174634, 1), (0.9999999999971607, 1), (0.9999999999974083, 1), (0.9999999999962139, 1), (0.9999999999961042, 1), (0.9999999999973763, 1), (0.9999999999973617, 1), (0.0024738529676920453, 1), (0.0024738529698004334, 1), (0.0, 1), (0.9999999999971363, 1), (0.9987630735189312, 1), (0.0024738529694797967, 1), (0.9999999999978437, 1), (0.0024738529811859805, 1), (0.9999999999978426, 1), (0.002473852957136019, 1), (0.9999999999973292, 1), (0.999999999997399, 1), (0.0024738529699222423, 1), (0.9999999999973916, 1), (0.9999999999963165, 1), (0.0024738529562147124, 1), (0.9999999999973963, 1), (0.0024738529718638653, 1), (0.0024738529630669343, 1), (0.9999999999979152, 1), (0.0024738529690463457, 1), (0.9987630735184452, 1), (0.9999999999972713, 1), (0.9999999999957567, 1), (0.002473852969928658, 1), (0.9999999999966249, 1), (0.002473852969960759, 1), (0.9975261470394718, 1), (0.9999999999970075, 1), (0.9999999999978679, 1), (0.9999999999981983, 1), (0.999999999996718, 1), (0.9975261470394197, 1), (0.002473852969908687, 1), (0.0024738529693193825, 1), (0.0024738529699223923, 1), (0.9999999999999998, 1), (0.9999999999971545, 1), (0.0024738529689935624, 1), (0.9999999999966078, 1), (0.999999999997693, 1), (0.0024738529559914075, 1), (0.9999999999966278, 1), (0.002473852969171814, 1), (0.9999999999968414, 1), (0.9999999999969882, 1), (0.9999999999973865, 1), (0.0024738529693193894, 1), (0.9999999999963143, 1), (0.0024738529699133336, 1), (0.0024738529690407564, 1), (0.0024738529699494306, 1), (0.9999999999974025, 1), (0.0024738529683124544, 1), (0.9999999999979035, 1), (0.999999999996364, 1), (0.9999999999973868, 1), (0.0024738528727689265, 1), (0.002473852969907537, 1), (0.9999999999973592, 1), (0.0024738529822648197, 1), (0.9999999999973497, 1), (0.00247385296996076, 1), (0.9999999999966214, 1), (0.9999999999978479, 1), (0.9999999999970786, 1), (0.002473852950257508, 1), (0.9999999999973781, 1), (0.002473852969940719, 1), (0.9999999999973297, 1), (0.9987630735189568, 1), (0.0024738529683174626, 1), (0.0024738529701426614, 1), (0.002473852969168301, 1), (0.9999999999956493, 1), (0.9999999999970768, 1), (0.9999999999970757, 1), (0.9999999999973774, 1), (0.0024738529699211875, 1)]",Pantothenate and CoA Metabolism,quinolinate synthase,['Rv1594'],dhap_c + iasp_c --> 2.0 h2o_c + pi_c + quln_c,
NNDPR,49.476021808462725,6.521361901966804e-11,"[(0.9999999999967686, 4), (0.002473852969319386, 4), (0.9999999999973699, 3), (0.9999999999973868, 3), (0.002473852932285204, 2), (0.9999999999969291, 2), (0.9999999999973899, 2), (0.9999999999973961, 2), (0.9999999999973874, 2), (0.0024738529694797932, 2), (0.0024738529694737148, 1), (0.9999999999968345, 1), (0.0024738529691711816, 1), (0.0024738529696199875, 1), (0.9999999999966644, 1), (0.9975261470396448, 1), (0.002473852975955758, 1), (0.002473852968280891, 1), (0.9999999999978455, 1), (0.002473852969879157, 1), (0.002473852969479794, 1), (0.002473852969497269, 1), (0.002473852968806128, 1), (0.0024738529692486656, 1), (0.0024738529699252954, 1), (0.0024738529699306973, 1), (0.002473852945307741, 1), (0.002473852985040105, 1), (0.9999999999982117, 1), (0.9999999999967784, 1), (0.0024738529822196293, 1), (0.002473852969947229, 1), (0.0024738529691710654, 1), (0.9999999999957951, 1), (0.5031537892941663, 1), (0.002473852971287239, 1), (0.0024738529683245125, 1), (0.999999999996787, 1), (0.0024738529561638425, 1), (0.9999999999970084, 1), (0.002473852969969216, 1), (0.9999999999321065, 1), (0.002473852968307443, 1), (0.00247385296913994, 1), (0.9999999999962241, 1), (0.0024738529691623605, 1), (0.9999999999970852, 1), (0.9999999998362468, 1), (0.9999999999964968, 1), (0.002473852968800374, 1), (0.999999999997939, 1), (0.0024738529683050784, 1), (0.002473852969940725, 1), (0.0024738529683174626, 1), (0.9999999999971609, 1), (0.9999999999974083, 1), (0.9999999999962139, 1), (0.9999999999961042, 1), (0.9999999999973763, 1), (0.9999999999973617, 1), (0.0024738529676920453, 1), (0.0024738529698004334, 1), (0.0, 1), (0.9999999999971363, 1), (0.998763073518931, 1), (0.0024738529694797967, 1), (0.9999999999978437, 1), (0.0024738529811859805, 1), (0.9999999999978426, 1), (0.002473852957136018, 1), (0.9999999999973292, 1), (0.999999999997399, 1), (0.0024738529699222414, 1), (0.9999999999973916, 1), (0.9999999999963163, 1), (0.0024738529562147115, 1), (0.0024738529718638653, 1), (0.0024738529630669325, 1), (0.999999999997915, 1), (0.0024738529690463465, 1), (0.9987630735184452, 1), (0.9999999999972711, 1), (0.9999999999957567, 1), (0.0024738529699286573, 1), (0.9999999999966249, 1), (0.0024738529699607583, 1), (0.9975261470394716, 1), (0.9999999999970075, 1), (0.9999999999978679, 1), (0.9999999999981983, 1), (0.999999999996718, 1), (0.9975261470394194, 1), (0.002473852969908687, 1), (0.0024738529693193833, 1), (0.0024738529699223914, 1), (0.9999999999999998, 1), (0.9999999999971543, 1), (0.0024738529689935615, 1), (0.9999999999966078, 1), (0.9999999999976925, 1), (0.0024738529559914083, 1), (0.9999999999966278, 1), (0.002473852969171813, 1), (0.9999999999968414, 1), (0.9999999999969882, 1), (0.9999999999973865, 1), (0.0024738529693193903, 1), (0.999999999996356, 1), (0.0024738529699133327, 1), (0.0024738529690407555, 1), (0.0024738529699494297, 1), (0.9999999999974023, 1), (0.0024738529683124544, 1), (0.9999999999979035, 1), (0.9999999999963638, 1), (0.0024738528727689256, 1), (0.002473852969907536, 1), (0.999999999997359, 1), (0.002473852982264715, 1), (0.9999999999973495, 1), (0.002473852969960759, 1), (0.9999999999966214, 1), (0.9999999999978477, 1), (0.9999999999970786, 1), (0.002473852956123843, 1), (0.9999999999973779, 1), (0.002473852969940719, 1), (0.9999999999973295, 1), (0.9987630735189568, 1), (0.0024738529683174617, 1), (0.0024738529701426614, 1), (0.0024738529691682993, 1), (0.9999999999956493, 1), (0.9999999999970768, 1), (0.9999999999970757, 1), (0.9999999999973774, 1), (0.0024738529699211875, 1)]",Pantothenate and CoA Metabolism,nicotinate-nucleotide diphosphorylase (carboxylating),['Rv1596'],2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c,
ASPTA,46.69128654311875,1.9145420223636288e-10,"[(0.8769341346839087, 1), (7.037659344177882e-11, 1), (0.8769341347167551, 1), (0.8769341347229632, 1), (7.129852264142755e-11, 1), (0.12306586536573794, 1), (0.8769341347099356, 1), (0.8769341346961632, 1), (0.8769341347158826, 1), (8.841949394877702e-11, 1), (4.0255354605278626e-11, 1), (7.724310080448049e-11, 1), (0.8769341347041502, 1), (0.8769341347146168, 1), (4.272604492427945e-11, 1), (0.8769341346842119, 1), (0.8769341347152009, 1), (0.8769341346864417, 1), (0.8769341346832016, 1), (0.8769341347125943, 1), (0.8769341352396015, 1), (4.15076861770558e-11, 1), (0.8769341347017721, 1), (6.735834112703287e-11, 1), (7.09636793772006e-11, 1), (0.8769341347022067, 1), (0.8769341346834932, 1), (0.8769341347139924, 1), (9.127965050481635e-11, 1), (0.4367819361845363, 1), (0.8769341347126628, 1), (0.8769341347160902, 1), (7.093237108790618e-11, 1), (6.958256193456691e-11, 1), (0.8769341347417258, 1), (0.8769341346853423, 1), (9.470890738327853e-11, 1), (0.8769341347191371, 1), (1.0539524808450551e-10, 1), (0.8769341347156758, 1), (0.8769341347113737, 1), (7.32185423402143e-11, 1), (0.8769341346858248, 1), (9.801004452469897e-11, 1), (8.086708191967773e-09, 1), (7.189737694091036e-11, 1), (0.8769341347149122, 1), (8.652523142416157e-11, 1), (0.8769341347163748, 1), (0.8769341347114705, 1), (0.8769341347439503, 1), (8.719469590801054e-11, 1), (6.974687494221143e-11, 1), (8.722489397428035e-11, 1), (9.022915747891602e-11, 1), (0.0, 1), (7.086464748340404e-11, 1), (6.950040543074465e-11, 1), (8.673350926358125e-11, 1), (0.8769341347178552, 1), (0.8769341348257378, 1), (0.8769341347122942, 1), (1.0, 1), (8.766498638124176e-11, 1), (0.06153293270989302, 1), (0.8769341347303253, 1), (6.841727184792035e-11, 1), (5.020783788722838e-11, 1), (0.8769341346851869, 1), (4.043942958276148e-11, 1), (0.8769341347389503, 1), (6.971156985002835e-11, 1), (7.65920660228403e-11, 1), (0.8769341346837671, 1), (7.684120006956618e-11, 1), (8.655320904438213e-11, 1), (0.8769341347247674, 1), (4.136779807595303e-11, 1), (0.8769341347281904, 1), (0.8769341347754873, 1), (6.910383376634854e-11, 1), (0.8769341347443707, 1), (0.06153293272828275, 1), (6.947264985512902e-11, 1), (7.032907589632487e-11, 1), (7.377431998634165e-11, 1), (0.8769341347117545, 1), (7.139466795536009e-11, 1), (0.8769341347293869, 1), (8.435230292036522e-11, 1), (0.12306586536473207, 1), (6.979550271069002e-11, 1), (8.573630694286294e-11, 1), (6.733125168523202e-11, 1), (2.3579649344185327e-10, 1), (0.12306586537121822, 1), (0.8769341346844743, 1), (0.8769341347133002, 1), (0.8769341346955799, 1), (0.8769341347396431, 1), (6.939071539591168e-11, 1), (1.0463785393710623e-10, 1), (7.050471317882057e-11, 1), (0.8769341347221469, 1), (7.237255239544993e-11, 1), (6.87716550373807e-11, 1), (0.8769341353292599, 1), (7.151190750676051e-11, 1), (0.876934134713829, 1), (7.118439171449609e-11, 1), (7.078049257813745e-11, 1), (8.710498988762083e-11, 1), (0.8769341347210315, 1), (7.590661432743673e-11, 1), (0.8769341347118388, 1), (0.8769341347200763, 1), (0.8769341347117261, 1), (6.978573274807331e-11, 1), (0.876934134723107, 1), (6.84434731113015e-11, 1), (1.0516076898170468e-10, 1), (7.014455682963217e-11, 1), (6.97235602586943e-11, 1), (0.876934134862028, 1), (0.876934134682622, 1), (6.975042765589023e-11, 1), (9.73858771402547e-11, 1), (7.074740793200363e-11, 1), (4.3121284321046005e-11, 1), (0.8769341347024096, 1), (8.65574278918757e-11, 1), (0.8769341346844494, 1), (4.304423484313702e-11, 1), (4.0174086279876065e-11, 1), (7.028155835087091e-11, 1), (6.979372635385062e-11, 1), (0.8769341347839841, 1), (6.979239408622107e-11, 1), (0.8769341347118444, 1), (4.15005807496982e-11, 1), (0.06153293270743121, 1), (0.8769341346856052, 1), (0.8769341347138346, 1), (0.87693413473351, 1), (0.8769341347130128, 1), (0.8769341347119863, 1), (0.8769341347300068, 1), (8.172218457502822e-11, 1), (8.852185651164746e-11, 1), (7.032330273659682e-11, 1), (0.87693413471335, 1), (7.25230986375891e-11, 1), (0.8769341347118427, 1)]","Alanine, Aspartate, and Glutamate Metabolism",aspartate transaminase,['Rv0337c'],akg_c + asp__L_c <=> glu__L_c + oaa_c,
TMDS3,12.582841223141342,0.0005189505640968082,"[(0.9997866070921295, 32), (0.9997866070921158, 13), (0.9997866070921619, 11), (0.9999999999998772, 7), (0.9997866070921624, 7), (0.9997866070921633, 4), (0.9999999999999096, 3), (0.9999999999991267, 3), (0.9999999999998643, 3), (0.9999999999999101, 3), (0.9997866070922512, 2), (0.9999999999991369, 2), (0.49989330354678096, 2), (0.9997866070921517, 1), (0.9999999999736808, 1), (0.9999999999992168, 1), (2.4424906541753444e-14, 1), (0.9999999999679836, 1), (0.999786607091367, 1), (0.9997866070577188, 1), (0.9999999999988509, 1), (0.9999999999991271, 1), (0.9997866070868084, 1), (0.99978660709205, 1), (0.9997866072913346, 1), (1.0000000000000002, 1), (0.9999999999991449, 1), (0.9997866070919506, 1), (0.9997866070896924, 1), (0.9997866070923613, 1), (0.9997866070482104, 1), (0.9999999999929619, 1), (0.9997866070884498, 1), (0.9997866070949832, 1), (0.9997865419573062, 1), (0.999786607087944, 1), (0.9999999999992275, 1), (0.9997866070922605, 1), (0.9997866070921126, 1), (2.4646951146678475e-14, 1), (0.9997866071000951, 1), (0.999786607091212, 1), (0.9997866069692549, 1), (0.999786607117439, 1), (0.9999999999990623, 1), (0.9997866070938006, 1), (0.9999999999920417, 1), (0.9997866070452315, 1), (0.4998933035468782, 1), (0.0, 1), (0.9997866070929795, 1), (0.9997866071334818, 1), (4.22128998422977e-12, 1), (0.9997866070921082, 1), (0.9997866069430892, 1), (0.9997866070320052, 1), (0.999786607081899, 1), (0.9997866070342589, 1), (0.9997866070922197, 1), (0.9997866070921584, 1), (0.9997866070906232, 1), (0.9997866070983534, 1), (0.999786607043138, 1), (0.9997866068038859, 1), (0.1904338875019942, 1), (0.9997866070921264, 1), (0.19043388750275692, 1), (0.9999999999965159, 1), (0.19043388750273182, 1), (0.9999999999991294, 1), (0.9997866070923778, 1), (0.9999999999991422, 1), (0.9997866070910206, 1), (0.999786607091312, 1)]",Purine and Pyrimidine Biosynthesis,Dihydrofolate Synthase (FAD dependent),['Rv2754c'],dump_c + h_c + mlthf_c + nadph_c --> dtmp_c + nadp_c + thf_c,
DHFS,11.917003477738174,0.0007217276745240716,"[(0.0, 4), (0.9999999996618751, 2), (0.9999999993615114, 2), (0.9999999996730538, 2), (0.9999999996767961, 2), (0.9999999996639664, 2), (0.9999999996624405, 1), (0.9999999996709301, 1), (0.9999999996614795, 1), (0.9999999996577948, 1), (0.9999999996644753, 1), (0.9999999996310713, 1), (0.9999999997333091, 1), (0.9999999996623121, 1), (0.9999999996624147, 1), (0.9999999996230493, 1), (0.9999999996629432, 1), (0.9999999998022269, 1), (0.9999999996602968, 1), (0.9999999996622855, 1), (0.9999999996650704, 1), (0.999999999738107, 1), (0.9999999996623059, 1), (0.9999999996625848, 1), (0.9999999996623739, 1), (0.9999999996027473, 1), (0.9999999997450166, 1), (0.9999999996625728, 1), (0.9999999996637385, 1), (0.9999999996622642, 1), (0.9999999999999998, 1), (0.9999999996631976, 1), (0.9999999996618658, 1), (0.9999999996616105, 1), (0.9999999997300748, 1), (0.9999999996627269, 1), (0.9999999996629116, 1), (0.9999999997320732, 1), (0.9999999996179694, 1), (0.9999999996614222, 1), (0.9999999996634281, 1), (0.9999999996564315, 1), (0.9999999996607467, 1), (0.9999999996613378, 1), (0.9999999345137882, 1), (0.9999999996582953, 1), (0.9999999996616526, 1), (0.9999999996624107, 1), (0.9999999996615088, 1), (0.9999999996631705, 1), (0.99999999920574, 1), (0.9999999996620892, 1), (0.9999999997299807, 1), (0.9999999996633362, 1), (0.9999999996624023, 1), (0.9999999996635067, 1), (0.9999999996612894, 1), (0.999999999664084, 1), (0.9999999995172828, 1), (0.9999999996623974, 1), (0.9999999996636946, 1), (0.9999999994689304, 1), (0.4999999697724282, 1), (0.9999999996012534, 1), (0.9999999996622184, 1), (0.9999999996629623, 1), (0.9999999996620919, 1), (0.9999999996616451, 1), (0.9999999996625515, 1), (0.9999999996592657, 1), (0.9999999996603857, 1), (0.9999999996328943, 1), (0.9999999995193913, 1), (0.9999999996898075, 1), (0.9999999996619298, 1), (0.9999999996645854, 1), (0.9999999996703266, 1), (0.9999999996543429, 1), (0.9999999996120306, 1), (0.4999999696330375, 1), (0.9999999998038775, 1), (0.9999999996663027, 1), (0.9999999996653142, 1), (0.9999999999845965, 1), (0.9999999997299789, 1), (0.9999999998881355, 1), (0.9999999996678597, 1), (0.9999999994797559, 1), (0.9999999996631412, 1), (0.9999999996624054, 1), (0.9999999995629996, 1), (0.9999999996640716, 1), (0.999999999743604, 1), (0.9999999996613818, 1), (0.9999999995895779, 1), (0.9999999997904909, 1), (0.9999999995197053, 1), (0.9999999996590592, 1), (0.9999999996404851, 1), (0.9999999996592395, 1), (0.9999999996626803, 1), (0.9999999995987723, 1), (0.9999999996613622, 1), (0.9999999996622881, 1), (0.99999999966277, 1), (0.9999999996580506, 1), (0.9999999996657525, 1), (0.9999999996621052, 1), (0.9999999997318116, 1), (0.9999999996089837, 1), (0.9999999996613445, 1), (0.9999999996668947, 1), (0.9999999995881705, 1), (0.9999999993208453, 1), (0.9999999996603528, 1), (0.9999999996624547, 1), (0.9999999996621283, 1), (0.9999999996623099, 1), (0.9999999996624156, 1), (0.9999999995722904, 1), (0.9999999998003479, 1), (0.9999999996827695, 1), (0.9999999996604998, 1), (0.9999999995878246, 1), (0.9999999997521567, 1), (0.999999999863691, 1), (0.9999999996625537, 1), (0.9999999996605833, 1), (0.9999999996610722, 1), (0.9999999996625932, 1), (0.9999999996626336, 1), (0.9999999996623548, 1), (0.49999996977331507, 1), (0.9999999996629592, 1), (0.9999999995948212, 1), (0.9999999997432332, 1), (0.9999999996610802, 1), (0.9999999996619493, 1), (0.9999999996621491, 1), (0.999999999589894, 1), (0.9999999996809936, 1), (0.9999999996093065, 1), (0.9999999996099891, 1), (0.999999999662385, 1), (0.999999999662011, 1)]",Folate Metabolism,dihydrofolate synthase,['Rv2447c'],atp_c + dhpt_c + glu__L_c --> adp_c + dhf_c + h_c + pi_c,['Rv2447c']
DNMPPA,11.917003477279644,0.0007217276746886103,"[(0.0, 4), (0.9999999996477593, 2), (0.9999999991763147, 2), (0.999999999648389, 2), (0.9999999995716837, 2), (0.9999999996626803, 2), (0.9999999996498501, 2), (0.9999999996483246, 1), (0.9999999996568139, 1), (0.9999999996473627, 1), (0.999999999643679, 1), (0.9999999996503595, 1), (0.9999999996169551, 1), (0.9999999997191928, 1), (0.9999999996481963, 1), (0.999999999648298, 1), (0.9999999996089335, 1), (0.9999999996488265, 1), (0.9999999997881106, 1), (0.9999999996461806, 1), (0.9999999996481692, 1), (0.9999999996509541, 1), (0.9999999997239908, 1), (0.999999999648469, 1), (0.9999999996482576, 1), (0.9999999995886311, 1), (0.9999999997309004, 1), (0.9999999996484565, 1), (0.9999999996496223, 1), (0.9999999996481483, 1), (0.9999999999858835, 1), (0.9999999996490814, 1), (0.9999999996477495, 1), (0.9999999996474942, 1), (0.9999999997159581, 1), (0.9999999996486106, 1), (0.9999999996487954, 1), (0.9999999997179569, 1), (0.9999999996038531, 1), (0.9999999996473055, 1), (0.9999999996493145, 1), (0.9999999996423152, 1), (0.9999999996466304, 1), (0.9999999996472215, 1), (0.999999934499902, 1), (0.9999999996441795, 1), (0.9999999996475359, 1), (0.9999999996482949, 1), (0.999999999647393, 1), (0.9999999996490547, 1), (0.9999999996479725, 1), (0.9999999997158644, 1), (0.9999999996492199, 1), (0.9999999996482856, 1), (0.9999999996493909, 1), (0.9999999996471731, 1), (0.9999999996499682, 1), (0.9999999996482816, 1), (0.9999999996495783, 1), (0.9999999994548141, 1), (0.4999999697653694, 1), (0.9999999995860984, 1), (0.9999999996481017, 1), (0.9999999996488464, 1), (0.999999999647976, 1), (0.9999999996476172, 1), (0.9999999996484352, 1), (0.9999999996458155, 1), (0.9999999996462703, 1), (0.9999999996190454, 1), (0.9999999995052751, 1), (0.9999999996756912, 1), (0.9999999996478135, 1), (0.9999999996504692, 1), (0.9999999996562099, 1), (0.9999999996405384, 1), (0.9999999995803728, 1), (0.49999996962598003, 1), (0.9999999997899602, 1), (0.999999999652186, 1), (0.9999999996511975, 1), (1.0000000000000002, 1), (0.9999999997158626, 1), (0.9999999998740192, 1), (0.9999999996537434, 1), (0.9999999994656397, 1), (0.9999999996490245, 1), (0.9999999995488833, 1), (0.9999999996499553, 1), (0.9999999997294877, 1), (0.9999999996472655, 1), (0.9999999995754811, 1), (0.9999999997745161, 1), (0.9999999995055886, 1), (0.9999999996450428, 1), (0.9999999996263689, 1), (0.9999999996451236, 1), (0.9999999996485645, 1), (0.999999999584656, 1), (0.9999999996472464, 1), (0.9999999996481714, 1), (0.9999999996486537, 1), (0.9999999996439344, 1), (0.9999999996643483, 1), (0.9999999993081043, 1), (0.9999999996479894, 1), (0.9999999997176958, 1), (0.999999999594867, 1), (0.9999999996472277, 1), (0.999999999652778, 1), (0.9999999995741289, 1), (0.9999999993067294, 1), (0.9999999996462365, 1), (0.9999999996478743, 1), (0.9999999996480124, 1), (0.9999999996481936, 1), (0.9999999996482989, 1), (0.9999999995581741, 1), (0.9999999997862321, 1), (0.9999999996686528, 1), (0.9999999996463835, 1), (0.9999999995737079, 1), (0.999999999737774, 1), (0.9999999998495743, 1), (0.9999999996484374, 1), (0.9999999996464675, 1), (0.9999999997034734, 1), (0.999999999646956, 1), (0.9999999996493003, 1), (0.9999999996487434, 1), (0.9999999996482385, 1), (0.49999996976625627, 1), (0.9999999996488433, 1), (0.9999999995807054, 1), (0.9999999997291169, 1), (0.9999999996469644, 1), (0.9999999996480031, 1), (0.9999999996480333, 1), (0.9999999995757778, 1), (0.9999999996668778, 1), (0.9999999995951903, 1), (0.9999999995958733, 1), (0.9999999996482687, 1), (0.9999999996478948, 1)]",Folate Metabolism,Dihydroneopterin monophosphate dephosphorylase,[],dhpmp_c + h2o_c --> dhnpt_c + pi_c,
