,F_value,pvalue,value_counts,subsystem,name,genes,reaction,alleles_sim
DM_ncam_c,19.74621891491968,1.7017568412598128e-05,"[(2.2165394666231196e-15, 93), (0.38721286345216993, 2), (0.3787857005163224, 2), (0.3863955237488664, 2), (0.37878570051632204, 1), (9.999292625871927e-14, 1), (0.9643368676963705, 1), (0.8323526551228868, 1), (2.330208157219177e-15, 1), (0.0, 1), (0.4884286176519223, 1), (0.8831808027157045, 1), (0.3779683608130187, 1), (0.3787857005163226, 1), (0.48842861765109197, 1), (0.9193989231814262, 1), (2.3728339161926986e-15, 1), (0.619583378590853, 1), (0.6174111058321694, 1), (0.38721286345216926, 1), (0.842288655255128, 1), (1.7050303589408611e-15, 1), (0.4894302384654419, 1), (0.5498208482064816, 1), (2.1028707760270622e-15, 1), (0.6174111058321674, 1), (0.48842861765192075, 1), (0.38639552374886726, 1), (0.4884286176519195, 1), (0.9808193726704764, 1), (0.9808193726687598, 1), (0.7584691585950937, 1), (1.4776929777487464e-15, 1), (0.3783770306646711, 1), (0.48842861765286383, 1), (0.488428617651922, 1), (0.4894302384654432, 1), (1.0, 1), (0.37878570051632354, 1), (0.48943023846544303, 1), (0.9808193726694685, 1), (0.4894302384654038, 1), (0.489430238465443, 1), (0.8428795744518943, 1), (0.37796836081301916, 1), (0.45544188983388584, 1), (0.4884286176519236, 1), (0.3872128634521677, 1), (0.8422886552550546, 1), (0.37837703066467454, 1), (0.377968360813019, 1), (0.5394545899251366, 1), (0.3783770306646707, 1), (0.48842861765192164, 1), (2.500711193113263e-15, 1), (0.7584691585950868, 1), (0.37878570051632265, 1), (0.8054872582410632, 1)]",Intracellular demand,ncam_c Demand reaction,[],ncam_c --> ,
NNAM,19.66294368377507,1.7686014100869672e-05,"[(0.9999999999999998, 48), (0.6462245476687907, 4), (0.9999999999999999, 4), (0.6462245476687909, 3), (0.6469879205280358, 2), (0.6462245476687903, 2), (0.6462245476687906, 2), (0.5438210711075421, 2), (0.24769699927661687, 1), (0.6391171815443574, 1), (0.4961642128972368, 1), (0.08394161461712266, 1), (0.5438210711075409, 1), (0.2916106144041537, 1), (0.09933582206532404, 1), (0.2706208919546914, 1), (0.04623644982181463, 1), (0.6462245476687901, 1), (0.6462245476687898, 1), (0.5438210711075389, 1), (0.6462245476687889, 1), (0.5428855847471004, 1), (0.6469879205280367, 1), (0.543821071107535, 1), (0.24769699927662917, 1), (0.4692101841218158, 1), (0.5438210711075403, 1), (0.64622454766879, 1), (0.2133255041039731, 1), (0.09933582206530814, 1), (0.6469879205280369, 1), (0.21332550410390674, 1), (0.09933582206530939, 1), (0.24769699927661337, 1), (0.5438210711075393, 1), (0.5438210711075413, 1), (0.6469879205280364, 1), (0.29161061440415786, 1), (0.6391171815444003, 1), (0.5649811235039044, 1), (0.5438210711075511, 1), (0.2133255041039696, 1), (0.5438210711075374, 1), (0.0993358220653178, 1), (0.2916106144041603, 1), (0.6469879205280368, 1), (0.6469879205280363, 1), (0.6462245476687904, 1), (0.41397977850298673, 1), (0.141306629373874, 1), (0.5428855847470899, 1), (0.14130662937387736, 1), (0.486482412059954, 1), (0.638353808685153, 1), (0.646224547668794, 1), (0.14130662937387925, 1), (0.09933582206531638, 1), (0.26037580602632726, 1), (0.24769699927661049, 1), (0.5428855847470954, 1), (0.5438210711075334, 1), (0.1413066293740289, 1), (0.5438210711075434, 1), (0.21332550410398213, 1), (0.14130662937388125, 1), (0.6469879205280376, 1), (0.29161061440415004, 1), (0.29161061440415176, 1), (0.5428855847470893, 1), (0.0, 1), (0.2916106143972206, 1), (0.1413066293738771, 1), (0.2916106144041548, 1), (0.6462245476687887, 1), (0.5428855847466069, 1), (0.24636473265346187, 1), (0.5438210711075381, 1), (0.2916106144041556, 1), (0.1413066293738721, 1), (0.21332550410396675, 1), (0.5428855847470901, 1), (0.2127736017859751, 1), (0.5438210711073311, 1), (0.29161061440415437, 1), (0.2133255041039629, 1), (0.41397977850298845, 1), (0.6462245476687912, 1), (0.5438210711075382, 1), (0.14130662937387226, 1), (0.21332550410396633, 1), (0.646224547668403, 1), (0.646987920528036, 1), (0.6462245476687913, 1), (0.09933582206530261, 1)]",Pantothenate and CoA Metabolism,Nicotinamidase,['Rv2043c'],h2o_c + ncam_c <=> nac_c + nh4_c,['Rv2043c']
PRDX,12.827352545982492,0.0004600251700081838,"[(5.5060889154582484e-17, 12), (0.6202287785143085, 3), (0.6202287785143089, 3), (0.6226974581374192, 3), (1.1012177830916497e-16, 2), (0.6226974581374202, 2), (0.6226974581374203, 2), (0.697423016589577, 2), (0.622697458137419, 2), (0.6974230165895786, 2), (0.697423016589579, 2), (0.6974230165895766, 2), (0.6214631183258648, 2), (0.8913351460807825, 2), (0.6226974581374197, 1), (0.9180816783814009, 1), (0.6032599340741157, 1), (0.6226974581374187, 1), (0.9462186017923985, 1), (0.9404861390519244, 1), (0.9113421688338841, 1), (0.8763244450430494, 1), (0.6974230165895777, 1), (0.884269128892775, 1), (0.940486139051918, 1), (0.8842691288927631, 1), (0.6974230165895782, 1), (0.9404861390519174, 1), (0.6226974581374191, 1), (0.6226974581374218, 1), (0.6974230165887415, 1), (0.9999999999999513, 1), (0.681244377005245, 1), (0.6974230165895813, 1), (0.9180816783813953, 1), (0.2712655242037433, 1), (0.8807421002544107, 1), (0.4377052688595751, 1), (0.6974230165895776, 1), (0.8913351460807876, 1), (0.6226974581374198, 1), (0.9180816783814137, 1), (0.9999999999999493, 1), (0.6202287785143102, 1), (0.8913351460807856, 1), (0.6226974581374207, 1), (0.999999999999987, 1), (0.9180816783813996, 1), (0.6812443770052437, 1), (0.2741884625199677, 1), (0.8842691288927552, 1), (0.6032599340740229, 1), (0.5980479367022231, 1), (0.6974230165895862, 1), (0.8913351460807836, 1), (0.43770526885957345, 1), (0.69742301658958, 1), (0.6032599340740242, 1), (0.6974230165895846, 1), (0.6226974581374194, 1), (0.0, 1), (0.8842691288927584, 1), (0.8763244450462614, 1), (0.62022877851431, 1), (0.6202287785143098, 1), (0.6226974581374193, 1), (0.4033311368185737, 1), (0.9999999999999586, 1), (0.6812443770052421, 1), (0.8842691288927551, 1), (0.9999999999999535, 1), (0.2741884625199646, 1), (0.6974230165889975, 1), (0.6057286136971298, 1), (0.6226974581374158, 1), (0.9999999999999495, 1), (0.6226974581374196, 1), (0.6974230165895795, 1), (0.6812443770052445, 1), (0.8710476163875995, 1), (0.9180816783814056, 1), (0.6812443770052352, 1), (0.6974230165895804, 1), (1.0, 1), (0.9999999999999486, 1), (0.6812443770052459, 1), (0.8763244450418683, 1), (0.6974230165895725, 1), (0.8913351460807805, 1), (0.9999999999999548, 1), (0.6812443770057044, 1), (0.884269128892764, 1), (0.6812443770052454, 1), (0.8842691288927673, 1), (0.6812443770052452, 1), (0.7858378844121864, 1), (0.8842691288908094, 1), (0.6202287785143094, 1), (0.9999999999999521, 1), (0.6017790564704988, 1), (0.6032599340740207, 1), (0.6974230165895746, 1), (0.8842691288927593, 1), (0.6057286136971278, 1), (0.6226974581374175, 1), (0.6812443770056082, 1), (0.9180816783814059, 1), (0.8842691288927607, 1), (0.9999999999999504, 1), (0.8913351460807818, 1), (0.6812443770052463, 1), (0.6202287785143096, 1), (2.7530444577291242e-17, 1), (0.6974230165899511, 1), (0.8842691288927624, 1), (0.40333113681857635, 1), (0.697423016589578, 1), (0.9999999999999627, 1), (0.6226974581374172, 1), (0.8913351460807822, 1), (0.6032599340740196, 1), (0.8842691288927572, 1), (0.6226974581374186, 1), (0.6226974581376247, 1), (0.6226974581374182, 1), (0.940486139051905, 1)]",Redox Metabolism,PRDX,[],h2o2_c + meoh_c --> fald_c + 2.0 h2o_c,
DHPPDA,10.608726265917356,0.0013900544240747401,"[(0.9999999999999991, 31), (0.9999999999999992, 30), (0.9999999999999993, 21), (0.9999999999999994, 21), (3.3306690738754696e-16, 14), (2.220446049250313e-16, 14), (0.9999999999999987, 8), (0.9999999999999998, 5), (0.0, 2), (1.6653345369377348e-16, 2), (1.0, 2), (6.661338147750939e-16, 2), (4.440892098500626e-16, 1)]",Riboflavin Metabolism,Diaminohydroxyphosphoribosylaminopyrimidine deaminase,['Rv1409'],25dhpp_c + h2o_c + h_c --> 5apru_c + nh4_c,['Rv1409']
GTPCII,10.608726265917197,0.001390054424074861,"[(1.0238930348822495e-15, 50), (9.81230825095489e-16, 21), (0.9999999999999821, 15), (6.825953565881664e-16, 11), (8.53244195735208e-16, 10), (0.9999999999999818, 8), (9.385686153087286e-16, 7), (1.3651907131763325e-15, 5), (1.194541874029291e-15, 5), (0.9999999999999819, 4), (0.9999999999999815, 3), (0.999999999999981, 2), (0.0, 2), (1.06655524466901e-15, 2), (3.4129767829408323e-16, 2), (0.9999999999999828, 1), (8.959064055219682e-16, 1), (1.7064883914704158e-15, 1), (0.9999999999999825, 1), (7.679197761616871e-16, 1), (0.99999999999998, 1)]",Riboflavin Metabolism,GTP cyclohydrolase II,"['Rv1415', 'Rv1940']",gtp_c + 3.0 h2o_c --> 25dhpp_c + for_c + 2.0 h_c + ppi_c,
NAGINSP,10.11273830146276,0.0017870734421498546,"[(3.220080452281948e-16, 16), (3.219809401738827e-16, 14), (3.220215977553509e-16, 12), (3.22048702809663e-16, 10), (3.221029129182873e-16, 9), (3.217640997393856e-16, 7), (3.2187251995663413e-16, 5), (3.220622553368191e-16, 4), (3.2165567952213703e-16, 3), (3.2207580786397516e-16, 3), (3.2199449270103875e-16, 3), (3.219673876467266e-16, 2), (3.223197533527844e-16, 2), (3.2213001797259944e-16, 2), (3.215472593048885e-16, 2), (0.0014316328052360137, 2), (3.39965143709986e-16, 1), (0.002021893138461148, 1), (0.0016497275940523376, 1), (0.0007197650521368168, 1), (0.965042146562607, 1), (0.0007197650521368271, 1), (0.40348649873195885, 1), (0.403486498731813, 1), (3.2221133313553585e-16, 1), (0.40560598452401864, 1), (0.0015508307713323365, 1), (0.403612616707474, 1), (0.4311878006771429, 1), (5.104288302790194e-16, 1), (3.490453369045521e-16, 1), (0.0007063008644064924, 1), (0.0007197650521368198, 1), (0.403486498731956, 1), (0.405666521900993, 1), (0.4034874045643495, 1), (0.0007063008644064888, 1), (0.4056059845240221, 1), (0.0014655459833628778, 1), (0.4514464334671807, 1), (0.0018851837871022377, 1), (0.9494141996766308, 1), (0.40560598452627844, 1), (4.813722120564079e-16, 1), (0.4448619513174285, 1), (4.0362136376204116e-16, 1), (0.0007607987671245097, 1), (0.4056059845240209, 1), (0.0007197650521368298, 1), (0.0018851837871021345, 1), (3.2208936039113123e-16, 1), (0.0007197650521368234, 1), (0.4217093480739364, 1), (0.41981109480606144, 1), (0.0014316328052360104, 1), (0.9324202669586503, 1), (0.0018798078294014762, 1), (0.10884729998480605, 1), (0.4034864987319592, 1), (0.0014316328052360083, 1), (2.9175880461584924e-16, 1), (3.588167089840777e-16, 1), (0.0007197650521368252, 1), (0.9134668266258195, 1), (0.0017001061085363867, 1), (0.0007797955264094457, 1), (3.221842280812237e-16, 1), (0.43675060813711736, 1), (0.0014655459833628982, 1), (0.41782272474780635, 1), (0.40348649873195863, 1), (0.0007551870483441902, 1), (1.0, 1)]",Inositol phosphate metabolism,MNXR61204,['Rv0486'],h_c + mi3p__D_c + uacgam_c --> iacgam3p_c + udp_c,['Rv0486']
GLYCt,8.854858931225694,0.003405029184966353,"[(0.5, 98), (0.25, 19), (1.0, 16), (0.75, 15), (0.0, 4), (0.625, 1)]",Transport,glycerol transport via channel,[],glyc_c <=> glyc_e,
EX_bmn,8.807103261434074,0.0034901896858143306,"[(9.208166987928194e-17, 112), (1.0807839883373642e-16, 1), (8.355009375672246e-17, 1), (9.155280004047696e-17, 1), (0.9639901560745654, 1), (9.11895030450258e-17, 1), (0.4033880222786726, 1), (0.4033880222785235, 1), (0.405511962277717, 1), (8.068510730305484e-17, 1), (0.4035144052975156, 1), (0.43107479159508466, 1), (1.5820143227842887e-16, 1), (1.1660997495629591e-16, 1), (0.4033880222786698, 1), (0.40338893001471593, 1), (0.4055119622777204, 1), (9.243351032096042e-17, 1), (0.45038940129400346, 1), (0.9493557020608865, 1), (0.4438430600846932, 1), (8.233066335276409e-17, 1), (0.4055119622777193, 1), (9.255916762155987e-17, 1), (9.250508189595329e-17, 1), (9.079996541316747e-17, 1), (9.077538854119122e-17, 1), (0.4206418004701772, 1), (0.41873955792669626, 1), (8.926694634585411e-17, 1), (9.187733811877192e-17, 1), (0.9324420597590901, 1), (0.107655152316868, 1), (0.40338802227867293, 1), (4.5813542622274693e-17, 1), (0.9134487878092703, 1), (0.43661554858635554, 1), (0.41674700920782726, 1), (9.188061819832281e-17, 1), (0.4033880222786725, 1), (9.097588563400672e-17, 1), (0.9999999999999999, 1)]",Exchange,,[],bmn_e --> ,
FAD_11,8.54285063714721,0.004002690502972574,"[(0.36278870076481873, 10), (0.36278870076481884, 8), (0.3627887007648189, 5), (0.36278870076481856, 4), (0.3627887007648187, 3), (0.31750285514684773, 3), (0.3175028551468479, 3), (0.3175028551468478, 3), (0.36278870076481895, 2), (0.36278870076481906, 2), (0.3175028551468496, 2), (0.31750285514684895, 2), (0.362788700764819, 2), (0.3175028551468492, 2), (0.36278870076481823, 2), (0.87176093024028, 1), (0.31750285514684845, 1), (0.3627887007648201, 1), (0.317502855146849, 1), (0.6790958187215074, 1), (0.3627887007648232, 1), (0.9999999999996354, 1), (0.362788700764807, 1), (0.8369733186764169, 1), (0.3627887007648205, 1), (0.31750285514684917, 1), (0.3330168379786465, 1), (0.33301683796683074, 1), (0.999999999999635, 1), (0.010905868841096511, 1), (0.3627887007648179, 1), (0.0, 1), (0.3175028551468486, 1), (0.5730748898305784, 1), (0.3175028551468467, 1), (0.679095818714679, 1), (0.8304006869819194, 1), (0.6709033439666294, 1), (0.6790958187214353, 1), (0.8717609302401235, 1), (0.3627887007648228, 1), (0.010905868840997646, 1), (0.37299372438280154, 1), (0.36278870076481134, 1), (0.4366617302470789, 1), (0.33301683797865533, 1), (0.31750285514684856, 1), (0.36278870076482045, 1), (0.9646330603529134, 1), (0.9346730853668446, 1), (0.36278870076487185, 1), (0.9999999999996267, 1), (0.3175028551468491, 1), (0.3720729646404503, 1), (0.9999999999996241, 1), (0.010905868840980881, 1), (0.5860625903933352, 1), (0.362788700764816, 1), (0.3627887007648188, 1), (0.3627887007648183, 1), (0.999999999999621, 1), (0.31750285514684995, 1), (0.33301683797863324, 1), (0.5109768342301575, 1), (0.36278870076481773, 1), (0.3627887007648139, 1), (0.8717609302401983, 1), (0.3627887007648196, 1), (0.36278870076481057, 1), (0.33301683797867665, 1), (0.9624002647050984, 1), (0.9999999999995988, 1), (0.010905868840988597, 1), (1.0000000000000002, 1), (0.33301683797858844, 1), (0.43666173023877225, 1), (0.3627887007648184, 1), (0.010905868848164135, 1), (0.5860625903933252, 1), (0.01090586884098943, 1), (0.5860625903933546, 1), (0.3627887007648198, 1), (0.3627887007648129, 1), (0.6790958187214431, 1), (0.5860625904102909, 1), (0.31750285514684634, 1), (0.9999999999996323, 1), (0.3175028551468487, 1), (0.33301683797863185, 1), (0.31750285514684884, 1), (0.31750285514684956, 1), (0.3627887007648293, 1), (0.8717609302402103, 1), (0.36278870076482256, 1), (0.9999999999996281, 1), (0.36278870076481634, 1), (0.36278870076481684, 1), (0.31750285514684934, 1), (0.3729937243827667, 1), (0.3708649778551209, 1), (0.49457775788215846, 1), (0.9346730853668679, 1), (0.15920868858981693, 1), (0.010905868840984434, 1), (0.31750285514684695, 1), (0.49457775788418035, 1), (0.9999999999996425, 1), (0.37086497785517003, 1), (0.15920868858980636, 1), (0.37299372438284745, 1), (0.3175028551468483, 1), (0.3627887007648156, 1), (0.4179858132931347, 1), (0.4812305560619394, 1), (0.6790958187215186, 1)]",Fatty Acid Metabolism,,"['Rv3563', 'Rv3274c', 'Rv0752c', 'Rv0215c', 'Rv1467c', 'Rv0154c', 'Rv3139', 'Rv3039c', 'Rv0231', 'Rv0456c', 'Rv0271c', 'Rv1346', 'Rv0243', 'Rv3543c', 'Rv3546', 'Rv1679', 'Rv3140', 'Rv3550', 'Rv0222', 'Rv3141', 'Rv2831', 'Rv3556c', 'Rv2500c', 'Rv0975c', 'Rv3544c', 'Rv1933c', 'Rv2679', 'Rv3573c', 'Rv1912c', 'Rv0971c', 'Rv3560c', 'Rv1070c', 'Rv2724c', 'Rv3774', 'Rv0632c', 'Rv1074c', 'Rv3505', 'Rv0244c', 'Rv0673', 'Rv1715', 'Rv3504', 'Rv1071c', 'Rv0400c', 'Rv0972c', 'Rv1323', 'Rv0468', 'Rv1935c', 'Rv0859', 'Rv0131c', 'Rv3562', 'Rv3797', 'Rv3761c', 'Rv3373', 'Rv0672', 'Rv2486', 'Rv3374', 'Rv1472', 'Rv3516', 'Rv1142c', 'Rv0905', 'Rv3061c', 'Rv1141c', 'Rv1934c', 'Rv0675', 'Rv0873', 'Rv3564', 'Rv2789c']",coa_c + fad_c + nad_c + occoa_c --> accoa_c + fadh2_c + hexcoa_c + nadh_c,"['Rv3139', 'Rv3516']"
TMDK1,8.14146056188969,0.004934021498317472,"[(2.433991910874874e-15, 50), (1.8254939331561557e-15, 19), (2.281867416445194e-15, 14), (2.738240899734233e-15, 13), (2.5861164053045537e-15, 10), (3.0424898885935922e-15, 9), (1.216995955437437e-15, 8), (3.650987866312311e-15, 7), (2.1297429220155148e-15, 5), (6.084979777187183e-16, 3), (0.036376372445429635, 2), (0.8189381471735526, 2), (0.03637637244543056, 1), (0.0, 1), (0.03637637244542979, 1), (0.7442031826596781, 1), (0.9999999999999981, 1), (0.0363763724454307, 1), (1.0, 1), (0.8189381471735551, 1), (0.9999999999999963, 1), (0.7442031826596032, 1), (0.9999999999999996, 1)]",Nucleotide Salvage Pathway,Thymidine kinase (ATP:thymidine),[],atp_c + thymd_c --> adp_c + dtmp_c + h_c,
