,F_value,pvalue,value_counts,subsystem,name,genes,reaction,alleles_sim
TDPDRR,19.401901959187487,1.9959647452640217e-05,"[(0.9999999999999586, 50), (0.9999999999999585, 45), (0.9999999999999584, 18), (0.9999999999999587, 15), (0.9999999999999588, 5), (0.29646943745132825, 2), (0.07909939064285887, 2), (0.15153712253797247, 1), (1.0, 1), (0.999999999999959, 1), (0.9999999999999277, 1), (0.9999999999999589, 1), (0.999999999999657, 1), (0.9999999999999579, 1), (0.0, 1), (0.9999999999999682, 1), (0.4490735128426233, 1), (0.3001225802733133, 1), (0.3160460806170906, 1), (0.3689071693274627, 1), (0.004453705860645862, 1), (0.999999999999955, 1), (0.2315003969664423, 1)]",Arabinogalactan biosynthesis,dTDP-4-dehydrorhamnose reductase,['Rv3266c'],dtdp4d6dm_c + h_c + nadph_c --> dtdprmn_c + nadp_c,['Rv3266c']
DHPPDA,15.924607872227416,0.00010250503193892561,"[(3.3306690738754696e-15, 70), (4.440892098500626e-15, 29), (3.9968028886505635e-15, 24), (2.220446049250313e-15, 13), (2.886579864025407e-15, 5), (0.9999999999992426, 5), (0.99999999999891, 1), (0.9999999999801146, 1), (0.9999999999999999, 1), (0.0, 1), (0.9999999999991084, 1), (0.9999999999992563, 1), (0.9999999999992437, 1)]",Riboflavin Metabolism,Diaminohydroxyphosphoribosylaminopyrimidine deaminase,['Rv1409'],25dhpp_c + h2o_c + h_c --> 5apru_c + nh4_c,['Rv1409']
DCPT,14.272394653970876,0.00022704922758141116,"[(0.9999999999999999, 137), (0.2993918580905639, 2), (0.04088531743947488, 1), (0.9953927547411585, 1), (0.9975343476271077, 1), (0.13545690422553858, 1), (0.014360951750122308, 1), (0.9968517333064798, 1), (0.2466562869264295, 1), (0.295800187398773, 1), (1.0, 1), (0.0, 1), (0.3324932559469681, 1), (0.9970215478155959, 1), (0.25579386450596453, 1), (0.03576945970482803, 1)]",Arabinogalactan biosynthesis,phosphoribose transferase (undecaprenyl phosphate),['Rv3806c'],decd__tb_c + prpp_c --> decdpr__tb_c + ppi_c,['Rv3806c']
EX_ocdca,12.298993223734492,0.0005971240472108038,"[(0.9999999999996703, 28), (0.9999999999996704, 5), (0.9999999999996705, 4), (0.9999999999996702, 3), (0.9999999999996697, 3), (0.8683518323816463, 2), (0.9999999999996694, 2), (0.9999999999996693, 2), (0.5325197093137375, 2), (0.861724997121255, 1), (0.9999999999996726, 1), (0.868351832381647, 1), (0.5325197093139362, 1), (0.988863801091986, 1), (0.03653290464977543, 1), (0.8785475025511051, 1), (0.9999999999996456, 1), (0.0, 1), (0.9999999999995205, 1), (0.99999999999967, 1), (0.32344195866470415, 1), (0.8617249971212684, 1), (0.9999999999996614, 1), (0.8683518323816466, 1), (0.9999999999996675, 1), (0.8683518323821332, 1), (0.8454302728414946, 1), (0.9999999999997127, 1), (0.1537385896784933, 1), (0.923195420441228, 1), (0.9999999999996713, 1), (0.9999999999996665, 1), (0.9999999999996662, 1), (0.9999999999996714, 1), (0.9999999999996628, 1), (0.8683518323816486, 1), (0.999999999999672, 1), (0.9999999999996683, 1), (0.7920997225223789, 1), (0.8491525255250233, 1), (0.999999999999668, 1), (0.3949554479273987, 1), (0.3234419586612657, 1), (0.9999999999996682, 1), (0.8356356026165075, 1), (0.9999999999997756, 1), (0.9999999999996728, 1), (0.9999999999996707, 1), (0.44252435686916114, 1), (0.27998193802119076, 1), (0.8491525255250273, 1), (0.9999999999996722, 1), (0.5325197093137339, 1), (0.9999999999996626, 1), (0.9686714175513987, 1), (0.9715430814247358, 1), (0.881887421920653, 1), (0.8491525255228116, 1), (0.34806271013905643, 1), (0.9999999999996696, 1), (0.153738589678466, 1), (0.9715430814248383, 1), (0.9999999999996672, 1), (0.8955137269744786, 1), (0.9999999999996749, 1), (0.8422132889237011, 1), (0.9999999999996635, 1), (0.999999999999663, 1), (0.8422132889236652, 1), (2.0128343436454088e-13, 1), (0.9999999999996719, 1), (0.9999999999996741, 1), (0.963164340755772, 1), (0.13661770994415656, 1), (0.9999999999996692, 1), (0.9999999999996638, 1), (0.1910121454191851, 1), (0.8356356026165042, 1), (0.8526948732538416, 1), (0.9999999999996674, 1), (0.5325197093137345, 1), (0.8683518323793343, 1), (0.999999999999665, 1), (0.9496573382977138, 1), (0.9231954204412255, 1), (0.9999999999996668, 1), (0.8805851055383047, 1), (0.08142525272348466, 1), (0.8955137269928409, 1), (0.2795272244641488, 1), (0.9999999999996679, 1), (0.8683518323816469, 1), (0.9712279784044944, 1), (3.446132268436486e-13, 1), (0.8644625509161665, 1), (0.9999999999997294, 1), (0.5325197093136429, 1), (0.8617249971212664, 1), (0.9999999999996695, 1), (0.3415855925007566, 1), (0.8683518323816513, 1), (0.8356356026165025, 1), (0.9999999999996698, 1), (0.9231954204405654, 1), (0.8617249971212656, 1), (0.1537385896784884, 1), (0.15373858967838883, 1), (0.8617249971192299, 1), (6.772360450213455e-14, 1), (0.03653290463154524, 1), (0.8683518323816527, 1)]",Exchange,,[],ocdca_e --> ,
DHORD2,12.296509023062798,0.0005978589288514921,"[(0.9999999999927792, 57), (0.9999999999927796, 41), (0.9999999999927789, 12), (0.9999999999927787, 5), (0.9999999999927783, 3), (0.9999999999927798, 2), (0.12667412096988895, 2), (0.9999999999927778, 2), (0.12667412092874353, 1), (0.9999999999958376, 1), (0.9999999999924982, 1), (0.9999999999927905, 1), (0.9999999999927828, 1), (0.999999999995538, 1), (0.9999999999964252, 1), (0.12667412096988706, 1), (0.12667412096988284, 1), (0.9999999999927793, 1), (0.9999999999927826, 1), (0.9999999999927759, 1), (0.1266741209698793, 1), (0.9999999999926541, 1), (0.9999999999927746, 1), (0.9999999999927813, 1), (0.17457652384801592, 1), (0.12667412096988417, 1), (0.12667412096988873, 1), (0.0, 1), (0.12667412096988617, 1), (0.12667412096991215, 1), (0.9999999999927791, 1), (0.12667412096988795, 1), (1.0, 1), (0.12667412096988762, 1), (0.9999999999940324, 1), (0.9999999999927807, 1), (0.9999999999910757, 1)]",Purine and Pyrimidine Biosynthesis,Dihydoorotic acid dehydrogenase (quinone8),['Rv2139'],dhor__S_c + q8_c --> orot_c + q8h2_c,
GLYCTO3,12.296509022766637,0.0005978589289391658,"[(0.9999999999907373, 5), (0.9999999999907331, 4), (0.9999999999907375, 4), (0.9999999999907345, 4), (0.9999999999907336, 3), (0.999999999990732, 3), (0.9999999999907353, 3), (0.9999999999907366, 3), (0.9999999999907337, 3), (0.9999999999907442, 2), (0.9999999999907355, 2), (0.9999999999907323, 2), (0.9999999999907395, 2), (0.999999999990731, 2), (0.9999999999907324, 2), (0.9999999999907371, 2), (0.9999999999907385, 2), (0.9999999999907332, 2), (0.9999999999907363, 2), (0.9999999999907315, 2), (0.9999999999907372, 2), (0.9999999999907381, 2), (0.9999999999907339, 2), (0.9999999999907333, 2), (0.9999999999907383, 2), (0.9999999999907327, 2), (0.9999999999907397, 2), (0.9999999999907423, 1), (0.9999999999907334, 1), (0.12667412091844998, 1), (0.999999999990734, 1), (0.9999999999907304, 1), (0.999999999990733, 1), (0.9999999999886093, 1), (0.9999999999909853, 1), (0.9999999999907351, 1), (0.9999999999907364, 1), (0.9999999999907317, 1), (0.9999999999907289, 1), (0.9999999999907424, 1), (0.999999999990261, 1), (0.9999999999907279, 1), (0.9999999999907413, 1), (0.9999999999907302, 1), (0.9999999999907344, 1), (0.9999999999907316, 1), (0.9999999999907287, 1), (0.9999999999907309, 1), (0.9999999999907354, 1), (0.9999999999861071, 1), (0.9999999999856284, 1), (0.9999999999907312, 1), (0.12667412096962793, 1), (0.12667412096962316, 1), (0.9999999999912725, 1), (0.9999999999907347, 1), (0.999999999991124, 1), (0.9999999999907365, 1), (0.9999999999907419, 1), (0.9999999999907396, 1), (0.12667412095007347, 1), (0.9999999999907377, 1), (0.9999999999907213, 1), (0.9999999999907432, 1), (0.9999999999907436, 1), (0.9999999999907367, 1), (0.9999999999907349, 1), (0.9999999999893306, 1), (0.9999999999907369, 1), (0.9999999998217725, 1), (0.9999999999907314, 1), (0.9999999999907461, 1), (0.9999999999907386, 1), (0.9999999999906906, 1), (0.9999999999907321, 1), (0.9999999999909456, 1), (0.17457652384765665, 1), (0.999999999985203, 1), (0.12667412096962016, 1), (0.9999999999907374, 1), (0.12667412096962571, 1), (0.1266741209696316, 1), (0.0, 1), (0.9999999999907434, 1), (0.12667412096962438, 1), (0.9999999999836171, 1), (0.12667412096964747, 1), (0.999999999991188, 1), (0.9999999999907342, 1), (0.12667412096963127, 1), (0.999999999990724, 1), (0.9999999999907357, 1), (0.9999999999907376, 1), (0.9999999999907199, 1), (0.9999999999913461, 1), (0.9999999999907326, 1), (0.9999999999787847, 1), (0.12667412096962816, 1), (0.1266741209696256, 1), (0.9999999999896518, 1), (0.9999999999907272, 1), (0.9999999999907346, 1), (0.9999999999907356, 1), (0.9999999999907083, 1), (0.9999999999907359, 1), (0.9999999999907343, 1), (0.9999999999999999, 1), (0.999999999990738, 1), (0.9999999999911724, 1), (0.9999999999907437, 1), (0.9999999999907406, 1), (0.9999999999907403, 1)]",Glyoxylate Metabolism,Glycolate oxidase,['Rv1257c'],glyclt_c + mqn8_c --> glx_c + mql8_c,
ASPO5,12.291759400862421,0.0005992665468579989,"[(0.9999999999947086, 41), (0.9999999999947087, 25), (0.9999999999947085, 22), (0.9999999999947088, 3), (0.1266741209701273, 3), (0.9999999999947099, 2), (0.9999999999947076, 2), (0.9999999999947073, 2), (0.9999999999947083, 2), (0.999999999994708, 1), (0.12667412094639408, 1), (0.999999999994706, 1), (0.9999999999999999, 1), (0.999999999994632, 1), (0.9999999999947082, 1), (0.9999999999949795, 1), (0.9999999999947062, 1), (0.999999999994853, 1), (0.9999999999946984, 1), (0.999999999994709, 1), (0.9999999999946053, 1), (0.12667412097012964, 1), (0.9999999999947033, 1), (0.999999999994602, 1), (0.9999999999947173, 1), (0.12667412097012165, 1), (0.9999999999947201, 1), (0.9999999999947546, 1), (0.9999999999947092, 1), (0.9999999999942886, 1), (0.9999999999948993, 1), (0.9999999999946072, 1), (0.9999999999947121, 1), (0.9999999999947069, 1), (0.9999999999945937, 1), (0.9999999999951055, 1), (0.17337036129754335, 1), (0.9999999999947559, 1), (0.1266741209701444, 1), (0.12667412097013286, 1), (0.0, 1), (0.12667412097015263, 1), (0.9999999999947067, 1), (0.9999999999948912, 1), (0.1266741209701301, 1), (0.9999999999947072, 1), (0.9999999999947113, 1), (0.9999999999947081, 1), (0.999999999994701, 1), (0.12667412097013475, 1), (0.9999999999948662, 1), (0.1266741209700959, 1), (0.9999999999950683, 1), (0.999999999994678, 1), (0.9999999999947132, 1), (0.999999999994759, 1), (0.9999999999947107, 1), (0.9999999999940553, 1), (0.9999999999947065, 1), (0.9999999999947075, 1)]","Alanine, Aspartate, and Glutamate Metabolism",L-aspartate oxidase,['Rv1595'],asp__L_c + fum_c --> h_c + iasp_c + succ_c,
GLYCTO4,12.287686626130762,0.0006004762691320043,"[(0.999999999981177, 6), (0.9999999999811777, 5), (0.9999999999811795, 3), (0.9999999999811803, 3), (0.99999999998118, 3), (0.9999999999811752, 2), (0.9999999999811806, 2), (0.9999999999811804, 2), (0.999999999981176, 2), (0.9999999999811783, 2), (0.9999999999811797, 2), (0.9999999999811751, 2), (0.9999999999811747, 2), (0.9999999999811775, 2), (0.9999999999811774, 2), (0.9999999999811782, 2), (0.9999999999811755, 2), (0.999999999981178, 2), (0.9999999999811781, 2), (0.99999999998117, 2), (0.999999999981179, 2), (0.9999999999811754, 2), (0.9999999999811778, 2), (0.9999999999811705, 1), (0.9999999999811771, 1), (0.9987938374303862, 1), (0.1266741209339024, 1), (0.9999999999811784, 1), (0.9999999999811807, 1), (0.9999999999811706, 1), (0.9999999999811745, 1), (0.9999999999789368, 1), (1.0, 1), (0.9999999999811702, 1), (0.9999999999809033, 1), (0.9999999999811882, 1), (0.9999999999809583, 1), (0.9999999999811761, 1), (0.9999999999811735, 1), (0.999999999981171, 1), (0.9999999999811792, 1), (0.9999999999811828, 1), (0.9999999999811738, 1), (0.9999999999741338, 1), (0.9987938374303912, 1), (0.9999999999814798, 1), (0.9999999999811726, 1), (0.9999999999811793, 1), (0.9999999999811772, 1), (0.9999999999811712, 1), (0.12667412096842257, 1), (0.9999999999811786, 1), (0.9999999999811756, 1), (0.9999999999811666, 1), (0.12667412096841812, 1), (0.9999999999811815, 1), (0.999999999981166, 1), (0.9999999999814402, 1), (0.9999999999811765, 1), (0.9999999999809795, 1), (0.12667412094887565, 1), (0.9999999999811661, 1), (0.9999999999811907, 1), (0.9999999999811758, 1), (0.9999999999811762, 1), (0.9999999999812772, 1), (0.9999999999804763, 1), (0.9999999999810761, 1), (0.9999999999811447, 1), (0.9999999999825031, 1), (0.9999999999811825, 1), (0.9999999998966574, 1), (0.9987938374303889, 1), (0.9999999999812242, 1), (0.9999999999811362, 1), (0.9999999999811215, 1), (0.999999999981385, 1), (0.17337036129520123, 1), (0.9999999999756489, 1), (0.12667412096841768, 1), (0.12667412096843134, 1), (0.1266741209684229, 1), (0.0, 1), (0.9999999999811763, 1), (0.12667412096841557, 1), (0.9999999999740614, 1), (0.9999999999811776, 1), (0.1266741209684379, 1), (0.9999999999811813, 1), (0.9987938374303914, 1), (0.9999999999811814, 1), (0.9999999999813716, 1), (0.12667412096842345, 1), (0.9999999999811653, 1), (0.9999999999811824, 1), (0.9999999999811773, 1), (0.9999999999811733, 1), (0.9999999999811844, 1), (0.9999999999819547, 1), (0.9999999999811748, 1), (0.9999999999658695, 1), (0.12667412096841868, 1), (0.999999999981184, 1), (0.12667412096840702, 1), (0.9999999999757906, 1), (0.9999999999811165, 1), (0.9999999999811789, 1), (0.9987938374303899, 1), (0.9999999999811753, 1), (0.9999999999811788, 1), (0.999999999981174, 1), (0.9999999999811827, 1), (0.999999999976368, 1), (0.9999999999858109, 1), (0.9999999999811767, 1), (0.9999999999804056, 1), (0.9999999999811743, 1), (0.9999999999811768, 1), (0.9999999999811836, 1), (0.9999999999811794, 1)]",Glyoxylate Metabolism,Glycolate oxidase,['Rv1257c'],2dmmq8_c + glyclt_c --> 2dmmql8_c + glx_c,
PEAMNO,12.02433021225166,0.0006842454568340695,"[(0.9999999999999999, 42), (0.9999999999999998, 15), (1.0, 5), (0.9999999999999997, 3), (0.408583116693109, 2), (0.4085831166931101, 2), (0.3918378383554545, 1), (0.4625154144854481, 1), (0.30925662219028716, 1), (0.43434644535891465, 1), (0.7669284601895625, 1), (0.766928460189541, 1), (0.43567934976859246, 1), (0.4085831167062106, 1), (0.46251541448545064, 1), (0.39183783835538444, 1), (0.41212660247790645, 1), (0.4485996417000865, 1), (0.4085831166931141, 1), (0.43632813010537497, 1), (0.4085831166931203, 1), (0.4363281301054477, 1), (0.4356793497685928, 1), (0.4485996417000797, 1), (0.40858311669311087, 1), (0.4085831166931424, 1), (0.4625154144844661, 1), (0.4363281301054568, 1), (0.44859964170008004, 1), (0.5426359259734654, 1), (0.46251541448133937, 1), (0.0, 1), (0.4121266024779039, 1), (0.3301107890646887, 1), (0.7323297121556582, 1), (0.718413939370293, 1), (0.48494409367251035, 1), (0.6849126467761362, 1), (0.46251541448544886, 1), (0.4363281301054487, 1), (0.4485996417000767, 1), (0.4485996417000778, 1), (0.412126602477903, 1), (0.7184139393711753, 1), (0.4625154144854585, 1), (0.36070972662535083, 1), (0.2855455621132258, 1), (0.7669284601879109, 1), (0.40858311669311353, 1), (0.46251541448545275, 1), (0.40858311669310643, 1), (0.9708050953102961, 1), (0.43567934976859046, 1), (0.36901971603259165, 1), (0.43434644535921063, 1), (0.4085831166960725, 1), (0.41212660247790334, 1), (0.6305240243433022, 1), (0.44859964170008626, 1), (0.4085831166931675, 1), (0.7669284601898048, 1), (0.41212660247791055, 1), (0.408583116693107, 1), (0.40858311669310676, 1), (0.4602779595017795, 1), (0.7669284601902505, 1), (0.46251541448516953, 1), (0.7090082193273579, 1), (0.9999999999999996, 1), (0.43567934976859124, 1), (0.4356793497685897, 1), (0.44859964170860644, 1), (0.4085831166931063, 1), (0.43632813010544946, 1), (0.4106403863596242, 1), (0.4085831166931143, 1), (0.4085831166931019, 1), (0.40858311669310865, 1), (0.3918378383553829, 1), (0.44859964170008104, 1), (0.4085831166931152, 1), (0.08319697534147086, 1), (0.18107597192410796, 1), (0.7323297121556621, 1), (0.3265673032798899, 1), (0.40858311669354774, 1), (0.40858311669292524, 1), (0.40858311669310854, 1), (0.3931973497695743, 1), (0.7669284601895505, 1)]","Tyrosine, Tryptophan, and Phenylalanine Metabolism",PEAMNO,['none'],h2o_c + o2_c + peamn_c --> h2o2_c + nh4_c + pacald_c,
GXRA,11.381328924588304,0.0009427507209229031,"[(2.1226242985505905e-11, 2), (2.1221691071104942e-11, 2), (2.1223467427944342e-11, 2), (2.1226354007808368e-11, 2), (2.1220802892685242e-11, 2), (0.47218232330838616, 1), (0.6278522605366934, 1), (0.5354606965682916, 1), (0.6906603973907006, 1), (1.0, 1), (2.122024778117293e-11, 1), (0.5354606965682942, 1), (0.5354606965683708, 1), (0.6278522605367031, 1), (0.6278522605366579, 1), (0.5354606965683186, 1), (0.5354606965509257, 1), (0.5354606965478353, 1), (2.1225354807086205e-11, 1), (0.4721823233079727, 1), (0.5354606965683208, 1), (0.4618134830756771, 1), (0.2892230847124989, 1), (0.5354606965681157, 1), (0.6221688620229132, 1), (0.5354606965682294, 1), (0.622168862023168, 1), (0.5354606965638621, 1), (0.6592392553440117, 1), (0.6278522605367185, 1), (0.5354606965683053, 1), (0.2892230847126134, 1), (0.5354606965683009, 1), (0.5354606965682469, 1), (0.5354606965681554, 1), (0.0, 1), (0.5354606965683406, 1), (0.6221688620231245, 1), (0.5354606965683044, 1), (0.622168862023131, 1), (0.385955410125465, 1), (0.2892230847126581, 1), (0.47218232330786075, 1), (0.9784631133616652, 1), (0.050504056883402426, 1), (0.46181348307571063, 1), (0.9710980792957739, 1), (0.05050405688341242, 1), (0.5354606965683257, 1), (0.6278522605366869, 1), (2.121980369196308e-11, 1), (0.6592392553440161, 1), (0.05050405688334314, 1), (0.6221688620231198, 1), (0.2892230847126118, 1), (0.6278522605366768, 1), (2.122468867327143e-11, 1), (0.5354606965682853, 1), (0.5354606965682556, 1), (0.6278522605367256, 1), (0.28922308471322067, 1), (0.6221688620231516, 1), (0.5354606965682649, 1), (2.1230128766092093e-11, 1), (0.5354606965669673, 1), (0.9999999998113651, 1), (0.5354606965677465, 1), (0.28922308471261937, 1), (2.1224466628666505e-11, 1), (0.472182323307877, 1), (0.2892230847126652, 1), (0.6221688620231404, 1), (0.46181348307570924, 1), (0.6221688620331209, 1), (0.2892230847126801, 1), (0.6592392553439888, 1), (0.6221688620161379, 1), (0.6278522605367024, 1), (8.132761131207644e-11, 1), (0.12052548625491899, 1), (0.6592392553438077, 1), (0.5354606965682759, 1), (0.535460696568183, 1), (0.6592392553438471, 1), (0.5354606965672364, 1), (0.5354606965681428, 1), (0.6270421272363825, 1), (2.1239898728708795e-11, 1), (0.5354606965666449, 1), (0.6221688620231142, 1), (0.5354606965683147, 1), (0.6278522605367145, 1), (0.5354606965683419, 1), (0.6278522605366958, 1), (0.7220483147186864, 1), (0.9710980792957516, 1), (0.38595541012556567, 1), (2.0902835018432597e-11, 1), (0.472182323308019, 1), (0.6221688620231653, 1), (2.122424458406158e-11, 1), (0.5354606966158595, 1), (0.050504056883306614, 1), (2.1226576052413293e-11, 1), (0.5354606965682563, 1), (0.2892230847125823, 1), (0.6906603973907638, 1), (0.5354606965682838, 1), (0.5354606965690489, 1), (0.6278522605367208, 1), (0.46181348307564835, 1), (0.5354606965682238, 1), (0.5354606965683056, 1), (0.5354606965682822, 1), (0.6278522605366601, 1), (0.5354606965682198, 1), (0.535460696554503, 1), (2.1227242186228068e-11, 1), (0.5354606965697799, 1), (0.6221688620231316, 1), (0.4721823233080042, 1), (0.627852260536754, 1), (0.6278522605366851, 1), (0.5354606965683035, 1), (0.2892230845096839, 1), (0.535460696568254, 1), (0.6221688620229162, 1), (0.9710980792957302, 1), (2.1225909918598518e-11, 1), (0.5354606965682611, 1), (0.5354606965682793, 1), (0.5354606965682549, 1), (0.4721823233079307, 1), (0.6592392553439816, 1), (0.5354606965682867, 1), (0.5354606965683077, 1), (0.6592392553443969, 1), (0.4721823233565916, 1), (2.120392750271094e-11, 1), (0.5354606965683875, 1), (0.535460696568244, 1), (0.6278522605367032, 1), (0.5354606965860116, 1), (0.535460696585434, 1), (2.1223578450246805e-11, 1), (0.5354606965683091, 1), (0.9999999998112953, 1), (0.5354606965683488, 1)]",Glyoxylate Metabolism,Glyoxylate reductive aminase,['Rv2780'],glx_c + h_c + nadh_c + nh4_c --> gly_c + h2o_c + nad_c,['Rv2780']
