,F_value,pvalue,value_counts,subsystem,name,alleles_sim,genes,reaction
HSERTA,7.777497227089802,0.005971580973756222,"[(1.0, 22), (0.44368409731784186, 6), (0.4436840973178455, 5), (0.4436840973178461, 4), (0.4436840973181413, 4), (0.4436840973178423, 3), (0.44368409667066155, 2), (0.44368409750000204, 2), (0.44368409750000126, 2), (0.554162455745226, 2), (0.4436840973176126, 2), (0.44368409731784286, 2), (0.4436840973178433, 2), (0.443684097317842, 2), (0.4436840966707043, 2), (0.4436840966706438, 1), (0.4436840973177857, 1), (0.4436840973180942, 1), (0.44368409731756564, 1), (1.1834078161854222e-09, 1), (0.4436840973178465, 1), (0.0003231957712124256, 1), (1.3093550688125788e-09, 1), (0.44368409756413907, 1), (0.4436840966706619, 1), (0.4436840973178412, 1), (0.4436840973193418, 1), (0.4436840966707045, 1), (0.44368409731803937, 1), (0.00032319476770037436, 1), (0.4436840973180397, 1), (0.44368409731807046, 1), (0.44368409731782055, 1), (0.44368409743172676, 1), (0.4436840966706601, 1), (0.44368409731814273, 1), (0.44368409731870784, 1), (1.0193176303019413e-09, 1), (0.4436840973174795, 1), (0.4436840975273194, 1), (0.44368409731814107, 1), (0.44368409731811564, 1), (0.4436840974289792, 1), (0.44368409667040365, 1), (1.6695788085385743e-09, 1), (0.4436840966707054, 1), (0.4436840973178462, 1), (0.44368409731784497, 1), (0.44368409731814207, 1), (0.4436840973178422, 1), (0.44368409731784464, 1), (0.44368409742886483, 1), (2.468327986449026e-09, 1), (0.0003231958445951699, 1), (1.939398419636973e-09, 1), (0.4436840975000017, 1), (1.3074308302662985e-09, 1), (1.3223195871603366e-09, 1), (0.19858925155328133, 1), (0.4436840973032682, 1), (0.4436840973180963, 1), (0.44368409732223524, 1), (1.5898580230100379e-09, 1), (0.4436840973181816, 1), (0.44368409731805836, 1), (0.4436840974289228, 1), (1.6690796522667029e-09, 1), (0.4436840973178351, 1), (0.4436840966707053, 1), (9.185188165616864e-10, 1), (1.3931077180728835e-08, 1), (0.4436840973178413, 1), (1.3539301901843714e-09, 1), (0.44368409731784775, 1), (1.5274108644547368e-09, 1), (1.3079052285647208e-09, 1), (0.4436840973181412, 1), (3.6602376685124227e-10, 1), (1.3077892102586475e-09, 1), (0.4436840973166791, 1), (0.44368409750013005, 1), (1.9424569730475127e-09, 1), (1.3067011916945148e-09, 1), (0.4436840966706689, 1), (0.4436840973179882, 1), (0.44368409731811465, 1), (1.3093007789066746e-09, 1), (0.4436840973178411, 1), (0.44368409731756986, 1), (1.2645408054012819e-09, 1), (1.9449372112845253e-09, 1), (0.44368409750021176, 1), (0.4436840973175805, 1), (1.6702915717203837e-09, 1), (0.44368409731783887, 1), (1.6693284532465213e-09, 1), (0.4436840973178432, 1), (0.44368409731814173, 1), (0.44368409731784275, 1), (0.4436840973181786, 1), (0.0, 1), (0.5173363362694305, 1), (1.3294915945927244e-08, 1), (0.44368409733797454, 1), (1.3513341556858904e-09, 1), (0.44368409731784164, 1)]",Cysteine and methionine metabolism,homoserine O-trans-acetylase,,['Rv3341'],accoa_c + hom__L_c <=> achms_c + coa_c
ACHMSSH,7.777497227089053,0.005971580973758639,"[(1.0, 22), (0.44368409731784186, 6), (0.4436840973178455, 5), (0.4436840973178461, 4), (0.4436840973181413, 4), (0.4436840973178423, 4), (0.44368409731784275, 3), (0.4436840973178432, 3), (0.44368409667066155, 2), (0.44368409750000204, 2), (0.44368409750000126, 2), (0.554162455745226, 2), (0.4436840973176126, 2), (0.443684097317842, 2), (0.4436840966707043, 2), (0.4436840966706438, 1), (0.4436840973177857, 1), (0.4436840973180942, 1), (0.44368409731756564, 1), (1.1834078161854222e-09, 1), (0.4436840973178465, 1), (0.0003231957712124256, 1), (1.3093550688125788e-09, 1), (0.44368409756413907, 1), (0.4436840966706619, 1), (0.4436840973178384, 1), (0.4436840973193372, 1), (0.4436840966707045, 1), (0.44368409731803937, 1), (0.00032319476770037436, 1), (0.4436840973180397, 1), (0.44368409731807046, 1), (0.4436840973178414, 1), (0.44368409743172665, 1), (0.44368409667066044, 1), (0.44368409731814273, 1), (0.44368409731870784, 1), (1.0193176303019413e-09, 1), (0.4436840973174795, 1), (0.4436840975273194, 1), (0.44368409731814107, 1), (0.44368409731811564, 1), (0.4436840974289792, 1), (0.44368409667038555, 1), (1.6695788085385743e-09, 1), (0.4436840966707054, 1), (0.4436840973178462, 1), (0.44368409731784497, 1), (0.44368409731814207, 1), (0.44368409731784464, 1), (0.44368409742886483, 1), (2.468327986449026e-09, 1), (0.0003231958445951699, 1), (1.939398419636973e-09, 1), (0.4436840975000017, 1), (1.3074308302662985e-09, 1), (1.3223195871603366e-09, 1), (0.19858925155328133, 1), (0.4436840973032682, 1), (0.4436840973180963, 1), (0.44368409732223524, 1), (1.5898580230100379e-09, 1), (0.4436840973181816, 1), (0.44368409731805836, 1), (0.4436840974289228, 1), (1.6690796522667029e-09, 1), (0.4436840973178353, 1), (0.4436840966707053, 1), (9.185188165616864e-10, 1), (1.3931077180728835e-08, 1), (0.4436840973178413, 1), (1.3539301901843714e-09, 1), (0.44368409731784775, 1), (1.5274108644547368e-09, 1), (1.3079052285647208e-09, 1), (0.4436840973181412, 1), (3.6602376685124227e-10, 1), (1.3077892102586475e-09, 1), (0.4436840973166791, 1), (0.44368409750013005, 1), (1.9424569730475127e-09, 1), (1.3067011916945148e-09, 1), (0.4436840966706689, 1), (0.4436840973179882, 1), (0.44368409731811465, 1), (1.3093007789066746e-09, 1), (0.44368409731784086, 1), (0.44368409731756986, 1), (1.2649512548534858e-09, 1), (1.9449372112845253e-09, 1), (0.44368409750021176, 1), (0.4436840973175805, 1), (1.6702915717203837e-09, 1), (0.4436840973178411, 1), (1.6693284532465213e-09, 1), (0.44368409731814173, 1), (0.4436840973181786, 1), (0.0, 1), (0.5173363362694305, 1), (1.3294915945927244e-08, 1), (0.44368409733797454, 1), (1.3513341556858904e-09, 1), (0.44368409731784153, 1)]",Cysteine and methionine metabolism,,,['Rv3340'],achms_c + h2s_c --> ac_c + h_c + hcys__L_c
QRr,6.0547250254228535,0.014996104262242743,"[(0.9999999999999972, 86), (0.6853381195638514, 5), (0.9999999999999979, 3), (0.9999999999999981, 3), (0.9999999999999983, 2), (0.9999999999999978, 2), (0.7314733593384322, 1), (0.007814763340359243, 1), (0.01323309343413237, 1), (2.620015315812907e-12, 1), (0.010215469736918448, 1), (0.9999999999999973, 1), (0.0024007063992219635, 1), (0.8343044996528768, 1), (0.9999999999999976, 1), (0.9999999999999958, 1), (0.002400706399508179, 1), (0.9999999999999971, 1), (0.9999999999999994, 1), (0.9999999999999969, 1), (0.002400706397366781, 1), (0.24856146381628408, 1), (0.010832387037473579, 1), (1.0, 1), (0.9999999999999977, 1), (0.3697275323751418, 1), (2.6963986599071177e-12, 1), (2.636002527367509e-12, 1), (0.002400706399219632, 1), (2.620237360417832e-12, 1), (2.6941782138578674e-12, 1), (0.0, 1), (0.6606062811556981, 1), (0.005624889867854366, 1), (0.002400706399294794, 1), (0.9999999999999984, 1), (0.005645646593670395, 1), (0.01647803362845357, 1), (0.23834599408219903, 1), (0.6853381195638515, 1), (0.010215469736826188, 1), (0.005645646593637976, 1), (0.002400706399353192, 1), (0.6853381195638518, 1), (0.6853381195638519, 1), (2.5648372314890366e-12, 1), (0.01586111632786924, 1), (0.002400706399353969, 1), (0.010215469737038796, 1), (0.002400706399225183, 1), (0.013460409931208783, 1), (0.01083238703755407, 1), (0.9999999999999964, 1), (2.637223772694597e-12, 1), (2.8099744753262712e-12, 1), (0.010215469737020366, 1), (0.7771186920302311, 1), (0.4390845732729519, 1)]",Oxidative Phosphorylation,QRr,,['Rv3777'],h_c + nadph_c + q_c <=> nadp_c + qh2_c
CYO1a,6.054725025422011,0.01499610426224972,"[(1.0, 106), (0.6853381195638533, 6), (0.6853381195638537, 2), (0.7314733593384342, 1), (0.007814763340359243, 1), (0.01323309343413237, 1), (2.6199042935104444e-12, 1), (0.010215469736918559, 1), (0.0024007063992221855, 1), (0.834304499652879, 1), (0.002400706399508401, 1), (0.002400706397366781, 1), (0.24856146381628474, 1), (0.0108323870374738, 1), (0.3697275323751429, 1), (2.6971758160243553e-12, 1), (2.636002527367509e-12, 1), (0.002400706399219632, 1), (2.6203483827202945e-12, 1), (2.6944002584627924e-12, 1), (0.0, 1), (0.6606062811556999, 1), (0.00562488986710119, 1), (0.002400706399294794, 1), (0.005645646593670395, 1), (0.016478033628453792, 1), (0.2383459940821998, 1), (0.01021546973682641, 1), (0.005645646593638198, 1), (0.002400706399353192, 1), (2.564948253791499e-12, 1), (0.01586111632786924, 1), (0.00240070639935408, 1), (0.010215469737038796, 1), (0.002400706399225183, 1), (0.013460409931209227, 1), (0.010832387037553959, 1), (2.637445817299522e-12, 1), (2.8100854976287337e-12, 1), (0.010215469737020366, 1), (0.7771186920302332, 1), (0.43908457327295314, 1)]",Oxidative Phosphorylation,CYO1a,,"['Rv2195', 'Rv2194', 'Rv2196']",2.0 ficytc_c + 2.0 h_c + qh2_c --> 2.0 focytc_c + 2.0 h_e + q_c
FAS80_L,5.921504568507584,0.016124857449085865,"[(0.9998141340030942, 46), (0.5350165737412274, 1), (0.5598080537886113, 1), (0.5425901172456757, 1), (0.7250250704524025, 1), (0.5507993192444582, 1), (0.5836690595735223, 1), (0.5299806608847615, 1), (0.3332858455023473, 1), (0.7247865441095187, 1), (0.7324162277829602, 1), (0.5405305890282988, 1), (0.3503818228794965, 1), (0.6046187415405435, 1), (0.3503818058160665, 1), (0.5274049084833272, 1), (0.5585263286999826, 1), (0.5277998197349907, 1), (0.7266506558103278, 1), (0.5275292633558393, 1), (0.587847060899485, 1), (0.5162132895767817, 1), (0.548739790972472, 1), (0.4939581556859809, 1), (0.5445336956070757, 1), (0.5899346832618023, 1), (0.5916090109051505, 1), (0.6089127802288182, 1), (0.4825875367641048, 1), (0.3397704457410282, 1), (0.6716566762160283, 1), (0.32161364382734536, 1), (0.9236318059287634, 1), (0.5373449706603769, 1), (0.3486383387487286, 1), (0.5836690724726915, 1), (0.4720206620323749, 1), (0.4795006941917248, 1), (0.7137144468211913, 1), (0.5836690595745411, 1), (0.3003970812462149, 1), (0.2803767321667444, 1), (0.5135615930696737, 1), (0.6706025908830021, 1), (0.5274049213829191, 1), (0.5836690595729679, 1), (0.49521783858785107, 1), (0.5319962044248527, 1), (0.5294644366988731, 1), (0.5017750259940104, 1), (0.5832838590506697, 1), (0.5853433872681183, 1), (0.997129043445276, 1), (0.5275292633556826, 1), (0.6710572516970551, 1), (0.5671140196723723, 1), (0.33970568615824126, 1), (0.4778394309044174, 1), (0.9972376089351636, 1), (0.32664027947108554, 1), (0.3434232238738004, 1), (0.585343387268983, 1), (0.3434232238737268, 1), (0.8676849324092172, 1), (1.0, 1), (0.5069094978377839, 1), (0.9972345668193936, 1), (0.6019285195965403, 1), (0.47798508757670544, 1), (0.5859962608566343, 1), (0.5274049084832815, 1), (0.5409158075971522, 1), (0.34786322502785294, 1), (0.4745980730700916, 1), (0.5277901090054922, 1), (0.4439285210712689, 1), (0.41039595361066106, 1), (0.9972345668198577, 1), (0.47241581651816444, 1), (0.997234566823956, 1), (0.6689131925552267, 1), (0.5424838652223025, 1), (0.4948033897641132, 1), (0.525846548689644, 1), (0.9972345668198531, 1), (0.560086046195121, 1), (0.48102154598724733, 1), (0.8757411545845317, 1), (0.5430196204334783, 1), (0.5319962044235991, 1), (0.28401158446639296, 1), (0.53901968021226, 1), (0.5277856527377277, 1), (0.4977952497041337, 1), (0.5932243030852256, 1), (0.5836690595745919, 1), (0.2998927708856133, 1), (0.5948986307818335, 1), (0.4795006941914465, 1), (0.0027903945882952197, 1), (0.5878470608997917, 1), (0.592839102618122, 1), (0.725025070452356, 1), (0.35056300075268343, 1), (0.5695553591925321, 1), (0.5992727359883785, 1), (0.22730812307691928, 1), (0.0, 1)]",Fatty Acid Metabolism,Fatty acid synthase  n C80   lumped reaction,['Rv1484'],"['Rv2524c', 'Rv2947c', 'Rv1484', 'Rv1350']",accoa_c + 8.0 h_c + 3.0 malcoa_c + 6.0 nadph_c --> 3.0 co2_c + 4.0 coa_c + 2.0 h2o_c + 6.0 nadp_c + octa_c
MCD,5.803236138509847,0.01720115190393096,"[(0.0, 103), (0.8465766485661961, 24), (0.923288231420943, 12), (1.0, 11), (0.9999998142756898, 2), (0.0016057824234564366, 1)]",Fatty Acid Metabolism,Malonyl-CoA Decarboxylase cytoplasmic,"['Rv2247', 'Rv3280']","['Rv3280', 'Rv3799c', 'Rv3285', 'Rv3281', 'Rv2247']",h_c + malcoa_c --> accoa_c + co2_c
NADH5,5.639589169000441,0.018815545170086986,"[(1.0, 143), (0.0, 10)]",Oxidative Phosphorylation,NADH dehydrogenase (ubiquinone-8 ),['Rv1854c'],"['Rv1854c', 'Rv0392c']",h_c + nadh_c + q8_c --> nad_c + q8h2_c
GLYCK,5.282636123963057,0.022911320838792017,"[(1.0, 148), (0.5721305802260577, 1), (0.27469413921757935, 1), (0.4538398880391846, 1), (0.0, 1), (0.39812652456335706, 1)]",Glycolysis/Gluconeogenesis,glycerate kinase,,['Rv2205c'],atp_c + glyc__R_c --> 3pg_c + adp_c + h_c
GLYALDDr,5.282636123963057,0.022911320838792017,"[(1.0, 148), (0.5721305802260577, 1), (0.2746941392175798, 1), (0.4538398880391846, 1), (0.0, 1), (0.39812652456335706, 1)]",Glycerolipid metabolism,D-Glyceraldehyde dehydrogenase,,"['Rv0458', 'Rv2858c']",glyald_c + h2o_c + nad_c --> glyc__R_c + 2.0 h_c + nadh_c
ALCD19y,5.282636123963057,0.022911320838792017,"[(1.0, 148), (0.5721305802260577, 1), (0.27469413921757957, 1), (0.45383988803918474, 1), (0.0, 1), (0.3981265245633572, 1)]",Glycerolipid metabolism,"alcohol dehydrogenase (glycerol, NADP)",,['Rv3045'],glyc_c + nadp_c <=> glyald_c + h_c + nadph_c
