"Gene Name"	"Accession-1"	"Left-End-Position"	"Right-End-Position"	"Product"	"new column"	"Pathways of gene"	"Pathways of enzyme"	"Reactions of gene"	"Pathways of a reaction"
G185E-8210	"Rv3912"	4400870	4401634	"hypothetical alanine rich protein"		""	""	""	""
G185E-7787	"Rv3510c"	3938421	3939257	"conserved protein"		""	""	""	""
"thrC"	"Rv1295"	1450697	1451779	"threonine synthase"		"superpathway of L-threonine biosynthesis" // "superpathway of L-isoleucine biosynthesis I" // "L-threonine biosynthesis"	"superpathway of L-threonine biosynthesis" // "superpathway of L-isoleucine biosynthesis I" // "L-threonine biosynthesis"	THRESYN-RXN	"L-threonine biosynthesis"
G185E-5401	"Rv1230c"	1372962	1374197	"possible membrane protein"		""	""	""	""
G185E-7463	"Rv3196"	3565788	3566687	"conserved hypothetical protein"		""	""	""	""
"cyp135B1"	"Rv0568"	659450	660868	"possible cytochrome P450 135B1"		""	""	""	""
G185E-4391	"Rv0269c"	323338	324531	"conserved hypothetical protein"		""	""	""	""
"dsbF"	"Rv1677"	1901748	1902296	"probable conserved lipoprotein"		""	""	""	""
"dinF"	"Rv2836c"	3142309	3143628	"possible DNA-damage-inducible protein F"		""	""	""	""
"dtd"	"Rv1897c"	2144451	2144882	"D-aminoacyl-tRNA deacylase"		""	""	RXN-15041 // RXN-19729 // RXN-19726 // RXN-19727 // RXN-19728	""
G185E-6288	"Rv2082"	2338709	2340874	"conserved hypothetical protein"		""	""	""	""
G185E-7321	"Rv3060c"	3421741	3423213	"probable transcriptional regulatory protein (probably GntR-family)"		""	""	""	""
"cysA1"	"Rv2397c"	2693909	2694964	"sulfate-transport ATP-binding protein ABC transporter"		""	""	TRANS-RXN185E-13	""
G185E-5498	"Rv1320c"	1482514	1484217	"possible adenylate cyclase"		""	""	ADENYLATECYC-RXN	""
G185E-4993	"Rv0839"	935577	936389	"conserved hypothetical protein"		""	""	""	""
