,F_value,pvalue,value_counts,subsystem,name,genes,reaction,alleles_sim
MCOATA,54.0,6.636460373045996e-08,"[(0.9999999999999282, 8), (0.9999999999999294, 3), (0.9999999999999999, 2), (0.999999999999927, 2), (0.9999999999999287, 2), (0.9999999999999257, 2), (0.9999999999999276, 2), (0.9999999999999256, 1), (0.9999999999999285, 1), (0.9999999999999273, 1), (0.9999999999999281, 1), (0.9999999999999263, 1), (0.9999999999999306, 1), (0.9999999999999301, 1), (0.999999999999851, 1)]",Fatty Acid Metabolism,Malonyl-CoA-ACP transacylase,['Rv2243'],ACP_c + malcoa_c <=> coa_c + malACP_c,['Rv2243']
ACBIPGT,27.0,1.7985245242361115e-05,"[(0.9999999999999998, 12), (0.9999999999999999, 8), (1.0, 4), (0.9999999999999997, 4), (0.9999999999999996, 1)]",Cofactor and Prosthetic Group Biosynthesis,Adenosyl cobinamide phosphate guanyltransferase,['Rv0254c'],adocbip_c + gtp_c + h_c --> agdpcbi_c + ppi_c,
EX_pac,27.0,1.7985245242361115e-05,"[(0.49999999999999994, 29)]",Exchange,,[],pac_e --> ,
NNDMBRT,27.0,1.7985245242361115e-05,"[(0.9999999999999998, 19), (0.9999999999999999, 7), (0.9999999999999997, 3)]",Riboflavin Metabolism,Nicotinate-nucleotide dimethylbenzimidazole phosphoribosyltransferase,['Rv2207'],dmbzid_c + nicrnt_c --> 5prdmbz_c + h_c + nac_c,
FAD_17,27.0,1.7985245242361115e-05,"[(1.0, 11), (0.9999999999999986, 11), (0.9999999999999993, 6), (0.9999999999999972, 1)]",Beta oxidation of unsaturated fatty acids,,"['Rv3563', 'Rv3274c', 'Rv0752c', 'Rv0215c', 'Rv1467c', 'Rv0154c', 'Rv3139', 'Rv3039c', 'Rv0231', 'Rv0456c', 'Rv0271c', 'Rv1346', 'Rv0243', 'Rv3543c', 'Rv3546', 'Rv1679', 'Rv3140', 'Rv3550', 'Rv0222', 'Rv3141', 'Rv2831', 'Rv3556c', 'Rv2500c', 'Rv0975c', 'Rv3544c', 'Rv1933c', 'Rv2679', 'Rv3573c', 'Rv1912c', 'Rv0971c', 'Rv3560c', 'Rv1070c', 'Rv2724c', 'Rv3774', 'Rv0632c', 'Rv1074c', 'Rv3505', 'Rv0244c', 'Rv0673', 'Rv1715', 'Rv3504', 'Rv1071c', 'Rv0400c', 'Rv0972c', 'Rv0468', 'Rv1323', 'Rv1935c', 'Rv0859', 'Rv0131c', 'Rv3562', 'Rv3797', 'Rv3761c', 'Rv3373', 'Rv0672', 'Rv2486', 'Rv3374', 'Rv1472', 'Rv3516', 'Rv1142c', 'Rv0905', 'Rv3061c', 'Rv1141c', 'Rv1934c', 'Rv0675', 'Rv0873', 'Rv3564', 'Rv2789c']",c3dodcoa_c + h2o_c --> h_c + t2dodcoa_c,"['Rv3139', 'Rv3516']"
HIAA,27.0,1.7985245242361115e-05,"[(0.9999999999999987, 18), (0.9999999999999993, 7), (0.999999999999998, 2), (0.9999999999999972, 1), (0.9999999999999989, 1)]",Cholesterol degradation,HIAA,[],h2o_c + hipocoa_c --> accoa_c + hia_c,
HIPB,27.0,1.7985245242361115e-05,"[(0.9999999999999966, 13), (0.9999999999999957, 6), (0.9999999999999974, 4), (0.9999999999999983, 3), (0.9999999999999929, 2), (0.9999999999999948, 1)]",Cholesterol degradation,HIPB,[],h_c + hipcoa_c + nadh_c --> 5ohhipcoa_c + nad_c,
COBC,27.0,1.7985245242361115e-05,"[(0.9999999999999998, 17), (0.9999999999999999, 5), (0.9999999999999997, 4), (1.0, 2), (0.9999999999999996, 1)]",Cofactor and Prosthetic Group Biosynthesis,MNXR85327,['Rv2231c'],adcobhex_c + appl_c --> adocbi_c + h2o_c,
MMM2r,18.408916920074844,0.00020439262656081069,"[(2.1147047735537416e-15, 18), (7.049015911845805e-16, 2), (0.5958920591183561, 2), (1.0, 1), (0.5958920591183341, 1), (0.8857728807081879, 1), (0.8857728807081501, 1), (1.409803182369161e-15, 1), (0.5958920591183378, 1), (0.8857728807081665, 1)]",Fatty Acid Metabolism,,"['Rv1492', 'Rv1493']",0.001 aqcobal_c + succoa_c <-- mmcoa__R_c,
ALAR,13.5,0.0010407853299258798,"[(0.9999999999980004, 19), (0.9999999999980003, 7), (0.9999999999979989, 1), (0.9999999999979983, 1), (0.9999999999980045, 1)]",Arabinogalactan biosynthesis,alanine racemase,['Rv3423c'],ala__L_c <=> ala__D_c,['Rv3423c']
