,F_value,pvalue,value_counts,subsystem,name,genes,reaction,alleles_sim
AICART,inf,0.0,"[(0.9999988549976979, 1), (0.9999988550103229, 1), (0.9999988550304837, 1), (0.9999988552603922, 1), (0.9999988550168812, 1), (0.9999988546840182, 1), (0.9999988549514829, 1), (0.9999988550256231, 1), (0.9999988548645062, 1), (0.9999988548453131, 1), (0.9999988550271441, 1), (0.9999988550216063, 1), (0.9999988561081408, 1), (0.9999988548171606, 1), (0.9999988552631607, 1), (0.9999988552725181, 1), (0.9999988550128214, 1)]",Purine and Pyrimidine Biosynthesis,phosphoribosylaminoimidazolecarboxamide formyltransferase,['Rv0957'],10fthf_c + aicar_c <=> fprica_c + thf_c,
ASPCT,inf,0.0,"[(0.9999999938727879, 3), (0.9999999938727759, 2), (0.9999999938731818, 1), (0.99999999387264, 1), (0.9999999938727906, 1), (0.9999999938715831, 1), (0.9999999936914983, 1), (0.9999999938737201, 1), (0.9999999938728252, 1), (0.9999999938724131, 1), (0.9999999938727875, 1), (0.9999999938049209, 1), (0.999999993872652, 1), (0.999999993871898, 1)]",Purine and Pyrimidine Biosynthesis,aspartate carbamoyltransferase,['Rv1380'],asp__L_c + cbp_c --> cbasp_c + h_c + pi_c,
CYSTL,inf,0.0,"[(0.01621244174467742, 3), (0.016212441744676714, 1), (0.016212441744682917, 1), (0.016212441744677356, 1), (0.016212441744669646, 1), (0.016212441743497, 1), (0.016212441744677338, 1), (0.016212441744683455, 1), (0.016212441744677668, 1), (0.016212441744674722, 1), (0.016212441744677474, 1), (0.0162124417443006, 1), (0.016212441744677376, 1), (0.016212441744677616, 1), (0.016212441744671683, 1)]",Cysteine and methionine metabolism,Cystathionine beta-lyase,"['Rv2294', 'Rv0075']",cyst__L_c + h2o_c --> hcys__L_c + nh4_c + pyr_c,
DHDPS,inf,0.0,"[(0.9999999941005056, 5), (0.9999999941004922, 2), (0.9999999941005411, 2), (0.9999999941008977, 1), (0.9999999941003577, 1), (0.9999999940992959, 1), (0.9999999939191164, 1), (0.9999999941014404, 1), (0.9999999941001294, 1), (0.9999999940324755, 1), (0.9999999940996112, 1)]",Threonine and Lysine Metabolism,dihydrodipicolinate synthase,['Rv2753c'],aspsa_c + pyr_c --> 23dhdp_c + 2.0 h2o_c + h_c,
FOMETR,inf,0.0,"[(0.8181818181818182, 17)]",Cofactor and Prosthetic Group Biosynthesis,,['Rv2211c'],5fthf_c + h_c <=> h2o_c + methf_c,
G16MTM9,inf,0.0,"[(0.99999999376743, 5), (0.9999999937674162, 2), (0.999999993767466, 2), (0.9999999937678226, 1), (0.9999999937672817, 1), (0.9999999937662203, 1), (0.9999999935860413, 1), (0.9999999937683652, 1), (0.999999993767053, 1), (0.9999999936994, 1), (0.999999993766536, 1)]",Fatty Acid Metabolism,G16MTM9,['Rv1159'],PIM4_c + gdpmann_c --> PIM5_c + gdp_c + h_c,
GF6PTAr,inf,0.0,"[(0.9999999941051514, 5), (0.9999999941051372, 2), (0.9999999941051874, 2), (0.9999999941055435, 1), (0.9999999941050084, 1), (0.9999999941039412, 1), (0.9999999939312687, 1), (0.9999999941060493, 1), (0.9999999941047899, 1), (0.999999994039821, 1), (0.9999999941042583, 1)]","Alanine, Aspartate, and Glutamate Metabolism",,['Rv3436c'],f6p_c + gln__L_c <=> gam6p_c + glu__L_c,
ICHORSi,inf,0.0,"[(0.99999999378932, 3), (0.9999999937810085, 1), (0.9999999937891704, 1), (0.9999999937893063, 1), (0.9999999937881094, 1), (0.999999993607938, 1), (0.9999999937893054, 1), (0.9999999937902553, 1), (0.9999999937880975, 1), (0.9999999937889434, 1), (0.9999999937893151, 1), (0.9999999937212904, 1), (0.999999993784114, 1), (0.9999999938197681, 1), (0.9999999937884261, 1)]",Oxidative Phosphorylation,,['Rv3215'],chor_c --> ichor_c,
MECDPS,inf,0.0,"[(0.9999999939263209, 2), (0.999999993924533, 1), (0.9999999939261752, 1), (0.9999999939263213, 1), (0.9999999939263076, 1), (0.9999999939251107, 1), (0.9999999937472961, 1), (0.9999999939263071, 1), (0.9999999939272552, 1), (0.9999999939263902, 1), (0.9999999939259501, 1), (0.99999999392632, 1), (0.9999999938582913, 1), (0.9999999939252875, 1), (0.999999993932392, 1), (0.9999999939254265, 1)]",Polyprenyl Metabolism,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",['Rv3581c'],2p4c2me_c --> 2mecdp_c + cmp_c,
MTHFD,inf,0.0,"[(0.9999987634325449, 1), (0.9999987634462246, 1), (0.9999987634679846, 1), (0.999998763716281, 1), (0.9999987634533913, 1), (0.999998763108318, 1), (0.9999987633826661, 1), (0.9999987634623149, 1), (0.9999987632886596, 1), (0.9999987632680032, 1), (0.9999987634644087, 1), (0.9999987634583976, 1), (0.999998764631405, 1), (0.9999987632430418, 1), (0.9999987637192693, 1), (0.9999987637293715, 1), (0.999998763448982, 1)]",Folate Metabolism,methylenetetrahydrofolate dehydrogenase (NADP),['Rv3356c'],mlthf_c + nadp_c <=> methf_c + nadph_c,
MYC1CYC5,inf,0.0,"[(0.9999999937674302, 4), (0.999999993767416, 2), (0.9999999937678228, 1), (0.9999999937567783, 1), (0.9999999937556787, 1), (0.9999999935860415, 1), (0.9999999937578241, 1), (0.9999999937674666, 1), (0.9999999937670541, 1), (0.9999999937568893, 1), (0.9999999936994002, 1), (0.9999999937569244, 1), (0.9999999937665367, 1)]",Mycolic Acid Biosynthesis,Mycolic Acid Cyclopropanation,['Rv0644c'],amet_c + mkmeroacidACP_c --> ahcys_c + h_c + mkmeroacidcyc1ACP_c,
NNAT,inf,0.0,"[(0.9999999310412089, 2), (0.9999999306822445, 1), (0.9999999309163816, 1), (0.9999999312403016, 1), (0.9999999310624581, 1), (0.9999999307350831, 1), (0.9999999312120278, 1), (0.9999999311642407, 1), (0.9999999309707008, 1), (0.9999999307523035, 1), (0.999999931005652, 1), (0.9999999311249299, 1), (0.9999999309115961, 1), (0.9999999312580998, 1), (0.999999931231728, 1), (0.9999999309807954, 1)]",Pantothenate and CoA Metabolism,,['Rv2421c'],atp_c + h_c + nicrnt_c --> dnad_c + ppi_c,
PANTS,inf,0.0,"[(0.9999891484482804, 1), (0.9999891484166088, 1), (0.9999891484313024, 1), (0.9999891547270894, 1), (0.999989148421301, 1), (0.9999891443349351, 1), (0.9999891469267006, 1), (0.9999891484407077, 1), (0.999989144499873, 1), (0.9999891445049867, 1), (0.9999891484387768, 1), (0.9999891484012149, 1), (0.9999891764107318, 1), (0.9999891475984957, 1), (0.9999891547198712, 1), (0.999989154570853, 1), (0.9999891484411603, 1)]",Pantothenate and CoA Metabolism,pantothenate synthase,['Rv3602c'],ala__B_c + atp_c + pant__R_c --> amp_c + h_c + pnto__R_c + ppi_c,
PGSA160190,inf,0.0,"[(0.99999999376743, 5), (0.9999999937674153, 2), (0.999999993767466, 2), (0.9999999937678217, 1), (0.9999999937672803, 1), (0.9999999937662194, 1), (0.99999999358604, 1), (0.9999999937683648, 1), (0.999999993767053, 1), (0.9999999936994, 1), (0.9999999937665351, 1)]",Glycerophospholipid metabolism,"Phosphatidylglycerol synthase (C16:0,C19:0)",['Rv2746c'],cdpc16c19g_c + glyc3p_c --> cmp_c + h_c + pgp160190_c,
PRAGSr,inf,0.0,"[(0.9999986559493621, 1), (0.9999986559642764, 1), (0.9999986559879144, 1), (0.999998656257794, 1), (0.9999986559721585, 1), (0.9999986556127523, 1), (0.9999986558951806, 1), (0.9999986559822118, 1), (0.9999986557929215, 1), (0.9999986557705478, 1), (0.9999986559840615, 1), (0.9999986559774952, 1), (0.9999986572529171, 1), (0.9999986557493337, 1), (0.9999986562610421, 1), (0.9999986562720191, 1), (0.999998655967338, 1)]",Purine and Pyrimidine Biosynthesis,phosphoribosylglycinamide synthase,['Rv0772'],atp_c + gly_c + pram_c <=> adp_c + gar_c + h_c + pi_c,
PRAMPC,inf,0.0,"[(0.9999999937674298, 5), (0.999999993767416, 2), (0.9999999937674653, 2), (0.999999993767821, 1), (0.999999993767281, 1), (0.9999999937662196, 1), (0.9999999935860402, 1), (0.9999999937683646, 1), (0.9999999937670527, 1), (0.9999999936994002, 1), (0.9999999937665354, 1)]",Histidine Metabolism,phosphoribosyl-AMP cyclohydrolase,['Rv1606'],h2o_c + prbamp_c --> prfp_c,
CYSM_I,inf,0.0,"[(4.844561570953285e-13, 17)]",Cysteine and methionine metabolism,CysO-dependent L-cystein biosynthesis CysM,['Rv1336'],cysOsh_c + pser__L_c --> cysOcys__L_c + pi_c,
EMB,inf,0.0,"[(0.9999999951652976, 7), (0.9999999951652838, 2), (0.9999999951652803, 1), (0.9999999951640879, 1), (0.9999999951237606, 1), (0.9999999951662328, 1), (0.9999999951653331, 1), (0.999999995097268, 1), (0.9999999951653336, 1), (0.9999999951644036, 1)]",Arabinogalactan biosynthesis,EMB,"['Rv3794', 'Rv3793', 'Rv3805c', 'Rv2673', 'Rv3795']",agalfragund_c + 70.0 decda__tb_c <=> arabinanagalfragund_c + 70.0 decd__tb_c,"['Rv3793', 'Rv3794', 'Rv3795']"
G6PDH2,30.0,6.371813592403325e-05,"[(0.5939355040603161, 17)]",Pentose Phosphate Pathway,,"['Rv1121', 'Rv1447c']",g6p_c + nadp_c --> 6pgl_c + h_c + nadph_c,
PGL,30.0,6.371813592403325e-05,"[(0.5939355040603161, 17)]",Pentose Phosphate Pathway,6-phosphogluconolactonase,['Rv1445c'],6pgl_c + h2o_c --> 6pgc_c + h_c,
CYST_II,30.0,6.371813592403325e-05,"[(0.9999987860411705, 1), (0.9999987860379407, 1), (0.9999987860392348, 1), (0.999998786743524, 1), (0.9999987860373885, 1), (0.9999987854703849, 1), (0.9999987858707364, 1), (0.999998786040279, 1), (0.9999987855999974, 1), (0.9999987856000285, 1), (0.9999987860400987, 1), (0.9999987860358661, 1), (0.9999987891691129, 1), (0.99999878554824, 1), (0.9999987867427211, 1), (0.9999987867260727, 1), (0.9999987860398005, 1)]",Cysteine and methionine metabolism,,['Rv0848'],h2s_c + pser__L_c --> cys__L_c + pi_c,['Rv0848']
ACChex,15.0,0.0015017735386984323,"[(0.9999999942904005, 2), (0.9999999937674309, 2), (0.9999999942907927, 1), (0.9999999942902522, 1), (0.9999999937674175, 1), (0.9999999942891913, 1), (0.9999999943986593, 1), (0.9999999942903868, 1), (0.9999999945809845, 1), (0.9999999945800848, 1), (0.999999994290024, 1), (0.999999994290401, 1), (0.9999999945121099, 1), (0.9999999938478266, 1), (0.9999999942895075, 1)]",Fatty Acid Metabolism,ACChex,['Rv3280'],coa_c + 2.0 h_c + hexc_c --> h2o_c + hexccoa_c,['Rv3280']
AGPAT190,15.0,0.0015017735386984323,"[(0.9999999937893191, 5), (0.9999999937893054, 2), (0.9999999937893556, 2), (0.9999999937897117, 1), (0.9999999937891695, 1), (0.9999999937881094, 1), (0.9999999936079353, 1), (0.999999993790254, 1), (0.9999999937889417, 1), (0.9999999937212896, 1), (0.9999999937884252, 1)]",Glycerophospholipid metabolism,AGPAT190,"['Rv2182c', 'Rv2483c']",1msg3p_c + mstrACP_c --> ACP_c + pa190190_c,
ANPRT,15.0,0.0015017735386984323,"[(0.9999999937674304, 5), (0.9999999937674153, 2), (0.9999999937674664, 2), (0.9999999937678217, 1), (0.9999999937672808, 1), (0.9999999937662194, 1), (0.99999999358604, 1), (0.9999999937683648, 1), (0.9999999937670525, 1), (0.9999999936993995, 1), (0.9999999937665356, 1)]","Tyrosine, Tryptophan, and Phenylalanine Metabolism",anthranilate phosphoribosyltransferase,['Rv2192c'],anth_c + prpp_c --> ppi_c + pran_c,
CDPMEK,15.0,0.0015017735386984323,"[(0.9999999939263213, 2), (0.9999999939245334, 1), (0.9999999939261757, 1), (0.9999999939263218, 1), (0.9999999939263085, 1), (0.9999999939251112, 1), (0.9999999937472965, 1), (0.9999999939263076, 1), (0.9999999939272552, 1), (0.9999999939263902, 1), (0.9999999939259505, 1), (0.9999999939263204, 1), (0.9999999938582917, 1), (0.9999999939252879, 1), (0.999999993932392, 1), (0.9999999939254269, 1)]",Polyprenyl Metabolism,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,['Rv1011'],4c2me_c + atp_c --> 2p4c2me_c + adp_c + h_c,
CDPPT160190,15.0,0.0015017735386984323,"[(0.9999999937674298, 5), (0.999999993767416, 2), (0.9999999937674653, 2), (0.9999999937678219, 1), (0.9999999937672801, 1), (0.9999999937662201, 1), (0.9999999935860424, 1), (0.9999999937683646, 1), (0.9999999937670523, 1), (0.9999999936993997, 1), (0.9999999937665354, 1)]",Glycerophospholipid metabolism,CDP diacylglycerol inositon 3-phosphatidyltransferase,['Rv2612c'],cdpc16c19g_c + inost_c --> cmp_c + h_c + ptd1ino160190_c,
CLPNS160190,15.0,0.0015017735386984323,"[(0.9999999937674302, 5), (0.9999999937674156, 2), (0.9999999937674653, 2), (0.9999999937678219, 1), (0.999999993767281, 1), (0.9999999937662201, 1), (0.9999999935860406, 1), (0.999999993768365, 1), (0.9999999937670527, 1), (0.9999999936993997, 1), (0.9999999937665358, 1)]",Glycerophospholipid metabolism,CLPNS160190,['Rv1822'],2.0 pg160190_c <=> clpn160190_c + glyc_c,
CTPS1,15.0,0.0015017735386984323,"[(0.9999999937682169, 3), (0.9999999937682036, 2), (0.9999999937686135, 1), (0.999999993768069, 1), (0.9999999937682182, 1), (0.9999999937670081, 1), (0.9999999935868367, 1), (0.9999999937691517, 1), (0.9999999937682533, 1), (0.9999999937678403, 1), (0.9999999937001873, 1), (0.9999999937682165, 1), (0.9999999937684594, 1), (0.9999999937673243, 1)]",Purine and Pyrimidine Biosynthesis,CTP synthase (NH3),['Rv1699'],atp_c + nh4_c + utp_c --> adp_c + ctp_c + 2.0 h_c + pi_c,
DCPT,15.0,0.0015017735386984323,"[(0.999999995165298, 5), (0.9999999951652838, 2), (0.9999999951653327, 2), (0.9999999951652976, 2), (0.9999999951652803, 1), (0.9999999951640874, 1), (0.9999999951237606, 1), (0.9999999951662328, 1), (0.9999999950973613, 1), (0.9999999951644032, 1)]",Arabinogalactan biosynthesis,phosphoribose transferase (undecaprenyl phosphate),['Rv3806c'],decd__tb_c + prpp_c --> decdpr__tb_c + ppi_c,['Rv3806c']
DHAD2,15.0,0.0015017735386984323,"[(0.9999999860178561, 1), (0.9999999855377015, 1), (0.9999999860164457, 1), (0.9999999860164133, 1), (0.9999999860152173, 1), (0.9999999858345143, 1), (0.9999999860164279, 1), (0.9999999860164226, 1), (0.9999999860173632, 1), (0.999999986015498, 1), (0.9999999860160602, 1), (0.9999999860167406, 1), (0.9999999860164368, 1), (0.9999999859484054, 1), (0.9999999860164404, 1), (0.9999999860164808, 1), (0.999999986015542, 1)]","Valine, Leucine, and Isoleucine Metabolism","Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)",['Rv0189c'],23dhmp_c --> 3mop_c + h2o_c,
DXPS,15.0,0.0015017735386984323,"[(0.9999999939260782, 2), (0.999999993926092, 2), (0.9999999939243072, 1), (0.9999999939259459, 1), (0.9999999939260924, 1), (0.9999999939248818, 1), (0.9999999937470632, 1), (0.9999999939270254, 1), (0.9999999939261603, 1), (0.9999999939257203, 1), (0.9999999939260911, 1), (0.9999999938580615, 1), (0.9999999939250599, 1), (0.9999999939321524, 1), (0.9999999939251967, 1)]",Polyprenyl Metabolism,1-deoxy-D-xylulose 5-phosphate synthase,"['Rv3379c', 'Rv2682c']",g3p_c + h_c + pyr_c --> co2_c + dxyl5p_c,
ETHAt,15.0,0.0015017735386984323,"[(0.45804296365124664, 17)]",Transport,Ethanolamine transport via diffusion  extracellular ,[],etha_e <=> etha_c,
FASm180,15.0,0.0015017735386984323,"[(0.9999999937708306, 5), (0.9999999937708164, 2), (0.9999999937708666, 2), (0.9999999937712227, 1), (0.9999999937706818, 1), (0.9999999937696205, 1), (0.9999999935894428, 1), (0.9999999937717654, 1), (0.9999999937704545, 1), (0.9999999937028015, 1), (0.9999999937699362, 1)]",Fatty Acid Metabolism,FASm180,"['Rv1663', 'Rv1662']",15.0 h_c + 4.0 malcoa_c + mmcoa__S_c + 10.0 nadph_c + octa_c --> 5.0 co2_c + 5.0 coa_c + 5.0 h2o_c + mocdca_c + 10.0 nadp_c,
FASm2801,15.0,0.0015017735386984323,"[(0.999999994443713, 5), (0.9999999944436984, 2), (0.9999999944437485, 2), (0.9999999944441083, 1), (0.9999999944435638, 1), (0.9999999944425029, 1), (0.9999999942623292, 1), (0.9999999944446478, 1), (0.9999999944433364, 1), (0.9999999943756839, 1), (0.9999999944428186, 1)]",Membrane Metabolism,FASm2801,['Rv2940c'],3.0 h_c + hmocta_c + mmcoa__S_c + 2.0 nadph_c --> co2_c + coa_c + h2o_c + hpmtria_c + 2.0 nadp_c,
IG3PS,15.0,0.0015017735386984323,"[(0.9999999937674302, 5), (0.9999999937674164, 2), (0.9999999937674662, 2), (0.9999999937678228, 1), (0.9999999937672814, 1), (0.9999999937662205, 1), (0.9999999935860411, 1), (0.999999993768365, 1), (0.9999999937670541, 1), (0.9999999936994006, 1), (0.9999999937665358, 1)]",Histidine Metabolism,Imidazole-glycerol-3-phosphate synthase,"['Rv1605', 'Rv1602']",gln__L_c + prlp_c --> aicar_c + eig3p_c + glu__L_c + h_c,
KARA2i,15.0,0.0015017735386984323,"[(0.9999999860178561, 1), (0.9999999855377011, 1), (0.9999999860164452, 1), (0.9999999860164128, 1), (0.9999999860152169, 1), (0.9999999858345143, 1), (0.9999999860164279, 1), (0.9999999860164221, 1), (0.9999999860173632, 1), (0.999999986015498, 1), (0.9999999860160602, 1), (0.9999999860167406, 1), (0.9999999860164364, 1), (0.9999999859484054, 1), (0.9999999860164399, 1), (0.9999999860164803, 1), (0.999999986015542, 1)]","Valine, Leucine, and Isoleucine Metabolism",,['Rv3001c'],2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c,
MOHMT,15.0,0.0015017735386984323,"[(0.9999891484485186, 1), (0.9999891484168519, 1), (0.9999891484315446, 1), (0.9999891547273321, 1), (0.9999891484215433, 1), (0.9999891443351774, 1), (0.9999891469269429, 1), (0.9999891484409504, 1), (0.9999891445001152, 1), (0.9999891445052289, 1), (0.9999891484410655, 1), (0.9999891484014571, 1), (0.9999891764108648, 1), (0.9999891475974199, 1), (0.9999891547201134, 1), (0.9999891545710953, 1), (0.9999891484414021, 1)]",Pantothenate and CoA Metabolism,3-methyl-2-oxobutanoate hydroxymethyltransferase,['Rv2225'],3mob_c + h2o_c + mlthf_c --> 2dhp_c + thf_c,
MYC1M2,15.0,0.0015017735386984323,"[(0.9999999976029026, 3), (0.9999999976028884, 2), (0.9999999976027285, 1), (0.9999999975925695, 1), (0.9999999975911515, 1), (0.9999999975613696, 1), (0.9999999975932965, 1), (0.9999999976029386, 1), (0.9999999976029945, 1), (0.9999999975923612, 1), (0.9999999975289702, 1), (0.9999999976054983, 1), (0.9999999975935119, 1), (0.9999999975944613, 1)]",Mycolic Acid Biosynthesis,MYC1M2,"['Rv0645c', 'Rv0644c', 'Rv0642c', 'Rv0503c']",amet_c + h2o_c + kmeroacidACP_c --> ahcys_c + h_c + mkmeroacidACP_c,['Rv0642c']
MYC2CYC1,15.0,0.0015017735386984323,"[(0.9999999937674295, 4), (0.9999999937674158, 2), (0.9999999937678226, 1), (0.9999999937610711, 1), (0.9999999937599879, 1), (0.9999999935860409, 1), (0.999999993762132, 1), (0.9999999937674655, 1), (0.9999999937670516, 1), (0.9999999937611972, 1), (0.9999999936993995, 1), (0.9999999937612318, 1), (0.9999999937665365, 1)]",Mycolic Acid Biosynthesis,MYC2CYC1,['Rv0644c'],amet_c + meroacidcyc1ACP_c --> ahcys_c + h_c + meroacidcyc2ACP_c,
NADK,15.0,0.0015017735386984323,"[(0.9999999949306255, 7), (0.9999999944452156, 1), (0.9999999944449136, 1), (0.9999999949307317, 1), (0.9999999942636129, 1), (0.9999999944460678, 1), (0.9999999935376043, 1), (0.9999999944447506, 1), (0.999999994324891, 1), (0.9999999944449727, 1), (0.9999999943836675, 1)]",Pantothenate and CoA Metabolism,NAD kinase,['Rv1695'],atp_c + nad_c --> adp_c + h_c + nadp_c,
PAPPT1,15.0,0.0015017735386984323,"[(0.9999999937674307, 5), (0.9999999937674169, 2), (0.9999999937674666, 2), (0.9999999937678228, 1), (0.9999999937672819, 1), (0.9999999937662214, 1), (0.9999999935860415, 1), (0.9999999937683663, 1), (0.9999999937670554, 1), (0.9999999936994011, 1), (0.9999999937665371, 1)]",Peptidoglycan Metabolism,PAPPT1,['Rv2156c'],uAgla_c + udcpp_c --> uaAgla_c + ump_c,
PAPPT2,15.0,0.0015017735386984323,"[(0.9999999937674307, 5), (0.9999999937674169, 2), (0.9999999937674666, 2), (0.9999999937678228, 1), (0.9999999937672819, 1), (0.9999999937662214, 1), (0.9999999935860415, 1), (0.9999999937683663, 1), (0.9999999937670554, 1), (0.9999999936994011, 1), (0.9999999937665371, 1)]",Peptidoglycan Metabolism,PAPPT2,['Rv2156c'],uGgla_c + udcpp_c --> uaGgla_c + ump_c,
PGPP160190,15.0,0.0015017735386984323,"[(0.99999999376743, 5), (0.9999999937674153, 2), (0.999999993767466, 2), (0.9999999937678221, 1), (0.9999999937672803, 1), (0.9999999937662203, 1), (0.99999999358604, 1), (0.9999999937683648, 1), (0.9999999937670525, 1), (0.9999999936994, 1), (0.999999993766536, 1)]",Membrane Metabolism,"phosphatidylglycerol phosphate phosphatase (C16:0, C19:0)",[],h2o_c + pgp160190_c --> pg160190_c + pi_c,
PGPPT3,15.0,0.0015017735386984323,"[(0.9999999937893207, 5), (0.9999999937893069, 2), (0.9999999937893562, 2), (0.9999999937897124, 1), (0.9999999937891715, 1), (0.9999999937881106, 1), (0.9999999936079382, 1), (0.9999999937902555, 1), (0.9999999937889441, 1), (0.9999999937212916, 1), (0.9999999937884267, 1)]",Peptidoglycan Metabolism,PGPPT3,['Rv2156c'],udcpp_c + uggmda_c --> ugggmda_c + ump_c,
UDCPDP,15.0,0.0015017735386984323,"[(0.9999999937822381, 5), (0.9999999937822244, 2), (0.9999999937822741, 2), (0.9999999937826258, 1), (0.9999999937820907, 1), (0.9999999937810284, 1), (0.9999999936022697, 1), (0.9999999937831734, 1), (0.9999999937818655, 1), (0.9999999937142081, 1), (0.9999999937813442, 1)]",Cofactor and Prosthetic Group Biosynthesis,Undecaprenyl-diphosphatase,['Rv2136c'],h2o_c + udcpdp_c --> h_c + pi_c + udcpp_c,
UMPK,15.0,0.0015017735386984323,"[(0.9999999938631021, 4), (0.9999999938630892, 2), (0.9999999938634943, 1), (0.9999999938629551, 1), (0.9999999938631039, 1), (0.9999999938618698, 1), (0.9999999936820909, 1), (0.9999999938640347, 1), (0.9999999938631385, 1), (0.9999999938627269, 1), (0.9999999937952138, 1), (0.9999999938627575, 1), (0.9999999938622113, 1)]",Purine and Pyrimidine Biosynthesis,UMP kinase,"['Rv1712', 'Rv2883c']",atp_c + ump_c <=> adp_c + udp_c,
HEMEAS_1,15.0,0.0015017735386984323,"[(0.99999999376743, 5), (0.9999999937674158, 2), (0.9999999937674655, 2), (0.9999999937678243, 1), (0.9999999937672808, 1), (0.9999999937662207, 1), (0.9999999935860404, 1), (0.9999999937683652, 1), (0.9999999937670538, 1), (0.9999999936994022, 1), (0.999999993766536, 1)]",Cofactor and Prosthetic Group Biosynthesis,Heme A synthase,"['Rv1456c', 'Rv2195', 'Rv3043c', 'Rv2200c', 'Rv1623c', 'Rv2193', 'Rv1622c', 'Rv3029c', 'Rv2194', 'Rv3028c', 'Rv2196']",h2o_c + hemeO_c --> 4.0 h_c + hemeA_c,
PKS2,15.0,0.0015017735386984323,"[(0.9999999937674298, 5), (0.999999993767416, 2), (0.9999999937674653, 2), (0.9999999937678219, 1), (0.999999993767281, 1), (0.9999999937662205, 1), (0.9999999935860402, 1), (0.999999993768365, 1), (0.9999999937670532, 1), (0.9999999936994002, 1), (0.9999999937665358, 1)]",Lipid metabolism,PKS2,['Rv3825c'],23.0 h_c + hdcaMAS_c + malcoa_c + 7.0 mmcoa__S_c + 15.0 nadph_c --> 8.0 co2_c + 7.0 coa_c + 7.0 h2o_c + hphthiocnylcoa_c + mas_c + 15.0 nadp_c,
TPI,11.425406694279149,0.004122316285403053,"[(0.9251594310122719, 1), (0.9700169118379343, 1), (0.7602593709694077, 1), (0.9302777945268446, 1), (0.9700169118379947, 1), (0.9700169118447306, 1), (0.8045151751292394, 1), (0.9735949866964653, 1), (0.9251594310126627, 1), (0.8007024472737463, 1), (0.8007024472727267, 1), (0.8007024472726378, 1), (0.8007024472675859, 1), (0.7558449664495477, 1), (0.8045151751278716, 1), (0.9286706454726179, 1), (0.9700169118380586, 1)]",Glycolysis/Gluconeogenesis,triose-phosphate isomerase,['Rv1438'],dhap_c <=> g3p_c,
ASPO5,11.171961444970464,0.004453801709936191,"[(0.0, 2), (0.006205268106595357, 1), (0.9978969476571257, 1), (0.0041022158963624255, 1), (0.006205268093164849, 1), (0.9999999998676802, 1), (0.006205268107203767, 1), (0.006205268106726767, 1), (0.9978969476559227, 1), (0.9999999998671375, 1), (0.997896947656841, 1), (0.9999999998668122, 1), (0.99999999986776, 1), (0.9999999998672254, 1), (0.0062052681073700945, 1), (0.006205268106724707, 1)]","Alanine, Aspartate, and Glutamate Metabolism",L-aspartate oxidase,['Rv1595'],asp__L_c + fum_c --> h_c + iasp_c + succ_c,
QULNS,11.137815126092468,0.00450074769765039,"[(0.0024738529681318498, 1), (0.002473852968766814, 1), (0.9999999998298985, 1), (0.0024738529691179316, 1), (0.002473852969065366, 1), (0.0024738529552827044, 1), (0.9999999998298286, 1), (0.0024738529693697285, 1), (0.0024738529688909387, 1), (0.9999999998286913, 1), (0.9999999998293179, 1), (0.9999999998296132, 1), (0.9999999998289912, 1), (0.9999999998299425, 1), (0.999999999829406, 1), (0.0024738529695366817, 1), (0.002473852968915912, 1)]",Pantothenate and CoA Metabolism,quinolinate synthase,['Rv1594'],dhap_c + iasp_c --> 2.0 h2o_c + pi_c + quln_c,
