,num_alleles
Rv0091,2
Rv0118c,8
Rv0129c,2
Rv0346c,2
Rv0486,6
Rv0642c,6
Rv0819,2
Rv0848,8
Rv1031,3
Rv1334,3
Rv1409,4
Rv1451,2
Rv1483,2
Rv1484,3
Rv1617,3
Rv1647,4
Rv1737c,3
Rv1854c,3
Rv1908c,8
Rv2043c,14
Rv2048c,21
Rv2130c,5
Rv2243,5
Rv2245,4
Rv2247,4
Rv2447c,2
Rv2454c,4
Rv2540c,3
Rv2763c,1
Rv2764c,6
Rv2780,4
Rv2930,5
Rv2931,14
Rv2936,3
Rv2937,3
Rv2938,2
Rv2981c,4
Rv2982c,5
Rv2996c,5
Rv3139,4
Rv3156,3
Rv3264c,3
Rv3266c,3
Rv3280,3
Rv3423c,3
Rv3498c,7
Rv3516,4
Rv3565,6
Rv3790,3
Rv3793,12
Rv3794,5
Rv3795,11
Rv3806c,5
