,F_value,pvalue,value_counts,subsystem,name,genes,reaction,alleles_sim
GLUR,inf,0.0,"[(0.2761061946902655, 17)]","Alanine, Aspartate, and Glutamate Metabolism",glutamate racemase,['Rv1338'],glu__D_c <=> glu__L_c,
NDPK8,inf,0.0,"[(0.42265047518479415, 17)]",Purine and Pyrimidine Biosynthesis,nucleoside-diphosphate kinase (ATP:dADP),['Rv2445c'],atp_c + dadp_c <=> adp_c + datp_c,
PHEt2r,inf,0.0,"[(0.985727426279608, 17)]",Transport,L-phenylalanine reversible transport via proton symport,[],h_e + phe__L_e <=> h_c + phe__L_c,
PPAtr,inf,0.0,"[(0.9997576198266981, 17)]",Transport,"Propionate transport, diffusion",[],ppa_e <=> ppa_c,
EX_ad,21.016674386285043,0.0003578915548617444,"[(8.639316394723275e-14, 6), (0.9999999999931922, 1), (0.9999999999932084, 1), (8.150467964037332e-14, 1), (0.9999999999931894, 1), (0.9999999999912391, 1), (0.9999999999937318, 1), (1.0955614139492914e-13, 1), (8.728213652974787e-14, 1), (0.9999999999931971, 1), (0.9999999999931964, 1), (0.9999999999931981, 1)]",Exchange,,[],ad_e --> ,
EX_ac,21.01667438628501,0.0003578915548617471,"[(5.143196995963166e-13, 5), (0.999999999993357, 1), (0.99999999999343, 1), (5.067950143602423e-13, 1), (0.999999999993355, 1), (0.9999999999918953, 1), (0.9999999999941177, 1), (4.2918967856729795e-13, 1), (0.9999999999933672, 1), (5.16116639354185e-13, 1), (5.192051295630215e-13, 1), (0.9999999999933703, 1), (0.9999999999933787, 1)]",Exchange,,[],ac_e --> ,
EX_leu_L,20.755601586845717,0.0003787801986482795,"[(0.9999999999998542, 1), (0.9999999999998995, 1), (0.026036480736958655, 1), (0.9999999999998589, 1), (0.9999999999993433, 1), (0.9999999999995867, 1), (0.17235866121743074, 1), (0.20861172280930143, 1), (0.32084221329586027, 1), (0.025507167231433668, 1), (2.397207432558446e-12, 1), (0.9999999999998627, 1), (0.1723586612174569, 1), (0.1723586612111869, 1), (0.17235866121325588, 1), (0.9999999999998662, 1), (0.9999999999998636, 1)]",Exchange,,[],leu__L_e --> ,
EX_lac_L,18.35246729712003,0.0006525054806006615,"[(0.9999999999998762, 2), (0.9999999999998678, 1), (0.9999999999999062, 1), (0.007774811697829585, 1), (0.9999999999998735, 1), (0.9999999999996448, 1), (0.9999999999993648, 1), (0.3361095803468627, 1), (0.11988915499339078, 1), (0.6313490603923197, 1), (0.004204150415410536, 1), (2.6853519408120974e-15, 1), (0.33610958034687505, 1), (0.3361095803515399, 1), (0.33610958034687494, 1), (0.9999999999998718, 1)]",Exchange,,[],lac__L_e --> ,
PDH,18.21697858015326,0.0006736565971648609,"[(0.9999999999998623, 1), (0.9999999999998834, 1), (4.551914400963142e-15, 1), (0.9999999999998752, 1), (0.9999999999996998, 1), (0.9999999999993658, 1), (0.581239137501446, 1), (0.4721331958284169, 1), (0.3739712756741889, 1), (0.1995199396726482, 1), (0.016514088497993837, 1), (0.9999999999998705, 1), (0.5812391375015243, 1), (0.581239137484579, 1), (0.5812391375014987, 1), (0.9999999999998628, 1), (0.9999999999998701, 1)]",Glycolysis/Gluconeogenesis,Pyruvate dehydrogenase,"['Rv0462', 'Rv0843', 'Rv2215', 'Rv2241']",coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c,
PDHa,18.216978580153153,0.0006736565971648778,"[(0.9999999999998602, 1), (0.999999999999884, 1), (6.050715484207103e-15, 1), (0.9999999999998747, 1), (0.9999999999997015, 1), (0.9999999999993662, 1), (0.5812391375014445, 1), (0.4721331958284267, 1), (0.3739712756741995, 1), (0.1995199396726462, 1), (0.016514088497996113, 1), (0.9999999999998698, 1), (0.5812391375015218, 1), (0.5812391374845777, 1), (0.5812391375015016, 1), (0.9999999999998633, 1), (0.99999999999987, 1)]",Glycolysis/Gluconeogenesis,pyruvate dehydrogenase (lipoamide),"['Rv0462', 'Rv0843', 'Rv2215', 'Rv2241']",h_c + lpam_c + pyr_c --> adhlam_c + co2_c,
EX_val_L,17.372534979428625,0.0008244796492031737,"[(0.9999999999998395, 1), (0.999999999999879, 1), (0.0188507840593213, 1), (0.9999999999998473, 1), (0.9999999999995166, 1), (0.9999999999993363, 1), (0.05763891712037455, 1), (2.3523607910138243e-13, 1), (0.5353900293346859, 1), (2.3194938871674975e-13, 1), (2.352567501100908e-13, 1), (0.9999999999998486, 1), (0.05763891712038393, 1), (0.05763891712476799, 1), (0.05763891712041013, 1), (0.999999999999853, 1), (0.9999999999998479, 1)]",Exchange,,[],val__L_e --> ,
PFL,16.679345098371854,0.000977394337847277,"[(0.9999999999998407, 1), (0.9999999999998606, 1), (1.4472035944400384e-13, 1), (0.9999999999998571, 1), (0.9999999999999019, 1), (0.9999999999991445, 1), (1.2735227199475184e-13, 1), (1.3697152042818373e-13, 1), (0.4999999999999917, 1), (0.10230579835561053, 1), (1.3999295102586423e-13, 1), (0.9999999999998509, 1), (1.3261408310363765e-13, 1), (0.0, 1), (1.6015637562671182e-13, 1), (0.999999999999843, 1), (0.9999999999998516, 1)]",Pyruvate Metabolism,Pyruvate formate lyase,[],coa_c + pyr_c --> accoa_c + for_c,
PYRDC,16.57318948567108,0.0010035513208699783,"[(0.9999999999998749, 1), (0.9999999999999063, 1), (0.08680232341098257, 1), (0.9999999999998851, 1), (0.9999999999997249, 1), (0.9999999999994047, 1), (1.0000780273987875e-14, 1), (0.09442111183714191, 1), (0.4283120234676872, 1), (0.14712725928153658, 1), (0.07172169616364232, 1), (0.9999999999998804, 1), (2.774864385881143e-14, 1), (5.044055515655011e-13, 1), (1.7395723434331022e-14, 1), (0.9999999999998761, 1), (0.9999999999998807, 1)]",Glycolysis/Gluconeogenesis,Pyruvate decarboxylase,['Rv0853c'],h_c + pyr_c --> acald_c + co2_c,
CYTDt2r,15.0,0.0015017735386984323,"[(0.002740664611168208, 17)]",Transport,,[],cytd_e + h_e <=> cytd_c + h_c,
DTMPK,15.0,0.0015017735386984323,"[(0.9832471930137231, 17)]",Purine and Pyrimidine Biosynthesis,dTMP kinase,['Rv3247c'],atp_c + dtmp_c <=> adp_c + dtdp_c,
DM_ergoth_c,15.0,0.0015017735386984323,"[(0.8721384623801792, 17)]",Intracellular demand,ergoth_c Demand reaction,[],ergoth_c --> ,
FAS80_L,14.855006940900457,0.0015604191622434,"[(0.08331821116336939, 1), (0.08331821116338205, 1), (0.7464495606165146, 1), (2.8845945839173237e-15, 1), (0.011369601275828362, 1), (0.08331821116337179, 1), (0.19280048508864633, 1), (0.7327048416027101, 1), (0.07194860988757878, 1), (0.9637607976752968, 1), (0.8933411734618383, 1), (0.083318211163362, 1), (0.6021091487660934, 1), (0.6021091487782619, 1), (0.1928004850886024, 1), (4.7401735781216425e-15, 1), (0.08331821116336986, 1)]",Fatty Acid Metabolism,Fatty acid synthase  n C80   lumped reaction,"['Rv2524c', 'Rv2947c', 'Rv1484', 'Rv1350']",accoa_c + 8.0 h_c + 3.0 malcoa_c + 6.0 nadph_c --> 3.0 co2_c + 4.0 coa_c + 2.0 h2o_c + 6.0 nadp_c + octa_c,['Rv1484']
NADDP,13.630592534438062,0.0021745927609056396,"[(1.8909426952978277e-13, 3), (0.9999999999999912, 2), (1.8982528902074093e-13, 1), (1.892404734279744e-13, 1), (2.5914377811471553e-13, 1), (1.9118391579476164e-13, 1), (1.8865565783520788e-13, 1), (0.9999999999999964, 1), (1.8999288876408057e-13, 1), (0.999999999999996, 1), (0.7207833606606329, 1), (0.9999999999999722, 1), (1.9036909643213367e-13, 1), (1.8894806563159115e-13, 1)]",Nicotinate and nicotinamide metabolism,NAD diphosphatase,['Rv3199c'],h2o_c + nad_c --> amp_c + h_c + nmn_c,
