,F_value,pvalue,value_counts,subsystem,name,genes,reaction,alleles_sim
FUMt2r,27.0,1.7985245242361115e-05,"[(0.9999999999999999, 29)]",Transport,Fumarate reversible transport via symport,['Rv2443'],fum_e + h_e <=> fum_c + h_c,
MMSAD2,27.0,1.7985245242361115e-05,"[(0.9999999999999998, 26), (0.9999999999999999, 3)]",Cholesterol degradation,methylmalonate-semialdehyde dehydrogenase (propanol),['Rv3535c'],coa_c + nad_c + ppal_c --> h_c + nadh_c + ppcoa_c,
PACt2r,27.0,1.7985245242361115e-05,"[(0.9999999999195648, 28), (0.999999999919591, 1)]",Transport,PACt2r,['none'],h_e + pac_e <=> h_c + pac_c,
FADE282,27.0,1.7985245242361115e-05,"[(0.9999999999999998, 26), (0.9999999999999999, 3)]",Cholesterol degradation,MNXR87738,"['Rv3544c', 'Rv3543c']",cholc3coa_c + fad_c --> cholenec3coa_c + fadh2_c,
HOPNTAL2,27.0,1.7985245242361115e-05,"[(0.9999999999999998, 26), (0.9999999999999999, 3)]",Cholesterol degradation,4-hydroxy-2-oxopentanoate aldolase(p-xylene),['Rv3534c'],4hoxoh_c --> h_c + ppal_c + pyr_c,
ECHA192,27.0,1.7985245242361115e-05,"[(0.9999999999999998, 29)]",Cholesterol degradation,ECHA192,"['Rv3516', 'Rv3538']",cholenec5coa_c + h2o_c <=> hcholc5coa_c,['Rv3516']
HSA,27.0,1.7985245242361115e-05,"[(0.9999999999999999, 26), (1.0, 3)]",Cholesterol degradation,MNXR75761,"['Rv3567c', 'Rv3570c']",3hsa_c + fmnh2_c + o2_c --> 34dhsa_c + fmn_c + h2o_c,
FADB3,27.0,1.7985245242361115e-05,"[(0.9999999999999998, 26), (0.9999999999999999, 3)]",Cholesterol degradation,FADB3,['Rv3502c'],hcholc5coa_c + nad_c --> h_c + nadh_c + ocholc5coa_c,
FADB2,27.0,1.7985245242361115e-05,"[(0.9999999999999998, 29)]",Cholesterol degradation,FADB2,['Rv3502c'],hcholc8coa_c + nad_c --> h_c + nadh_c + ocholc8coa_c,
CHCD,27.0,1.7985245242361115e-05,"[(0.9999999999999999, 26), (1.0, 3)]",Cholesterol degradation,MNXR22345,[],hipohcoa_c + nad_c --> h_c + hipocoa_c + nadh_c,
HDAD,27.0,1.7985245242361115e-05,"[(0.9999999999999999, 26), (1.0, 3)]",Cholesterol degradation,MNXR76953,['Rv3569c'],49dsha_c + h2o_c --> hhd_c + hip_c,
3HSA,27.0,1.7985245242361115e-05,"[(0.9999999999999999, 26), (1.0, 3)]",Cholesterol degradation,MNXR19078,[],9ohadd_c --> 3hsa_c,
HSAC,27.0,1.7985245242361115e-05,"[(0.9999999999999999, 26), (1.0, 3)]",Cholesterol degradation,R04597,['Rv3568c'],34dhsa_c + o2_c --> 49dsha_c,
HSAE,27.0,1.7985245242361115e-05,"[(0.9999999999999999, 26), (1.0, 3)]",Cholesterol degradation,R09960,['Rv3536c'],h2o_c + hhd_c --> 4hoxoh_c,
HIAA,27.0,1.7985245242361115e-05,"[(0.9999999999999998, 26), (0.9999999999999999, 3)]",Cholesterol degradation,HIAA,[],h2o_c + hipocoa_c --> accoa_c + hia_c,
KSH,27.0,1.7985245242361115e-05,"[(0.9999999999999999, 26), (1.0, 3)]",Cholesterol degradation,R09860,"['Rv3526', 'Rv3571']",andrs14dn317dn_c + h_c + nadh_c + o2_c --> 9ohadd_c + h2o_c + nad_c,
ECHA193,27.0,1.7985245242361115e-05,"[(0.9999999999999998, 26), (0.9999999999999999, 3)]",Cholesterol degradation,ECHA193,['Rv3541c'],cholenec3coa_c + h2o_c <=> hcholc3coa_c,
HIPB,27.0,1.7985245242361115e-05,"[(0.9999999999999999, 28), (1.0, 1)]",Cholesterol degradation,HIPB,[],h_c + hipcoa_c + nadh_c --> 5ohhipcoa_c + nad_c,
CHOLCOA,27.0,1.7985245242361115e-05,"[(0.9999999999999998, 29)]",Cholesterol degradation,MNXR87732,['Rv3573c'],cholc5coa_c + fad_c --> cholenec5coa_c + fadh2_c,
FADE30,27.0,1.7985245242361115e-05,"[(0.9999999999999999, 26), (1.0, 3)]",Cholesterol degradation,MNXR87739,['Rv3560c'],5ohhipcoa_c + fad_c --> fadh2_c + hipecoa_c,
PRCOA1,27.0,1.7985245242361115e-05,"[(0.9999999999999998, 26), (0.9999999999999999, 3)]",Cholesterol degradation,MNXR76960,['Rv3540c'],hcholc3coa_c --> andrstndn_c + 4.0 h_c + ppcoa_c,
FADD3,27.0,1.7985245242361115e-05,"[(0.9999999999999999, 28), (1.0, 1)]",Cholesterol degradation,MNXR22341,"['Rv3552', 'Rv3561', 'Rv3551']",atp_c + coa_c + 3.0 h_c + hip_c --> amp_c + hipcoa_c + ppi_c,
KSTD,27.0,1.7985245242361115e-05,"[(0.9999999999999999, 26), (1.0, 3)]",Cholesterol degradation,MNXR85993,['Rv3537'],andrstndn_c + nad_c --> andrs14dn317dn_c + h_c + nadh_c,
FADE51,27.0,1.7985245242361115e-05,"[(0.9999999999999998, 29)]",Cholesterol degradation,MNXR76950,"['Rv3546', 'Rv3523']",coa_c + ocholc8coa_c --> cholc5coa_c + ppcoa_c,
FADE52,27.0,1.7985245242361115e-05,"[(0.9999999999999998, 26), (0.9999999999999999, 3)]",Cholesterol degradation,MNXR22325,"['Rv3546', 'Rv3522']",coa_c + ocholc5coa_c --> accoa_c + cholc3coa_c,
EX_hia,27.0,1.7985245242361115e-05,"[(0.9999999999999999, 26), (1.0, 3)]",Exchange,,[],hia_e --> ,
MYC1CYC1,13.5,0.0010407853299258798,"[(0.9999999988902797, 4), (0.9999999990392272, 4), (0.9999999990757154, 3), (0.9999999985611279, 1), (0.9999999988709671, 1), (0.9999999988714379, 1), (0.9999999989072421, 1), (0.9999999995247357, 1), (0.999999998951159, 1), (0.9999999990692157, 1), (0.9999999990800781, 1), (0.9999999989717594, 1), (0.9999999989942356, 1), (0.999999998524661, 1), (0.9999999989930455, 1), (0.9999999988714361, 1), (0.9999999989202841, 1), (0.9999999989950261, 1), (0.9999999989144719, 1), (0.9999999988705319, 1), (0.9999999990392254, 1)]",Mycolic Acid Biosynthesis,MYC1CYC1,['Rv0470c'],amet_c + meroacidACP_c --> ahcys_c + h_c + meroacidcyc1ACP_c,
