,F_value,pvalue,value_counts,subsystem,name,genes,reaction,alleles_sim
PHDCAt,inf,0.0,"[(0.12737241670181357, 17)]",Transport,PHDCAt,[],phdca_e <=> phdca_c,
TMPPP,18.086847073631215,0.0006947081725420552,"[(0.9126010675877227, 5), (0.9126043383834419, 4), (0.9126051560823717, 1), (0.9126035206845121, 1), (0.9125977967920036, 1), (0.912608426878091, 1), (0.9125969790930738, 1), (0.9126018852866525, 1), (0.9126027029855823, 1), (0.912600249888793, 1)]",Thiamine Metabolism,thiamine-phosphate diphosphorylase,['Rv0414c'],2mahmp_c + 4mpetz_c + h_c --> ppi_c + thmmp_c,
ILEt2r,15.0,0.0015017735386984323,"[(0.009523809523809523, 17)]",Transport,L isoleucine reversible transport via proton symport,[],h_e + ile__L_e <=> h_c + ile__L_c,
FPRA,15.0,0.0015017735386984323,"[(0.9999999999292127, 2), (0.9999999999230971, 1), (0.9999999999293518, 1), (0.9999999999293057, 1), (0.999999999929191, 1), (0.9999999999292023, 1), (0.9999999999291204, 1), (0.9999999999291487, 1), (0.999999999929146, 1), (0.9999999999291866, 1), (0.9999999999292437, 1), (0.9999999999290654, 1), (0.9999999999292442, 1), (0.9999999999292355, 1), (0.9999999999293113, 1), (0.9999999999291582, 1)]",Cofactor and Prosthetic Group Biosynthesis,R01195,"['Rv0886', 'Rv3106']",fdxrd_c + h_c + nadp_c --> fdxox_c + nadph_c,
NNAM,13.870495784262875,0.0020352030271373286,"[(0.291174541863788, 3), (0.29117454186378794, 3), (0.0, 2), (0.9742466787555337, 1), (5.551115123125783e-17, 1), (0.9574151581979977, 1), (0.9742466787555366, 1), (0.9999999999997735, 1), (0.9742466787555304, 1), (0.9574151581979882, 1), (0.9574151581979904, 1), (0.974246678755526, 1)]",Pantothenate and CoA Metabolism,Nicotinamidase,['Rv2043c'],h2o_c + ncam_c <=> nac_c + nh4_c,['Rv2043c']
DM_ncam_c,13.437596764504589,0.002294654315237848,"[(1.0, 8), (0.009074538976367452, 1), (0.02619420962199659, 1), (0.009074538976035718, 1), (0.3052338930970886, 1), (0.3223535637434124, 1), (0.29615935412106287, 1), (0.32235356374305146, 1), (0.32382483250977945, 1), (0.30523389309708093, 1)]",Intracellular demand,ncam_c Demand reaction,[],ncam_c --> ,
PAPPT1,11.6951871657754,0.003800026930924716,"[(0.25, 7), (0.5, 6), (0.0, 2), (0.75, 2)]",Peptidoglycan Metabolism,PAPPT1,['Rv2156c'],uAgla_c + udcpp_c --> uaAgla_c + ump_c,
ACOTA,8.76891334247599,0.009709133284153836,"[(0.3684210526315789, 10), (0.3609022556390977, 3), (0.38345864661654133, 2), (0.37593984962406013, 1), (0.3533834586466165, 1)]",Arginine and Proline Metabolism,acetylornithine transaminase,['Rv1655'],acorn_c + akg_c <=> acg5sa_c + glu__L_c,
DMBI,8.731700825126431,0.009834082981215216,"[(0.46875, 3), (0.28125, 2), (0.625, 2), (0.4375, 2), (0.5625, 1), (0.53125, 1), (0.71875, 1), (0.34375, 1), (0.0625, 1), (0.125, 1), (0.25, 1), (0.3125, 1)]",Cofactor and Prosthetic Group Biosynthesis,MNXR18583,[],fmnh2_c + h_c + nadh_c + o2_c <=> barb_c + dmbzid_c + e4p_c + h2o_c + nad_c,
UDPDPS,8.212669683278628,0.011784191657621235,"[(0.16487455197132617, 12), (0.16845878136200718, 4), (0.16129032258064516, 1)]",Polyprenyl Metabolism,Undecaprenyl-diphosphate synthase,['Rv2361c'],decdp_c + ipdp_c --> ppi_c + udcpdp_c,
CYTDt2r,7.5,0.015231027044400821,"[(0.3333333333333333, 17)]",Transport,,[],cytd_e + h_e <=> cytd_c + h_c,
EX_acysbmn,7.5,0.015231027044400821,"[(0.9999999999988546, 17)]",Exchange,,[],acysbmn_e --> ,
GLUt2r,7.5,0.015231027044400821,"[(0.9062499999999999, 17)]",Transport,L glutamate transport via proton symport  reversible,[],glu__L_e + h_e <=> glu__L_c + h_c,
TDPGDH,7.5,0.015231027044400821,"[(0.3333333333333333, 17)]",Arabinogalactan biosynthesis,"dTDPglucose 4,6-dehydratase","['Rv3464', 'Rv3468c', 'Rv3784']",dtdpglu_c --> dtdp4d6dg_c + h2o_c,
ECOAH12,7.5,0.015231027044400821,"[(0.03571428571428571, 17)]","Valine, Leucine, and Isoleucine Metabolism",3-hydroxyacyl-CoA dehydratase (3-hydroxyisobutyryl-CoA) (mitochondria),"['Rv2486', 'Rv3774', 'Rv0905', 'Rv1472', 'Rv1070c']",2mp2coa_c + h2o_c --> 3hibutcoa_c,
MBTA1,6.517410954659684,0.02206973365001935,"[(0.9999999999999994, 4), (0.9999999999999997, 2), (0.3720339172391567, 1), (0.07564636822753124, 1), (0.692343068511921, 1), (0.012313872182288299, 1), (0.6782199406705833, 1), (0.9895385989884606, 1), (0.6782199406705821, 1), (0.9875417548508344, 1), (0.9999999999999996, 1), (0.9999999999999993, 1), (0.9946033187715122, 1)]",Mycobactin biosynthesis,MBTA1,"['Rv2383c', 'Rv2379c', 'Rv2381c', 'Rv2384', 'Rv2377c', 'Rv2382c', 'Rv2380c']",acac_c + h_c + n6hlys_c + n6hlysmal_c + nadh_c + salc_c + thr__L_c --> 6.0 h2o_c + mcbtt_c + nad_c,
PAPPT2,6.497326203208572,0.0222426652856967,"[(0.3333333333333333, 8), (0.6666666666666666, 7), (1.0, 2)]",Peptidoglycan Metabolism,PAPPT2,['Rv2156c'],uGgla_c + udcpp_c --> uaGgla_c + ump_c,
NAGINS,6.404174573055011,0.023065455532878167,"[(0.33333333333333337, 13), (0.6666666666666667, 3), (1.0, 1)]",Redox Metabolism,MNXR21171,[],h2o_c + iacgam3p_c <=> 2.0 h_c + iacgam_c + pi_c,
BKDC,6.080275778699538,0.026213209497024388,"[(0.8453750575241601, 8), (0.8444546709618039, 2), (0.8407731247123792, 1), (0.8380119650253106, 1), (0.8361711919005982, 1), (0.8416935112747354, 1), (0.8476760239300506, 1), (0.8554993097100781, 1), (0.8334100322135296, 1)]",Lipid metabolism,BKDC,['Rv2495c'],2mpdhl_c + coa_c + h_c <=> dhlam_c + ibcoa_c,
AFTA,5.723014461677483,0.030278046184249882,"[(0.9369585638242355, 11), (0.9371673103016387, 2), (0.9367498173468323, 1), (0.9368280972758585, 1), (0.9369716104790732, 1), (0.9370564137355182, 1)]",Arabinogalactan biosynthesis,arabinofuranosyl transferase (M tb),['Rv3792'],decda__tb_c + galfragund_c --> agalfragund_c + decd__tb_c,
EX_nodcoa,5.646963207701091,0.03123509399938683,"[(0.992550545924806, 1), (0.9906093922269599, 1), (0.9541519129196633, 1), (0.9925505459248022, 1), (0.9370407046747786, 1), (0.9906093922271119, 1), (0.9398984590909489, 1), (0.03091881318885803, 1), (0.9921610381104325, 1), (0.09165897440818982, 1), (0.9907005767206621, 1), (0.9925505459248023, 1), (0.9398984590909492, 1), (0.0046705911269089295, 1), (0.010543916852410185, 1), (1.0, 1), (0.9580076680050806, 1)]",Exchange,nodcoa exchange,[],nodcoa_e --> ,
ACChex,5.643131920483157,0.031284229015790005,"[(0.9999999999999941, 12), (0.999999999999994, 1), (0.025469244640002442, 1), (0.05331453561729649, 1), (0.00498571223446076, 1), (0.007942638204166408, 1)]",Fatty Acid Metabolism,ACChex,['Rv3280'],coa_c + 2.0 h_c + hexc_c --> h2o_c + hexccoa_c,['Rv3280']
UAPGR,5.506898370531155,0.03309113525708415,"[(0.6610576923076923, 5), (0.65625, 4), (0.6586538461538461, 3), (0.6634615384615384, 2), (0.6658653846153846, 2), (0.6514423076923077, 1)]",Alternate Carbon Metabolism,UDP-N-acetylenolpyruvoylglucosamine reductase,['Rv0482'],h_c + nadph_c + uaccg_c --> nadp_c + uamr_c,
ICDHy,5.4979022430806035,0.033214658720193024,"[(0.28200192492781523, 2), (0.24350336862367666, 1), (0.3137632338787296, 1), (0.31761308950914346, 1), (0.23869104908565933, 1), (0.27430221366698754, 1), (0.3128007699711261, 1), (0.26756496631376325, 1), (0.29740134744947067, 1), (0.38787295476419636, 1), (0.3147256977863331, 1), (0.29932627526467764, 1), (0.2829643888354187, 1), (0.29258902791145336, 1), (0.30895091434071226, 1), (0.2666025024061598, 1)]",Citric Acid Cycle,,"['Rv0066c', 'Rv3339c']",icit_c + nadp_c --> akg_c + co2_c + nadph_c,
GALFT,5.480530240265069,0.033454708131186804,"[(0.6000000000000001, 8), (0.4, 5), (0.2, 2), (0.8, 2)]",Arabinogalactan biosynthesis,galactofuranose transferse (M tb),"['Rv3782', 'Rv3808c']",h2o_c + ragund_c + 30.0 udpgalfur_c --> galfragund_c + 30.0 h_c + 30.0 udp_c,
FAD_22,5.290604319040332,0.03621510082802276,"[(0.9971833947382597, 2), (0.9836769183370432, 2), (0.9971833947382605, 1), (0.9966553742948441, 1), (0.9905682565050736, 1), (0.9821999563449118, 1), (0.996655374294921, 1), (0.5126032287923408, 1), (0.9974573053432816, 1), (0.5320543601502205, 1), (0.9966605068865435, 1), (0.500326772100165, 1), (0.5033622599695521, 1), (0.9494308314572344, 1), (0.9912325080913198, 1)]",Fatty Acid Metabolism,,"['Rv3563', 'Rv3274c', 'Rv0752c', 'Rv0215c', 'Rv1467c', 'Rv0154c', 'Rv3139', 'Rv3039c', 'Rv0231', 'Rv0456c', 'Rv0271c', 'Rv1346', 'Rv0243', 'Rv3543c', 'Rv3546', 'Rv1679', 'Rv3140', 'Rv3550', 'Rv0222', 'Rv3141', 'Rv2831', 'Rv3556c', 'Rv2500c', 'Rv0975c', 'Rv3544c', 'Rv1933c', 'Rv2679', 'Rv3573c', 'Rv1912c', 'Rv0971c', 'Rv3560c', 'Rv1070c', 'Rv2724c', 'Rv3774', 'Rv0632c', 'Rv1074c', 'Rv3505', 'Rv0244c', 'Rv0673', 'Rv1715', 'Rv3504', 'Rv1071c', 'Rv0400c', 'Rv1323', 'Rv0972c', 'Rv0468', 'Rv1935c', 'Rv0859', 'Rv0131c', 'Rv3562', 'Rv3797', 'Rv3761c', 'Rv3373', 'Rv0672', 'Rv2486', 'Rv3374', 'Rv1472', 'Rv3516', 'Rv1142c', 'Rv0905', 'Rv3061c', 'Rv1141c', 'Rv1934c', 'Rv0675', 'Rv0873', 'Rv3564', 'Rv2789c']",coa_c + fad_c + nad_c + pentdcoa_c --> accoa_c + fadh2_c + nadh_c + trdcalcoa_c,"['Rv3139', 'Rv3516']"
DDPA,5.268388659064768,0.03655497277968333,"[(0.5403726708074533, 6), (0.5341614906832297, 6), (0.5279503105590061, 5)]","Tyrosine, Tryptophan, and Phenylalanine Metabolism",3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,['Rv2178c'],e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c,
HXPRT,4.764705882363473,0.04535686935840093,"[(1.1109224651306704e-11, 2), (1.0676348694005355e-11, 1), (0.9999999999999831, 1), (1.1096568108825977e-11, 1), (1.111744030168893e-11, 1), (0.9999999999999766, 1), (1.1653344955675493e-11, 1), (1.1090128815283151e-11, 1), (1.1110778963541179e-11, 1), (7.603362384145385e-12, 1), (1.1115774967151992e-11, 1), (1.111344349880028e-11, 1), (1.1097345264943215e-11, 1), (1.1115885989454455e-11, 1), (1.1124101639836681e-11, 1), (0.9999999999999758, 1)]",Purine and Pyrimidine Biosynthesis,hypoxanthine phosphoribosyltransferase (Hypoxanthine),['Rv3624c'],hxan_c + prpp_c --> imp_c + ppi_c,
INSK,4.764705882355571,0.045356869358557234,"[(2.6899593663642918e-12, 2), (2.668865128896414e-12, 1), (0.9999999999994165, 1), (2.67841304690819e-12, 1), (0.9999999999994196, 1), (3.224420730418842e-12, 1), (2.6849633627534786e-12, 1), (2.6719737533653642e-12, 1), (2.687627898012579e-12, 1), (2.699285239771143e-12, 1), (2.6914026562963045e-12, 1), (2.6741941994146146e-12, 1), (2.691291633993842e-12, 1), (2.7021718196351685e-12, 1), (2.6860735857781037e-12, 1), (0.9999999999994149, 1)]",Nucleotide Salvage Pathway,Insosine kinase,[],atp_c + ins_c --> adp_c + h_c + imp_c,
NTD11,4.764705882353059,0.045356869358606874,"[(0.9999999999994418, 2), (0.9999999999994433, 2), (0.9999999999994645, 1), (5.782041512247815e-13, 1), (0.9999999999994553, 1), (5.808686864838819e-13, 1), (0.9999999999994008, 1), (0.9999999999994603, 1), (0.9999999999994421, 1), (0.9999999999994298, 1), (0.9999999999994407, 1), (0.9999999999994564, 1), (0.9999999999994394, 1), (0.9999999999994248, 1), (5.796474411567942e-13, 1)]",Nucleotide Salvage Pathway,5'-nucleotidase (IMP),[],h2o_c + imp_c --> ins_c + pi_c,
ADA,4.764705882352914,0.045356869358609796,"[(0.9999999999915152, 4), (2.300715173930712e-12, 1), (0.9999999999914989, 1), (2.2334356586384274e-12, 1), (0.9999999999915138, 1), (0.9999999999915037, 1), (0.9999999999915136, 1), (0.9999999999915048, 1), (0.9999999999915132, 1), (0.9999999999915146, 1), (0.9999999999915141, 1), (0.9999999999915168, 1), (0.9999999999915388, 1), (2.3171464746951642e-12, 1)]",Purine and Pyrimidine Biosynthesis,Adenosine deaminase,['Rv3313c'],adn_c + h2o_c + h_c --> ins_c + nh4_c,
DADA,4.764705882352887,0.04535686935861037,"[(0.9999999999888928, 3), (0.9999999999888913, 3), (0.9999999999888965, 1), (2.302047441560262e-12, 1), (0.9999999999888765, 1), (2.2396529075763283e-12, 1), (0.9999999999888906, 1), (0.9999999999888847, 1), (0.9999999999888943, 1), (0.9999999999888809, 1), (0.9999999999888942, 1), (0.999999999988918, 1), (2.3195889653493396e-12, 1)]",Nucleotide Salvage Pathway,Deoxyadenosine deaminase,[],dad__2_c + h2o_c + h_c --> din_c + nh4_c,
GLUDC,4.511201318159847,0.050712613200592144,"[(0.999999999999858, 1), (0.9999999999999271, 1), (0.80573143111954, 1), (0.8057314311195403, 1), (0.8057314311195488, 1), (0.8057314311195773, 1), (0.8057314311195458, 1), (0.7668777173434596, 1), (0.8057314311195419, 1), (0.8057314311195433, 1), (0.7668777173434651, 1), (0.8057314311195347, 1), (0.8057314311195486, 1), (0.8057314311195425, 1), (0.8057314311195364, 1), (0.8539891314314477, 1), (0.8057314311195409, 1)]","Alanine, Aspartate, and Glutamate Metabolism",Glutamate Decarboxylase,['Rv3432c'],glu__L_c + h_c --> 4abut_c + co2_c,
DCPDPP,4.17972725422349,0.05887573353278288,"[(0.0038910505836575876, 10), (0.0, 5), (0.007782101167315175, 1), (0.004377431906614786, 1)]",Arabinogalactan biosynthesis,DCPDPP,['Rv3807c'],decdpr__tb_c + h2o_c --> decdr__tb_c + pi_c,
PPCOAC,3.802426800316494,0.07012334642353181,"[(0.9999999999999682, 3), (7.406297797274419e-13, 3), (0.9999999999999788, 2), (0.9999999999999735, 2), (0.9999999999999721, 2), (0.9999999999999696, 1), (0.9999999999999748, 1), (7.511768984613809e-13, 1), (7.458478279431802e-13, 1), (7.317479955304407e-13, 1)]",Propanoate metabolism,Propionyl-CoA carboxylase,"['Rv3280', 'Rv3285', 'Rv3281']",atp_c + hco3_c + ppcoa_c --> adp_c + h_c + mmcoa__S_c + pi_c,['Rv3280']
MMCD,3.8024268003148873,0.07012334642358477,"[(0.9999999999950325, 4), (4.669042930061096e-12, 2), (4.6597170566542445e-12, 2), (4.679590048795035e-12, 1), (5.518585588504266e-12, 1), (0.9999999999950272, 1), (4.665934305592145e-12, 1), (4.660050123561632e-12, 1), (4.6698200861783334e-12, 1), (0.9999999999950379, 1), (4.6560533206729815e-12, 1), (4.665046127172445e-12, 1)]",Fatty Acid Metabolism,Methylmalonyl-CoA decarboxylase,['Rv3799c'],h_c + mmcoa__S_c --> co2_c + ppcoa_c,
ANPRT,3.676470588637131,0.07443134536314501,"[(0.9965792474344356, 6), (0.9988597491448119, 5), (0.9977194982896237, 5), (1.0, 1)]","Tyrosine, Tryptophan, and Phenylalanine Metabolism",anthranilate phosphoribosyltransferase,['Rv2192c'],anth_c + prpp_c --> ppi_c + pran_c,
ARB_Dabc,3.661739878200957,0.0749553851938565,"[(0.049947500201922304, 2), (0.04910750343267911, 1), (0.046781358533236415, 1), (0.05085211210726113, 1), (0.04548905581132381, 1), (0.05253210564574752, 1), (0.038962927065665134, 1), (0.03812293029642194, 1), (0.048849042888296584, 1), (0.045359825539132544, 1), (0.04936596397706163, 1), (0.04949519424925289, 1), (0.050529036426782976, 1), (0.05014134561020919, 1), (0.049753654793635416, 1), (0.04710443421371457, 1)]",Transport,ARB Dabc,[],arab__D_e + atp_c + h2o_c --> adp_c + arab__D_c + h_c + pi_c,
GTPCI,3.6612576361061926,0.07497261461718613,"[(0.5269755438122158, 8), (0.5268526483962148, 6), (0.5270984392282168, 1), (0.5272213346442177, 1), (0.5267297529802139, 1)]",Folate Metabolism,GTP cyclohydrolase I,['Rv3609c'],gtp_c + h2o_c --> ahdt_c + for_c + h_c,
MTHFR2,3.633841186560367,0.0759599140809927,"[(0.4000000000000001, 8), (0.6000000000000001, 5), (0.8, 3), (0.7000000000000001, 1)]",Folate Metabolism,"5,10-methylenetetrahydrofolate reductase (NADH)",[],2.0 h_c + mlthf_c + nadh_c --> 5mthf_c + nad_c,
MYCSacp50,3.629528801373029,0.07611660858179235,"[(0.9999999999999991, 14), (0.4620681736756157, 1), (0.0, 1), (0.6604435308487612, 1)]",Mycolic Acid Biosynthesis,MYCSacp50,"['Rv2246', 'Rv2245', 'Rv1483', 'Rv0098']",33.0 h_c + hexc_c + 12.0 malACP_c + 24.0 nadph_c --> 11.0 ACP_c + 12.0 co2_c + 13.0 h2o_c + meroacidACP_c + 24.0 nadp_c,"['Rv1483', 'Rv2245']"
H2St1,3.5692271885648887,0.07834843509123685,"[(0.9999999999999892, 3), (0.9999999999999893, 2), (0.2928402759889557, 1), (0.29284027599021567, 1), (0.29284027599022866, 1), (0.29284027599037576, 1), (0.29284027599022666, 1), (0.23884098715768365, 1), (0.2928402759902391, 1), (0.29284027599022333, 1), (0.23884098715769797, 1), (0.2928402759901796, 1), (0.292840275990212, 1), (0.2928402759902001, 1)]",Transport,H2St1,[],h2s_c --> h2s_e,
ENO,3.5294117647055057,0.0798646940314971,"[(0.5806451612903225, 14), (0.5483870967741935, 3)]",Glycolysis/Gluconeogenesis,enolase,['Rv1023'],2pg_c <=> h2o_c + pep_c,
EX_h2s,3.4774748706211582,0.08189534132189463,"[(0.9999999999999908, 12), (0.2928402759893267, 1), (0.29284027598935847, 1), (0.29284027598933804, 1), (0.15870218496626254, 1), (0.2928402759893074, 1)]",Exchange,,[],h2s_e --> ,
ADNCYC,3.325791855204655,0.08818776816442181,"[(0.999999999999998, 3), (1.698752249978952e-12, 3), (0.9999999999999976, 2), (1.6993073614912646e-12, 2), (1.699196339188802e-12, 1), (1.7009726960282023e-12, 1), (1.7005286068183523e-12, 1), (2.0110579868060086e-12, 1), (1.6996404283986521e-12, 1), (1.6971979377444768e-12, 1), (1.6960877147198516e-12, 1)]",Purine and Pyrimidine Biosynthesis,adenylate cyclase,"['Rv0386', 'Rv1318c', 'Rv1319c', 'Rv2435c', 'Rv1647', 'Rv1625c', 'Rv2212', 'Rv1120c', 'Rv1900c', 'Rv1264', 'Rv3645', 'Rv1320c']",atp_c --> camp_c + ppi_c,['Rv1647']
PDE1,3.3257918552036223,0.08818776816446663,"[(1.0, 6), (0.9999999999999996, 5), (2.4868995751603507e-14, 1), (2.90878432451791e-14, 1), (2.5757174171303632e-14, 1), (0.999999999999999, 1), (2.398081733190338e-14, 1), (2.2093438190040615e-14, 1)]",Purine and Pyrimidine Biosynthesis,"3',5'-cyclic-nucleotide phosphodiesterase",['Rv0805'],camp_c + h2o_c --> amp_c + h_c,
ETOHt2r,3.2572283150589434,0.09122055496030078,"[(0.5114503816793893, 14), (0.5288985823336968, 1), (0.52453653217012, 1), (0.4918211559432933, 1)]",Transport,ethanol reversible transport via proton symport,[],etoh_e + h_c <=> etoh_c + h_e,
UGMDDS,3.187179875581978,0.09444874939892423,"[(0.34928055370044314, 7), (0.34934126646833824, 5), (0.349159128164653, 2), (0.34940197923623334, 1), (0.3492198409325481, 1), (0.34946269200412844, 1)]",Peptidoglycan Metabolism,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine synthetase",['Rv2157c'],alaala_c + atp_c + ugmd_c --> adp_c + h_c + pi_c + ugmda_c,
LEUTA,3.151260504201333,0.09615710991422274,"[(0.8333333333333334, 14), (1.0, 2), (0.6666666666666667, 1)]","Valine, Leucine, and Isoleucine Metabolism",Leucine transaminase,['Rv2210c'],akg_c + leu__L_c <=> 4mop_c + glu__L_c,
THRS,3.1512605042010726,0.09615710991423529,"[(0.3055555555555555, 9), (0.29166666666666663, 5), (0.3194444444444444, 2), (0.27777777777777773, 1)]",Glycolysis/Gluconeogenesis,threonine synthase,['Rv1295'],h2o_c + phom_c --> pi_c + thr__L_c,
EX_co,3.115678630904149,0.09788607422449104,"[(0.5482513636274944, 1), (0.5482513636312878, 1), (0.548251363631326, 1), (0.5482513636313304, 1), (0.5482513636312847, 1), (0.548251363630645, 1), (0.5482513636312696, 1), (0.7353101829087336, 1), (0.5482513636313007, 1), (0.5482513636312768, 1), (0.7353101829087059, 1), (0.5482513636313064, 1), (0.5482513636312467, 1), (0.5482513636312576, 1), (0.5482513636312591, 1), (0.31591762860110284, 1), (0.5482513636312408, 1)]",Exchange,,[],co_e --> ,
CDPMEK,3.09115699259837,0.09909934232214987,"[(0.5, 10), (0.25, 4), (0.0, 2), (0.75, 1)]",Polyprenyl Metabolism,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,['Rv1011'],4c2me_c + atp_c --> 2p4c2me_c + adp_c + h_c,
MEPCT,3.086471596062788,0.09933321369086005,"[(0.7575757575757576, 2), (0.303030303030303, 2), (0.48484848484848486, 2), (0.5757575757575757, 2), (0.3333333333333333, 2), (0.45454545454545453, 2), (0.696969696969697, 2), (0.18181818181818177, 1), (0.2727272727272727, 1), (0.6666666666666666, 1)]",Polyprenyl Metabolism,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,['Rv3582c'],2me4p_c + ctp_c + h_c --> 4c2me_c + ppi_c,
EX_pheme,3.0831500860716474,0.09949940826759505,"[(0.757668680784017, 1), (0.7576686807858004, 1), (0.7576686807858071, 1), (0.7576686807857576, 1), (0.7576686807857855, 1), (0.7576686807930186, 1), (0.7576686807857824, 1), (0.6772839506141539, 1), (0.7576686807857667, 1), (0.7576686807769464, 1), (0.6772839506085322, 1), (0.7576686807857516, 1), (0.7576686807857602, 1), (0.7576686807857431, 1), (0.7576686807857502, 1), (0.8660671617092632, 1), (0.7576686807857598, 1)]",Exchange,,[],pheme_e --> ,
GF6PTAr,3.0042867349368083,0.103545374838195,"[(0.4000000000000001, 10), (0.6000000000000001, 7)]","Alanine, Aspartate, and Glutamate Metabolism",,['Rv3436c'],f6p_c + gln__L_c <=> gam6p_c + glu__L_c,
UDPGALM,2.9721362211710183,0.10525143413703898,"[(0.03475636050021561, 11), (0.034670116429495475, 5), (0.03484260457093575, 1)]",Arabinogalactan biosynthesis,UDPgalactopyranose mutase,['Rv3809c'],udpgal_c --> udpgalfur_c,
THZPSN,2.9694553690818037,0.10539521638483765,"[(0.18011904681563265, 5), (0.18011229812993917, 5), (0.18010554944424573, 2), (0.18011567247278593, 2), (0.18010892378709245, 1), (0.18012242115847937, 1), (0.18011735964420927, 1)]",Alternate Carbon Metabolism,thiazole phosphate synthesis,['Rv0417'],atp_c + cys__L_c + dxyl5p_c + tyr__L_c --> 4hba_c + 4mpetz_c + ala__L_c + amp_c + co2_c + h2o_c + h_c + ppi_c,
PPNCL3,2.9627459292322356,0.10575610260440461,"[(0.0006656238559589975, 8), (0.0005990614703630978, 2), (0.0006323426631610477, 2), (0.0007321862415548973, 1), (0.00036609312077744865, 1), (0.0008653110127466968, 1), (0.0006989050487569474, 1), (0.0008320298199487469, 1)]",Cofactor and Prosthetic Group Biosynthesis,PPNCL3,['Rv1391'],4ppan_c + atp_c + cys__L_c --> 4ppcys_c + amp_c + h_c + ppi_c,
