,0
ADNCYC_max,0.39627216474383614
ADNCYC_min,0.3993370225920827
PPCOAC_min,-0.3300290177224526
MCD_min,-0.014591112626528164
ASPt2r_min,-0.42211270127335726
PYK_max,-0.2736692703374683
ALAALAr_min,0.14211659539664634
G3PD1ir_min,-0.10959146749539297
G3PD1ir_max,-0.11320313930738912
PYK_min,-0.14152905518015388
TYRTA_min,0.03447701584835887
VPAMTr_min,0.03386880693402587
PHETA1_min,0.0344788146214332
FACOAL161_min,-0.2353530273323632
FACOAL140_min,-0.2949725545456402
FACOALPREPH_min,-0.2949725545456402
FACOAL180_min,-0.2949725545456402
NADH2r_max,0.0
NADH9_max,-0.20447505454667853
NADH10_max,-0.20447505454667853
ASNt2r_min,-0.2038331620203608
ALAALAr_max,0.19074734076117306
PREPTHS_min,-0.15058953326447375
PDIMAT_min,-0.15058953326447375
FACOAL200_min,-0.15058953326447375
GXRA_min,0.0
ALAD_L_min,0.0
FAS140_min,-0.16485855732449858
FAS120_min,-0.16485855732449858
FAS100_min,-0.16485855732449858
FAD_8_min,-0.16485855732449858
FAD_15_min,-0.16491889945410423
FAD_16_min,-0.16491889945410423
FAD_18_min,-0.16491889945410423
FAD_17_min,-0.16491889945410423
FAD_19_min,-0.16491889945410423
FAD_11_min,-0.1650678726505997
FAD_12_min,-0.1650678726505997
FAD_13_min,-0.1650678726505997
FAD_14_min,-0.1656629503311938
FAD_9_min,-0.17141030534769477
FAD_10_min,-0.17141030534769477
CHORS_min,-0.06843024749589145
FAS200_min,-0.04121463220073287
FAS180_min,-0.041214632200732786
FAD_8_max,-0.08293851506592193
FACOAL161_max,-0.08092740769591882
FAD_19_max,-0.07570827602801145
FAD_15_max,-0.07570827602801145
FAD_16_max,-0.07570827602801145
FAD_17_max,-0.07570827602801145
FAD_18_max,-0.07570827602801145
FAD_9_max,-0.07570273264009404
FAD_10_max,-0.07570273264009404
FAD_12_max,-0.07404397760857774
FAD_11_max,-0.07404397760857774
FAD_13_max,-0.07404397760857774
FAD_14_max,-0.07400560117950307
GXRA_max,0.0325671059244593
FAD_3_max,-9.932235639599502e-17
FAD_3_min,-6.788447831051865e-17
NADH5_max,-3.5034422460988823e-17
NADH5_min,-5.443570945138306e-18
CAT_max,-0.03824723088510817
FAD_7_min,5.996829771659349e-18
FAS161_min,0.0
