,F_value,pvalue,value_counts,subsystem,name,alleles_sim,genes,reaction
ACGAMPM,inf,0.0,"[(0.5635689502847012, 17)]",Arabinogalactan biosynthesis,Phosphoacetylglucosamine mutase,,['Rv3441c'],acgam6p_c <=> acgam1p_c
GTHS,inf,0.0,"[(0.9995901310427999, 17)]",Redox Metabolism,Glutathione synthetase,,[],atp_c + glucys_c + gly_c --> adp_c + gthrd_c + h_c + pi_c
CYO1a,15.0,0.0015017735386984323,"[(0.999999999995604, 15), (0.9999999999956052, 1), (0.9999999999956046, 1)]",Oxidative Phosphorylation,CYO1a,,"['Rv2196', 'Rv2195', 'Rv2194']",2.0 ficytc_c + 2.0 h_c + qh2_c --> 2.0 focytc_c + 2.0 h_e + q_c
FACOAL181,8.84994877600738,0.009443283146057723,"[(0.3527285349260245, 1), (0.3409376464234647, 1), (0.3707799505216647, 1), (0.31547715733187653, 1), (0.33723110782337773, 1), (0.35412562678727144, 1), (0.4129348891790229, 1), (0.4260669836856785, 1), (0.38892956742662077, 1), (0.3685295018941366, 1), (0.3943151285659454, 1), (0.3564660125598941, 1), (0.41182129319913685, 1), (0.4324398092568664, 1), (0.4953732586432018, 1), (0.35064841269379654, 1), (0.35303248415111455, 1)]",Fatty Acid Metabolism,Fatty acid  CoA ligase  octadecenoate ,,"['Rv3826', 'Rv1529', 'Rv1618']",atp_c + coa_c + h2o_c + ocdcea_c <=> amp_c + h_c + odecoa_c + ppi_c
FAD_22,8.023030344607363,0.012604842534414651,"[(0.5542982719056788, 9), (1.0, 3), (0.20235052874981463, 2), (0.5107752084057173, 1), (0.5542982719056786, 1), (0.7553876042028587, 1)]",Fatty Acid Metabolism,,"['Rv3139', 'Rv3516']","['Rv1467c', 'Rv0154c', 'Rv3139', 'Rv3039c', 'Rv0231', 'Rv0456c', 'Rv0271c', 'Rv1346', 'Rv0243', 'Rv3543c', 'Rv3546', 'Rv1679', 'Rv3140', 'Rv3550', 'Rv0222', 'Rv3141', 'Rv2831', 'Rv3556c', 'Rv2500c', 'Rv0975c', 'Rv3544c', 'Rv1933c', 'Rv2679', 'Rv3573c', 'Rv1912c', 'Rv0971c', 'Rv3560c', 'Rv1070c', 'Rv2724c', 'Rv3774', 'Rv0632c', 'Rv1074c', 'Rv3505', 'Rv0244c', 'Rv0673', 'Rv1715', 'Rv3504', 'Rv1071c', 'Rv0400c', 'Rv1323', 'Rv0972c', 'Rv0468', 'Rv1935c', 'Rv0859', 'Rv0131c', 'Rv3562', 'Rv3797', 'Rv3761c', 'Rv3373', 'Rv0672', 'Rv2486', 'Rv3374', 'Rv1472', 'Rv3516', 'Rv1142c', 'Rv0905', 'Rv3061c', 'Rv1141c', 'Rv1934c', 'Rv0675', 'Rv0873', 'Rv3564', 'Rv2789c', 'Rv3563', 'Rv3274c', 'Rv0752c', 'Rv0215c']",coa_c + fad_c + nad_c + pentdcoa_c --> accoa_c + fadh2_c + nadh_c + trdcalcoa_c
DRPA,7.5,0.015231027044400821,"[(0.9325414773100215, 17)]",Pentose Phosphate Pathway,deoxyribose-phosphate aldolase,,['Rv0478'],2dr5p_c --> acald_c + g3p_c
FAD_11,6.947963807829023,0.01871094798175061,"[(0.9995779288530752, 5), (0.9932800697295844, 3), (0.974386492359112, 2), (0.9995779288530108, 2), (0.9490612136465729, 1), (0.9056918109964252, 1), (0.9995779288530123, 1), (0.9869822106060493, 1), (0.949911812668146, 1)]",Fatty Acid Metabolism,,"['Rv3139', 'Rv3516']","['Rv1467c', 'Rv0154c', 'Rv3139', 'Rv3039c', 'Rv0231', 'Rv0456c', 'Rv0271c', 'Rv1346', 'Rv0243', 'Rv3543c', 'Rv3546', 'Rv1679', 'Rv3140', 'Rv3550', 'Rv0222', 'Rv3141', 'Rv2831', 'Rv3556c', 'Rv2500c', 'Rv0975c', 'Rv3544c', 'Rv1933c', 'Rv2679', 'Rv3573c', 'Rv1912c', 'Rv0971c', 'Rv3560c', 'Rv1070c', 'Rv2724c', 'Rv3774', 'Rv0632c', 'Rv1074c', 'Rv3505', 'Rv0244c', 'Rv0673', 'Rv1715', 'Rv3504', 'Rv1071c', 'Rv0400c', 'Rv0972c', 'Rv1323', 'Rv0468', 'Rv1935c', 'Rv0859', 'Rv0131c', 'Rv3562', 'Rv3797', 'Rv3761c', 'Rv3373', 'Rv0672', 'Rv2486', 'Rv3374', 'Rv1472', 'Rv3516', 'Rv1142c', 'Rv0905', 'Rv3061c', 'Rv1141c', 'Rv1934c', 'Rv0675', 'Rv0873', 'Rv3564', 'Rv2789c', 'Rv3563', 'Rv3274c', 'Rv0752c', 'Rv0215c']",coa_c + fad_c + nad_c + occoa_c --> accoa_c + fadh2_c + hexcoa_c + nadh_c
FAD_13,6.947963807829023,0.01871094798175061,"[(0.9995779288530752, 4), (0.9932800697295844, 3), (0.974386492359112, 2), (0.9995779288530108, 2), (0.9490612136465729, 1), (0.9056918109964252, 1), (0.9995779288530123, 1), (0.9995779288530743, 1), (0.9869822106060492, 1), (0.949911812668146, 1)]",Fatty Acid Metabolism,,"['Rv3139', 'Rv3516']","['Rv1467c', 'Rv0154c', 'Rv3139', 'Rv3039c', 'Rv0231', 'Rv0456c', 'Rv0271c', 'Rv1346', 'Rv0243', 'Rv3543c', 'Rv3546', 'Rv1679', 'Rv3140', 'Rv3550', 'Rv0222', 'Rv3141', 'Rv2831', 'Rv3556c', 'Rv2500c', 'Rv0975c', 'Rv3544c', 'Rv1933c', 'Rv2679', 'Rv3573c', 'Rv1912c', 'Rv0971c', 'Rv3560c', 'Rv1070c', 'Rv2724c', 'Rv3774', 'Rv0632c', 'Rv1074c', 'Rv3505', 'Rv0244c', 'Rv0673', 'Rv1715', 'Rv3504', 'Rv1071c', 'Rv0400c', 'Rv0972c', 'Rv1323', 'Rv0468', 'Rv1935c', 'Rv0859', 'Rv0131c', 'Rv3562', 'Rv3797', 'Rv3761c', 'Rv3373', 'Rv0672', 'Rv2486', 'Rv3374', 'Rv1472', 'Rv3516', 'Rv1142c', 'Rv0905', 'Rv3061c', 'Rv1141c', 'Rv1934c', 'Rv0675', 'Rv0873', 'Rv3564', 'Rv2789c', 'Rv3563', 'Rv3274c', 'Rv0752c', 'Rv0215c']",butcoa_c + coa_c + fad_c + 3.0 h2o_c + nad_c --> 2.0 accoa_c + fadh2_c + 3.0 h_c + nadh_c
FAD_12,6.947963807825182,0.018710947981777814,"[(0.9995779288530752, 4), (0.9932800697295844, 3), (0.9995779288530108, 3), (0.974386492359112, 2), (0.9490612136465729, 1), (0.9056918109964252, 1), (0.9995779288530741, 1), (0.986982210606049, 1), (0.949911812668146, 1)]",Fatty Acid Metabolism,,"['Rv3139', 'Rv3516']","['Rv1467c', 'Rv0154c', 'Rv3139', 'Rv3039c', 'Rv0231', 'Rv0456c', 'Rv0271c', 'Rv1346', 'Rv0243', 'Rv3543c', 'Rv3546', 'Rv1679', 'Rv3140', 'Rv3550', 'Rv0222', 'Rv3141', 'Rv2831', 'Rv3556c', 'Rv2500c', 'Rv0975c', 'Rv3544c', 'Rv1933c', 'Rv2679', 'Rv3573c', 'Rv1912c', 'Rv0971c', 'Rv3560c', 'Rv1070c', 'Rv2724c', 'Rv3774', 'Rv0632c', 'Rv1074c', 'Rv3505', 'Rv0244c', 'Rv0673', 'Rv1715', 'Rv3504', 'Rv1071c', 'Rv0400c', 'Rv0972c', 'Rv1323', 'Rv0468', 'Rv1935c', 'Rv0859', 'Rv0131c', 'Rv3562', 'Rv3797', 'Rv3761c', 'Rv3373', 'Rv0672', 'Rv2486', 'Rv3374', 'Rv1472', 'Rv3516', 'Rv1142c', 'Rv0905', 'Rv3061c', 'Rv1141c', 'Rv1934c', 'Rv0675', 'Rv0873', 'Rv3564', 'Rv2789c', 'Rv3563', 'Rv3274c', 'Rv0752c', 'Rv0215c']",coa_c + fad_c + hexcoa_c + nad_c --> accoa_c + butcoa_c + fadh2_c + nadh_c
MMCD,6.27045746093652,0.02430882321355268,"[(1.0, 6), (0.9881903361722421, 2), (0.9947634770084313, 2), (0.9881903361722254, 1), (0.9879204951219599, 1), (0.9947634770084063, 1), (0.9947634770084395, 1), (0.9947634770084273, 1), (0.9947634770084304, 1), (0.9879204951219597, 1)]",Fatty Acid Metabolism,Methylmalonyl-CoA decarboxylase,,['Rv3799c'],h_c + mmcoa__S_c --> co2_c + ppcoa_c
