,F_value,pvalue,value_counts,subsystem,name,genes,reaction,alleles_sim
DHPPDA,13.501763746442984,0.00034536467892208627,"[(4.4122412390379395e-09, 93), (0.5063604774167918, 10), (0.9999999999900404, 2), (0.9999999999901363, 2), (1.3766765505351941e-14, 1), (0.9999999987482369, 1), (0.24682035363313792, 1), (0.9999999999901581, 1), (0.999999999987307, 1), (0.9999999999810081, 1), (1.5128565067357158e-10, 1), (0.24682035363725108, 1), (0.9999999999888463, 1), (0.9999999999900275, 1), (0.9999999999901346, 1), (0.9999999999899951, 1), (0.9999999986715493, 1), (0.9999999999886429, 1), (0.9999999999926095, 1), (0.24682035363349009, 1), (0.0, 1), (0.999999999990715, 1), (0.9999999999903175, 1), (1.0, 1), (0.999999999993598, 1), (0.9999999999899933, 1), (0.9999999987963761, 1), (0.9999999999902256, 1), (0.9999999999899862, 1), (0.4978802357519294, 1), (0.9999999999900457, 1)]",Riboflavin Metabolism,Diaminohydroxyphosphoribosylaminopyrimidine deaminase,['Rv1409'],25dhpp_c + h2o_c + h_c --> 5apru_c + nh4_c,['Rv1409']
GTPCII,13.501763746430166,0.0003453646789242254,"[(4.4122412390379395e-09, 93), (0.5063604774167922, 6), (0.9999999999900395, 2), (0.9999999999901359, 2), (0.5063604767978127, 1), (1.4210854715202004e-14, 1), (0.9999999987482373, 1), (0.24682035363313837, 1), (0.9999999999901572, 1), (0.9999999999873079, 1), (0.999999999981009, 1), (1.5128565067357158e-10, 1), (0.24682035363725063, 1), (0.9999999999888463, 1), (0.9999999999900271, 1), (0.9999999999901354, 1), (0.999999999989996, 1), (0.5063604774049897, 1), (0.9999999986715498, 1), (0.9999999999886438, 1), (0.9999999999926104, 1), (0.24682035363348964, 1), (0.0, 1), (0.5063604780354574, 1), (0.999999999990715, 1), (0.9999999999903184, 1), (1.0, 1), (0.9999999999935989, 1), (0.9999999999899942, 1), (0.9999999987963752, 1), (0.9999999999902247, 1), (0.9999999999899862, 1), (0.5063604774173078, 1), (0.4978802357519294, 1), (0.9999999999900466, 1)]",Riboflavin Metabolism,GTP cyclohydrolase II,"['Rv1415', 'Rv1940']",gtp_c + 3.0 h2o_c --> 25dhpp_c + for_c + 2.0 h_c + ppi_c,
DHPPDA2,13.197297450696555,0.0004001891507530228,"[(1.0, 96), (0.0, 28), (0.4936395225782088, 1), (0.49363952260799937, 1), (0.49363952257858806, 1), (0.4936395218204919, 1), (0.4936395225783113, 1), (0.493639522578279, 1), (0.49363952257823535, 1), (0.49363952257765104, 1), (0.4936395248170432, 1), (0.49363952257821286, 1)]",Riboflavin Metabolism,diaminohydroxyphosphoribosylaminopryrimidine deaminase (25drapp),"['Rv1409', 'Rv2671']",25drapp_c + h2o_c + h_c --> 5apru_c + nh4_c,['Rv1409']
GTPCII2,13.197297450696555,0.0004001891507530228,"[(1.0, 96), (0.0, 28), (0.4936395225782089, 1), (0.4936395226079994, 1), (0.49363952257858806, 1), (0.49363952182049203, 1), (0.49363952257831145, 1), (0.4936395225782791, 1), (0.49363952257823535, 1), (0.49363952257765115, 1), (0.4936395248170433, 1), (0.493639522578213, 1)]",Cofactor and Prosthetic Group Biosynthesis,GTP cyclohydrolase II (25drapp),"['Rv1415', 'Rv1940']",gtp_c + 3.0 h2o_c --> 25drapp_c + for_c + 2.0 h_c + ppi_c,
ASPO5,8.622299239086708,0.003918989513273346,"[(0.0, 14), (0.012287359695038469, 2), (0.012287359690215304, 2), (0.012287359690195537, 2), (0.012287359690195539, 2), (0.012287359729359543, 1), (0.012287359692328146, 1), (0.012287359695275675, 1), (0.012287359710364853, 1), (0.012287359710555315, 1), (0.01228735969690026, 1), (0.012287359684917733, 1), (0.012287359693098401, 1), (0.01228735969552556, 1), (0.012287359696292322, 1), (0.012287359697502474, 1), (0.012287359689619694, 1), (0.009847222133979412, 1), (1.0, 1), (0.012287359690175767, 1), (0.01228735969696869, 1), (0.012287359696959828, 1), (0.012287359696951975, 1), (0.012287359713164863, 1), (0.012287359705726406, 1), (0.0122873596992029, 1), (0.012287359701680206, 1), (0.012287359693385866, 1), (0.012287359692219077, 1), (0.009847222138092629, 1), (0.01228735969012612, 1), (0.01228735970005969, 1), (0.012287359690136248, 1), (0.012287359696983793, 1), (0.012287359700316277, 1), (0.012287359695255906, 1), (0.01228735971815303, 1), (0.012287359693410703, 1), (0.012287359710775375, 1), (0.0122873596938795, 1), (0.012287359696958319, 1), (0.9999999999771727, 1), (0.012287359703024366, 1), (0.012287359696976332, 1), (0.012287359690136234, 1), (0.012287382758659345, 1), (0.012287359723333413, 1), (0.012287359696960501, 1), (0.012287359692410963, 1), (0.01228735969534575, 1), (0.012287359690215298, 1), (0.012287359696952957, 1), (0.012287359702478672, 1), (0.012287359690266267, 1), (0.012287359694260173, 1), (0.012287359690215788, 1), (0.012287359694502169, 1), (0.012287359693088827, 1), (0.01228735969033953, 1), (0.012287359700352756, 1), (0.012287359695225951, 1), (0.012287359696967464, 1), (0.01228735969695397, 1), (0.012287359692937988, 1), (0.012287359696958752, 1), (0.01228735969352379, 1), (0.012287359693092423, 1), (0.009847222144110938, 1), (0.012287359696934405, 1), (0.01228735969404189, 1), (0.012287359721625576, 1), (0.012287359697032365, 1), (0.012287359690333621, 1), (0.9999999999818929, 1), (0.012287359696762036, 1), (0.012287359690175775, 1), (0.01228735969018973, 1), (0.012287359696945818, 1), (0.012287359690222639, 1), (0.01228735969421609, 1), (0.01228735970094617, 1), (0.012287359687716375, 1), (0.012287359698593974, 1), (0.01228735969696373, 1), (0.012287359692913996, 1), (0.012287359691704117, 1), (0.012287359696840573, 1), (0.012287359709792427, 1), (0.012287359696919652, 1), (0.012287359698103345, 1), (0.012287359696224536, 1), (0.9999999999912867, 1), (0.01228735969233951, 1), (0.012287359690215306, 1), (0.012287359683949171, 1), (0.01228735969152345, 1), (0.012287359686295627, 1), (0.012287359693045802, 1), (0.012287359688379275, 1), (0.01228735969309255, 1), (0.012287359695218512, 1), (0.01228735969519661, 1), (0.01228735969517742, 1), (0.012287359695232833, 1), (0.012287359690195534, 1), (0.012287359686893397, 1), (0.012287359696959954, 1), (0.012287359690256482, 1), (0.01066060132184249, 1), (0.012287359690207491, 1), (0.012287359643560798, 1), (0.9999999999787701, 1), (0.01228735969666546, 1), (0.012287359743257049, 1), (0.012287359765505617, 1), (0.012287359690268016, 1), (0.012287359690187695, 1)]","Alanine, Aspartate, and Glutamate Metabolism",L-aspartate oxidase,['Rv1595'],asp__L_c + fum_c --> h_c + iasp_c + succ_c,
ACt2r,8.434513731375882,0.0043174222618067495,"[(0.9999999957614852, 37), (5.454181711828099e-07, 1), (5.454863859499781e-07, 1), (5.566714700311337e-07, 1), (0.00029320124098364264, 1), (5.454310855190769e-07, 1), (5.454627786116717e-07, 1), (0.9999999957796615, 1), (0.00029310013885397446, 1), (5.456398295411446e-07, 1), (0.9999999960232707, 1), (5.454176496000329e-07, 1), (0.9999999957313916, 1), (5.454174990537908e-07, 1), (0.0002931008941834401, 1), (5.456170951712025e-07, 1), (5.45639191718017e-07, 1), (0.9999999957625314, 1), (5.454180094233152e-07, 1), (5.451672643319583e-07, 1), (5.45639064708503e-07, 1), (5.566717830030044e-07, 1), (5.456394642777695e-07, 1), (5.454173571672882e-07, 1), (0.9999999957614855, 1), (5.566666577694335e-07, 1), (5.566701105630401e-07, 1), (5.56649141780774e-07, 1), (5.566714932347949e-07, 1), (5.454164764273628e-07, 1), (5.456398224357173e-07, 1), (5.566714968985309e-07, 1), (0.0, 1), (5.454177459673915e-07, 1), (0.999999995757097, 1), (5.454176420505163e-07, 1), (5.456392261349308e-07, 1), (0.9999999957614857, 1), (1.0, 1), (5.454093591206188e-07, 1), (5.456391949376638e-07, 1), (5.45617989899938e-07, 1), (0.999999995761496, 1), (0.9999999957638306, 1), (0.9999999957616532, 1), (5.454185294517799e-07, 1), (5.454169589302893e-07, 1), (0.9999999957604592, 1), (5.45636068771671e-07, 1), (5.46444979487859e-07, 1), (0.19858968695585566, 1), (5.56671691853694e-07, 1), (5.454757959766354e-07, 1), (0.999999983254775, 1), (5.454178297892298e-07, 1), (5.458022156457076e-07, 1), (5.452789288984405e-07, 1), (5.459528769069522e-07, 1), (5.4541720584389e-07, 1), (5.456389257085803e-07, 1), (5.454176571495495e-07, 1), (0.9999999957617087, 1), (5.454182029351884e-07, 1), (5.45437510934832e-07, 1), (5.564499642174425e-07, 1), (0.9999999957622394, 1), (0.9999999957597792, 1), (5.454175817654061e-07, 1), (5.45617282576849e-07, 1), (5.456188404417972e-07, 1), (5.456174502205258e-07, 1), (0.9999999957557799, 1), (5.454201676968751e-07, 1), (5.456174871909525e-07, 1), (0.9999999957614847, 1), (5.454172125052281e-07, 1), (5.456173453044499e-07, 1), (0.9999999957630824, 1), (0.9999999955523357, 1), (5.454181375430522e-07, 1), (5.454176306152192e-07, 1), (0.9999999917120299, 1), (0.9999999957614805, 1), (0.9999999956867078, 1), (5.459542750108071e-07, 1), (5.56671460594238e-07, 1), (5.459557199660736e-07, 1), (5.450496316505848e-07, 1), (5.454181974950956e-07, 1), (5.454176699171143e-07, 1), (5.45639494919925e-07, 1), (0.9999999957614856, 1), (5.564499301335957e-07, 1), (5.45494160286708e-07, 1), (5.456383507240758e-07, 1), (5.45448094801948e-07, 1), (0.9999999957614624, 1), (0.9999999957621971, 1)]",Transport,acetate reversible transport via proton symport,[],ac_e + h_c <=> ac_c + h_e,
EX_ac,8.434513729175949,0.004317422266711555,"[(0.0, 63), (0.9999994545824022, 1), (0.9999994545141877, 1), (0.9999994433291033, 1), (0.9997067987583494, 1), (0.9999994545694879, 1), (0.999999454537795, 1), (0.9997068998604796, 1), (0.9999994543607439, 1), (0.999999454582924, 1), (0.9999994545830744, 1), (0.9997068991051499, 1), (0.9999994543333152, 1), (0.9999994543613819, 1), (0.9999994545825642, 1), (0.9999994548333091, 1), (0.9999994543615089, 1), (0.9999994433287906, 1), (0.9999994543611094, 1), (0.9999994545832165, 1), (0.9999994433339157, 1), (0.9999994433304629, 1), (0.9999994433514319, 1), (0.9999994433290804, 1), (0.9999994545840972, 1), (0.9999994543607511, 1), (0.9999994433290768, 1), (1.0, 1), (0.9999994545828277, 1), (0.9999994545829316, 1), (0.9999994543613396, 1), (0.99999945467247, 1), (0.9999994543613787, 1), (0.9999994543825838, 1), (0.9999994545820442, 1), (0.9999994545836147, 1), (0.9999994543645049, 1), (0.9999994535555942, 1), (0.8014103122028806, 1), (0.9999994433288818, 1), (0.9999994545247776, 1), (0.9999994545825208, 1), (0.999999454198358, 1), (0.9999994547216448, 1), (0.9999994540476969, 1), (0.9999994545833677, 1), (0.999999454361648, 1), (0.9999994545829163, 1), (0.9999994545826001, 1), (0.9999994545630626, 1), (0.9999994435506094, 1), (0.9999994546253547, 1), (0.9999994543832909, 1), (0.9999994543817332, 1), (0.9999994543831234, 1), (0.9999994545804058, 1), (0.9999994543830864, 1), (0.9999994545833611, 1), (0.9999994543832285, 1), (0.9999994545824361, 1), (0.9999994545829428, 1), (0.9999994540462986, 1), (0.9999994433291131, 1), (0.9999994540448538, 1), (0.999999454950942, 1), (0.9999994545823759, 1), (0.9999994545829037, 1), (0.9999994543610787, 1), (0.9999994435506433, 1), (0.9999994545248891, 1), (0.9999994543622229, 1), (0.9999994545486706, 1)]",Exchange,,[],ac_e --> ,
FAD_1,8.361251233364014,0.004483994391715056,"[(1.0, 69), (0.0, 51), (0.317343660266189, 14)]",Fatty Acid Metabolism,,"['Rv3563', 'Rv3274c', 'Rv0752c', 'Rv0215c', 'Rv1467c', 'Rv0154c', 'Rv3139', 'Rv3039c', 'Rv0231', 'Rv0456c', 'Rv0271c', 'Rv1346', 'Rv0243', 'Rv3543c', 'Rv3546', 'Rv1679', 'Rv3140', 'Rv3550', 'Rv0222', 'Rv3141', 'Rv2831', 'Rv3556c', 'Rv2500c', 'Rv0975c', 'Rv3544c', 'Rv1933c', 'Rv2679', 'Rv3573c', 'Rv1912c', 'Rv0971c', 'Rv3560c', 'Rv1070c', 'Rv2724c', 'Rv3774', 'Rv0632c', 'Rv1074c', 'Rv3505', 'Rv0244c', 'Rv0673', 'Rv1715', 'Rv3504', 'Rv1071c', 'Rv0400c', 'Rv1323', 'Rv0972c', 'Rv0468', 'Rv1935c', 'Rv0859', 'Rv0131c', 'Rv3562', 'Rv3797', 'Rv3761c', 'Rv3373', 'Rv0672', 'Rv2486', 'Rv3374', 'Rv1472', 'Rv3516', 'Rv1142c', 'Rv0905', 'Rv3061c', 'Rv1141c', 'Rv1934c', 'Rv0675', 'Rv0873', 'Rv3564', 'Rv2789c']",coa_c + fad_c + nad_c + octscoa_c --> accoa_c + fadh2_c + hexscoa_c + nadh_c,"['Rv3139', 'Rv3516']"
FAD_2,8.361251233364014,0.004483994391715056,"[(1.0, 69), (0.0, 51), (0.317343660266189, 14)]",Fatty Acid Metabolism,,"['Rv3563', 'Rv3274c', 'Rv0752c', 'Rv0215c', 'Rv1467c', 'Rv0154c', 'Rv3139', 'Rv3039c', 'Rv0231', 'Rv0456c', 'Rv0271c', 'Rv1346', 'Rv0243', 'Rv3543c', 'Rv3546', 'Rv1679', 'Rv3140', 'Rv3550', 'Rv0222', 'Rv3141', 'Rv2831', 'Rv3556c', 'Rv2500c', 'Rv0975c', 'Rv3544c', 'Rv1933c', 'Rv2679', 'Rv3573c', 'Rv1912c', 'Rv0971c', 'Rv3560c', 'Rv1070c', 'Rv2724c', 'Rv3774', 'Rv0632c', 'Rv1074c', 'Rv3505', 'Rv0244c', 'Rv0673', 'Rv1715', 'Rv3504', 'Rv1071c', 'Rv0400c', 'Rv0972c', 'Rv1323', 'Rv0468', 'Rv1935c', 'Rv0859', 'Rv0131c', 'Rv3562', 'Rv3797', 'Rv3761c', 'Rv3373', 'Rv0672', 'Rv2486', 'Rv3374', 'Rv1472', 'Rv3516', 'Rv1142c', 'Rv0905', 'Rv3061c', 'Rv1141c', 'Rv1934c', 'Rv0675', 'Rv0873', 'Rv3564', 'Rv2789c']",coa_c + fad_c + hexscoa_c + nad_c --> accoa_c + fadh2_c + nadh_c + tetscoa_c,"['Rv3139', 'Rv3516']"
FAD_3,8.361251233364014,0.004483994391715056,"[(1.0, 69), (0.0, 51), (0.317343660266189, 14)]",Fatty Acid Metabolism,,"['Rv3563', 'Rv3274c', 'Rv0752c', 'Rv0215c', 'Rv1467c', 'Rv0154c', 'Rv3139', 'Rv3039c', 'Rv0231', 'Rv0456c', 'Rv0271c', 'Rv1346', 'Rv0243', 'Rv3543c', 'Rv3546', 'Rv1679', 'Rv3140', 'Rv3550', 'Rv0222', 'Rv3141', 'Rv2831', 'Rv3556c', 'Rv2500c', 'Rv0975c', 'Rv3544c', 'Rv1933c', 'Rv2679', 'Rv3573c', 'Rv1912c', 'Rv0971c', 'Rv3560c', 'Rv1070c', 'Rv2724c', 'Rv3774', 'Rv0632c', 'Rv1074c', 'Rv3505', 'Rv0244c', 'Rv0673', 'Rv1715', 'Rv3504', 'Rv1071c', 'Rv0400c', 'Rv1323', 'Rv0972c', 'Rv0468', 'Rv0859', 'Rv1935c', 'Rv0131c', 'Rv3562', 'Rv3797', 'Rv3761c', 'Rv3373', 'Rv0672', 'Rv2486', 'Rv3374', 'Rv1472', 'Rv3516', 'Rv1142c', 'Rv0905', 'Rv3061c', 'Rv1141c', 'Rv1934c', 'Rv0675', 'Rv0873', 'Rv3564', 'Rv2789c']",coa_c + fad_c + nad_c + tetscoa_c --> accoa_c + doscoa_c + fadh2_c + nadh_c,"['Rv3139', 'Rv3516']"
