,F_value,pvalue,value_counts,subsystem,name,genes,reaction,alleles_sim
COAt,inf,0.0,"[(0.012941176470588235, 29)]",Transport,COAt,[],coa_e <=> coa_c,
CYTDt2r,27.0,1.7985245242361115e-05,"[(0.10344827586206898, 29)]",Transport,,[],cytd_e + h_e <=> cytd_c + h_c,
EX_meoh,27.0,1.7985245242361115e-05,"[(0.10568191598813556, 29)]",Exchange,,[],meoh_e --> ,
NDPK4,13.5,0.0010407853299258798,"[(0.888888888888889, 29)]",Purine and Pyrimidine Biosynthesis,nucleoside-diphosphate kinase (ATP:dTDP),['Rv2445c'],atp_c + dtdp_c <=> adp_c + dttp_c,
FADE51,13.479404544824456,0.0010484048864279423,"[(0.7090909090909091, 3), (0.5090909090909091, 2), (0.4818181818181818, 2), (0.6181818181818182, 2), (0.6272727272727273, 1), (0.6727272727272727, 1), (0.4727272727272728, 1), (0.5454545454545454, 1), (0.19090909090909092, 1), (0.7000000000000001, 1), (0.4545454545454546, 1), (0.6136363636363636, 1), (0.4363636363636364, 1), (0.8545454545454545, 1), (0.5818181818181818, 1), (0.2545454545454546, 1), (0.2363636363636364, 1), (0.5, 1), (0.6818181818181819, 1), (0.4636363636363636, 1), (0.1454545454545455, 1), (0.6363636363636364, 1), (0.49090909090909096, 1), (0.5727272727272728, 1)]",Cholesterol degradation,MNXR76950,"['Rv3546', 'Rv3523']",coa_c + ocholc8coa_c --> cholc5coa_c + ppcoa_c,
MMM2r,11.888266491951518,0.0018669789214230427,"[(0.9999999999999947, 14), (0.9999999999999953, 5), (0.5611855468643288, 1), (0.13278049695846572, 1), (0.13278049695847727, 1), (0.9999999999999946, 1), (0.1327804969584735, 1), (0.13757532598464062, 1), (0.13278049695848082, 1), (0.999999999999994, 1), (0.13278049695843974, 1), (0.13278049695847827, 1)]",Fatty Acid Metabolism,,"['Rv1492', 'Rv1493']",0.001 aqcobal_c + succoa_c <-- mmcoa__R_c,
ACCOAC,11.855846884584455,0.0018896047898060982,"[(5.051514762044462e-15, 6), (0.9999999999999518, 4), (6.5503158452884236e-15, 3), (0.9999999999999548, 3), (0.9999999999999523, 2), (5.828670879282072e-15, 2), (0.5791743446331558, 1), (7.271960811294775e-15, 1), (0.9999999999999534, 1), (0.9999999999999508, 1), (0.999999999999952, 1), (4.385380947269368e-15, 1), (0.0, 1), (0.9999999999999528, 1), (1.4432899320127035e-15, 1)]",Pyruvate Metabolism,Acetyl-CoA carboxylase,"['Rv3285', 'Rv2247']",accoa_c + atp_c + hco3_c <=> adp_c + h_c + malcoa_c + pi_c,['Rv2247']
FAS80_L,11.589517441224329,0.002087119035845484,"[(0.35078979893835927, 1), (0.24187589819257752, 1), (0.18014453563278796, 1), (0.9177019294943979, 1), (0.3286279639777555, 1), (0.1801445356327894, 1), (0.1801445356327898, 1), (0.9177019294942483, 1), (0.20271328322796547, 1), (0.12384617806697042, 1), (0.1801445356327903, 1), (0.0, 1), (0.9177019294943902, 1), (0.18014453563279093, 1), (0.6199584672689635, 1), (0.1801445356327965, 1), (0.6769459819213016, 1), (0.9177019294943771, 1), (0.9401691898116804, 1), (0.9401691898118352, 1), (0.9177019294944037, 1), (0.2349362113005783, 1), (0.6915394437093348, 1), (0.031065973059590024, 1), (0.9177019294943699, 1), (0.9401691898116685, 1), (0.9177019294943471, 1), (0.940169189811687, 1), (0.9177019294943977, 1)]",Fatty Acid Metabolism,Fatty acid synthase  n C80   lumped reaction,"['Rv2524c', 'Rv2947c', 'Rv1484', 'Rv1350']",accoa_c + 8.0 h_c + 3.0 malcoa_c + 6.0 nadph_c --> 3.0 co2_c + 4.0 coa_c + 2.0 h2o_c + 6.0 nadp_c + octa_c,['Rv1484']
MME,10.959590679800833,0.002649182211749204,"[(0.9999999999999993, 7), (0.01642468622590776, 1), (3.7470027081099033e-13, 1), (1.0726974863928262e-12, 1), (0.2145339421283442, 1), (0.011685889039705688, 1), (0.2014150003760803, 1), (0.5045551435652273, 1), (0.0, 1), (0.5983500889302715, 1), (0.9999999999999987, 1), (1.1239897901305085e-12, 1), (0.14291472784411252, 1), (0.01168588903970813, 1), (0.14291472784411974, 1), (0.1312288388047651, 1), (0.13122883879964797, 1), (0.011685889039703357, 1), (0.3161723069044209, 1), (0.4142271576161619, 1), (0.14291472784412396, 1), (0.13122883880479685, 1), (0.13122883880476877, 1)]",Fatty Acid Metabolism,methylmalonyl-CoA epimerase,"['Rv1322A', 'Rv0855', 'Rv1143']",mmcoa__R_c <-- 0.001 aqcobal_c + mmcoa__S_c,
G16MTM1,9.677730941571875,0.004370312193031062,"[(0.9993037181451052, 9), (0.9990252054031473, 6), (0.9995822308870631, 4), (0.9987466926611893, 3), (0.9998607436290211, 2), (0.9994429745160842, 2), (0.9997214872580421, 2), (0.9992340899596157, 1)]",Fatty Acid Metabolism,"Glycolipid 1,6-alpha-D-mannosyltransferase",['Rv2610c'],gdpmann_c + ptd1ino160190_c --> PIM1_c + gdp_c + h_c,
