,0
FACOAL161_min,-0.19239749305845846
CYO1b_min,0.0
CYO1b_max,0.0
FACOALPREPH_min,-0.19239749305845846
FACOAL180_min,-0.19239749305845846
CHORS_min,0.054614360405207354
FACOAL180_max,-0.22072499426458914
FACOAL140_max,-0.22071712680799807
FACOALPREPH_max,-0.22070385231442147
FACOAL140_min,-0.19239749305845846
NNAM_min,-0.0811953882074946
NADH5_min,0.029181789870726005
DHPPDA2_min,-0.15417817877080203
DHPPDA_min,-0.15346118519002608
NADH10_max,-0.15144631425286467
NADH9_max,-0.14287010148328388
ALAR_max,-0.04982282798331405
NADH2r_min,-0.1277046135535431
ADNCYC_max,0.27819928648484504
NADH2r_max,-0.06830433397627111
FACOAL161_max,0.19239749305845846
EMB_min,0.0
TDPDRR_min,0.0
HEMEOS_min,0.0
MYC1M2_min,-0.05029805651713254
MSHS_min,-1.542902427831422e-17
CIGAMS_min,0.0
NAGINSP_min,0.0
FAS200_min,-0.05029805581033051
ACChex_min,0.0
ACCC_min,0.0
DCPT_min,0.0
DCPE_min,0.0
G3PD1ir_min,-0.050298055668432214
MYCSacp50_min,-0.05029805562972365
MYCSacp56_min,0.0
MYCSacp58_min,0.0
MCOATA_min,0.29264752782668246
ALAR_min,-0.014956527951827834
FAS260_min,-2.4833521663579948e-17
FAS240_L_min,0.0
APRAUR_min,0.0
MYC1M1_min,0.0
DHFS_min,0.0
CYST_II_min,-0.04985811764716915
FAD_8_max,2.0088982121449236e-17
CYST_II_max,-0.04162707997489259
NADH5_max,0.10917948594005027
ALAALAr_max,-0.032779365503545155
ALAALAr_min,-0.02667971017420275
CHORS_max,0.011236875028629066
PDIMAT_max,-0.04022451634815623
FACOAL200_max,-0.04022451634815623
PREPTHS_max,-0.04022451634815624
NNAM_max,-0.015790983088717663
CAT_min,0.1335203331580369
FAD_10_max,0.1886187361921189
FAD_9_max,0.1886187361921189
PYK_max,-0.005906388790254888
FAD_3_min,5.0749222880118405e-17
FAS180_min,-2.876031504700732e-17
MYCSacp50_max,-1.5673053086690375e-17
FAD_7_max,-1.5219701694105063e-17
FAD_7_min,-1.3360725547532432e-17
FAS120_min,0.0
FAS100_min,0.0
TDPDRR_max,0.0
TMDS_max,-0.0
FAD_6_min,-0.0
FAD_6_max,-0.0
FAD_5_min,-0.0
FAD_5_max,-0.0
FAD_4_min,-0.0
FAD_4_max,-0.0
FAD_2_min,-0.0
FAD_2_max,-0.0
FAD_27_min,-0.0
FAS140_min,0.0
FAS161_min,-0.0
MYC1M2_max,0.0
FAS181_min,-0.0
FAD_27_max,-0.0
MYCSacp56_max,0.0
MYCSacp58_max,0.0
NADH10_min,-0.0372411800625368
MAN1PT2_max,-0.0
NADH9_min,-0.037323215136033705
HEMEOS_max,0.0
MYC1M1_max,0.0
GXRA_min,-0.0
FBPA_min,-0.0
FBPA_max,-0.05707286884600427
FAS80_L_min,-0.0
PDIMAT_min,0.0
PPDIMAT_min,0.0
FAS240_L_max,0.0
PREPTHS2_min,0.0
NAGINSP_max,0.0
FAD_26_min,-0.0
ACCC_max,0.0
FAD_25_min,-0.0
ASNt2r_max,-0.0
FAD_26_max,-0.0
CHSTEROLt_min,-0.0
CIGAMS_max,0.0
CYSK2_I_max,-0.0
CYSK2_I_min,-0.0
DCPE_max,0.0
DCPT_max,0.0
DHFS_max,0.0
ECHA191_max,-0.0
ECHA191_min,-0.0
ECHA192_max,-0.0
ECHA192_min,-0.0
EMB_max,0.0
FACOAL200_min,0.0
APRAUR_max,0.0
ALAD_L_min,-0.0
CHSTEROLt_max,-0.0
FAD_22_min,-0.0
FAD_23_min,-0.0
FAD_22_max,-0.0
FAD_21_min,-0.0
FAD_21_max,-0.0
FAD_20_min,-0.0
